"","cluster","spot"
"spot1001",1,"spot1001"
"spot1002",1,"spot1002"
"spot1003",1,"spot1003"
"spot1004",1,"spot1004"
"spot1005",1,"spot1005"
"spot1006",1,"spot1006"
"spot1007",1,"spot1007"
"spot1008",1,"spot1008"
"spot1009",1,"spot1009"
"spot1010",1,"spot1010"
"spot1011",1,"spot1011"
"spot1012",1,"spot1012"
"spot1013",1,"spot1013"
"spot1014",1,"spot1014"
"spot1015",1,"spot1015"
"spot1016",1,"spot1016"
"spot1017",1,"spot1017"
"spot1018",1,"spot1018"
"spot1019",1,"spot1019"
"spot1020",1,"spot1020"
"spot1021",1,"spot1021"
"spot1022",1,"spot1022"
"spot1023",1,"spot1023"
"spot1024",1,"spot1024"
"spot1025",1,"spot1025"
"spot1026",1,"spot1026"
"spot1027",1,"spot1027"
"spot1028",1,"spot1028"
"spot1029",1,"spot1029"
"spot1030",1,"spot1030"
"spot1031",1,"spot1031"
"spot1032",1,"spot1032"
"spot1033",1,"spot1033"
"spot1034",1,"spot1034"
"spot1035",1,"spot1035"
"spot1036",1,"spot1036"
"spot1037",1,"spot1037"
"spot1038",1,"spot1038"
"spot1039",1,"spot1039"
"spot1040",1,"spot1040"
"spot1041",1,"spot1041"
"spot1042",1,"spot1042"
"spot1043",1,"spot1043"
"spot1044",1,"spot1044"
"spot1045",1,"spot1045"
"spot1046",1,"spot1046"
"spot1047",1,"spot1047"
"spot1048",1,"spot1048"
"spot1049",1,"spot1049"
"spot1050",1,"spot1050"
"spot1051",1,"spot1051"
"spot1052",1,"spot1052"
"spot1053",1,"spot1053"
"spot1054",1,"spot1054"
"spot1055",1,"spot1055"
"spot1056",1,"spot1056"
"spot1057",1,"spot1057"
"spot1058",1,"spot1058"
"spot1059",1,"spot1059"
"spot1060",1,"spot1060"
"spot1061",1,"spot1061"
"spot1062",1,"spot1062"
"spot1063",1,"spot1063"
"spot1064",1,"spot1064"
"spot1065",1,"spot1065"
"spot1066",1,"spot1066"
"spot1067",1,"spot1067"
"spot1068",1,"spot1068"
"spot1069",1,"spot1069"
"spot1070",1,"spot1070"
"spot1071",1,"spot1071"
"spot1072",1,"spot1072"
"spot1073",1,"spot1073"
"spot1074",1,"spot1074"
"spot1075",1,"spot1075"
"spot1076",1,"spot1076"
"spot1077",1,"spot1077"
"spot1078",1,"spot1078"
"spot1079",1,"spot1079"
"spot1080",1,"spot1080"
"spot1081",1,"spot1081"
"spot1082",1,"spot1082"
"spot1083",1,"spot1083"
"spot1084",1,"spot1084"
"spot1085",1,"spot1085"
"spot1086",1,"spot1086"
"spot1087",1,"spot1087"
"spot1088",1,"spot1088"
"spot1089",1,"spot1089"
"spot1090",1,"spot1090"
"spot1091",1,"spot1091"
"spot1092",1,"spot1092"
"spot1093",1,"spot1093"
"spot1094",1,"spot1094"
"spot1095",1,"spot1095"
"spot1096",1,"spot1096"
"spot1097",1,"spot1097"
"spot1098",1,"spot1098"
"spot1099",1,"spot1099"
"spot1100",1,"spot1100"
"spot1101",2,"spot1101"
"spot1102",2,"spot1102"
"spot1103",2,"spot1103"
"spot1104",2,"spot1104"
"spot1105",2,"spot1105"
"spot1106",2,"spot1106"
"spot1107",2,"spot1107"
"spot1108",2,"spot1108"
"spot1109",2,"spot1109"
"spot1110",2,"spot1110"
"spot1111",2,"spot1111"
"spot1112",2,"spot1112"
