"","cluster","spot"
"spot1",1,"spot1"
"spot2",1,"spot2"
"spot3",1,"spot3"
"spot4",1,"spot4"
"spot5",1,"spot5"
"spot6",1,"spot6"
"spot7",1,"spot7"
"spot8",1,"spot8"
"spot9",1,"spot9"
"spot10",1,"spot10"
"spot11",1,"spot11"
"spot12",1,"spot12"
"spot13",1,"spot13"
"spot14",1,"spot14"
"spot15",1,"spot15"
"spot16",1,"spot16"
"spot17",1,"spot17"
"spot18",1,"spot18"
"spot19",1,"spot19"
"spot20",1,"spot20"
"spot21",1,"spot21"
"spot22",1,"spot22"
"spot23",1,"spot23"
"spot24",1,"spot24"
"spot25",1,"spot25"
"spot26",1,"spot26"
"spot27",1,"spot27"
"spot28",1,"spot28"
"spot29",1,"spot29"
"spot30",1,"spot30"
"spot31",1,"spot31"
"spot32",1,"spot32"
"spot33",1,"spot33"
"spot34",1,"spot34"
"spot35",1,"spot35"
"spot36",1,"spot36"
"spot37",1,"spot37"
"spot38",1,"spot38"
"spot39",1,"spot39"
"spot40",1,"spot40"
"spot41",1,"spot41"
"spot42",1,"spot42"
"spot43",1,"spot43"
"spot44",1,"spot44"
"spot45",1,"spot45"
"spot46",1,"spot46"
"spot47",1,"spot47"
"spot48",1,"spot48"
"spot49",1,"spot49"
"spot50",1,"spot50"
"spot51",1,"spot51"
"spot52",1,"spot52"
"spot53",1,"spot53"
"spot54",1,"spot54"
"spot55",1,"spot55"
"spot56",1,"spot56"
"spot57",1,"spot57"
"spot58",1,"spot58"
"spot59",1,"spot59"
"spot60",1,"spot60"
"spot61",1,"spot61"
"spot62",1,"spot62"
"spot63",1,"spot63"
"spot64",1,"spot64"
"spot65",1,"spot65"
"spot66",1,"spot66"
"spot67",1,"spot67"
"spot68",1,"spot68"
"spot69",1,"spot69"
"spot70",1,"spot70"
"spot71",1,"spot71"
"spot72",1,"spot72"
"spot73",1,"spot73"
"spot74",1,"spot74"
"spot75",1,"spot75"
"spot76",1,"spot76"
"spot77",1,"spot77"
"spot78",1,"spot78"
"spot79",1,"spot79"
"spot80",1,"spot80"
"spot81",1,"spot81"
"spot82",1,"spot82"
"spot83",1,"spot83"
"spot84",1,"spot84"
"spot85",1,"spot85"
"spot86",1,"spot86"
"spot87",1,"spot87"
"spot88",1,"spot88"
"spot89",1,"spot89"
"spot90",1,"spot90"
"spot91",1,"spot91"
"spot92",1,"spot92"
"spot93",1,"spot93"
"spot94",1,"spot94"
"spot95",1,"spot95"
"spot96",1,"spot96"
"spot97",1,"spot97"
"spot98",1,"spot98"
"spot99",1,"spot99"
"spot100",1,"spot100"
"spot101",2,"spot101"
"spot102",2,"spot102"
"spot103",2,"spot103"
"spot104",2,"spot104"
"spot105",2,"spot105"
"spot106",2,"spot106"
"spot107",2,"spot107"
"spot108",2,"spot108"
"spot109",2,"spot109"
"spot110",2,"spot110"
"spot111",2,"spot111"
"spot112",2,"spot112"
"spot113",2,"spot113"
"spot114",2,"spot114"
"spot115",2,"spot115"
"spot116",2,"spot116"
"spot117",2,"spot117"
"spot118",2,"spot118"
"spot119",2,"spot119"
"spot120",2,"spot120"
"spot121",2,"spot121"
"spot122",2,"spot122"
"spot123",2,"spot123"
"spot124",2,"spot124"
"spot125",2,"spot125"
"spot126",2,"spot126"
"spot127",2,"spot127"
"spot128",2,"spot128"
"spot129",2,"spot129"
"spot130",2,"spot130"
"spot131",2,"spot131"
"spot132",2,"spot132"
"spot133",2,"spot133"
"spot134",2,"spot134"
"spot135",2,"spot135"
"spot136",2,"spot136"
"spot137",2,"spot137"
"spot138",2,"spot138"
"spot139",2,"spot139"
"spot140",2,"spot140"
"spot141",2,"spot141"
"spot142",2,"spot142"
"spot143",2,"spot143"
"spot144",2,"spot144"
"spot145",2,"spot145"
"spot146",2,"spot146"
"spot147",2,"spot147"
"spot148",2,"spot148"
"spot149",2,"spot149"
"spot150",2,"spot150"
"spot151",2,"spot151"
"spot152",2,"spot152"
"spot153",2,"spot153"
"spot154",2,"spot154"
"spot155",2,"spot155"
"spot156",2,"spot156"
"spot157",2,"spot157"
"spot158",2,"spot158"
"spot159",2,"spot159"
"spot160",2,"spot160"
"spot161",2,"spot161"
"spot162",2,"spot162"
"spot163",2,"spot163"
"spot164",2,"spot164"
"spot165",2,"spot165"
"spot166",2,"spot166"
"spot167",2,"spot167"
"spot168",2,"spot168"
"spot169",2,"spot169"
"spot170",2,"spot170"
"spot171",2,"spot171"
"spot172",2,"spot172"
"spot173",2,"spot173"
"spot174",2,"spot174"
"spot175",2,"spot175"
"spot176",2,"spot176"
"spot177",2,"spot177"
"spot178",2,"spot178"
"spot179",2,"spot179"
"spot180",2,"spot180"
"spot181",2,"spot181"
"spot182",2,"spot182"
"spot183",2,"spot183"
"spot184",2,"spot184"
"spot185",2,"spot185"
"spot186",2,"spot186"
"spot187",2,"spot187"
"spot188",2,"spot188"
"spot189",2,"spot189"
"spot190",2,"spot190"
"spot191",2,"spot191"
"spot192",2,"spot192"
"spot193",2,"spot193"
"spot194",2,"spot194"
"spot195",2,"spot195"
"spot196",2,"spot196"
"spot197",2,"spot197"
"spot198",2,"spot198"
"spot199",2,"spot199"
"spot200",2,"spot200"
"spot201",3,"spot201"
"spot202",3,"spot202"
"spot203",3,"spot203"
"spot204",3,"spot204"
"spot205",3,"spot205"
"spot206",3,"spot206"
"spot207",3,"spot207"
"spot208",3,"spot208"
"spot209",3,"spot209"
"spot210",3,"spot210"
"spot211",3,"spot211"
"spot212",3,"spot212"
"spot213",3,"spot213"
"spot214",3,"spot214"
"spot215",3,"spot215"
"spot216",3,"spot216"
"spot217",3,"spot217"
"spot218",3,"spot218"
"spot219",3,"spot219"
"spot220",3,"spot220"
"spot221",3,"spot221"
"spot222",3,"spot222"
"spot223",3,"spot223"
"spot224",3,"spot224"
"spot225",3,"spot225"
"spot226",3,"spot226"
"spot227",3,"spot227"
"spot228",3,"spot228"
"spot229",3,"spot229"
"spot230",3,"spot230"
"spot231",3,"spot231"
"spot232",3,"spot232"
"spot233",3,"spot233"
"spot234",3,"spot234"
"spot235",3,"spot235"
"spot236",3,"spot236"
"spot237",3,"spot237"
"spot238",3,"spot238"
"spot239",3,"spot239"
"spot240",3,"spot240"
"spot241",3,"spot241"
"spot242",3,"spot242"
"spot243",3,"spot243"
"spot244",3,"spot244"
"spot245",3,"spot245"
"spot246",3,"spot246"
"spot247",3,"spot247"
"spot248",3,"spot248"
"spot249",3,"spot249"
"spot250",3,"spot250"
"spot251",3,"spot251"
"spot252",3,"spot252"
"spot253",3,"spot253"
"spot254",3,"spot254"
"spot255",3,"spot255"
"spot256",3,"spot256"
"spot257",3,"spot257"
"spot258",3,"spot258"
"spot259",3,"spot259"
"spot260",3,"spot260"
"spot261",3,"spot261"
"spot262",3,"spot262"
"spot263",3,"spot263"
"spot264",3,"spot264"
"spot265",3,"spot265"
"spot266",3,"spot266"
"spot267",3,"spot267"
"spot268",3,"spot268"
"spot269",3,"spot269"
"spot270",3,"spot270"
"spot271",3,"spot271"
"spot272",3,"spot272"
"spot273",3,"spot273"
"spot274",3,"spot274"
"spot275",3,"spot275"
"spot276",3,"spot276"
"spot277",3,"spot277"
"spot278",3,"spot278"
"spot279",3,"spot279"
"spot280",3,"spot280"
"spot281",3,"spot281"
"spot282",3,"spot282"
"spot283",3,"spot283"
"spot284",3,"spot284"
"spot285",3,"spot285"
"spot286",3,"spot286"
"spot287",3,"spot287"
"spot288",3,"spot288"
"spot289",3,"spot289"
"spot290",3,"spot290"
"spot291",3,"spot291"
"spot292",3,"spot292"
"spot293",3,"spot293"
"spot294",3,"spot294"
"spot295",3,"spot295"
"spot296",3,"spot296"
"spot297",3,"spot297"
"spot298",3,"spot298"
"spot299",3,"spot299"
"spot300",3,"spot300"
"spot301",3,"spot301"
"spot302",3,"spot302"
"spot303",3,"spot303"
"spot304",3,"spot304"
"spot305",3,"spot305"
"spot306",3,"spot306"
"spot307",3,"spot307"
"spot308",3,"spot308"
"spot309",3,"spot309"
"spot310",3,"spot310"
"spot311",3,"spot311"
"spot312",3,"spot312"
"spot313",3,"spot313"
"spot314",3,"spot314"
"spot315",3,"spot315"
"spot316",3,"spot316"
"spot317",3,"spot317"
"spot318",3,"spot318"
"spot319",3,"spot319"
"spot320",3,"spot320"
"spot321",3,"spot321"
"spot322",3,"spot322"
"spot323",3,"spot323"
"spot324",3,"spot324"
"spot325",3,"spot325"
"spot326",3,"spot326"
"spot327",3,"spot327"
"spot328",3,"spot328"
"spot329",3,"spot329"
"spot330",3,"spot330"
"spot331",3,"spot331"
"spot332",3,"spot332"
"spot333",3,"spot333"
"spot334",3,"spot334"
"spot335",3,"spot335"
"spot336",3,"spot336"
"spot337",3,"spot337"
"spot338",3,"spot338"
"spot339",3,"spot339"
"spot340",3,"spot340"
"spot341",3,"spot341"
"spot342",3,"spot342"
"spot343",3,"spot343"
"spot344",3,"spot344"
"spot345",3,"spot345"
"spot346",3,"spot346"
"spot347",3,"spot347"
"spot348",3,"spot348"
"spot349",3,"spot349"
"spot350",3,"spot350"
"spot351",3,"spot351"
"spot352",3,"spot352"
"spot353",3,"spot353"
"spot354",3,"spot354"
"spot355",3,"spot355"
"spot356",3,"spot356"
"spot357",3,"spot357"
"spot358",3,"spot358"
"spot359",3,"spot359"
"spot360",3,"spot360"
"spot361",3,"spot361"
"spot362",3,"spot362"
"spot363",3,"spot363"
"spot364",3,"spot364"
"spot365",3,"spot365"
"spot366",3,"spot366"
"spot367",3,"spot367"
"spot368",3,"spot368"
"spot369",3,"spot369"
"spot370",3,"spot370"
"spot371",3,"spot371"
"spot372",3,"spot372"
"spot373",3,"spot373"
"spot374",3,"spot374"
"spot375",3,"spot375"
"spot376",3,"spot376"
"spot377",3,"spot377"
"spot378",3,"spot378"
"spot379",3,"spot379"
"spot380",3,"spot380"
"spot381",3,"spot381"
"spot382",3,"spot382"
"spot383",3,"spot383"
"spot384",3,"spot384"
"spot385",3,"spot385"
"spot386",3,"spot386"
"spot387",3,"spot387"
"spot388",3,"spot388"
"spot389",3,"spot389"
"spot390",3,"spot390"
"spot391",3,"spot391"
"spot392",3,"spot392"
"spot393",3,"spot393"
"spot394",3,"spot394"
"spot395",3,"spot395"
"spot396",3,"spot396"
"spot397",3,"spot397"
"spot398",3,"spot398"
"spot399",3,"spot399"
"spot400",3,"spot400"
"spot401",4,"spot401"
"spot402",4,"spot402"
"spot403",4,"spot403"
"spot404",4,"spot404"
"spot405",4,"spot405"
"spot406",4,"spot406"
"spot407",4,"spot407"
"spot408",4,"spot408"
"spot409",4,"spot409"
"spot410",4,"spot410"
"spot411",4,"spot411"
"spot412",4,"spot412"
"spot413",4,"spot413"
"spot414",4,"spot414"
"spot415",4,"spot415"
"spot416",4,"spot416"
"spot417",4,"spot417"
"spot418",4,"spot418"
"spot419",4,"spot419"
"spot420",4,"spot420"
"spot421",4,"spot421"
"spot422",4,"spot422"
"spot423",4,"spot423"
"spot424",4,"spot424"
"spot425",4,"spot425"
"spot426",4,"spot426"
"spot427",4,"spot427"
"spot428",4,"spot428"
"spot429",4,"spot429"
"spot430",4,"spot430"
"spot431",4,"spot431"
"spot432",4,"spot432"
"spot433",4,"spot433"
"spot434",4,"spot434"
"spot435",4,"spot435"
"spot436",4,"spot436"
"spot437",4,"spot437"
"spot438",4,"spot438"
"spot439",4,"spot439"
"spot440",4,"spot440"
"spot441",4,"spot441"
"spot442",4,"spot442"
