V1,sample,spot_name,cluster
1,A1,10x13_A1,6
2,A1,10x14_A1,6
3,A1,10x15_A1,1
4,A1,10x16_A1,1
5,A1,10x17_A1,1
6,A1,10x18_A1,1
7,A1,10x19_A1,1
8,A1,10x20_A1,1
9,A1,10x21_A1,1
10,A1,10x22_A1,1
11,A1,10x23_A1,1
12,A1,10x24_A1,1
13,A1,10x25_A1,1
14,A1,10x26_A1,1
15,A1,10x27_A1,4
16,A1,10x28_A1,4
17,A1,11x13_A1,6
18,A1,11x14_A1,6
19,A1,11x15_A1,1
20,A1,11x16_A1,1
21,A1,11x18_A1,1
22,A1,11x19_A1,1
23,A1,11x20_A1,1
24,A1,11x21_A1,1
25,A1,11x22_A1,1
26,A1,11x23_A1,1
27,A1,11x24_A1,1
28,A1,11x25_A1,1
29,A1,11x26_A1,1
30,A1,11x27_A1,4
31,A1,11x28_A1,4
32,A1,12x12_A1,6
33,A1,12x13_A1,6
34,A1,12x14_A1,1
35,A1,12x15_A1,1
36,A1,12x16_A1,1
37,A1,12x17_A1,1
38,A1,12x18_A1,1
39,A1,12x19_A1,1
40,A1,12x20_A1,1
41,A1,12x21_A1,1
42,A1,12x22_A1,1
43,A1,12x23_A1,1
44,A1,12x24_A1,1
45,A1,12x25_A1,1
46,A1,12x26_A1,1
47,A1,12x27_A1,4
48,A1,12x28_A1,1
49,A1,13x12_A1,6
50,A1,13x13_A1,1
51,A1,13x14_A1,1
52,A1,13x15_A1,1
53,A1,13x16_A1,1
54,A1,13x17_A1,1
55,A1,13x18_A1,1
56,A1,13x19_A1,1
57,A1,13x20_A1,1
58,A1,13x21_A1,1
59,A1,13x22_A1,1
60,A1,13x23_A1,1
61,A1,13x24_A1,1
62,A1,13x25_A1,1
63,A1,13x26_A1,1
64,A1,13x27_A1,1
65,A1,13x28_A1,1
66,A1,14x13_A1,1
67,A1,14x14_A1,1
68,A1,14x15_A1,1
69,A1,14x16_A1,1
70,A1,14x17_A1,1
71,A1,14x18_A1,1
72,A1,14x19_A1,1
73,A1,14x20_A1,1
74,A1,14x21_A1,1
75,A1,14x22_A1,1
76,A1,14x23_A1,1
77,A1,14x24_A1,1
78,A1,14x25_A1,1
79,A1,14x26_A1,1
80,A1,14x27_A1,1
81,A1,14x28_A1,1
82,A1,15x13_A1,1
83,A1,15x14_A1,1
84,A1,15x15_A1,1
85,A1,15x16_A1,1
86,A1,15x17_A1,1
87,A1,15x18_A1,1
88,A1,15x19_A1,1
89,A1,15x20_A1,1
90,A1,15x21_A1,1
91,A1,15x22_A1,1
92,A1,15x23_A1,1
93,A1,15x24_A1,1
94,A1,15x25_A1,1
95,A1,15x26_A1,1
96,A1,15x27_A1,1
97,A1,16x12_A1,1
98,A1,16x13_A1,1
99,A1,16x14_A1,1
100,A1,16x15_A1,1
101,A1,16x16_A1,1
102,A1,16x17_A1,1
103,A1,16x18_A1,1
104,A1,16x19_A1,1
105,A1,16x20_A1,1
106,A1,16x21_A1,1
