V1,sample,spot_name,cluster
1,H1,10x10_H1,2
2,H1,10x11_H1,2
3,H1,10x12_H1,2
4,H1,10x13_H1,2
5,H1,10x14_H1,2
6,H1,10x15_H1,5
7,H1,10x16_H1,3
8,H1,10x17_H1,3
9,H1,10x18_H1,3
10,H1,10x19_H1,5
11,H1,10x20_H1,1
12,H1,10x21_H1,1
13,H1,10x22_H1,1
14,H1,10x23_H1,1
15,H1,10x24_H1,3
16,H1,10x25_H1,3
17,H1,10x26_H1,3
18,H1,10x27_H1,6
19,H1,10x28_H1,3
20,H1,10x29_H1,5
21,H1,10x30_H1,3
22,H1,10x31_H1,5
23,H1,10x32_H1,1
24,H1,10x33_H1,1
25,H1,11x10_H1,2
26,H1,11x12_H1,2
27,H1,11x13_H1,2
28,H1,11x14_H1,2
29,H1,11x15_H1,5
30,H1,11x16_H1,5
31,H1,11x17_H1,5
32,H1,11x18_H1,5
33,H1,11x19_H1,5
34,H1,11x20_H1,4
35,H1,11x21_H1,4
36,H1,11x22_H1,1
37,H1,11x23_H1,1
38,H1,11x24_H1,1
39,H1,11x25_H1,3
40,H1,11x26_H1,3
41,H1,11x27_H1,2
42,H1,11x28_H1,1
43,H1,11x29_H1,3
44,H1,11x30_H1,3
45,H1,11x31_H1,3
46,H1,11x32_H1,1
47,H1,11x33_H1,1
48,H1,11x9_H1,2
49,H1,12x10_H1,2
50,H1,12x11_H1,2
51,H1,12x12_H1,2
52,H1,12x13_H1,2
53,H1,12x14_H1,2
54,H1,12x15_H1,1
55,H1,12x16_H1,4
56,H1,12x17_H1,3
57,H1,12x18_H1,3
58,H1,12x19_H1,3
59,H1,12x20_H1,5
60,H1,12x21_H1,5
61,H1,12x22_H1,4
62,H1,12x23_H1,1
63,H1,12x24_H1,1
64,H1,12x25_H1,1
65,H1,12x26_H1,3
66,H1,12x27_H1,3
67,H1,12x28_H1,1
68,H1,12x29_H1,3
69,H1,12x30_H1,3
70,H1,12x31_H1,5
71,H1,12x32_H1,1
72,H1,12x33_H1,1
73,H1,12x34_H1,1
74,H1,12x9_H1,2
75,H1,13x10_H1,2
76,H1,13x11_H1,2
77,H1,13x12_H1,2
78,H1,13x13_H1,2
79,H1,13x14_H1,2
80,H1,13x15_H1,2
81,H1,13x16_H1,4
82,H1,13x17_H1,5
83,H1,13x18_H1,5
84,H1,13x19_H1,5
85,H1,13x20_H1,5
86,H1,13x21_H1,5
87,H1,13x22_H1,5
88,H1,13x23_H1,4
89,H1,13x24_H1,1
90,H1,13x25_H1,1
91,H1,13x26_H1,1
92,H1,13x27_H1,3
93,H1,13x28_H1,1
94,H1,13x29_H1,1
95,H1,13x30_H1,3
96,H1,13x31_H1,1
97,H1,13x32_H1,1
98,H1,13x33_H1,1
99,H1,13x34_H1,1
100,H1,13x9_H1,2
101,H1,14x10_H1,2
102,H1,14x11_H1,2
103,H1,14x12_H1,2
104,H1,14x13_H1,2
105,H1,14x14_H1,2
106,H1,14x15_H1,2
107,H1,14x16_H1,2
108,H1,14x17_H1,4
109,H1,14x18_H1,3
110,H1,14x19_H1,3
111,H1,14x20_H1,4
112,H1,14x21_H1,4
113,H1,14x22_H1,5
114,H1,14x23_H1,4
115,H1,14x24_H1,4
116,H1,14x25_H1,4
117,H1,14x26_H1,1
118,H1,14x27_H1,3
119,H1,14x28_H1,3
120,H1,14x29_H1,3
121,H1,14x30_H1,3
122,H1,14x31_H1,5
123,H1,14x32_H1,5
124,H1,14x33_H1,5
125,H1,14x34_H1,1
126,H1,14x9_H1,2
127,H1,15x10_H1,2
128,H1,15x11_H1,7
129,H1,15x12_H1,2
130,H1,15x13_H1,2
131,H1,15x14_H1,2
132,H1,15x15_H1,2
133,H1,15x16_H1,2
134,H1,15x17_H1,4
135,H1,15x18_H1,3
136,H1,15x19_H1,3
137,H1,15x20_H1,4
138,H1,15x21_H1,4
139,H1,15x22_H1,4
140,H1,15x23_H1,1
141,H1,15x24_H1,4
142,H1,15x25_H1,4
143,H1,15x26_H1,4
144,H1,15x27_H1,3
145,H1,15x28_H1,3
146,H1,15x29_H1,3
147,H1,15x30_H1,3
148,H1,15x31_H1,3
149,H1,15x33_H1,3
150,H1,15x34_H1,4
151,H1,15x9_H1,2
152,H1,16x10_H1,7
153,H1,16x11_H1,7
154,H1,16x12_H1,2
155,H1,16x13_H1,7
156,H1,16x14_H1,2
157,H1,16x15_H1,2
158,H1,16x16_H1,2
159,H1,16x17_H1,2
160,H1,16x18_H1,5
161,H1,16x19_H1,4
162,H1,16x20_H1,4
163,H1,16x21_H1,4
164,H1,16x22_H1,4
165,H1,16x23_H1,4
166,H1,16x24_H1,4
167,H1,16x25_H1,4
168,H1,16x26_H1,4
169,H1,16x27_H1,4
170,H1,16x28_H1,3
171,H1,16x29_H1,5
172,H1,16x30_H1,3
173,H1,16x31_H1,3
174,H1,16x32_H1,3
175,H1,16x33_H1,3
176,H1,16x34_H1,4
177,H1,16x9_H1,7
178,H1,17x10_H1,7
179,H1,17x11_H1,7
180,H1,17x12_H1,7
181,H1,17x13_H1,2
182,H1,17x14_H1,2
183,H1,17x15_H1,2
184,H1,17x16_H1,2
185,H1,17x17_H1,2
186,H1,17x18_H1,2
187,H1,17x19_H1,2
188,H1,17x20_H1,2
189,H1,17x21_H1,4
190,H1,17x22_H1,1
191,H1,17x23_H1,1
192,H1,17x24_H1,4
193,H1,17x25_H1,4
194,H1,17x26_H1,4
195,H1,17x27_H1,4
196,H1,17x28_H1,4
197,H1,17x29_H1,4
198,H1,17x30_H1,3
199,H1,17x31_H1,3
200,H1,17x32_H1,5
201,H1,17x33_H1,5
202,H1,17x9_H1,7
203,H1,18x10_H1,2
204,H1,18x11_H1,7
205,H1,18x12_H1,7
206,H1,18x13_H1,2
207,H1,18x14_H1,2
208,H1,18x15_H1,2
209,H1,18x16_H1,2
210,H1,18x17_H1,2
211,H1,18x19_H1,4
212,H1,18x20_H1,4
213,H1,18x21_H1,1
214,H1,18x22_H1,1
215,H1,18x23_H1,6
216,H1,18x24_H1,6
217,H1,18x25_H1,1
218,H1,18x26_H1,4
219,H1,18x27_H1,4
220,H1,18x28_H1,4
221,H1,18x29_H1,6
222,H1,18x30_H1,5
223,H1,18x31_H1,4
224,H1,18x32_H1,4
225,H1,18x33_H1,4
226,H1,18x9_H1,2
227,H1,19x10_H1,2
228,H1,19x11_H1,7
229,H1,19x12_H1,2
230,H1,19x13_H1,2
231,H1,19x14_H1,2
232,H1,19x15_H1,2
233,H1,19x16_H1,2
234,H1,19x17_H1,2
235,H1,19x18_H1,2
236,H1,19x19_H1,4
237,H1,19x20_H1,4
238,H1,19x21_H1,1
239,H1,19x22_H1,1
240,H1,19x23_H1,1
241,H1,19x24_H1,2
242,H1,19x25_H1,2
243,H1,19x26_H1,1
244,H1,19x27_H1,4
245,H1,19x28_H1,6
246,H1,19x29_H1,2
247,H1,19x30_H1,6
248,H1,19x31_H1,1
249,H1,19x32_H1,2
250,H1,19x9_H1,2
251,H1,20x10_H1,2
252,H1,20x11_H1,2
253,H1,20x12_H1,2
254,H1,20x13_H1,2
255,H1,20x14_H1,2
256,H1,20x15_H1,7
257,H1,20x16_H1,2
258,H1,20x17_H1,2
259,H1,20x18_H1,1
260,H1,20x19_H1,4
261,H1,20x20_H1,6
