sample,spot_name,cluster
H1,10x10_H1,1
H1,10x11_H1,1
H1,10x12_H1,1
H1,10x13_H1,1
H1,10x14_H1,1
H1,10x15_H1,6
H1,10x16_H1,6
H1,10x17_H1,2
H1,10x18_H1,2
H1,10x19_H1,6
H1,10x20_H1,4
H1,10x21_H1,4
H1,10x22_H1,4
H1,10x23_H1,4
H1,10x24_H1,2
H1,10x25_H1,2
H1,10x26_H1,2
H1,10x27_H1,2
H1,10x28_H1,2
H1,10x29_H1,6
H1,10x30_H1,2
H1,10x31_H1,6
H1,10x32_H1,4
H1,10x33_H1,4
H1,11x10_H1,1
H1,11x12_H1,1
H1,11x13_H1,1
H1,11x14_H1,1
H1,11x15_H1,6
H1,11x16_H1,6
H1,11x17_H1,6
H1,11x18_H1,6
H1,11x19_H1,6
H1,11x20_H1,3
H1,11x21_H1,3
H1,11x22_H1,3
H1,11x23_H1,4
H1,11x24_H1,4
H1,11x25_H1,2
H1,11x26_H1,2
H1,11x27_H1,1
H1,11x28_H1,4
H1,11x29_H1,2
H1,11x30_H1,2
H1,11x31_H1,2
H1,11x32_H1,4
H1,11x33_H1,4
H1,11x9_H1,1
H1,12x10_H1,1
H1,12x11_H1,1
H1,12x12_H1,1
H1,12x13_H1,1
H1,12x14_H1,1
H1,12x15_H1,1
H1,12x16_H1,3
H1,12x17_H1,2
H1,12x18_H1,2
H1,12x19_H1,2
H1,12x20_H1,6
H1,12x21_H1,6
H1,12x22_H1,3
H1,12x23_H1,4
H1,12x24_H1,4
H1,12x25_H1,4
H1,12x26_H1,2
H1,12x27_H1,2
H1,12x28_H1,4
H1,12x29_H1,2
H1,12x30_H1,2
H1,12x31_H1,6
H1,12x32_H1,4
H1,12x33_H1,4
H1,12x34_H1,4
H1,12x9_H1,1
H1,13x10_H1,1
H1,13x11_H1,1
H1,13x12_H1,1
H1,13x13_H1,1
H1,13x14_H1,1
H1,13x15_H1,1
H1,13x16_H1,3
H1,13x17_H1,6
H1,13x18_H1,6
H1,13x19_H1,6
H1,13x20_H1,3
H1,13x21_H1,6
H1,13x22_H1,6
H1,13x23_H1,3
H1,13x24_H1,4
H1,13x25_H1,1
H1,13x26_H1,4
H1,13x27_H1,2
H1,13x28_H1,4
H1,13x29_H1,4
H1,13x30_H1,2
H1,13x31_H1,4
H1,13x32_H1,4
H1,13x33_H1,4
H1,13x34_H1,4
H1,13x9_H1,1
H1,14x10_H1,1
H1,14x11_H1,1
H1,14x12_H1,1
H1,14x13_H1,1
H1,14x14_H1,1
H1,14x15_H1,1
H1,14x16_H1,1
H1,14x17_H1,3
H1,14x18_H1,2
H1,14x19_H1,2
H1,14x20_H1,3
H1,14x21_H1,3
H1,14x22_H1,3
H1,14x23_H1,3
H1,14x24_H1,3
H1,14x25_H1,3
H1,14x26_H1,4
H1,14x27_H1,2
H1,14x28_H1,2
H1,14x29_H1,2
H1,14x30_H1,2
H1,14x31_H1,3
H1,14x32_H1,4
H1,14x33_H1,4
H1,14x34_H1,4
H1,14x9_H1,1
H1,15x10_H1,1
H1,15x11_H1,7
H1,15x12_H1,1
H1,15x13_H1,1
H1,15x14_H1,1
H1,15x15_H1,1
H1,15x16_H1,1
H1,15x17_H1,3
H1,15x18_H1,2
H1,15x19_H1,2
H1,15x20_H1,3
H1,15x21_H1,3
H1,15x22_H1,3
H1,15x23_H1,4
H1,15x24_H1,3
H1,15x25_H1,3
H1,15x26_H1,3
H1,15x27_H1,2
H1,15x28_H1,2
H1,15x29_H1,2
H1,15x30_H1,2
H1,15x31_H1,2
H1,15x33_H1,2
H1,15x34_H1,3
H1,15x9_H1,1
H1,16x10_H1,7
H1,16x11_H1,7
H1,16x12_H1,1
H1,16x13_H1,7
H1,16x14_H1,1
H1,16x15_H1,1
H1,16x16_H1,1
H1,16x17_H1,1
H1,16x18_H1,6
H1,16x19_H1,3
H1,16x20_H1,3
H1,16x21_H1,3
