sample,spot_name,cluster
A1,10x13_A1,0
A1,10x14_B1,0
A1,10x15_C1,0
A1,10x16_D1,0
A1,10x17_E1,3
A1,10x18_F1,3
A1,10x19_G2,3
A1,10x20_H1,3
A1,10x21_A1,3
A1,10x22_B1,3
A1,10x23_C1,3
A1,10x24_D1,3
A1,10x25_E1,3
A1,10x26_F1,3
A1,10x27_G2,1
A1,10x28_H1,1
A1,11x13_A1,0
A1,11x14_B1,0
A1,11x15_C1,0
A1,11x16_D1,0
A1,11x18_E1,3
A1,11x19_F1,3
A1,11x20_G2,3
A1,11x21_H1,3
A1,11x22_A1,3
A1,11x23_B1,3
A1,11x24_C1,3
A1,11x25_D1,3
A1,11x26_E1,3
A1,11x27_F1,1
A1,11x28_G2,1
A1,12x12_H1,0
A1,12x13_A1,0
A1,12x14_B1,0
A1,12x15_C1,0
A1,12x16_D1,3
A1,12x17_E1,3
A1,12x18_F1,3
A1,12x19_G2,3
A1,12x20_H1,3
A1,12x21_A1,3
A1,12x22_B1,3
A1,12x23_C1,3
A1,12x24_D1,3
A1,12x25_E1,3
A1,12x26_F1,3
A1,12x27_G2,3
A1,12x28_H1,1
A1,13x12_A1,0
A1,13x13_B1,0
A1,13x14_C1,0
A1,13x15_D1,3
A1,13x16_E1,3
A1,13x17_F1,3
A1,13x18_G2,3
A1,13x19_H1,3
A1,13x20_A1,3
A1,13x21_B1,3
A1,13x22_C1,3
A1,13x23_D1,3
A1,13x24_E1,3
A1,13x25_F1,3
A1,13x26_G2,3
A1,13x27_H1,3
A1,13x28_A1,3
A1,14x13_B1,0
A1,14x14_C1,0
A1,14x15_D1,0
A1,14x16_E1,3
A1,14x17_F1,3
A1,14x18_G2,3
A1,14x19_H1,3
A1,14x20_A1,3
A1,14x21_B1,3
A1,14x22_C1,3
A1,14x23_D1,3
A1,14x24_E1,3
A1,14x25_F1,3
A1,14x26_G2,3
A1,14x27_H1,3
A1,14x28_A1,3
A1,15x13_B1,0
A1,15x14_C1,0
A1,15x15_D1,0
A1,15x16_E1,3
A1,15x17_F1,3
A1,15x18_G2,3
A1,15x19_H1,3
A1,15x20_A1,3
A1,15x21_B1,3
A1,15x22_C1,3
A1,15x23_D1,3
A1,15x24_E1,3
A1,15x25_F1,3
A1,15x26_G2,3
A1,15x27_H1,3
A1,16x12_A1,0
A1,16x13_B1,0
A1,16x14_C1,0
A1,16x15_D1,0
A1,16x16_E1,3
A1,16x17_F1,3
A1,16x18_G2,3
A1,16x19_H1,3
A1,16x20_A1,3
A1,16x21_B1,3
A1,16x22_C1,3
A1,16x23_D1,3
A1,16x24_E1,3
A1,16x25_F1,3
A1,16x26_G2,3
A1,16x27_H1,3
A1,17x13_A1,0
A1,17x15_B1,0
A1,17x16_C1,3
A1,17x17_D1,3
A1,17x18_E1,3
A1,17x19_F1,3
A1,17x20_G2,3
A1,17x21_H1,3
A1,17x22_A1,3
A1,17x23_B1,3
A1,17x24_C1,3
A1,17x25_D1,3
A1,17x26_E1,3
A1,17x27_F1,3
A1,18x13_G2,0
A1,18x14_H1,0
A1,18x15_A1,0
A1,18x16_B1,0
A1,18x17_C1,3
A1,18x18_D1,3
A1,18x19_E1,3
A1,18x21_F1,3
A1,18x22_G2,3
A1,18x23_H1,3
A1,18x24_A1,3
A1,18x25_B1,3
A1,18x26_C1,3
A1,18x27_D1,3
A1,19x12_E1,0
A1,19x13_F1,0
A1,19x14_G2,0
A1,19x15_H1,0
A1,19x16_A1,0
A1,19x17_B1,0
A1,19x18_C1,3
A1,19x19_D1,3
A1,19x20_E1,3
A1,19x21_F1,3
A1,19x22_G2,3
A1,19x23_H1,3
A1,19x24_A1,3
A1,19x25_B1,3
A1,19x26_C1,3
A1,19x27_D1,3
A1,20x12_E1,0
A1,20x13_F1,0
A1,20x14_G2,0
A1,20x15_H1,0
A1,20x16_A1,0
A1,20x17_B1,0
A1,20x18_C1,0
A1,20x19_D1,0
A1,20x20_E1,0
A1,20x21_F1,0
A1,20x22_G2,3
A1,20x23_H1,3
A1,20x24_A1,3
A1,20x25_B1,3
A1,20x26_C1,0
A1,20x27_D1,0
A1,21x12_E1,0
A1,21x13_F1,0
A1,21x14_G2,0
A1,21x15_H1,0
A1,21x16_A1,0
A1,21x17_B1,0
A1,21x18_C1,0
A1,21x19_D1,0
A1,21x20_E1,0
A1,21x21_F1,0
A1,21x22_G2,0
A1,21x23_H1,0
A1,21x24_A1,0
A1,21x25_B1,0
A1,21x26_C1,0
A1,21x27_D1,0
A1,22x12_E1,5
A1,22x13_F1,0
A1,22x14_G2,0
A1,22x15_H1,0
A1,22x16_A1,0
A1,22x17_B1,0
A1,22x18_C1,0
A1,22x19_D1,0
A1,22x20_E1,0
A1,22x21_F1,0
A1,22x22_G2,0
A1,22x23_H1,0
A1,22x24_A1,0
A1,22x25_B1,0
A1,22x26_C1,0
A1,22x27_D1,0
A1,23x12_E1,5
A1,23x13_F1,5
A1,23x14_G2,5
A1,23x15_H1,0
A1,23x16_A1,0
A1,23x17_B1,0
A1,23x18_C1,0
A1,23x19_D1,0
A1,23x20_E1,0
A1,23x21_F1,0
A1,23x22_G2,0
A1,23x23_H1,0
A1,23x24_A1,0
A1,23x25_B1,0
A1,23x26_C1,0
A1,24x13_D1,5
A1,24x14_E1,5
A1,24x15_F1,5
A1,24x16_G2,0
A1,24x17_H1,0
A1,24x18_A1,0
A1,24x19_B1,0
A1,24x20_C1,0
A1,24x21_D1,0
A1,24x22_E1,0
A1,24x23_F1,0
A1,24x24_G2,0
A1,24x25_H1,0
A1,24x26_A1,0
A1,24x27_B1,0
A1,25x12_C1,5
A1,25x13_D1,5
A1,25x14_E1,5
A1,25x15_F1,5
A1,25x16_G2,5
A1,25x17_H1,5
A1,25x18_A1,5
A1,25x19_B1,5
A1,25x20_C1,5
A1,25x21_D1,5
A1,25x22_E1,5
A1,25x23_F1,0
A1,25x24_G2,0
A1,25x25_H1,5
A1,25x26_A1,5
A1,26x12_B1,5
A1,26x13_C1,5
A1,26x14_D1,5
A1,26x15_E1,5
A1,26x16_F1,5
A1,26x17_G2,5
A1,26x18_H1,5
A1,26x19_A1,5
A1,3x14_B1,5
A1,3x17_C1,2
A1,3x18_D1,2
A1,3x19_E1,2
A1,3x20_F1,2
A1,3x21_G2,2
A1,4x14_H1,5
A1,4x15_A1,5
A1,4x16_B1,2
A1,4x17_C1,2
A1,4x18_D1,2
A1,4x19_E1,2
A1,4x20_F1,2
A1,4x21_G2,2
A1,4x22_H1,2
A1,4x23_A1,2
A1,4x24_B1,2
A1,5x14_C1,5
A1,5x15_D1,5
A1,5x16_E1,2
A1,5x17_F1,2
A1,5x18_G2,2
A1,5x19_H1,2
A1,5x20_A1,2
A1,5x21_B1,2
A1,5x22_C1,2
A1,5x23_D1,4
A1,5x24_E1,2
A1,5x25_F1,1
A1,5x27_G2,1
A1,5x28_H1,1
A1,6x14_A1,5
A1,6x15_B1,5
A1,6x16_C1,5
A1,6x17_D1,2
A1,6x18_E1,2
A1,6x19_F1,2
A1,6x20_G2,2
A1,6x21_H1,2
A1,6x22_A1,2
A1,6x23_B1,2
A1,6x24_C1,2
A1,6x25_D1,1
A1,6x28_E1,1
A1,7x14_F1,5
A1,7x15_G2,5
A1,7x16_H1,0
A1,7x17_A1,0
A1,7x18_B1,0
A1,7x19_C1,0
A1,7x20_D1,1
A1,7x21_E1,1
A1,7x22_F1,1
A1,7x23_G2,1
A1,7x24_H1,1
A1,7x25_A1,1
A1,7x26_B1,1
A1,7x27_C1,1
A1,7x28_D1,1
A1,8x14_E1,5
A1,8x15_F1,0
A1,8x16_G2,0
A1,8x17_H1,3
A1,8x18_A1,3
A1,8x19_B1,3
A1,8x20_C1,3
A1,8x21_D1,3
A1,8x22_E1,3
A1,8x23_F1,3
A1,8x24_G2,3
