,sample,spot_name,cluster
1,H1,10x10,1
2,H1,10x11,1
3,H1,10x12,1
4,H1,10x13,1
5,H1,10x14,1
6,H1,10x15,0
7,H1,10x16,2
8,H1,10x17,3
9,H1,10x18,3
10,H1,10x19,2
11,H1,10x20,0
12,H1,10x21,0
13,H1,10x22,0
14,H1,10x23,0
15,H1,10x24,2
16,H1,10x25,3
17,H1,10x26,2
18,H1,10x27,0
19,H1,10x28,2
20,H1,10x29,0
21,H1,10x30,2
22,H1,10x31,2
23,H1,10x32,0
24,H1,10x33,0
25,H1,11x10,1
26,H1,11x12,1
27,H1,11x13,1
28,H1,11x14,1
29,H1,11x15,0
30,H1,11x16,0
31,H1,11x17,3
32,H1,11x18,3
33,H1,11x19,3
34,H1,11x20,2
35,H1,11x21,0
36,H1,11x22,0
37,H1,11x23,0
38,H1,11x24,0
39,H1,11x25,2
40,H1,11x26,2
41,H1,11x27,2
42,H1,11x28,0
43,H1,11x29,2
44,H1,11x30,2
45,H1,11x31,2
46,H1,11x32,0
47,H1,11x33,0
48,H1,11x9,1
49,H1,12x10,1
50,H1,12x11,1
51,H1,12x12,1
52,H1,12x13,1
53,H1,12x14,1
54,H1,12x15,1
55,H1,12x16,0
56,H1,12x17,2
57,H1,12x18,3
58,H1,12x19,3
59,H1,12x20,2
60,H1,12x21,2
61,H1,12x22,3
62,H1,12x23,0
63,H1,12x24,0
64,H1,12x25,1
65,H1,12x26,2
66,H1,12x27,2
67,H1,12x28,2
68,H1,12x29,0
69,H1,12x30,2
70,H1,12x31,2
71,H1,12x32,0
72,H1,12x33,0
73,H1,12x34,0
74,H1,12x9,1
75,H1,13x10,1
76,H1,13x11,1
77,H1,13x12,1
78,H1,13x13,1
79,H1,13x14,1
80,H1,13x15,1
81,H1,13x16,0
82,H1,13x17,2
83,H1,13x18,3
84,H1,13x19,2
85,H1,13x20,2
86,H1,13x21,2
87,H1,13x22,2
88,H1,13x23,0
89,H1,13x24,1
90,H1,13x25,0
91,H1,13x26,2
92,H1,13x27,2
93,H1,13x28,0
94,H1,13x29,0
95,H1,13x30,2
96,H1,13x31,2
97,H1,13x32,0
98,H1,13x33,0
99,H1,13x34,0
100,H1,13x9,1
101,H1,14x10,1
102,H1,14x11,1
103,H1,14x12,1
104,H1,14x13,1
105,H1,14x14,1
106,H1,14x15,1
107,H1,14x16,1
108,H1,14x17,2
109,H1,14x18,3
110,H1,14x19,3
111,H1,14x20,2
112,H1,14x21,3
113,H1,14x22,2
114,H1,14x23,0
115,H1,14x24,1
116,H1,14x25,0
117,H1,14x26,0
118,H1,14x27,2
119,H1,14x28,2
120,H1,14x29,0
121,H1,14x30,2
122,H1,14x31,0
123,H1,14x32,0
124,H1,14x33,0
125,H1,14x34,0
126,H1,14x9,1
127,H1,15x10,4
128,H1,15x11,4
129,H1,15x12,4
130,H1,15x13,1
131,H1,15x14,1
132,H1,15x15,1
133,H1,15x16,1
134,H1,15x17,0
135,H1,15x18,3
136,H1,15x19,3
137,H1,15x20,2
138,H1,15x21,2
139,H1,15x22,2
140,H1,15x23,0
141,H1,15x24,0
142,H1,15x25,0
143,H1,15x26,0
144,H1,15x27,2
145,H1,15x28,2
146,H1,15x29,2
147,H1,15x30,2
148,H1,15x31,2
149,H1,15x33,2
150,H1,15x34,2
151,H1,15x9,1
152,H1,16x10,5
153,H1,16x11,4
154,H1,16x12,4
155,H1,16x13,4
156,H1,16x14,1
157,H1,16x15,1
158,H1,16x16,1
159,H1,16x17,1
160,H1,16x18,2
161,H1,16x19,2
162,H1,16x20,0
163,H1,16x21,0
164,H1,16x22,0
165,H1,16x23,1
166,H1,16x24,0
167,H1,16x25,0
168,H1,16x26,0
169,H1,16x27,0
170,H1,16x28,2
171,H1,16x29,2
172,H1,16x30,2
173,H1,16x31,2
174,H1,16x32,2
175,H1,16x33,2
176,H1,16x34,0
177,H1,16x9,5
178,H1,17x10,4
179,H1,17x11,5
180,H1,17x12,5
181,H1,17x13,4
182,H1,17x14,1
183,H1,17x15,1
184,H1,17x16,1
185,H1,17x17,1
186,H1,17x18,0
187,H1,17x19,1
188,H1,17x20,1
189,H1,17x21,0
190,H1,17x22,0
191,H1,17x23,1
192,H1,17x24,0
193,H1,17x25,0
194,H1,17x26,0
195,H1,17x27,0
196,H1,17x28,0
197,H1,17x29,0
198,H1,17x30,2
199,H1,17x31,2
200,H1,17x32,2
201,H1,17x33,2
202,H1,17x9,5
203,H1,18x10,1
204,H1,18x11,1
205,H1,18x12,4
206,H1,18x13,4
207,H1,18x14,1
208,H1,18x15,1
209,H1,18x16,1
210,H1,18x17,1
211,H1,18x19,1
212,H1,18x20,0
213,H1,18x21,0
214,H1,18x22,0
215,H1,18x23,1
216,H1,18x24,1
217,H1,18x25,1
218,H1,18x26,0
219,H1,18x27,0
220,H1,18x28,0
221,H1,18x29,0
222,H1,18x30,0
223,H1,18x31,0
224,H1,18x32,0
225,H1,18x33,4
226,H1,18x9,1
227,H1,19x10,1
228,H1,19x11,4
229,H1,19x12,1
230,H1,19x13,1
231,H1,19x14,1
232,H1,19x15,1
233,H1,19x16,1
234,H1,19x17,1
235,H1,19x18,1
236,H1,19x19,0
237,H1,19x20,0
238,H1,19x21,1
239,H1,19x22,1
240,H1,19x23,1
241,H1,19x24,1
242,H1,19x25,1
243,H1,19x26,0
244,H1,19x27,0
245,H1,19x28,0
246,H1,19x29,0
247,H1,19x30,1
248,H1,19x31,6
249,H1,19x32,1
250,H1,19x9,1
251,H1,20x10,1
252,H1,20x11,1
253,H1,20x12,1
254,H1,20x13,1
255,H1,20x14,1
256,H1,20x15,4
257,H1,20x16,1
258,H1,20x17,1
259,H1,20x18,1
260,H1,20x19,0
261,H1,20x20,1
262,H1,20x21,1
263,H1,20x22,1
264,H1,20x23,1
265,H1,20x24,1
266,H1,20x25,1
267,H1,20x26,1
268,H1,20x27,1
269,H1,20x28,1
270,H1,20x29,6
271,H1,20x30,6
272,H1,20x31,6
273,H1,20x32,6
274,H1,20x9,1
275,H1,21x10,1
276,H1,21x11,1
277,H1,21x12,1
278,H1,21x13,1
279,H1,21x14,4
280,H1,21x15,4
281,H1,21x16,4
282,H1,21x17,1
283,H1,21x18,1
284,H1,21x19,0
285,H1,21x20,0
286,H1,21x21,1
287,H1,21x22,0
288,H1,21x23,1
289,H1,21x24,1
290,H1,21x25,1
291,H1,21x26,1
292,H1,21x27,1
293,H1,21x28,6
294,H1,21x29,6
295,H1,21x30,6
296,H1,21x31,6
297,H1,21x9,1
298,H1,22x10,1
299,H1,22x11,1
300,H1,22x12,1
301,H1,22x13,1
302,H1,22x14,1
303,H1,22x15,1
304,H1,22x16,5
305,H1,22x17,4
306,H1,22x18,1
307,H1,22x19,0
308,H1,22x20,1
309,H1,22x21,1
310,H1,22x22,1
311,H1,22x23,1
312,H1,22x24,1
313,H1,22x25,6
314,H1,22x26,6
315,H1,22x27,6
316,H1,22x28,6
317,H1,22x29,6
318,H1,22x30,6
319,H1,22x31,6
320,H1,22x9,1
321,H1,23x10,1
322,H1,23x11,1
323,H1,23x12,1
324,H1,23x13,1
325,H1,23x14,1
326,H1,23x15,4
327,H1,23x16,5
328,H1,23x17,4
329,H1,23x18,1
330,H1,23x19,1
331,H1,23x20,1
332,H1,23x21,1
333,H1,23x22,1
334,H1,23x23,1
335,H1,23x24,6
336,H1,23x25,6
337,H1,23x26,6
338,H1,23x27,6
339,H1,23x28,6
340,H1,23x29,6
341,H1,23x30,6
342,H1,23x31,6
343,H1,23x9,1
344,H1,24x10,1
345,H1,24x11,1
346,H1,24x12,1
347,H1,24x13,1
348,H1,24x14,1
349,H1,24x15,1
350,H1,24x16,4
351,H1,24x17,4
352,H1,24x18,1
353,H1,24x19,1
354,H1,24x20,1
355,H1,24x21,1
356,H1,24x23,1
357,H1,24x24,6
358,H1,24x25,6
359,H1,24x26,6
360,H1,24x27,6
361,H1,24x28,6
362,H1,24x29,6
363,H1,24x30,6
364,H1,24x9,1
365,H1,25x10,1
366,H1,25x11,1
367,H1,25x12,1
368,H1,25x13,1
369,H1,25x14,1
370,H1,25x15,1
371,H1,25x16,1
372,H1,25x17,1
373,H1,25x18,1
374,H1,25x19,1
375,H1,25x20,1
376,H1,25x21,1
377,H1,25x22,1
378,H1,25x23,1
379,H1,25x24,6
380,H1,25x25,6
381,H1,25x26,6
382,H1,25x27,6
383,H1,25x28,6
384,H1,25x29,6
385,H1,25x30,6
386,H1,25x9,1
387,H1,26x10,1
388,H1,26x11,1
389,H1,26x12,1
390,H1,26x13,4
391,H1,26x14,4
392,H1,26x15,1
393,H1,26x16,1
394,H1,26x17,1
395,H1,26x18,1
396,H1,26x19,1
397,H1,26x20,1
398,H1,26x21,1
399,H1,26x22,1
400,H1,26x23,1
401,H1,26x24,1
402,H1,26x25,6
403,H1,26x26,6
404,H1,26x27,6
405,H1,26x28,6
406,H1,27x10,1
407,H1,27x11,1
408,H1,27x12,1
409,H1,27x13,1
410,H1,27x14,1
411,H1,27x15,1
412,H1,27x16,1
413,H1,27x17,1
414,H1,27x18,1
415,H1,27x19,4
416,H1,27x20,4
417,H1,27x21,5
418,H1,27x22,4
419,H1,27x23,1
420,H1,27x24,1
421,H1,27x25,6
422,H1,27x26,1
423,H1,27x27,6
424,H1,27x28,6
425,H1,28x10,1
426,H1,28x11,1
427,H1,28x12,1
428,H1,28x13,1
429,H1,28x14,1
430,H1,28x15,1
431,H1,28x16,1
432,H1,28x17,1
433,H1,28x18,1
434,H1,28x19,4
435,H1,28x20,4
436,H1,28x21,5
437,H1,28x22,5
438,H1,28x23,4
439,H1,28x24,1
440,H1,28x25,6
441,H1,28x26,6
442,H1,29x10,1
443,H1,29x11,1
444,H1,29x12,1
445,H1,29x13,1
446,H1,29x14,1
447,H1,29x15,1
448,H1,29x16,5
449,H1,29x17,4
450,H1,29x18,4
451,H1,29x19,5
452,H1,29x20,5
453,H1,29x21,5
454,H1,29x22,5
455,H1,29x23,4
456,H1,29x24,1
457,H1,30x11,1
458,H1,30x12,1
459,H1,30x13,1
460,H1,30x14,1
461,H1,30x15,1
462,H1,30x16,1
463,H1,30x17,1
464,H1,30x18,5
465,H1,30x19,5
466,H1,30x20,5
467,H1,30x21,5
468,H1,30x23,5
469,H1,31x10,1
470,H1,31x11,1
471,H1,31x12,1
472,H1,31x13,1
473,H1,31x14,1
474,H1,31x15,1
475,H1,31x16,1
476,H1,31x17,2
477,H1,32x11,1
478,H1,32x12,1
479,H1,3x25,1
480,H1,3x26,0
481,H1,3x27,2
482,H1,3x28,2
483,H1,3x29,0
484,H1,3x30,0
485,H1,3x31,0
486,H1,3x32,0
487,H1,4x20,3
488,H1,4x21,2
489,H1,4x22,2
490,H1,4x23,0
491,H1,4x24,1
492,H1,4x25,0
493,H1,4x26,2
494,H1,4x27,2
495,H1,4x28,2
496,H1,4x29,2
497,H1,4x30,0
498,H1,4x31,0
499,H1,4x32,0
500,H1,5x14,1
501,H1,5x16,1
502,H1,5x17,1
503,H1,5x18,1
504,H1,5x19,1
505,H1,5x20,3
506,H1,5x21,2
507,H1,5x22,2
508,H1,5x23,0
509,H1,5x24,0
510,H1,5x25,0
511,H1,5x26,0
512,H1,5x27,2
513,H1,5x28,0
514,H1,5x29,0
515,H1,5x30,0
516,H1,5x31,0
517,H1,5x32,0
518,H1,6x10,5
519,H1,6x11,4
520,H1,6x12,1
521,H1,6x13,1
522,H1,6x14,1
523,H1,6x15,1
524,H1,6x16,1
525,H1,6x17,1
526,H1,6x18,1
527,H1,6x19,1
528,H1,6x20,0
529,H1,6x21,2
530,H1,6x22,0
531,H1,6x23,0
532,H1,6x24,0
533,H1,6x25,0
534,H1,6x26,0
535,H1,6x27,2
536,H1,6x28,0
537,H1,6x29,0
538,H1,6x30,0
539,H1,6x31,0
540,H1,6x32,0
541,H1,6x33,1
542,H1,7x10,4
543,H1,7x11,4
544,H1,7x12,1
545,H1,7x13,1
546,H1,7x14,1
547,H1,7x15,1
548,H1,7x16,0
549,H1,7x17,1
550,H1,7x18,0
551,H1,7x19,1
552,H1,7x20,0
553,H1,7x21,0
554,H1,7x22,0
555,H1,7x23,0
556,H1,7x24,2
557,H1,7x25,2
558,H1,7x26,2
559,H1,7x27,0
560,H1,7x28,0
561,H1,7x29,2
562,H1,7x30,2
563,H1,7x31,2
564,H1,7x32,0
565,H1,7x33,1
566,H1,8x10,1
567,H1,8x11,1
568,H1,8x12,1
569,H1,8x13,1
570,H1,8x14,1
571,H1,8x15,0
572,H1,8x16,0
573,H1,8x17,0
574,H1,8x18,0
575,H1,8x19,0
576,H1,8x20,0
577,H1,8x21,0
578,H1,8x22,2
579,H1,8x23,0
580,H1,8x24,2
581,H1,8x25,2
582,H1,8x26,2
583,H1,8x27,2
584,H1,8x28,0
585,H1,8x29,0
586,H1,8x30,2
587,H1,8x31,2
588,H1,8x32,2
589,H1,8x33,0
590,H1,9x10,1
591,H1,9x11,1
592,H1,9x12,1
593,H1,9x13,1
594,H1,9x14,1
595,H1,9x15,0
596,H1,9x16,0
597,H1,9x17,2
598,H1,9x18,2
599,H1,9x19,0
600,H1,9x20,0
601,H1,9x21,0
602,H1,9x22,2
603,H1,9x23,2
604,H1,9x24,2
605,H1,9x25,3
606,H1,9x26,1
607,H1,9x27,0
608,H1,9x28,2
609,H1,9x29,0
610,H1,9x30,2
