,sample,spot_name,cluster
1,H1,10x10,0
2,H1,10x11,0
3,H1,10x12,0
4,H1,10x13,0
5,H1,10x14,0
6,H1,10x15,1
7,H1,10x16,4
8,H1,10x17,3
9,H1,10x18,3
10,H1,10x19,2
11,H1,10x20,1
12,H1,10x21,1
13,H1,10x22,1
14,H1,10x23,1
15,H1,10x24,4
16,H1,10x25,4
17,H1,10x26,4
18,H1,10x27,1
19,H1,10x28,4
20,H1,10x29,1
21,H1,10x30,4
22,H1,10x31,1
23,H1,10x32,1
24,H1,10x33,1
25,H1,11x10,0
26,H1,11x12,0
27,H1,11x13,0
28,H1,11x14,0
29,H1,11x15,1
30,H1,11x16,1
31,H1,11x17,3
32,H1,11x18,3
33,H1,11x19,3
34,H1,11x20,2
35,H1,11x21,2
36,H1,11x22,2
37,H1,11x23,1
38,H1,11x24,1
39,H1,11x25,4
40,H1,11x26,4
41,H1,11x27,4
42,H1,11x28,1
43,H1,11x29,4
44,H1,11x30,4
45,H1,11x31,4
46,H1,11x32,1
47,H1,11x33,1
48,H1,11x9,0
49,H1,12x10,0
50,H1,12x11,0
51,H1,12x12,0
52,H1,12x13,0
53,H1,12x14,0
54,H1,12x15,0
55,H1,12x16,1
56,H1,12x17,4
57,H1,12x18,3
58,H1,12x19,3
59,H1,12x20,3
60,H1,12x21,2
61,H1,12x22,2
62,H1,12x23,1
63,H1,12x24,1
64,H1,12x25,0
65,H1,12x26,4
66,H1,12x27,4
67,H1,12x28,4
68,H1,12x29,0
69,H1,12x30,4
70,H1,12x31,4
71,H1,12x32,1
72,H1,12x33,1
73,H1,12x34,1
74,H1,12x9,0
75,H1,13x10,0
76,H1,13x11,0
77,H1,13x12,0
78,H1,13x13,0
79,H1,13x14,0
80,H1,13x15,0
81,H1,13x16,1
82,H1,13x17,2
83,H1,13x18,3
84,H1,13x19,3
85,H1,13x20,2
86,H1,13x21,2
87,H1,13x22,3
88,H1,13x23,1
89,H1,13x24,0
90,H1,13x25,0
91,H1,13x26,4
92,H1,13x27,4
93,H1,13x28,1
94,H1,13x29,1
95,H1,13x30,3
96,H1,13x31,4
97,H1,13x32,1
98,H1,13x33,1
99,H1,13x34,1
100,H1,13x9,0
101,H1,14x10,0
102,H1,14x11,0
103,H1,14x12,0
104,H1,14x13,0
105,H1,14x14,0
106,H1,14x15,0
107,H1,14x16,1
108,H1,14x17,2
109,H1,14x18,3
110,H1,14x19,4
111,H1,14x20,3
112,H1,14x21,2
113,H1,14x22,2
114,H1,14x23,2
115,H1,14x24,1
116,H1,14x25,1
117,H1,14x26,1
118,H1,14x27,4
119,H1,14x28,4
120,H1,14x29,1
121,H1,14x30,4
122,H1,14x31,4
123,H1,14x32,1
124,H1,14x33,1
125,H1,14x34,1
126,H1,14x9,0
127,H1,15x10,0
128,H1,15x11,0
129,H1,15x12,5
130,H1,15x13,0
131,H1,15x14,0
132,H1,15x15,0
133,H1,15x16,0
134,H1,15x17,2
135,H1,15x18,3
136,H1,15x19,3
137,H1,15x20,3
138,H1,15x21,2
139,H1,15x22,2
140,H1,15x23,1
141,H1,15x24,1
142,H1,15x25,2
143,H1,15x26,2
144,H1,15x27,4
145,H1,15x28,4
146,H1,15x29,4
147,H1,15x30,4
148,H1,15x31,4
149,H1,15x33,4
150,H1,15x34,2
151,H1,15x9,0
152,H1,16x10,5
153,H1,16x11,5
154,H1,16x12,5
155,H1,16x13,0
156,H1,16x14,0
157,H1,16x15,0
158,H1,16x16,0
159,H1,16x17,0
160,H1,16x18,2
161,H1,16x19,3
162,H1,16x20,2
163,H1,16x21,2
164,H1,16x22,1
165,H1,16x23,0
166,H1,16x24,2
167,H1,16x25,2
168,H1,16x26,2
169,H1,16x27,2
170,H1,16x28,3
171,H1,16x29,4
172,H1,16x30,4
173,H1,16x31,1
174,H1,16x32,4
175,H1,16x33,3
176,H1,16x34,4
177,H1,16x9,5
178,H1,17x10,5
179,H1,17x11,5
180,H1,17x12,5
181,H1,17x13,0
182,H1,17x14,0
183,H1,17x15,0
184,H1,17x16,0
185,H1,17x17,0
186,H1,17x18,1
187,H1,17x19,0
188,H1,17x20,1
189,H1,17x21,1
190,H1,17x22,1
191,H1,17x23,0
192,H1,17x24,1
193,H1,17x25,2
194,H1,17x26,2
195,H1,17x27,2
196,H1,17x28,2
197,H1,17x29,2
198,H1,17x30,4
199,H1,17x31,4
200,H1,17x32,1
201,H1,17x33,2
202,H1,17x9,5
203,H1,18x10,0
204,H1,18x11,0
205,H1,18x12,5
206,H1,18x13,0
207,H1,18x14,0
