,sample,spot_name,cluster
1,A1,10x13,2
2,A1,10x14,2
3,A1,10x15,2
4,A1,10x16,2
5,A1,10x17,2
6,A1,10x18,2
7,A1,10x19,2
8,A1,10x20,2
9,A1,10x21,2
10,A1,10x22,2
11,A1,10x23,2
12,A1,10x24,2
13,A1,10x25,2
14,A1,10x26,2
15,A1,10x27,3
16,A1,10x28,3
17,A1,11x13,2
18,A1,11x14,2
19,A1,11x15,2
20,A1,11x16,2
21,A1,11x18,2
22,A1,11x19,2
23,A1,11x20,2
24,A1,11x21,2
25,A1,11x22,2
26,A1,11x23,2
27,A1,11x24,2
28,A1,11x25,2
29,A1,11x26,2
30,A1,11x27,2
31,A1,11x28,2
32,A1,12x12,2
33,A1,12x13,2
34,A1,12x14,2
35,A1,12x15,2
36,A1,12x16,2
37,A1,12x17,2
38,A1,12x18,2
39,A1,12x19,2
40,A1,12x20,2
41,A1,12x21,2
42,A1,12x22,2
43,A1,12x23,2
44,A1,12x24,2
45,A1,12x25,2
46,A1,12x26,2
47,A1,12x27,2
48,A1,12x28,2
49,A1,13x12,2
50,A1,13x13,2
51,A1,13x14,2
52,A1,13x15,2
53,A1,13x16,2
54,A1,13x17,2
55,A1,13x18,2
56,A1,13x19,2
57,A1,13x20,2
58,A1,13x21,2
59,A1,13x22,2
60,A1,13x23,2
61,A1,13x24,2
62,A1,13x25,2
63,A1,13x26,2
64,A1,13x27,2
65,A1,13x28,2
66,A1,14x13,2
67,A1,14x14,2
68,A1,14x15,2
69,A1,14x16,2
70,A1,14x17,2
71,A1,14x18,2
72,A1,14x19,2
73,A1,14x20,2
74,A1,14x21,2
75,A1,14x22,2
76,A1,14x23,2
77,A1,14x24,2
78,A1,14x25,2
79,A1,14x26,2
80,A1,14x27,2
81,A1,14x28,2
82,A1,15x13,2
83,A1,15x14,2
84,A1,15x15,2
85,A1,15x16,2
86,A1,15x17,2
87,A1,15x18,2
88,A1,15x19,2
89,A1,15x20,2
90,A1,15x21,2
91,A1,15x22,2
92,A1,15x23,2
93,A1,15x24,2
94,A1,15x25,2
95,A1,15x26,2
96,A1,15x27,2
97,A1,16x12,2
98,A1,16x13,2
99,A1,16x14,2
100,A1,16x15,2
101,A1,16x16,2
102,A1,16x17,2
103,A1,16x18,2
104,A1,16x19,2
105,A1,16x20,2
106,A1,16x21,2
107,A1,16x22,2
108,A1,16x23,2
109,A1,16x24,2
110,A1,16x25,2
111,A1,16x26,2
112,A1,16x27,2
113,A1,17x13,2
114,A1,17x15,2
115,A1,17x16,2
116,A1,17x17,2
117,A1,17x18,2
118,A1,17x19,2
119,A1,17x20,0
120,A1,17x21,0
121,A1,17x22,2
122,A1,17x23,2
123,A1,17x24,2
124,A1,17x25,2
125,A1,17x26,2
126,A1,17x27,2
127,A1,18x13,2
128,A1,18x14,2
129,A1,18x15,2
130,A1,18x16,2
131,A1,18x17,2
132,A1,18x18,2
133,A1,18x19,2
134,A1,18x21,2
135,A1,18x22,2
136,A1,18x23,2
137,A1,18x24,2
138,A1,18x25,2
139,A1,18x26,2
140,A1,18x27,2
141,A1,19x12,2
142,A1,19x13,2
143,A1,19x14,2
144,A1,19x15,2
145,A1,19x16,2
146,A1,19x17,2
147,A1,19x18,2
148,A1,19x19,2
149,A1,19x20,2
150,A1,19x21,2
151,A1,19x22,2
152,A1,19x23,2
153,A1,19x24,2
154,A1,19x25,2
155,A1,19x26,2
156,A1,19x27,2
157,A1,20x12,1
158,A1,20x13,1
159,A1,20x14,1
160,A1,20x15,1
161,A1,20x16,1
162,A1,20x17,2
163,A1,20x18,2
164,A1,20x19,0
165,A1,20x20,2
166,A1,20x21,2
167,A1,20x22,2
168,A1,20x23,2
169,A1,20x24,2
170,A1,20x25,2
171,A1,20x26,2
172,A1,20x27,2
173,A1,21x12,1
174,A1,21x13,1
175,A1,21x14,1
176,A1,21x15,1
177,A1,21x16,1
178,A1,21x17,1
179,A1,21x18,1
180,A1,21x19,2
181,A1,21x20,2
182,A1,21x21,2
183,A1,21x22,2
184,A1,21x23,2
185,A1,21x24,2
186,A1,21x25,2
187,A1,21x26,2
188,A1,21x27,2
189,A1,22x12,1
190,A1,22x13,1
191,A1,22x14,1
192,A1,22x15,1
193,A1,22x16,1
194,A1,22x17,1
195,A1,22x18,1
196,A1,22x19,1
197,A1,22x20,1
198,A1,22x21,1
199,A1,22x22,2
200,A1,22x23,2
201,A1,22x24,2
202,A1,22x25,2
203,A1,22x26,2
204,A1,22x27,2
205,A1,23x12,1
206,A1,23x13,1
207,A1,23x14,1
208,A1,23x15,1
209,A1,23x16,1
210,A1,23x17,1
211,A1,23x18,1
212,A1,23x19,1
213,A1,23x20,1
214,A1,23x21,1
215,A1,23x22,1
216,A1,23x23,1
217,A1,23x24,2
218,A1,23x25,2
219,A1,23x26,2
220,A1,24x13,1
221,A1,24x14,1
222,A1,24x15,1
223,A1,24x16,1
224,A1,24x17,1
225,A1,24x18,1
226,A1,24x19,1
227,A1,24x20,1
228,A1,24x21,1
229,A1,24x22,1
230,A1,24x23,1
231,A1,24x24,1
232,A1,24x25,2
233,A1,24x26,2
234,A1,24x27,2
235,A1,25x12,1
236,A1,25x13,1
237,A1,25x14,1
238,A1,25x15,1
239,A1,25x16,1
240,A1,25x17,1
241,A1,25x18,1
242,A1,25x19,1
243,A1,25x20,1
244,A1,25x21,1
245,A1,25x22,1
246,A1,25x23,1
247,A1,25x24,1
248,A1,25x25,1
249,A1,25x26,2
250,A1,26x12,1
251,A1,26x13,1
252,A1,26x14,1
253,A1,26x15,1
254,A1,26x16,1
255,A1,26x17,1
256,A1,26x18,1
257,A1,26x19,1
258,A1,3x14,5
259,A1,3x17,3
260,A1,3x18,3
261,A1,3x19,3
262,A1,3x20,3
263,A1,3x21,3
264,A1,4x14,2
265,A1,4x15,5
266,A1,4x16,1
267,A1,4x17,5
268,A1,4x18,3
269,A1,4x19,3
270,A1,4x20,3
271,A1,4x21,3
272,A1,4x22,3
273,A1,4x23,3
274,A1,4x24,3
275,A1,5x14,2
276,A1,5x15,2
277,A1,5x16,1
278,A1,5x17,1
279,A1,5x18,5
280,A1,5x19,3
281,A1,5x20,3
282,A1,5x21,3
283,A1,5x22,3
284,A1,5x23,3
285,A1,5x24,3
286,A1,5x25,3
287,A1,5x27,3
288,A1,5x28,3
289,A1,6x14,2
290,A1,6x15,2
291,A1,6x16,2
292,A1,6x17,1
293,A1,6x18,3
294,A1,6x19,3
295,A1,6x20,3
296,A1,6x21,3
297,A1,6x22,3
298,A1,6x23,3
299,A1,6x24,3
300,A1,6x25,3
301,A1,6x28,3
302,A1,7x14,2
303,A1,7x15,2
304,A1,7x16,2
305,A1,7x17,2
306,A1,7x18,2
307,A1,7x19,2
308,A1,7x20,3
309,A1,7x21,3
310,A1,7x22,3
311,A1,7x23,3
312,A1,7x24,3
313,A1,7x25,3
314,A1,7x26,3
315,A1,7x27,3
316,A1,7x28,3
317,A1,8x14,2
318,A1,8x15,2
319,A1,8x16,2
320,A1,8x17,2
321,A1,8x18,2
322,A1,8x19,2
323,A1,8x20,2
324,A1,8x21,3
325,A1,8x22,3
326,A1,8x23,3
327,A1,8x24,3
328,A1,8x25,3
329,A1,8x26,3
330,A1,8x27,3
331,A1,9x13,2
332,A1,9x14,2
333,A1,9x15,2
334,A1,9x16,2
335,A1,9x17,2
336,A1,9x18,2
337,A1,9x19,2
338,A1,9x20,2
339,A1,9x21,2
340,A1,9x22,2
341,A1,9x23,2
342,A1,9x24,2
343,A1,9x25,3
344,A1,9x26,3
345,A1,9x27,3
346,B1,10x13,1
