,sample,spot_name,cluster
1,H1,10x10,5
2,H1,10x11,5
3,H1,10x12,5
4,H1,10x13,5
5,H1,10x14,5
6,H1,10x15,1
7,H1,10x16,1
8,H1,10x17,1
9,H1,10x18,1
10,H1,10x19,2
11,H1,10x20,1
12,H1,10x21,1
13,H1,10x22,1
14,H1,10x23,1
15,H1,10x24,1
16,H1,10x25,1
17,H1,10x26,1
18,H1,10x27,1
19,H1,10x28,1
20,H1,10x29,1
21,H1,10x30,1
22,H1,10x31,1
23,H1,10x32,1
24,H1,10x33,1
25,H1,11x10,5
26,H1,11x12,5
27,H1,11x13,5
28,H1,11x14,5
29,H1,11x15,1
30,H1,11x16,1
31,H1,11x17,1
32,H1,11x18,1
33,H1,11x19,1
34,H1,11x20,2
35,H1,11x21,2
36,H1,11x22,2
37,H1,11x23,1
38,H1,11x24,1
39,H1,11x25,1
40,H1,11x26,1
41,H1,11x27,1
42,H1,11x28,1
43,H1,11x29,1
44,H1,11x30,1
45,H1,11x31,1
46,H1,11x32,1
47,H1,11x33,1
48,H1,11x9,5
49,H1,12x10,5
50,H1,12x11,5
51,H1,12x12,5
52,H1,12x13,5
53,H1,12x14,5
54,H1,12x15,5
55,H1,12x16,2
56,H1,12x17,1
57,H1,12x18,1
58,H1,12x19,1
59,H1,12x20,1
60,H1,12x21,2
61,H1,12x22,2
62,H1,12x23,1
63,H1,12x24,1
64,H1,12x25,5
65,H1,12x26,1
66,H1,12x27,1
67,H1,12x28,1
68,H1,12x29,1
69,H1,12x30,1
70,H1,12x31,1
71,H1,12x32,5
72,H1,12x33,1
73,H1,12x34,1
74,H1,12x9,5
75,H1,13x10,5
76,H1,13x11,5
77,H1,13x12,5
78,H1,13x13,5
79,H1,13x14,5
80,H1,13x15,5
81,H1,13x16,2
82,H1,13x17,6
83,H1,13x18,6
84,H1,13x19,6
85,H1,13x20,2
86,H1,13x21,6
87,H1,13x22,2
88,H1,13x23,2
89,H1,13x24,5
90,H1,13x25,5
91,H1,13x26,5
92,H1,13x27,1
93,H1,13x28,1
94,H1,13x29,1
95,H1,13x30,1
96,H1,13x31,1
97,H1,13x32,1
98,H1,13x33,1
99,H1,13x34,1
100,H1,13x9,5
101,H1,14x10,5
102,H1,14x11,5
103,H1,14x12,5
104,H1,14x13,5
105,H1,14x14,5
106,H1,14x15,5
107,H1,14x16,5
108,H1,14x17,2
109,H1,14x18,6
110,H1,14x19,6
111,H1,14x20,2
112,H1,14x21,2
113,H1,14x22,2
114,H1,14x23,2
115,H1,14x24,2
116,H1,14x25,2
117,H1,14x26,2
118,H1,14x27,1
119,H1,14x28,1
120,H1,14x29,1
121,H1,14x30,1
122,H1,14x31,2
123,H1,14x32,1
124,H1,14x33,1
125,H1,14x34,1
126,H1,14x9,5
127,H1,15x10,5
128,H1,15x11,0
129,H1,15x12,5
130,H1,15x13,5
131,H1,15x14,5
132,H1,15x15,5
133,H1,15x16,5
134,H1,15x17,2
135,H1,15x18,6
136,H1,15x19,6
137,H1,15x20,2
138,H1,15x21,2
139,H1,15x22,2
140,H1,15x23,2
141,H1,15x24,2
142,H1,15x25,2
143,H1,15x26,2
144,H1,15x27,1
145,H1,15x28,1
146,H1,15x29,1
147,H1,15x30,1
148,H1,15x31,1
149,H1,15x33,1
150,H1,15x34,2
151,H1,15x9,5
152,H1,16x10,0
153,H1,16x11,0
154,H1,16x12,5
155,H1,16x13,5
156,H1,16x14,5
157,H1,16x15,5
158,H1,16x16,5
159,H1,16x17,5
160,H1,16x18,6
161,H1,16x19,2
162,H1,16x20,2
163,H1,16x21,2
164,H1,16x22,2
165,H1,16x23,2
166,H1,16x24,2
167,H1,16x25,2
168,H1,16x26,2
169,H1,16x27,2
170,H1,16x28,1
171,H1,16x29,1
172,H1,16x30,1
173,H1,16x31,1
174,H1,16x32,1
175,H1,16x33,1
176,H1,16x34,2
177,H1,16x9,0
178,H1,17x10,0
179,H1,17x11,0
180,H1,17x12,0
181,H1,17x13,5
182,H1,17x14,5
183,H1,17x15,5
184,H1,17x16,5
185,H1,17x17,5
186,H1,17x18,5
187,H1,17x19,5
188,H1,17x20,2
189,H1,17x21,2
190,H1,17x22,2
191,H1,17x23,2
192,H1,17x24,2
193,H1,17x25,2
194,H1,17x26,2
195,H1,17x27,2
196,H1,17x28,2
197,H1,17x29,2
198,H1,17x30,1
199,H1,17x31,1
200,H1,17x32,1
201,H1,17x33,2
202,H1,17x9,0
203,H1,18x10,5
204,H1,18x11,0
205,H1,18x12,0
206,H1,18x13,5
207,H1,18x14,5
208,H1,18x15,5
209,H1,18x16,5
210,H1,18x17,5
211,H1,18x19,2
212,H1,18x20,2
213,H1,18x21,2
214,H1,18x22,5
215,H1,18x23,5
216,H1,18x24,5
217,H1,18x25,2
218,H1,18x26,2
219,H1,18x27,2
220,H1,18x28,2
221,H1,18x29,2
222,H1,18x30,2
223,H1,18x31,2
224,H1,18x32,2
225,H1,18x33,0
226,H1,18x9,5
227,H1,19x10,5
228,H1,19x11,0
229,H1,19x12,5
230,H1,19x13,5
231,H1,19x14,5
232,H1,19x15,5
233,H1,19x16,5
234,H1,19x17,5
235,H1,19x18,5
236,H1,19x19,2
237,H1,19x20,2
238,H1,19x21,5
239,H1,19x22,5
240,H1,19x23,5
241,H1,19x24,5
242,H1,19x25,5
243,H1,19x26,5
244,H1,19x27,2
245,H1,19x28,2
246,H1,19x29,4
247,H1,19x30,4
248,H1,19x31,4
249,H1,19x32,4
250,H1,19x9,5
251,H1,20x10,5
252,H1,20x11,5
253,H1,20x12,5
254,H1,20x13,5
255,H1,20x14,0
256,H1,20x15,0
257,H1,20x16,0
258,H1,20x17,0
259,H1,20x18,5
260,H1,20x19,2
261,H1,20x20,2
262,H1,20x21,5
263,H1,20x22,5
264,H1,20x23,5
265,H1,20x24,5
266,H1,20x25,5
267,H1,20x26,4
268,H1,20x27,4
269,H1,20x28,4
270,H1,20x29,4
271,H1,20x30,4
272,H1,20x31,4
273,H1,20x32,4
274,H1,20x9,5
275,H1,21x10,5
276,H1,21x11,5
277,H1,21x12,5
278,H1,21x13,5
279,H1,21x14,0
280,H1,21x15,0
281,H1,21x16,0
282,H1,21x17,0
283,H1,21x18,5
284,H1,21x19,2
285,H1,21x20,5
286,H1,21x21,5
287,H1,21x22,5
288,H1,21x23,4
289,H1,21x24,4
290,H1,21x25,4
291,H1,21x26,4
292,H1,21x27,4
293,H1,21x28,4
294,H1,21x29,4
295,H1,21x30,4
296,H1,21x31,4
297,H1,21x9,5
298,H1,22x10,5
299,H1,22x11,5
300,H1,22x12,5
301,H1,22x13,5
302,H1,22x14,5
303,H1,22x15,0
304,H1,22x16,0
305,H1,22x17,0
306,H1,22x18,5
307,H1,22x19,2
308,H1,22x20,5
309,H1,22x21,5
310,H1,22x22,5
311,H1,22x23,5
312,H1,22x24,4
313,H1,22x25,4
314,H1,22x26,4
315,H1,22x27,4
316,H1,22x28,4
317,H1,22x29,4
318,H1,22x30,4
319,H1,22x31,4
320,H1,22x9,5
321,H1,23x10,5
322,H1,23x11,5
323,H1,23x12,5
324,H1,23x13,5
325,H1,23x14,5
326,H1,23x15,0
327,H1,23x16,0
328,H1,23x17,0
329,H1,23x18,5
330,H1,23x19,5
331,H1,23x20,5
332,H1,23x21,5
333,H1,23x22,5
334,H1,23x23,5
335,H1,23x24,4
336,H1,23x25,4
337,H1,23x26,4
338,H1,23x27,4
339,H1,23x28,4
340,H1,23x29,4
341,H1,23x30,4
342,H1,23x31,4
343,H1,23x9,5
344,H1,24x10,5
345,H1,24x11,5
346,H1,24x12,5
347,H1,24x13,5
348,H1,24x14,5
349,H1,24x15,5
350,H1,24x16,5
351,H1,24x17,5
352,H1,24x18,5
353,H1,24x19,5
354,H1,24x20,5
355,H1,24x21,5
356,H1,24x23,5
357,H1,24x24,4
358,H1,24x25,4
359,H1,24x26,4
360,H1,24x27,4
361,H1,24x28,4
362,H1,24x29,4
363,H1,24x30,4
364,H1,24x9,5
365,H1,25x10,5
366,H1,25x11,5
367,H1,25x12,5
368,H1,25x13,5
369,H1,25x14,5
370,H1,25x15,5
371,H1,25x16,5
372,H1,25x17,5
373,H1,25x18,5
374,H1,25x19,5
375,H1,25x20,5
376,H1,25x21,5
377,H1,25x22,5
378,H1,25x23,5
379,H1,25x24,4
380,H1,25x25,4
381,H1,25x26,4
382,H1,25x27,4
383,H1,25x28,4
384,H1,25x29,4
385,H1,25x30,4
386,H1,25x9,5
387,H1,26x10,5
388,H1,26x11,5
389,H1,26x12,5
390,H1,26x13,5
391,H1,26x14,5
392,H1,26x15,5
393,H1,26x16,5
394,H1,26x17,5
395,H1,26x18,5
396,H1,26x19,5
397,H1,26x20,5
398,H1,26x21,5
399,H1,26x22,5
400,H1,26x23,5
401,H1,26x24,4
402,H1,26x25,4
403,H1,26x26,4
404,H1,26x27,4
405,H1,26x28,4
406,H1,27x10,5
407,H1,27x11,5
408,H1,27x12,5
409,H1,27x13,5
410,H1,27x14,5
411,H1,27x15,5
412,H1,27x16,5
413,H1,27x17,5
414,H1,27x18,5
415,H1,27x19,5
416,H1,27x20,3
417,H1,27x21,3
418,H1,27x22,3
419,H1,27x23,4
420,H1,27x24,4
421,H1,27x25,4
422,H1,27x26,4
423,H1,27x27,4
424,H1,27x28,4
425,H1,28x10,5
426,H1,28x11,5
427,H1,28x12,5
428,H1,28x13,5
429,H1,28x14,5
430,H1,28x15,5
431,H1,28x16,5
432,H1,28x17,5
433,H1,28x18,5
434,H1,28x19,3
435,H1,28x20,3
436,H1,28x21,3
437,H1,28x22,3
438,H1,28x23,3
439,H1,28x24,5
440,H1,28x25,4
441,H1,28x26,4
442,H1,29x10,5
443,H1,29x11,2
444,H1,29x12,5
445,H1,29x13,5
446,H1,29x14,5
447,H1,29x15,5
448,H1,29x16,0
449,H1,29x17,5
450,H1,29x18,3
451,H1,29x19,3
452,H1,29x20,3
453,H1,29x21,3
454,H1,29x22,3
455,H1,29x23,4
456,H1,29x24,3
457,H1,30x11,5
458,H1,30x12,5
459,H1,30x13,5
460,H1,30x14,5
461,H1,30x15,5
462,H1,30x16,5
463,H1,30x17,5
464,H1,30x18,3
465,H1,30x19,3
466,H1,30x20,3
467,H1,30x21,3
468,H1,30x23,3
469,H1,31x10,5
470,H1,31x11,5
471,H1,31x12,5
472,H1,31x13,5
473,H1,31x14,5
474,H1,31x15,5
475,H1,31x16,5
476,H1,31x17,1
477,H1,32x11,5
478,H1,32x12,5
479,H1,3x25,1
480,H1,3x26,1
481,H1,3x27,1
482,H1,3x28,1
483,H1,3x29,1
484,H1,3x30,1
485,H1,3x31,1
486,H1,3x32,1
487,H1,4x20,1
488,H1,4x21,1
489,H1,4x22,1
490,H1,4x23,1
491,H1,4x24,1
492,H1,4x25,1
493,H1,4x26,1
494,H1,4x27,1
495,H1,4x28,1
496,H1,4x29,1
497,H1,4x30,1
498,H1,4x31,5
499,H1,4x32,1
500,H1,5x14,5
501,H1,5x16,5
502,H1,5x17,5
503,H1,5x18,5
504,H1,5x19,5
505,H1,5x20,1
506,H1,5x21,1
507,H1,5x22,1
508,H1,5x23,1
509,H1,5x24,1
510,H1,5x25,1
511,H1,5x26,1
512,H1,5x27,1
513,H1,5x28,1
514,H1,5x29,1
515,H1,5x30,1
516,H1,5x31,1
517,H1,5x32,1
518,H1,6x10,0
519,H1,6x11,5
520,H1,6x12,5
521,H1,6x13,5
522,H1,6x14,5
523,H1,6x15,5
524,H1,6x16,5
525,H1,6x17,5
526,H1,6x18,5
527,H1,6x19,5
528,H1,6x20,1
529,H1,6x21,5
530,H1,6x22,1
531,H1,6x23,1
532,H1,6x24,1
533,H1,6x25,1
534,H1,6x26,1
535,H1,6x27,1
536,H1,6x28,1
537,H1,6x29,1
538,H1,6x30,1
539,H1,6x31,1
540,H1,6x32,1
541,H1,6x33,1
542,H1,7x10,0
543,H1,7x11,5
544,H1,7x12,5
545,H1,7x13,5
546,H1,7x14,5
547,H1,7x15,5
548,H1,7x16,5
549,H1,7x17,5
550,H1,7x18,5
551,H1,7x19,5
552,H1,7x20,1
553,H1,7x21,5
554,H1,7x22,1
555,H1,7x23,1
556,H1,7x24,1
557,H1,7x25,1
558,H1,7x26,1
559,H1,7x27,1
560,H1,7x28,1
561,H1,7x29,1
562,H1,7x30,1
563,H1,7x31,1
564,H1,7x32,1
565,H1,7x33,1
566,H1,8x10,0
567,H1,8x11,5
568,H1,8x12,5
569,H1,8x13,5
570,H1,8x14,5
571,H1,8x15,5
572,H1,8x16,5
573,H1,8x17,1
574,H1,8x18,1
575,H1,8x19,5
576,H1,8x20,5
577,H1,8x21,5
578,H1,8x22,1
579,H1,8x23,1
580,H1,8x24,1
581,H1,8x25,1
582,H1,8x26,1
583,H1,8x27,1
584,H1,8x28,1
585,H1,8x29,1
586,H1,8x30,1
587,H1,8x31,1
588,H1,8x32,1
589,H1,8x33,1
590,H1,9x10,5
591,H1,9x11,5
592,H1,9x12,5
593,H1,9x13,5
594,H1,9x14,5
595,H1,9x15,1
596,H1,9x16,1
597,H1,9x17,1
598,H1,9x18,1
599,H1,9x19,5
600,H1,9x20,5
601,H1,9x21,5
602,H1,9x22,1
603,H1,9x23,1
604,H1,9x24,1
605,H1,9x25,1
606,H1,9x26,1
607,H1,9x27,1
608,H1,9x28,1
609,H1,9x29,1
610,H1,9x30,1
611,H1,9x31,2
612,H1,9x32,2
613,H1,9x33,1
614,H2,10x11,5
615,H2,10x12,5
616,H2,10x13,5
617,H2,10x14,5
618,H2,10x15,5
619,H2,10x16,1
620,H2,10x17,1
621,H2,10x18,6
622,H2,10x19,6
623,H2,10x20,6
624,H2,10x21,5
625,H2,10x22,5
626,H2,10x23,5
627,H2,10x24,1
628,H2,10x25,1
629,H2,10x26,1
630,H2,10x27,1
631,H2,10x28,1
632,H2,10x29,1
633,H2,10x30,1
634,H2,10x31,1
635,H2,10x32,1
636,H2,10x33,1
637,H2,10x34,1
638,H2,11x12,5
639,H2,11x13,5
640,H2,11x14,5
641,H2,11x15,5
642,H2,11x16,1
643,H2,11x17,1
644,H2,11x18,6
645,H2,11x19,6
646,H2,11x20,6
647,H2,11x21,2
648,H2,11x22,2
649,H2,11x23,2
650,H2,11x24,1
651,H2,11x25,1
652,H2,11x26,1
653,H2,11x27,1
654,H2,11x28,1
655,H2,11x29,1
656,H2,11x30,1
657,H2,11x31,1
658,H2,11x32,1
659,H2,11x33,1
660,H2,11x34,1
661,H2,12x10,5
662,H2,12x11,5
663,H2,12x12,5
664,H2,12x13,5
665,H2,12x14,5
666,H2,12x15,5
667,H2,12x16,1
668,H2,12x17,1
669,H2,12x18,6
670,H2,12x19,6
671,H2,12x20,6
672,H2,12x21,6
673,H2,12x22,6
674,H2,12x23,2
675,H2,12x24,2
676,H2,12x25,5
677,H2,12x26,5
678,H2,12x27,1
679,H2,12x28,1
680,H2,12x29,1
681,H2,12x30,1
682,H2,12x31,1
683,H2,12x32,1
684,H2,12x33,1
685,H2,12x34,1
686,H2,13x10,5
687,H2,13x11,5
