,sample,spot_name,cluster
1,H1,X10x10_H1,1
2,H1,X10x11_H1,1
3,H1,X10x12_H1,1
4,H1,X10x13_H1,1
5,H1,X10x14_H1,1
6,H1,X10x15_H1,6
7,H1,X10x16_H1,6
8,H1,X10x17_H1,6
9,H1,X10x18_H1,6
10,H1,X10x19_H1,4
11,H1,X10x20_H1,4
12,H1,X10x21_H1,3
13,H1,X10x22_H1,3
14,H1,X10x23_H1,6
15,H1,X10x24_H1,6
16,H1,X10x25_H1,6
17,H1,X10x26_H1,6
18,H1,X10x27_H1,6
19,H1,X10x28_H1,6
20,H1,X10x29_H1,6
21,H1,X10x30_H1,6
22,H1,X10x31_H1,6
23,H1,X10x32_H1,4
24,H1,X10x33_H1,6
25,H1,X11x10_H1,1
26,H1,X11x12_H1,1
27,H1,X11x13_H1,1
28,H1,X11x14_H1,1
29,H1,X11x15_H1,6
30,H1,X11x16_H1,6
31,H1,X11x17_H1,6
32,H1,X11x18_H1,6
33,H1,X11x19_H1,6
34,H1,X11x20_H1,4
35,H1,X11x21_H1,4
36,H1,X11x22_H1,4
37,H1,X11x23_H1,6
38,H1,X11x24_H1,6
39,H1,X11x25_H1,6
40,H1,X11x26_H1,6
41,H1,X11x27_H1,6
42,H1,X11x28_H1,6
43,H1,X11x29_H1,6
44,H1,X11x30_H1,6
45,H1,X11x31_H1,6
46,H1,X11x32_H1,6
47,H1,X11x33_H1,6
48,H1,X11x9_H1,1
49,H1,X12x10_H1,1
50,H1,X12x11_H1,1
51,H1,X12x12_H1,1
52,H1,X12x13_H1,1
53,H1,X12x14_H1,1
54,H1,X12x15_H1,1
55,H1,X12x16_H1,4
56,H1,X12x17_H1,6
57,H1,X12x18_H1,6
58,H1,X12x19_H1,6
59,H1,X12x20_H1,6
60,H1,X12x21_H1,4
61,H1,X12x22_H1,4
62,H1,X12x23_H1,3
63,H1,X12x24_H1,1
64,H1,X12x25_H1,1
65,H1,X12x26_H1,6
66,H1,X12x27_H1,6
67,H1,X12x28_H1,6
68,H1,X12x29_H1,6
69,H1,X12x30_H1,6
70,H1,X12x31_H1,6
71,H1,X12x32_H1,6
72,H1,X12x33_H1,6
73,H1,X12x34_H1,6
74,H1,X12x9_H1,1
75,H1,X13x10_H1,1
76,H1,X13x11_H1,1
77,H1,X13x12_H1,1
78,H1,X13x13_H1,1
79,H1,X13x14_H1,1
80,H1,X13x15_H1,1
81,H1,X13x16_H1,4
82,H1,X13x17_H1,4
83,H1,X13x18_H1,0
84,H1,X13x19_H1,0
85,H1,X13x20_H1,4
86,H1,X13x21_H1,6
87,H1,X13x22_H1,6
88,H1,X13x23_H1,4
89,H1,X13x24_H1,1
90,H1,X13x25_H1,1
91,H1,X13x26_H1,1
92,H1,X13x27_H1,6
93,H1,X13x28_H1,6
94,H1,X13x29_H1,6
95,H1,X13x30_H1,6
96,H1,X13x31_H1,6
97,H1,X13x32_H1,6
98,H1,X13x33_H1,6
99,H1,X13x34_H1,6
100,H1,X13x9_H1,1
101,H1,X14x10_H1,1
102,H1,X14x11_H1,1
103,H1,X14x12_H1,1
104,H1,X14x13_H1,1
105,H1,X14x14_H1,1
106,H1,X14x15_H1,1
107,H1,X14x16_H1,1
108,H1,X14x17_H1,4
109,H1,X14x18_H1,0
110,H1,X14x19_H1,0
111,H1,X14x20_H1,4
112,H1,X14x21_H1,4
113,H1,X14x22_H1,4
114,H1,X14x23_H1,4
115,H1,X14x24_H1,4
116,H1,X14x25_H1,4
117,H1,X14x26_H1,4
118,H1,X14x27_H1,6
119,H1,X14x28_H1,6
120,H1,X14x29_H1,6
121,H1,X14x30_H1,6
122,H1,X14x31_H1,6
123,H1,X14x32_H1,6
124,H1,X14x33_H1,6
125,H1,X14x34_H1,6
126,H1,X14x9_H1,1
127,H1,X15x10_H1,4
128,H1,X15x11_H1,2
129,H1,X15x12_H1,1
130,H1,X15x13_H1,1
131,H1,X15x14_H1,1
132,H1,X15x15_H1,1
133,H1,X15x16_H1,1
134,H1,X15x17_H1,4
135,H1,X15x18_H1,0
136,H1,X15x19_H1,0
137,H1,X15x20_H1,4
138,H1,X15x21_H1,4
139,H1,X15x22_H1,4
140,H1,X15x23_H1,4
141,H1,X15x24_H1,4
142,H1,X15x25_H1,4
143,H1,X15x26_H1,4
144,H1,X15x27_H1,6
145,H1,X15x28_H1,6
146,H1,X15x29_H1,6
147,H1,X15x30_H1,6
148,H1,X15x31_H1,6
149,H1,X15x33_H1,6
150,H1,X15x34_H1,4
151,H1,X15x9_H1,2
152,H1,X16x10_H1,2
153,H1,X16x11_H1,2
154,H1,X16x12_H1,1
155,H1,X16x13_H1,1
156,H1,X16x14_H1,1
157,H1,X16x15_H1,1
158,H1,X16x16_H1,1
159,H1,X16x17_H1,1
160,H1,X16x18_H1,0
161,H1,X16x19_H1,4
162,H1,X16x20_H1,4
163,H1,X16x21_H1,4
164,H1,X16x22_H1,4
165,H1,X16x23_H1,4
166,H1,X16x24_H1,4
167,H1,X16x25_H1,4
168,H1,X16x26_H1,4
169,H1,X16x27_H1,6
170,H1,X16x28_H1,6
171,H1,X16x29_H1,6
172,H1,X16x30_H1,6
173,H1,X16x31_H1,6
174,H1,X16x32_H1,6
175,H1,X16x33_H1,6
176,H1,X16x34_H1,4
177,H1,X16x9_H1,2
178,H1,X17x10_H1,2
179,H1,X17x11_H1,2
180,H1,X17x12_H1,2
181,H1,X17x13_H1,1
182,H1,X17x14_H1,1
183,H1,X17x15_H1,1
184,H1,X17x16_H1,1
185,H1,X17x17_H1,1
186,H1,X17x18_H1,1
187,H1,X17x19_H1,1
188,H1,X17x20_H1,4
189,H1,X17x21_H1,4
190,H1,X17x22_H1,4
191,H1,X17x23_H1,4
192,H1,X17x24_H1,4
193,H1,X17x25_H1,4
194,H1,X17x26_H1,4
195,H1,X17x27_H1,4
196,H1,X17x28_H1,4
197,H1,X17x29_H1,4
198,H1,X17x30_H1,6
199,H1,X17x31_H1,6
200,H1,X17x32_H1,6
201,H1,X17x33_H1,4
202,H1,X17x9_H1,2
203,H1,X18x10_H1,2
