,sample,spot_name,cluster
1,H1,X10x10_H1,3
2,H1,X10x11_H1,3
3,H1,X10x12_H1,3
4,H1,X10x13_H1,3
5,H1,X10x14_H1,3
6,H1,X10x15_H1,2
7,H1,X10x16_H1,2
8,H1,X10x17_H1,2
9,H1,X10x18_H1,2
10,H1,X10x19_H1,4
11,H1,X10x20_H1,4
12,H1,X10x21_H1,2
13,H1,X10x22_H1,2
14,H1,X10x23_H1,2
15,H1,X10x24_H1,2
16,H1,X10x25_H1,2
17,H1,X10x26_H1,2
18,H1,X10x27_H1,2
19,H1,X10x28_H1,2
20,H1,X10x29_H1,2
21,H1,X10x30_H1,2
22,H1,X10x31_H1,2
23,H1,X10x32_H1,4
24,H1,X10x33_H1,2
25,H1,X11x10_H1,3
26,H1,X11x12_H1,3
27,H1,X11x13_H1,3
28,H1,X11x14_H1,3
29,H1,X11x15_H1,2
30,H1,X11x16_H1,2
31,H1,X11x17_H1,2
32,H1,X11x18_H1,0
33,H1,X11x19_H1,0
34,H1,X11x20_H1,4
35,H1,X11x21_H1,4
36,H1,X11x22_H1,4
37,H1,X11x23_H1,2
38,H1,X11x24_H1,2
39,H1,X11x25_H1,2
40,H1,X11x26_H1,2
41,H1,X11x27_H1,2
42,H1,X11x28_H1,2
43,H1,X11x29_H1,2
44,H1,X11x30_H1,2
45,H1,X11x31_H1,2
46,H1,X11x32_H1,2
47,H1,X11x33_H1,2
48,H1,X11x9_H1,3
49,H1,X12x10_H1,3
50,H1,X12x11_H1,3
51,H1,X12x12_H1,3
52,H1,X12x13_H1,3
53,H1,X12x14_H1,3
54,H1,X12x15_H1,3
55,H1,X12x16_H1,4
56,H1,X12x17_H1,2
57,H1,X12x18_H1,0
58,H1,X12x19_H1,0
59,H1,X12x20_H1,4
60,H1,X12x21_H1,4
61,H1,X12x22_H1,4
62,H1,X12x23_H1,2
63,H1,X12x24_H1,2
64,H1,X12x25_H1,3
65,H1,X12x26_H1,2
66,H1,X12x27_H1,2
67,H1,X12x28_H1,2
68,H1,X12x29_H1,2
69,H1,X12x30_H1,2
70,H1,X12x31_H1,2
71,H1,X12x32_H1,2
72,H1,X12x33_H1,2
73,H1,X12x34_H1,2
74,H1,X12x9_H1,3
75,H1,X13x10_H1,3
76,H1,X13x11_H1,3
77,H1,X13x12_H1,3
78,H1,X13x13_H1,3
79,H1,X13x14_H1,3
80,H1,X13x15_H1,3
81,H1,X13x16_H1,4
82,H1,X13x17_H1,4
83,H1,X13x18_H1,0
84,H1,X13x19_H1,0
85,H1,X13x20_H1,4
86,H1,X13x21_H1,0
87,H1,X13x22_H1,0
88,H1,X13x23_H1,4
89,H1,X13x24_H1,3
90,H1,X13x25_H1,3
91,H1,X13x26_H1,3
92,H1,X13x27_H1,2
