,sample,spot_name,cluster
1,A1,X10x13,1
2,A1,X10x14,6
3,A1,X10x15,2
4,A1,X10x16,2
5,A1,X10x17,1
6,A1,X10x18,6
7,A1,X10x19,2
8,A1,X10x20,6
9,A1,X10x21,6
10,A1,X10x22,6
11,A1,X10x23,1
12,A1,X10x24,6
13,A1,X10x25,6
14,A1,X10x26,1
15,A1,X10x27,6
16,A1,X10x28,3
17,A1,X11x13,2
18,A1,X11x14,2
19,A1,X11x15,2
20,A1,X11x16,2
21,A1,X11x18,2
22,A1,X11x19,6
23,A1,X11x20,4
24,A1,X11x21,6
25,A1,X11x22,1
26,A1,X11x23,6
27,A1,X11x24,6
28,A1,X11x25,6
29,A1,X11x26,6
30,A1,X11x27,4
31,A1,X11x28,4
32,A1,X12x12,2
33,A1,X12x13,2
34,A1,X12x14,2
35,A1,X12x15,2
36,A1,X12x16,6
37,A1,X12x17,6
38,A1,X12x18,1
39,A1,X12x19,6
40,A1,X12x20,6
41,A1,X12x21,1
42,A1,X12x22,1
43,A1,X12x23,1
44,A1,X12x24,6
45,A1,X12x25,6
46,A1,X12x26,1
47,A1,X12x27,6
48,A1,X12x28,6
49,A1,X13x12,2
50,A1,X13x13,2
51,A1,X13x14,6
52,A1,X13x15,1
53,A1,X13x16,2
54,A1,X13x17,6
55,A1,X13x18,2
56,A1,X13x19,1
57,A1,X13x20,1
58,A1,X13x21,6
59,A1,X13x22,1
60,A1,X13x23,1
61,A1,X13x24,1
62,A1,X13x25,6
63,A1,X13x26,1
64,A1,X13x27,1
65,A1,X13x28,6
66,A1,X14x13,2
67,A1,X14x14,2
68,A1,X14x15,1
69,A1,X14x16,1
70,A1,X14x17,6
71,A1,X14x18,6
72,A1,X14x19,1
73,A1,X14x20,1
74,A1,X14x21,6
75,A1,X14x22,1
76,A1,X14x23,1
77,A1,X14x24,2
78,A1,X14x25,6
79,A1,X14x26,1
80,A1,X14x27,1
81,A1,X14x28,1
82,A1,X15x13,2
83,A1,X15x14,2
84,A1,X15x15,2
85,A1,X15x16,2
86,A1,X15x17,1
87,A1,X15x18,1
88,A1,X15x19,1
89,A1,X15x20,2
90,A1,X15x21,2
91,A1,X15x22,6
92,A1,X15x23,6
93,A1,X15x24,6
94,A1,X15x25,6
95,A1,X15x26,1
96,A1,X15x27,1
97,A1,X16x12,1
98,A1,X16x13,1
99,A1,X16x14,2
100,A1,X16x15,2
101,A1,X16x16,2
102,A1,X16x17,6
103,A1,X16x18,6
104,A1,X16x19,1
105,A1,X16x20,1
106,A1,X16x21,1
107,A1,X16x22,2
108,A1,X16x23,1
109,A1,X16x24,6
110,A1,X16x25,2
111,A1,X16x26,1
112,A1,X16x27,1
113,A1,X17x13,2
114,A1,X17x15,2
115,A1,X17x16,6
116,A1,X17x17,6
117,A1,X17x18,1
118,A1,X17x19,1
119,A1,X17x20,1
120,A1,X17x21,1
121,A1,X17x22,1
122,A1,X17x23,6
123,A1,X17x24,2
124,A1,X17x25,1
125,A1,X17x26,2
126,A1,X17x27,1
127,A1,X18x13,2
128,A1,X18x14,1
129,A1,X18x15,2
130,A1,X18x16,2
131,A1,X18x17,1
132,A1,X18x18,1
133,A1,X18x19,2
134,A1,X18x21,6
135,A1,X18x22,1
136,A1,X18x23,2
137,A1,X18x24,2
138,A1,X18x25,1
139,A1,X18x26,2
140,A1,X18x27,6
141,A1,X19x12,2
142,A1,X19x13,2
143,A1,X19x14,2
144,A1,X19x15,2
145,A1,X19x16,2
146,A1,X19x17,6
147,A1,X19x18,1
148,A1,X19x19,1
149,A1,X19x20,1
150,A1,X19x21,1
151,A1,X19x22,1
152,A1,X19x23,2
153,A1,X19x24,2
154,A1,X19x25,2
155,A1,X19x26,1
156,A1,X19x27,6
157,A1,X20x12,2
158,A1,X20x13,2
159,A1,X20x14,2
160,A1,X20x15,2
161,A1,X20x16,2
162,A1,X20x17,2
163,A1,X20x18,2
164,A1,X20x19,2
165,A1,X20x20,1
166,A1,X20x21,1
167,A1,X20x22,1
168,A1,X20x23,1
169,A1,X20x24,2
170,A1,X20x25,6
171,A1,X20x26,6
172,A1,X20x27,2
173,A1,X21x12,3
174,A1,X21x13,2
175,A1,X21x14,2
176,A1,X21x15,2
177,A1,X21x16,3
178,A1,X21x17,3
179,A1,X21x18,2
180,A1,X21x19,2
181,A1,X21x20,2
182,A1,X21x21,1
183,A1,X21x22,2
184,A1,X21x23,2
185,A1,X21x24,2
186,A1,X21x25,1
187,A1,X21x26,2
188,A1,X21x27,2
189,A1,X22x12,3
190,A1,X22x13,3
191,A1,X22x14,2
192,A1,X22x15,2
193,A1,X22x16,2
194,A1,X22x17,2
195,A1,X22x18,2
196,A1,X22x19,2
197,A1,X22x20,2
198,A1,X22x21,2
199,A1,X22x22,1
200,A1,X22x23,1
201,A1,X22x24,2
202,A1,X22x25,1
203,A1,X22x26,1
204,A1,X22x27,6
205,A1,X23x12,3
206,A1,X23x13,3
207,A1,X23x14,3
208,A1,X23x15,2
209,A1,X23x16,3
210,A1,X23x17,2
211,A1,X23x18,2
212,A1,X23x19,6
213,A1,X23x20,6
214,A1,X23x21,6
215,A1,X23x22,2
216,A1,X23x23,2
217,A1,X23x24,2
218,A1,X23x25,2
219,A1,X23x26,2
220,A1,X24x13,3
221,A1,X24x14,3
222,A1,X24x15,3
223,A1,X24x16,3
224,A1,X24x17,2
225,A1,X24x18,2
226,A1,X24x19,3
227,A1,X24x20,3
228,A1,X24x21,3
229,A1,X24x22,6
230,A1,X24x23,2
231,A1,X24x24,3
232,A1,X24x25,2
233,A1,X24x26,3
234,A1,X24x27,2
235,A1,X25x12,3
236,A1,X25x13,3
237,A1,X25x14,3
238,A1,X25x15,3
239,A1,X25x16,3
240,A1,X25x17,3
241,A1,X25x18,3
242,A1,X25x19,3
243,A1,X25x20,3
244,A1,X25x21,3
245,A1,X25x22,3
246,A1,X25x23,3
247,A1,X25x24,3
248,A1,X25x25,3
249,A1,X25x26,3
250,A1,X26x12,3
251,A1,X26x13,3
252,A1,X26x14,3
253,A1,X26x15,3
254,A1,X26x16,3
255,A1,X26x17,3
256,A1,X26x18,3
257,A1,X26x19,3
258,A1,X3x14,5
259,A1,X3x17,5
260,A1,X3x18,5
261,A1,X3x19,5
262,A1,X3x20,5
263,A1,X3x21,5
264,A1,X4x14,5
265,A1,X4x15,5
266,A1,X4x16,5
267,A1,X4x17,0
268,A1,X4x18,0
269,A1,X4x19,0
270,A1,X4x20,0
271,A1,X4x21,0
272,A1,X4x22,0
273,A1,X4x23,3
274,A1,X4x24,3
275,A1,X5x14,3
276,A1,X5x15,3
277,A1,X5x16,0
278,A1,X5x17,0
279,A1,X5x18,3
280,A1,X5x19,0
281,A1,X5x20,0
282,A1,X5x21,0
283,A1,X5x22,3
284,A1,X5x23,2
285,A1,X5x24,3
286,A1,X5x25,3
287,A1,X5x27,3
288,A1,X5x28,3
289,A1,X6x14,3
290,A1,X6x15,3
291,A1,X6x16,3
292,A1,X6x17,3
293,A1,X6x18,0
294,A1,X6x19,3
295,A1,X6x20,3
296,A1,X6x21,3
297,A1,X6x22,0
298,A1,X6x23,3
299,A1,X6x24,0
300,A1,X6x25,4
301,A1,X6x28,3
302,A1,X7x14,3
303,A1,X7x15,3
304,A1,X7x16,3
305,A1,X7x17,3
306,A1,X7x18,3
307,A1,X7x19,4
308,A1,X7x20,4
309,A1,X7x21,4
310,A1,X7x22,4
311,A1,X7x23,4
312,A1,X7x24,4
313,A1,X7x25,4
314,A1,X7x26,4
315,A1,X7x27,3
316,A1,X7x28,2
317,A1,X8x14,2
318,A1,X8x15,2
319,A1,X8x16,2
320,A1,X8x17,1
321,A1,X8x18,6
322,A1,X8x19,6
323,A1,X8x20,6
324,A1,X8x21,6
325,A1,X8x22,6
326,A1,X8x23,6
327,A1,X8x24,4
328,A1,X8x25,4
329,A1,X8x26,4
330,A1,X8x27,4
331,A1,X9x13,2
332,A1,X9x14,2
333,A1,X9x15,2
334,A1,X9x16,2
335,A1,X9x17,2
336,A1,X9x18,6
337,A1,X9x19,6
338,A1,X9x20,2
339,A1,X9x21,6
340,A1,X9x22,2
341,A1,X9x23,6
342,A1,X9x24,4
343,A1,X9x25,4
344,A1,X9x26,4
345,A1,X9x27,2
346,B1,X10x13,6
347,B1,X10x14,6
348,B1,X10x15,6
349,B1,X10x16,6
350,B1,X10x17,6
351,B1,X10x18,6
352,B1,X10x19,6
353,B1,X10x20,6
354,B1,X10x21,6
355,B1,X10x22,4
356,B1,X10x23,6
357,B1,X10x24,0
358,B1,X10x25,6
359,B1,X10x26,0
360,B1,X10x27,2
361,B1,X10x28,6
362,B1,X10x29,6
363,B1,X10x30,4
364,B1,X11x14,6
365,B1,X11x15,6
366,B1,X11x16,6
367,B1,X11x18,6
368,B1,X11x19,6
369,B1,X11x20,6
370,B1,X11x21,6
371,B1,X11x22,4
372,B1,X11x23,6
373,B1,X11x24,6
374,B1,X11x25,4
375,B1,X11x26,2
376,B1,X11x27,0
377,B1,X11x28,4
378,B1,X11x29,4
379,B1,X11x30,4
380,B1,X12x14,6
381,B1,X12x15,6
382,B1,X12x16,6
383,B1,X12x17,6
384,B1,X12x18,6
385,B1,X12x19,6
386,B1,X12x20,6
387,B1,X12x21,4
388,B1,X12x22,4
389,B1,X12x23,4
390,B1,X12x24,0
391,B1,X12x25,0
392,B1,X12x26,0
393,B1,X12x27,2
394,B1,X12x28,4
395,B1,X12x29,4
396,B1,X12x30,0
397,B1,X13x15,6
398,B1,X13x16,6
399,B1,X13x17,6
400,B1,X13x18,6
401,B1,X13x19,6
402,B1,X13x20,6
403,B1,X13x21,4
404,B1,X13x22,4
405,B1,X13x23,6
406,B1,X13x24,0
407,B1,X13x25,0
408,B1,X13x26,4
409,B1,X13x27,4
410,B1,X13x28,4
411,B1,X13x29,4
412,B1,X14x17,6
413,B1,X14x18,6
414,B1,X14x19,6
415,B1,X14x20,4
416,B1,X14x21,6
417,B1,X14x22,4
418,B1,X14x23,4
419,B1,X14x24,4
420,B1,X14x25,4
421,B1,X14x26,4
422,B1,X14x27,4
423,B1,X14x28,4
424,B1,X14x29,3
425,B1,X14x30,4
426,B1,X15x17,6
427,B1,X15x18,6
428,B1,X15x19,6
429,B1,X15x20,6
430,B1,X15x21,4
431,B1,X15x25,4
432,B1,X15x26,4
433,B1,X15x27,4
434,B1,X15x28,4
435,B1,X15x29,4
436,B1,X15x30,4
437,B1,X16x18,6
438,B1,X16x19,6
439,B1,X16x20,6
440,B1,X16x21,4
441,B1,X16x22,4
442,B1,X16x23,4
443,B1,X16x24,4
444,B1,X16x25,4
445,B1,X16x26,4
446,B1,X16x27,4
447,B1,X16x28,4
448,B1,X16x29,4
449,B1,X16x30,4
450,B1,X17x20,4
451,B1,X17x21,4
452,B1,X17x24,4
453,B1,X17x25,4
454,B1,X17x26,4
455,B1,X17x27,4
456,B1,X17x29,4
457,B1,X17x30,4
458,B1,X18x19,6
459,B1,X18x21,4
460,B1,X18x22,4
461,B1,X18x23,4
462,B1,X18x24,4
463,B1,X18x25,4
464,B1,X18x26,4
465,B1,X18x28,4
466,B1,X18x29,4
467,B1,X18x30,4
468,B1,X19x19,4
469,B1,X19x23,4
470,B1,X19x24,4
471,B1,X19x25,4
472,B1,X19x26,4
473,B1,X19x28,4
474,B1,X19x29,4
475,B1,X19x30,6
476,B1,X20x20,6
477,B1,X20x21,4
478,B1,X20x22,4
479,B1,X20x23,4
480,B1,X20x24,4
481,B1,X20x25,4
482,B1,X20x26,4
483,B1,X20x27,4
484,B1,X20x28,4
485,B1,X20x29,4
486,B1,X20x30,4
487,B1,X21x23,4
488,B1,X21x25,6
489,B1,X21x26,4
490,B1,X21x27,6
491,B1,X21x28,6
492,B1,X21x29,4
493,B1,X22x22,4
494,B1,X22x25,6
495,B1,X22x26,6
496,B1,X22x27,4
497,B1,X22x28,6
498,B1,X22x29,6
499,B1,X22x30,4
500,B1,X23x24,4
501,B1,X23x25,6
502,B1,X23x26,6
503,B1,X23x28,6
504,B1,X23x29,6
505,B1,X23x30,4
506,B1,X24x28,6
507,B1,X24x29,4
508,B1,X24x30,4
509,B1,X2x24,1
510,B1,X2x25,1
511,B1,X2x26,1
512,B1,X2x27,1
513,B1,X2x28,3
514,B1,X2x29,3
515,B1,X2x30,1
516,B1,X2x31,1
517,B1,X3x19,5
518,B1,X3x20,3
519,B1,X3x21,1
520,B1,X3x22,1
521,B1,X3x23,1
522,B1,X3x24,1
523,B1,X3x25,1
524,B1,X3x26,1
525,B1,X3x27,3
526,B1,X3x28,2
527,B1,X3x29,3
528,B1,X3x30,3
529,B1,X4x16,6
530,B1,X4x17,6
531,B1,X4x18,6
532,B1,X4x19,5
533,B1,X4x20,5
534,B1,X4x21,5
535,B1,X4x22,1
536,B1,X4x23,1
537,B1,X4x24,1
538,B1,X4x25,1
539,B1,X4x26,1
540,B1,X4x27,3
541,B1,X4x28,3
542,B1,X4x29,3
543,B1,X4x30,3
544,B1,X5x14,6
545,B1,X5x15,6
546,B1,X5x16,6
547,B1,X5x17,6
548,B1,X5x18,6
549,B1,X5x19,5
550,B1,X5x20,5
551,B1,X5x21,1
552,B1,X5x22,1
553,B1,X5x23,1
554,B1,X5x24,1
555,B1,X5x25,1
556,B1,X5x26,1
557,B1,X5x27,1
558,B1,X5x28,3
559,B1,X5x29,3
560,B1,X5x30,3
561,B1,X6x11,6
562,B1,X6x12,6
563,B1,X6x13,6
564,B1,X6x14,6
565,B1,X6x15,6
566,B1,X6x16,6
567,B1,X6x17,6
568,B1,X6x18,6
569,B1,X6x19,6
570,B1,X6x20,4
571,B1,X6x21,5
572,B1,X6x22,5
573,B1,X6x23,1
574,B1,X6x24,5
575,B1,X6x25,1
576,B1,X6x26,3
577,B1,X6x27,3
578,B1,X6x28,3
579,B1,X6x29,3
580,B1,X6x30,1
581,B1,X7x11,6
582,B1,X7x12,2
583,B1,X7x13,6
584,B1,X7x14,6
585,B1,X7x15,6
586,B1,X7x16,6
587,B1,X7x17,6
588,B1,X7x18,6
589,B1,X7x19,4
590,B1,X7x20,4
591,B1,X7x21,4
592,B1,X7x22,4
593,B1,X7x23,5
594,B1,X7x24,4
