,sample,spot_name,cluster
1,H1,10x10,0
2,H1,10x11,0
3,H1,10x12,0
4,H1,10x13,0
5,H1,10x14,1
6,H1,10x15,1
7,H1,10x16,2
8,H1,10x17,2
9,H1,10x18,2
10,H1,10x19,1
11,H1,10x20,1
12,H1,10x21,1
13,H1,10x22,1
14,H1,10x23,1
15,H1,10x24,2
16,H1,10x25,2
17,H1,10x26,2
18,H1,10x27,2
19,H1,10x28,2
20,H1,10x29,2
21,H1,10x30,1
22,H1,10x31,1
23,H1,10x32,1
24,H1,10x33,1
25,H1,11x10,0
26,H1,11x12,0
27,H1,11x13,0
28,H1,11x14,0
29,H1,11x15,1
30,H1,11x16,1
31,H1,11x17,1
32,H1,11x18,2
33,H1,11x19,1
34,H1,11x20,3
35,H1,11x21,3
36,H1,11x22,3
37,H1,11x23,1
38,H1,11x24,1
39,H1,11x25,2
40,H1,11x26,2
41,H1,11x27,2
42,H1,11x28,2
43,H1,11x29,2
44,H1,11x30,2
45,H1,11x31,1
46,H1,11x32,1
47,H1,11x33,1
48,H1,11x9,0
49,H1,12x10,5
50,H1,12x11,0
51,H1,12x12,0
52,H1,12x13,0
53,H1,12x14,0
54,H1,12x15,0
55,H1,12x16,1
56,H1,12x17,2
57,H1,12x18,2
58,H1,12x19,2
59,H1,12x20,2
60,H1,12x21,3
61,H1,12x22,3
62,H1,12x23,1
63,H1,12x24,1
64,H1,12x25,1
65,H1,12x26,2
66,H1,12x27,2
67,H1,12x28,1
68,H1,12x29,0
69,H1,12x30,2
70,H1,12x31,1
71,H1,12x32,1
72,H1,12x33,1
73,H1,12x34,1
74,H1,12x9,0
75,H1,13x10,0
76,H1,13x11,5
77,H1,13x12,0
78,H1,13x13,0
79,H1,13x14,0
80,H1,13x15,0
81,H1,13x16,0
82,H1,13x17,3
83,H1,13x18,2
84,H1,13x19,2
85,H1,13x20,3
86,H1,13x21,3
87,H1,13x22,3
88,H1,13x23,1
89,H1,13x24,1
90,H1,13x25,0
91,H1,13x26,0
92,H1,13x27,2
93,H1,13x28,1
94,H1,13x29,2
95,H1,13x30,2
96,H1,13x31,2
97,H1,13x32,1
98,H1,13x33,1
99,H1,13x34,1
100,H1,13x9,5
101,H1,14x10,5
102,H1,14x11,0
103,H1,14x12,5
104,H1,14x13,0
105,H1,14x14,0
106,H1,14x15,0
107,H1,14x16,0
108,H1,14x17,3
109,H1,14x18,2
110,H1,14x19,2
111,H1,14x20,3
112,H1,14x21,3
113,H1,14x22,3
114,H1,14x23,1
115,H1,14x24,1
116,H1,14x25,1
117,H1,14x26,1
118,H1,14x27,2
119,H1,14x28,2
120,H1,14x29,2
121,H1,14x30,2
122,H1,14x31,1
123,H1,14x32,1
124,H1,14x33,1
125,H1,14x34,1
126,H1,14x9,0
127,H1,15x10,6
128,H1,15x11,5
129,H1,15x12,5
130,H1,15x13,5
131,H1,15x14,0
132,H1,15x15,0
133,H1,15x16,0
134,H1,15x17,3
135,H1,15x18,2
136,H1,15x19,2
137,H1,15x20,3
138,H1,15x21,3
139,H1,15x22,3
140,H1,15x23,1
141,H1,15x24,1
142,H1,15x25,3
143,H1,15x26,3
144,H1,15x27,2
145,H1,15x28,2
146,H1,15x29,2
147,H1,15x30,2
148,H1,15x31,2
149,H1,15x33,1
150,H1,15x34,2
151,H1,15x9,0
152,H1,16x10,6
153,H1,16x11,6
154,H1,16x12,5
155,H1,16x13,5
156,H1,16x14,5
157,H1,16x15,5
158,H1,16x16,5
159,H1,16x17,0
160,H1,16x18,0
161,H1,16x19,3
162,H1,16x20,3
163,H1,16x21,3
164,H1,16x22,0
165,H1,16x23,3
166,H1,16x24,3
167,H1,16x25,3
168,H1,16x26,3
169,H1,16x27,3
170,H1,16x28,2
171,H1,16x29,2
172,H1,16x30,2
173,H1,16x31,2
174,H1,16x32,2
175,H1,16x33,3
176,H1,16x34,3
177,H1,16x9,6
178,H1,17x10,6
179,H1,17x11,6
180,H1,17x12,6
181,H1,17x13,5
182,H1,17x14,5
183,H1,17x15,5
184,H1,17x16,0
185,H1,17x17,0
186,H1,17x18,0
187,H1,17x19,0
188,H1,17x20,0
189,H1,17x21,0
190,H1,17x22,0
191,H1,17x23,0
192,H1,17x24,3
193,H1,17x25,3
194,H1,17x26,3
195,H1,17x27,3
196,H1,17x28,3
197,H1,17x29,3
198,H1,17x30,2
199,H1,17x31,2
200,H1,17x32,1
201,H1,17x33,1
202,H1,17x9,6
203,H1,18x10,0
204,H1,18x11,6
205,H1,18x12,6
206,H1,18x13,5
207,H1,18x14,5
