,sample,spot_name,cluster
1,A1,10x13,3
2,A1,10x14,3
3,A1,10x15,2
4,A1,10x16,1
5,A1,10x17,1
6,A1,10x18,1
7,A1,10x19,2
8,A1,10x20,2
9,A1,10x21,1
10,A1,10x22,1
11,A1,10x23,1
12,A1,10x24,1
13,A1,10x25,1
14,A1,10x26,1
15,A1,10x27,1
16,A1,10x28,1
17,A1,11x13,0
18,A1,11x14,2
19,A1,11x15,2
20,A1,11x16,2
21,A1,11x18,1
22,A1,11x19,2
23,A1,11x20,1
24,A1,11x21,1
25,A1,11x22,1
26,A1,11x23,2
27,A1,11x24,2
28,A1,11x25,2
29,A1,11x26,2
30,A1,11x27,3
31,A1,11x28,1
32,A1,12x12,0
33,A1,12x13,2
34,A1,12x14,0
35,A1,12x15,2
36,A1,12x16,3
37,A1,12x17,1
38,A1,12x18,1
39,A1,12x19,1
40,A1,12x20,2
41,A1,12x21,1
42,A1,12x22,1
43,A1,12x23,1
44,A1,12x24,1
45,A1,12x25,2
46,A1,12x26,0
47,A1,12x27,3
48,A1,12x28,3
49,A1,13x12,2
50,A1,13x13,0
51,A1,13x14,3
52,A1,13x15,3
53,A1,13x16,1
54,A1,13x17,1
55,A1,13x18,1
56,A1,13x19,1
57,A1,13x20,1
58,A1,13x21,1
59,A1,13x22,1
60,A1,13x23,1
61,A1,13x24,1
62,A1,13x25,1
63,A1,13x26,1
64,A1,13x27,1
65,A1,13x28,2
66,A1,14x13,2
67,A1,14x14,3
68,A1,14x15,3
69,A1,14x16,1
70,A1,14x17,1
71,A1,14x18,1
72,A1,14x19,1
73,A1,14x20,1
74,A1,14x21,1
75,A1,14x22,1
76,A1,14x23,1
77,A1,14x24,2
78,A1,14x25,1
79,A1,14x26,1
80,A1,14x27,1
81,A1,14x28,2
82,A1,15x13,2
83,A1,15x14,0
84,A1,15x15,1
85,A1,15x16,1
86,A1,15x17,1
87,A1,15x18,2
88,A1,15x19,3
89,A1,15x20,3
90,A1,15x21,3
91,A1,15x22,2
92,A1,15x23,1
93,A1,15x24,2
94,A1,15x25,3
95,A1,15x26,3
96,A1,15x27,3
97,A1,16x12,1
98,A1,16x13,1
99,A1,16x14,2
100,A1,16x15,2
101,A1,16x16,1
102,A1,16x17,3
103,A1,16x18,3
104,A1,16x19,1
105,A1,16x20,1
106,A1,16x21,1
107,A1,16x22,3
108,A1,16x23,1
109,A1,16x24,3
110,A1,16x25,3
111,A1,16x26,3
112,A1,16x27,3
113,A1,17x13,2
114,A1,17x15,1
115,A1,17x16,2
116,A1,17x17,3
117,A1,17x18,3
118,A1,17x19,1
119,A1,17x20,1
120,A1,17x21,1
121,A1,17x22,3
122,A1,17x23,3
123,A1,17x24,2
124,A1,17x25,3
125,A1,17x26,3
126,A1,17x27,3
127,A1,18x13,2
128,A1,18x14,1
129,A1,18x15,1
130,A1,18x16,1
131,A1,18x17,1
132,A1,18x18,1
133,A1,18x19,1
134,A1,18x21,1
135,A1,18x22,3
136,A1,18x23,2
137,A1,18x24,1
138,A1,18x25,1
139,A1,18x26,1
140,A1,18x27,1
141,A1,19x12,2
142,A1,19x13,2
143,A1,19x14,3
144,A1,19x15,1
145,A1,19x16,1
146,A1,19x17,1
147,A1,19x18,1
148,A1,19x19,1
149,A1,19x20,1
150,A1,19x21,1
151,A1,19x22,2
152,A1,19x23,3
153,A1,19x24,2
154,A1,19x25,1
155,A1,19x26,1
156,A1,19x27,1
157,A1,20x12,1
158,A1,20x13,3
159,A1,20x14,3
160,A1,20x15,3
161,A1,20x16,0
162,A1,20x17,1
163,A1,20x18,2
164,A1,20x19,1
165,A1,20x20,3
166,A1,20x21,1
167,A1,20x22,1
168,A1,20x23,2
169,A1,20x24,3
170,A1,20x25,3
171,A1,20x26,3
172,A1,20x27,3
173,A1,21x12,1
174,A1,21x13,3
175,A1,21x14,3
176,A1,21x15,3
177,A1,21x16,0
178,A1,21x17,0
179,A1,21x18,0
180,A1,21x19,2
181,A1,21x20,1
182,A1,21x21,1
183,A1,21x22,1
184,A1,21x23,2
185,A1,21x24,2
186,A1,21x25,3
187,A1,21x26,3
188,A1,21x27,3
189,A1,22x12,0
190,A1,22x13,0
191,A1,22x14,0
192,A1,22x15,0
193,A1,22x16,2
194,A1,22x17,0
195,A1,22x18,0
196,A1,22x19,0
197,A1,22x20,2
198,A1,22x21,1
199,A1,22x22,1
200,A1,22x23,1
201,A1,22x24,2
202,A1,22x25,1
203,A1,22x26,1
204,A1,22x27,3
205,A1,23x12,0
206,A1,23x13,0
207,A1,23x14,0
208,A1,23x15,2
209,A1,23x16,2
210,A1,23x17,2
211,A1,23x18,0
212,A1,23x19,0
213,A1,23x20,1
214,A1,23x21,1
215,A1,23x22,2
216,A1,23x23,2
217,A1,23x24,3
218,A1,23x25,1
219,A1,23x26,2
220,A1,24x13,2
221,A1,24x14,2
222,A1,24x15,0
223,A1,24x16,2
224,A1,24x17,2
225,A1,24x18,2
226,A1,24x19,0
227,A1,24x20,0
228,A1,24x21,0
229,A1,24x22,2
230,A1,24x23,2
231,A1,24x24,0
232,A1,24x25,0
233,A1,24x26,2
234,A1,24x27,2
235,A1,25x12,2
236,A1,25x13,2
237,A1,25x14,0
238,A1,25x15,0
239,A1,25x16,0
240,A1,25x17,2
241,A1,25x18,0
242,A1,25x19,0
243,A1,25x20,0
244,A1,25x21,0
245,A1,25x22,0
246,A1,25x23,2
247,A1,25x24,0
248,A1,25x25,0
249,A1,25x26,0
250,A1,26x12,5
251,A1,26x13,5
252,A1,26x14,0
253,A1,26x15,0
254,A1,26x16,2
255,A1,26x17,2
256,A1,26x18,2
257,A1,26x19,0
258,A1,3x14,5
259,A1,3x17,5
260,A1,3x18,5
261,A1,3x19,5
262,A1,3x20,5
263,A1,3x21,5
264,A1,4x14,5
265,A1,4x15,5
266,A1,4x16,5
267,A1,4x17,5
268,A1,4x18,5
269,A1,4x19,5
270,A1,4x20,5
271,A1,4x21,5
272,A1,4x22,5
273,A1,4x23,2
274,A1,4x24,4
275,A1,5x14,5
276,A1,5x15,2
277,A1,5x16,0
278,A1,5x17,4
279,A1,5x18,4
280,A1,5x19,4
281,A1,5x20,4
282,A1,5x21,4
283,A1,5x22,4
284,A1,5x23,4
285,A1,5x24,4
286,A1,5x25,4
287,A1,5x27,3
288,A1,5x28,3
289,A1,6x14,2
290,A1,6x15,0
291,A1,6x16,2
292,A1,6x17,2
293,A1,6x18,4
294,A1,6x19,4
295,A1,6x20,4
296,A1,6x21,4
297,A1,6x22,4
298,A1,6x23,4
299,A1,6x24,4
300,A1,6x25,4
301,A1,6x28,4
302,A1,7x14,2
303,A1,7x15,1
304,A1,7x16,0
305,A1,7x17,2
306,A1,7x18,2
307,A1,7x19,4
308,A1,7x20,4
309,A1,7x21,1
310,A1,7x22,2
311,A1,7x23,0
312,A1,7x24,2
313,A1,7x25,2
314,A1,7x26,2
315,A1,7x27,4
316,A1,7x28,4
317,A1,8x14,2
318,A1,8x15,1
319,A1,8x16,1
320,A1,8x17,3
321,A1,8x18,2
322,A1,8x19,2
323,A1,8x20,1
324,A1,8x21,1
325,A1,8x22,0
326,A1,8x23,1
327,A1,8x24,0
328,A1,8x25,2
329,A1,8x26,3
330,A1,8x27,4
331,A1,9x13,3
332,A1,9x14,3
333,A1,9x15,1
334,A1,9x16,1
335,A1,9x17,1
336,A1,9x18,2
337,A1,9x19,2
338,A1,9x20,2
339,A1,9x21,1
340,A1,9x22,1
341,A1,9x23,1
342,A1,9x24,1
343,A1,9x25,1
344,A1,9x26,1
345,A1,9x27,1
346,B1,10x13,0
347,B1,10x14,0
348,B1,10x15,0
349,B1,10x16,0
350,B1,10x17,0
351,B1,10x18,0
352,B1,10x19,4
353,B1,10x20,1
354,B1,10x21,1
355,B1,10x22,4
356,B1,10x23,4
357,B1,10x24,2
358,B1,10x25,1
359,B1,10x26,1
360,B1,10x27,1
361,B1,10x28,2
362,B1,10x29,3
363,B1,10x30,2
364,B1,11x14,0
365,B1,11x15,0
366,B1,11x16,0
367,B1,11x18,0
368,B1,11x19,0
369,B1,11x20,4
370,B1,11x21,1
371,B1,11x22,4
372,B1,11x23,1
373,B1,11x24,2
374,B1,11x25,1
375,B1,11x26,2
376,B1,11x27,2
377,B1,11x28,2
378,B1,11x29,2
379,B1,11x30,2
380,B1,12x14,0
381,B1,12x15,0
382,B1,12x16,0
383,B1,12x17,0
384,B1,12x18,0
385,B1,12x19,0
386,B1,12x20,4
387,B1,12x21,4
388,B1,12x22,4
389,B1,12x23,1
390,B1,12x24,2
391,B1,12x25,2
392,B1,12x26,2
393,B1,12x27,1
394,B1,12x28,1
395,B1,12x29,1
396,B1,12x30,1
397,B1,13x15,4
398,B1,13x16,0
399,B1,13x17,0
400,B1,13x18,0
401,B1,13x19,0
402,B1,13x20,4
403,B1,13x21,4
404,B1,13x22,1
405,B1,13x23,1
406,B1,13x24,1
407,B1,13x25,2
408,B1,13x26,2
409,B1,13x27,1
410,B1,13x28,1
411,B1,13x29,2
412,B1,14x17,0
413,B1,14x18,0
414,B1,14x19,0
415,B1,14x20,4
416,B1,14x21,1
417,B1,14x22,1
418,B1,14x23,1
419,B1,14x24,1
420,B1,14x25,1
421,B1,14x26,1
422,B1,14x27,1
423,B1,14x28,1
424,B1,14x29,2
425,B1,14x30,2
426,B1,15x17,0
427,B1,15x18,0
428,B1,15x19,0
429,B1,15x20,0
430,B1,15x21,0
431,B1,15x25,4
432,B1,15x26,4
433,B1,15x27,1
434,B1,15x28,1
435,B1,15x29,1
436,B1,15x30,4
437,B1,16x18,0
438,B1,16x19,0
439,B1,16x20,0
440,B1,16x21,0
441,B1,16x22,4
442,B1,16x23,4
443,B1,16x24,4
444,B1,16x25,4
445,B1,16x26,1
446,B1,16x27,1
447,B1,16x28,1
448,B1,16x29,1
449,B1,16x30,4
450,B1,17x20,1
451,B1,17x21,1
452,B1,17x24,4
453,B1,17x25,1
454,B1,17x26,1
455,B1,17x27,1
456,B1,17x29,1
457,B1,17x30,4
458,B1,18x19,0
459,B1,18x21,1
460,B1,18x22,1
461,B1,18x23,4
462,B1,18x24,4
463,B1,18x25,4
464,B1,18x26,4
465,B1,18x28,1
466,B1,18x29,1
467,B1,18x30,1
468,B1,19x19,0
469,B1,19x23,4
470,B1,19x24,1
471,B1,19x25,4
472,B1,19x26,4
473,B1,19x28,1
474,B1,19x29,1
475,B1,19x30,4
476,B1,20x20,4
477,B1,20x21,4
478,B1,20x22,1
479,B1,20x23,1
480,B1,20x24,4
481,B1,20x25,1
482,B1,20x26,1
483,B1,20x27,1
484,B1,20x28,1
485,B1,20x29,4
486,B1,20x30,4
487,B1,21x23,1
488,B1,21x25,1
489,B1,21x26,1
490,B1,21x27,1
491,B1,21x28,4
492,B1,21x29,1
