,sample,spot_name,cluster
0,H1,10x10,1
1,H1,10x11,0
2,H1,10x12,0
3,H1,10x13,1
4,H1,10x14,0
5,H1,10x15,1
6,H1,10x16,2
7,H1,10x17,2
8,H1,10x18,2
9,H1,10x19,2
10,H1,10x20,3
11,H1,10x21,1
12,H1,10x22,1
13,H1,10x23,1
14,H1,10x24,2
15,H1,10x25,2
16,H1,10x26,2
17,H1,10x27,3
18,H1,10x28,2
19,H1,10x29,2
20,H1,10x30,2
21,H1,10x31,2
22,H1,10x32,3
23,H1,10x33,3
24,H1,11x10,0
25,H1,11x12,0
26,H1,11x13,1
27,H1,11x14,1
28,H1,11x15,2
29,H1,11x16,2
30,H1,11x17,2
31,H1,11x18,2
32,H1,11x19,2
33,H1,11x20,2
34,H1,11x21,3
35,H1,11x22,3
36,H1,11x23,1
37,H1,11x24,1
38,H1,11x25,2
39,H1,11x26,2
40,H1,11x27,2
41,H1,11x28,2
42,H1,11x29,2
43,H1,11x30,2
44,H1,11x31,2
45,H1,11x32,3
46,H1,11x33,1
47,H1,11x9,0
48,H1,12x10,0
49,H1,12x11,0
50,H1,12x12,0
51,H1,12x13,0
52,H1,12x14,0
53,H1,12x15,0
54,H1,12x16,3
55,H1,12x17,2
56,H1,12x18,2
57,H1,12x19,2
58,H1,12x20,2
59,H1,12x21,2
60,H1,12x22,2
61,H1,12x23,1
62,H1,12x24,1
63,H1,12x25,1
64,H1,12x26,2
65,H1,12x27,2
66,H1,12x28,2
67,H1,12x29,2
68,H1,12x30,2
69,H1,12x31,2
70,H1,12x32,1
71,H1,12x33,3
72,H1,12x34,2
73,H1,12x9,0
74,H1,13x10,0
75,H1,13x11,0
76,H1,13x12,0
77,H1,13x13,0
78,H1,13x14,0
79,H1,13x15,0
80,H1,13x16,3
81,H1,13x17,2
82,H1,13x18,2
83,H1,13x19,2
84,H1,13x20,2
85,H1,13x21,2
86,H1,13x22,2
87,H1,13x23,3
88,H1,13x24,1
89,H1,13x25,0
90,H1,13x26,1
91,H1,13x27,2
92,H1,13x28,2
93,H1,13x29,2
94,H1,13x30,2
95,H1,13x31,1
96,H1,13x32,1
97,H1,13x33,3
98,H1,13x34,2
99,H1,13x9,0
100,H1,14x10,0
101,H1,14x11,0
102,H1,14x12,0
103,H1,14x13,0
104,H1,14x14,0
105,H1,14x15,0
106,H1,14x16,0
107,H1,14x17,3
108,H1,14x18,2
109,H1,14x19,2
110,H1,14x20,2
111,H1,14x21,2
112,H1,14x22,3
113,H1,14x23,3
114,H1,14x24,3
115,H1,14x25,3
116,H1,14x26,3
117,H1,14x27,2
118,H1,14x28,2
119,H1,14x29,2
120,H1,14x30,2
121,H1,14x31,2
122,H1,14x32,2
123,H1,14x33,3
124,H1,14x34,1
125,H1,14x9,0
126,H1,15x10,0
127,H1,15x11,5
128,H1,15x12,0
129,H1,15x13,0
130,H1,15x14,0
131,H1,15x15,0
132,H1,15x16,1
133,H1,15x17,3
134,H1,15x18,2
135,H1,15x19,2
136,H1,15x20,2
137,H1,15x21,3
138,H1,15x22,3
139,H1,15x23,1
140,H1,15x24,3
141,H1,15x25,3
142,H1,15x26,3
143,H1,15x27,2
144,H1,15x28,2
145,H1,15x29,2
146,H1,15x30,2
147,H1,15x31,2
148,H1,15x33,2
149,H1,15x34,3
150,H1,15x9,0
151,H1,16x10,5
152,H1,16x11,5
153,H1,16x12,5
154,H1,16x13,0
155,H1,16x14,0
156,H1,16x15,0
157,H1,16x16,0
158,H1,16x17,1
159,H1,16x18,3
160,H1,16x19,3
161,H1,16x20,3
162,H1,16x21,3
163,H1,16x22,3
164,H1,16x23,1
165,H1,16x24,3
166,H1,16x25,3
167,H1,16x26,3
168,H1,16x27,3
169,H1,16x28,2
170,H1,16x29,2
171,H1,16x30,2
172,H1,16x31,2
173,H1,16x32,2
174,H1,16x33,2
175,H1,16x34,3
176,H1,16x9,5
177,H1,17x10,5
178,H1,17x11,5
179,H1,17x12,5
180,H1,17x13,0
181,H1,17x14,0
182,H1,17x15,0
183,H1,17x16,0
184,H1,17x17,0
185,H1,17x18,0
186,H1,17x19,0
187,H1,17x20,0
188,H1,17x21,3
189,H1,17x22,1
190,H1,17x23,3
191,H1,17x24,3
192,H1,17x25,3
193,H1,17x26,3
194,H1,17x27,3
195,H1,17x28,3
196,H1,17x29,3
197,H1,17x30,2
198,H1,17x31,2
199,H1,17x32,2
200,H1,17x33,3
201,H1,17x9,5
202,H1,18x10,0
203,H1,18x11,5
204,H1,18x12,0
205,H1,18x13,0
206,H1,18x14,0
207,H1,18x15,0
208,H1,18x16,0
209,H1,18x17,0
210,H1,18x19,3
211,H1,18x20,3
212,H1,18x21,3
213,H1,18x22,0
214,H1,18x23,3
215,H1,18x24,1
216,H1,18x25,0
217,H1,18x26,3
218,H1,18x27,3
219,H1,18x28,3
220,H1,18x29,3
221,H1,18x30,3
222,H1,18x31,3
223,H1,18x32,3
224,H1,18x33,3
225,H1,18x9,0
226,H1,19x10,0
227,H1,19x11,5
228,H1,19x12,5
229,H1,19x13,0
230,H1,19x14,0
231,H1,19x15,0
232,H1,19x16,0
233,H1,19x17,3
234,H1,19x18,0
235,H1,19x19,3
236,H1,19x20,3
237,H1,19x21,3
238,H1,19x22,3
239,H1,19x23,3
240,H1,19x24,1
241,H1,19x25,1
242,H1,19x26,1
243,H1,19x27,3
244,H1,19x28,3
245,H1,19x29,4
246,H1,19x30,4
247,H1,19x31,4
248,H1,19x32,4
249,H1,19x9,0
250,H1,20x10,0
251,H1,20x11,0
252,H1,20x12,0
253,H1,20x13,0
254,H1,20x14,0
255,H1,20x15,5
256,H1,20x16,0
257,H1,20x17,0
258,H1,20x18,0
259,H1,20x19,3
260,H1,20x20,3
261,H1,20x21,0
262,H1,20x22,1
263,H1,20x23,1
264,H1,20x24,0
265,H1,20x25,1
266,H1,20x26,4
267,H1,20x27,3
268,H1,20x28,4
269,H1,20x29,4
270,H1,20x30,4
271,H1,20x31,4
272,H1,20x32,4
273,H1,20x9,0
274,H1,21x10,0
275,H1,21x11,0
276,H1,21x12,0
277,H1,21x13,0
278,H1,21x14,5
279,H1,21x15,5
280,H1,21x16,0
281,H1,21x17,0
282,H1,21x18,0
283,H1,21x19,3
284,H1,21x20,1
285,H1,21x21,1
286,H1,21x22,0
287,H1,21x23,4
288,H1,21x24,4
289,H1,21x25,4
290,H1,21x26,4
291,H1,21x27,4
292,H1,21x28,4
293,H1,21x29,4
294,H1,21x30,4
295,H1,21x31,4
296,H1,21x9,0
297,H1,22x10,0
298,H1,22x11,0
299,H1,22x12,0
300,H1,22x13,0
301,H1,22x14,0
302,H1,22x15,0
303,H1,22x16,5
304,H1,22x17,5
305,H1,22x18,0
306,H1,22x19,3
307,H1,22x20,1
308,H1,22x21,0
309,H1,22x22,1
310,H1,22x23,1
311,H1,22x24,4
312,H1,22x25,4
313,H1,22x26,4
