,sample,spot_name,cluster
0,H1,10x10,1
1,H1,10x11,3
2,H1,10x12,1
3,H1,10x13,1
4,H1,10x14,0
5,H1,10x15,0
6,H1,10x16,2
7,H1,10x17,2
8,H1,10x18,2
9,H1,10x19,2
10,H1,10x20,5
11,H1,10x21,0
12,H1,10x22,0
13,H1,10x23,0
14,H1,10x24,2
15,H1,10x25,2
16,H1,10x26,2
17,H1,10x27,0
18,H1,10x28,2
19,H1,10x29,0
20,H1,10x30,2
21,H1,10x31,2
22,H1,10x32,0
23,H1,10x33,0
24,H1,11x10,1
25,H1,11x12,1
26,H1,11x13,1
27,H1,11x14,0
28,H1,11x15,5
29,H1,11x16,5
30,H1,11x17,2
31,H1,11x18,2
32,H1,11x19,2
33,H1,11x20,5
34,H1,11x21,5
35,H1,11x22,5
36,H1,11x23,0
37,H1,11x24,0
38,H1,11x25,2
39,H1,11x26,2
40,H1,11x27,2
41,H1,11x28,2
42,H1,11x29,2
43,H1,11x30,2
44,H1,11x31,2
45,H1,11x32,5
46,H1,11x33,0
47,H1,11x9,1
48,H1,12x10,1
49,H1,12x11,1
50,H1,12x12,1
51,H1,12x13,1
52,H1,12x14,1
53,H1,12x15,1
54,H1,12x16,5
55,H1,12x17,2
56,H1,12x18,2
57,H1,12x19,2
58,H1,12x20,2
59,H1,12x21,5
60,H1,12x22,5
61,H1,12x23,0
62,H1,12x24,0
63,H1,12x25,0
64,H1,12x26,2
65,H1,12x27,2
66,H1,12x28,2
67,H1,12x29,2
68,H1,12x30,2
69,H1,12x31,2
70,H1,12x32,0
71,H1,12x33,5
72,H1,12x34,0
73,H1,12x9,1
74,H1,13x10,1
75,H1,13x11,1
76,H1,13x12,1
77,H1,13x13,1
78,H1,13x14,1
79,H1,13x15,1
80,H1,13x16,5
81,H1,13x17,2
82,H1,13x18,2
83,H1,13x19,2
84,H1,13x20,5
85,H1,13x21,2
86,H1,13x22,5
87,H1,13x23,5
88,H1,13x24,0
89,H1,13x25,0
90,H1,13x26,2
91,H1,13x27,2
92,H1,13x28,2
93,H1,13x29,2
94,H1,13x30,2
95,H1,13x31,0
96,H1,13x32,0
97,H1,13x33,2
98,H1,13x34,0
99,H1,13x9,1
100,H1,14x10,1
101,H1,14x11,1
102,H1,14x12,1
103,H1,14x13,1
104,H1,14x14,1
105,H1,14x15,1
106,H1,14x16,1
107,H1,14x17,5
108,H1,14x18,2
109,H1,14x19,2
110,H1,14x20,2
111,H1,14x21,5
112,H1,14x22,5
113,H1,14x23,5
114,H1,14x24,0
115,H1,14x25,5
116,H1,14x26,0
117,H1,14x27,2
118,H1,14x28,2
119,H1,14x29,2
120,H1,14x30,2
121,H1,14x31,2
122,H1,14x32,0
123,H1,14x33,2
124,H1,14x34,0
125,H1,14x9,1
126,H1,15x10,1
127,H1,15x11,4
128,H1,15x12,4
129,H1,15x13,1
130,H1,15x14,1
131,H1,15x15,1
132,H1,15x16,1
133,H1,15x17,5
134,H1,15x18,2
135,H1,15x19,2
136,H1,15x20,5
137,H1,15x21,5
138,H1,15x22,5
139,H1,15x23,0
140,H1,15x24,5
141,H1,15x25,5
142,H1,15x26,5
143,H1,15x27,2
144,H1,15x28,2
145,H1,15x29,2
146,H1,15x30,2
147,H1,15x31,2
148,H1,15x33,2
149,H1,15x34,5
150,H1,15x9,1
151,H1,16x10,4
152,H1,16x11,4
153,H1,16x12,4
154,H1,16x13,1
155,H1,16x14,1
156,H1,16x15,1
157,H1,16x16,1
158,H1,16x17,0
159,H1,16x18,0
160,H1,16x19,5
161,H1,16x20,5
162,H1,16x21,5
163,H1,16x22,5
164,H1,16x23,0
165,H1,16x24,5
166,H1,16x25,5
167,H1,16x26,5
168,H1,16x27,5
169,H1,16x28,2
170,H1,16x29,2
171,H1,16x30,2
172,H1,16x31,2
173,H1,16x32,2
174,H1,16x33,2
175,H1,16x34,5
176,H1,16x9,4
177,H1,17x10,4
178,H1,17x11,4
179,H1,17x12,4
180,H1,17x13,1
181,H1,17x14,1
182,H1,17x15,1
183,H1,17x16,1
184,H1,17x17,0
185,H1,17x18,0
186,H1,17x19,1
187,H1,17x20,0
188,H1,17x21,0
189,H1,17x22,0
190,H1,17x23,0
191,H1,17x24,5
192,H1,17x25,5
193,H1,17x26,5
194,H1,17x27,5
195,H1,17x28,5
196,H1,17x29,5
197,H1,17x30,2
198,H1,17x31,2
199,H1,17x32,5
200,H1,17x33,2
201,H1,17x9,4
202,H1,18x10,1
203,H1,18x11,1
204,H1,18x12,1
205,H1,18x13,1
206,H1,18x14,1
207,H1,18x15,1
208,H1,18x16,1
209,H1,18x17,0
210,H1,18x19,0
211,H1,18x20,5
212,H1,18x21,0
213,H1,18x22,0
214,H1,18x23,0
215,H1,18x24,0
216,H1,18x25,0
217,H1,18x26,5
218,H1,18x27,5
219,H1,18x28,5
220,H1,18x29,5
221,H1,18x30,5
222,H1,18x31,5
223,H1,18x32,5
224,H1,18x33,5
225,H1,18x9,1
226,H1,19x10,1
227,H1,19x11,4
228,H1,19x12,1
229,H1,19x13,1
230,H1,19x14,1
231,H1,19x15,1
232,H1,19x16,1
233,H1,19x17,0
234,H1,19x18,1
235,H1,19x19,5
236,H1,19x20,5
237,H1,19x21,0
238,H1,19x22,0
239,H1,19x23,3
240,H1,19x24,0
241,H1,19x25,1
242,H1,19x26,0
