,sample,spot_name,cluster
0,A1,10x13,3
1,A1,10x14,3
2,A1,10x15,3
3,A1,10x16,3
4,A1,10x17,3
5,A1,10x18,0
6,A1,10x19,2
7,A1,10x20,0
8,A1,10x21,0
9,A1,10x22,0
10,A1,10x23,1
11,A1,10x24,1
12,A1,10x25,0
13,A1,10x26,1
14,A1,10x27,4
15,A1,10x28,4
16,A1,11x13,3
17,A1,11x14,3
18,A1,11x15,3
19,A1,11x16,3
20,A1,11x18,3
21,A1,11x19,3
22,A1,11x20,0
23,A1,11x21,1
24,A1,11x22,1
25,A1,11x23,1
26,A1,11x24,1
27,A1,11x25,0
28,A1,11x26,1
29,A1,11x27,4
30,A1,11x28,4
31,A1,12x12,3
32,A1,12x13,3
33,A1,12x14,3
34,A1,12x15,3
35,A1,12x16,3
36,A1,12x17,1
37,A1,12x18,1
38,A1,12x19,1
39,A1,12x20,1
40,A1,12x21,1
41,A1,12x22,1
42,A1,12x23,1
43,A1,12x24,1
44,A1,12x25,0
45,A1,12x26,1
46,A1,12x27,1
47,A1,12x28,1
48,A1,13x12,3
49,A1,13x13,3
50,A1,13x14,3
51,A1,13x15,1
52,A1,13x16,3
53,A1,13x17,0
54,A1,13x18,0
55,A1,13x19,1
56,A1,13x20,1
57,A1,13x21,1
58,A1,13x22,1
59,A1,13x23,1
60,A1,13x24,1
61,A1,13x25,0
62,A1,13x26,1
63,A1,13x27,1
64,A1,13x28,1
65,A1,14x13,3
66,A1,14x14,3
67,A1,14x15,1
68,A1,14x16,3
69,A1,14x17,1
70,A1,14x18,1
71,A1,14x19,1
72,A1,14x20,1
73,A1,14x21,1
74,A1,14x22,1
75,A1,14x23,1
76,A1,14x24,0
77,A1,14x25,0
78,A1,14x26,1
79,A1,14x27,1
80,A1,14x28,1
81,A1,15x13,3
82,A1,15x14,0
83,A1,15x15,0
84,A1,15x16,1
85,A1,15x17,1
86,A1,15x18,1
87,A1,15x19,1
88,A1,15x20,1
89,A1,15x21,1
90,A1,15x22,4
91,A1,15x23,4
92,A1,15x24,0
93,A1,15x25,0
94,A1,15x26,1
95,A1,15x27,1
96,A1,16x12,3
97,A1,16x13,3
98,A1,16x14,0
99,A1,16x15,1
100,A1,16x16,1
101,A1,16x17,0
102,A1,16x18,0
103,A1,16x19,1
104,A1,16x20,1
105,A1,16x21,1
106,A1,16x22,3
107,A1,16x23,0
108,A1,16x24,0
109,A1,16x25,0
110,A1,16x26,1
111,A1,16x27,1
112,A1,17x13,0
113,A1,17x15,0
114,A1,17x16,0
115,A1,17x17,0
116,A1,17x18,1
117,A1,17x19,0
118,A1,17x20,1
119,A1,17x21,1
120,A1,17x22,1
121,A1,17x23,0
122,A1,17x24,0
123,A1,17x25,0
124,A1,17x26,0
125,A1,17x27,1
126,A1,18x13,0
127,A1,18x14,0
128,A1,18x15,0
129,A1,18x16,3
130,A1,18x17,1
131,A1,18x18,1
132,A1,18x19,0
133,A1,18x21,1
134,A1,18x22,1
135,A1,18x23,0
136,A1,18x24,0
137,A1,18x25,0
138,A1,18x26,1
139,A1,18x27,1
140,A1,19x12,0
141,A1,19x13,3
142,A1,19x14,3
143,A1,19x15,3
144,A1,19x16,1
145,A1,19x17,1
146,A1,19x18,1
147,A1,19x19,1
148,A1,19x20,1
149,A1,19x21,1
150,A1,19x22,1
151,A1,19x23,0
152,A1,19x24,0
153,A1,19x25,0
154,A1,19x26,1
155,A1,19x27,3
156,A1,20x12,3
157,A1,20x13,3
158,A1,20x14,3
159,A1,20x15,3
160,A1,20x16,2
161,A1,20x17,2
162,A1,20x18,3
163,A1,20x19,0
164,A1,20x20,1
165,A1,20x21,1
166,A1,20x22,1
167,A1,20x23,0
168,A1,20x24,1
169,A1,20x25,1
170,A1,20x26,0
171,A1,20x27,3
172,A1,21x12,2
173,A1,21x13,3
174,A1,21x14,3
175,A1,21x15,3
176,A1,21x16,2
177,A1,21x17,4
178,A1,21x18,3
179,A1,21x19,0
180,A1,21x20,0
181,A1,21x21,3
182,A1,21x22,1
183,A1,21x23,0
184,A1,21x24,0
185,A1,21x25,1
186,A1,21x26,3
187,A1,21x27,0
188,A1,22x12,2
189,A1,22x13,2
190,A1,22x14,2
191,A1,22x15,2
192,A1,22x16,2
193,A1,22x17,0
194,A1,22x18,4
195,A1,22x19,0
196,A1,22x20,2
197,A1,22x21,2
198,A1,22x22,1
199,A1,22x23,3
200,A1,22x24,3
201,A1,22x25,3
202,A1,22x26,3
203,A1,22x27,4
204,A1,23x12,2
205,A1,23x13,2
206,A1,23x14,2
207,A1,23x15,2
208,A1,23x16,2
209,A1,23x17,2
210,A1,23x18,2
211,A1,23x19,0
212,A1,23x20,0
213,A1,23x21,3
214,A1,23x22,3
215,A1,23x23,3
216,A1,23x24,3
217,A1,23x25,3
218,A1,23x26,2
219,A1,24x13,2
220,A1,24x14,2
221,A1,24x15,2
222,A1,24x16,2
223,A1,24x17,2
224,A1,24x18,2
225,A1,24x19,2
226,A1,24x20,2
227,A1,24x21,2
228,A1,24x22,2
229,A1,24x23,3
230,A1,24x24,2
231,A1,24x25,2
232,A1,24x26,2
233,A1,24x27,2
234,A1,25x12,2
235,A1,25x13,2
236,A1,25x14,2
237,A1,25x15,2
238,A1,25x16,2
239,A1,25x17,2
240,A1,25x18,2
241,A1,25x19,2
242,A1,25x20,2
243,A1,25x21,2
244,A1,25x22,2
245,A1,25x23,2
246,A1,25x24,2
247,A1,25x25,2
248,A1,25x26,2
249,A1,26x12,2
250,A1,26x13,2
251,A1,26x14,2
252,A1,26x15,2
253,A1,26x16,2
254,A1,26x17,2
255,A1,26x18,2
256,A1,26x19,2
257,A1,3x14,2
258,A1,3x17,4
259,A1,3x18,4
260,A1,3x19,4
261,A1,3x20,4
262,A1,3x21,4
263,A1,4x14,2
264,A1,4x15,2
265,A1,4x16,4
266,A1,4x17,4
267,A1,4x18,4
268,A1,4x19,4
269,A1,4x20,4
270,A1,4x21,4
271,A1,4x22,4
272,A1,4x23,4
273,A1,4x24,4
274,A1,5x14,2
275,A1,5x15,2
276,A1,5x16,4
277,A1,5x17,4
278,A1,5x18,4
279,A1,5x19,4
280,A1,5x20,4
281,A1,5x21,4
282,A1,5x22,4
283,A1,5x23,4
284,A1,5x24,4
285,A1,5x25,4
286,A1,5x27,4
287,A1,5x28,4
288,A1,6x14,2
289,A1,6x15,2
290,A1,6x16,2
291,A1,6x17,4
292,A1,6x18,4
293,A1,6x19,4
294,A1,6x20,4
295,A1,6x21,4
296,A1,6x22,4
297,A1,6x23,4
298,A1,6x24,4
299,A1,6x25,4
300,A1,6x28,4
301,A1,7x14,2
302,A1,7x15,2
303,A1,7x16,2
304,A1,7x17,2
305,A1,7x18,2
306,A1,7x19,2
307,A1,7x20,4
308,A1,7x21,4
309,A1,7x22,4
310,A1,7x23,0
311,A1,7x24,4
312,A1,7x25,4
313,A1,7x26,4
314,A1,7x27,0
315,A1,7x28,4
316,A1,8x14,3
317,A1,8x15,3
318,A1,8x16,3
319,A1,8x17,3
320,A1,8x18,3
321,A1,8x19,3
322,A1,8x20,4
323,A1,8x21,3
324,A1,8x22,3
325,A1,8x23,0
326,A1,8x24,0
327,A1,8x25,4
328,A1,8x26,0
329,A1,8x27,4
330,A1,9x13,3
331,A1,9x14,3
332,A1,9x15,3
333,A1,9x16,3
334,A1,9x17,3
335,A1,9x18,0
336,A1,9x19,2
337,A1,9x20,1
338,A1,9x21,0
339,A1,9x22,0
340,A1,9x23,0
341,A1,9x24,0
342,A1,9x25,0
343,A1,9x26,0
344,A1,9x27,4
345,B1,10x13,0
346,B1,10x14,0
347,B1,10x15,0
348,B1,10x16,0
349,B1,10x17,0
350,B1,10x18,0
351,B1,10x19,0
352,B1,10x20,0
353,B1,10x21,0
354,B1,10x22,1
355,B1,10x23,1
356,B1,10x24,1
357,B1,10x25,1
358,B1,10x26,2
359,B1,10x27,2
360,B1,10x28,2
361,B1,10x29,2
362,B1,10x30,2
363,B1,11x14,0
364,B1,11x15,0
365,B1,11x16,0
366,B1,11x18,0
367,B1,11x19,0
368,B1,11x20,0
369,B1,11x21,1
370,B1,11x22,1
371,B1,11x23,1
372,B1,11x24,1
373,B1,11x25,2
374,B1,11x26,2
375,B1,11x27,2
376,B1,11x28,1
377,B1,11x29,1
378,B1,11x30,1
379,B1,12x14,0
380,B1,12x15,0
381,B1,12x16,0
382,B1,12x17,0
383,B1,12x18,0
384,B1,12x19,0
385,B1,12x20,0
386,B1,12x21,1
387,B1,12x22,1
388,B1,12x23,1
389,B1,12x24,2
390,B1,12x25,2
391,B1,12x26,2
392,B1,12x27,1
393,B1,12x28,1
394,B1,12x29,1
395,B1,12x30,1
396,B1,13x15,0
397,B1,13x16,0
398,B1,13x17,0
399,B1,13x18,0
400,B1,13x19,0
401,B1,13x20,0
402,B1,13x21,1
403,B1,13x22,1
404,B1,13x23,1
405,B1,13x24,2
406,B1,13x25,2
407,B1,13x26,1
408,B1,13x27,1
409,B1,13x28,1
410,B1,13x29,1
411,B1,14x17,0
412,B1,14x18,0
413,B1,14x19,0
414,B1,14x20,1
415,B1,14x21,1
416,B1,14x22,1
417,B1,14x23,1
418,B1,14x24,1
419,B1,14x25,1
420,B1,14x26,1
421,B1,14x27,1
422,B1,14x28,1
423,B1,14x29,1
424,B1,14x30,1
425,B1,15x17,0
426,B1,15x18,0
427,B1,15x19,0
428,B1,15x20,0
429,B1,15x21,1
430,B1,15x25,1
431,B1,15x26,1
432,B1,15x27,1
433,B1,15x28,1
434,B1,15x29,1
435,B1,15x30,1
436,B1,16x18,0
437,B1,16x19,0
438,B1,16x20,0
439,B1,16x21,1
440,B1,16x22,1
441,B1,16x23,1
442,B1,16x24,1
443,B1,16x25,1
444,B1,16x26,1
445,B1,16x27,1
446,B1,16x28,1
447,B1,16x29,1
448,B1,16x30,1
449,B1,17x20,1
450,B1,17x21,1
451,B1,17x24,1
452,B1,17x25,1
453,B1,17x26,1
454,B1,17x27,1
455,B1,17x29,1
456,B1,17x30,1
457,B1,18x19,0
458,B1,18x21,1
459,B1,18x22,1
460,B1,18x23,1
461,B1,18x24,1
462,B1,18x25,1
463,B1,18x26,1
464,B1,18x28,1
465,B1,18x29,0
466,B1,18x30,1
467,B1,19x19,0
468,B1,19x23,1
469,B1,19x24,1
470,B1,19x25,1
471,B1,19x26,1
472,B1,19x28,1
473,B1,19x29,0
474,B1,19x30,1
475,B1,20x20,0
476,B1,20x21,1
477,B1,20x22,1
478,B1,20x23,1
479,B1,20x24,1
480,B1,20x25,1
481,B1,20x26,1
482,B1,20x27,1
483,B1,20x28,1
484,B1,20x29,0
485,B1,20x30,0
486,B1,21x23,1
487,B1,21x25,1
488,B1,21x26,1
489,B1,21x27,1
490,B1,21x28,1
491,B1,21x29,1
492,B1,22x22,1
493,B1,22x25,1
494,B1,22x26,1
495,B1,22x27,1
496,B1,22x28,1
497,B1,22x29,1
498,B1,22x30,1
499,B1,23x24,1
500,B1,23x25,1
501,B1,23x26,1
502,B1,23x28,0
503,B1,23x29,0
504,B1,23x30,1
505,B1,24x28,0
506,B1,24x29,0
507,B1,24x30,1
508,B1,2x24,3
509,B1,2x25,3
510,B1,2x26,3
511,B1,2x27,3
512,B1,2x28,3
513,B1,2x29,3
514,B1,2x30,3
515,B1,2x31,3
516,B1,3x19,2
517,B1,3x20,3
518,B1,3x21,3
519,B1,3x22,3
520,B1,3x23,3
521,B1,3x24,3
522,B1,3x25,3
523,B1,3x26,3
524,B1,3x27,3
525,B1,3x28,3
526,B1,3x29,3
527,B1,3x30,3
528,B1,4x16,0
529,B1,4x17,0
530,B1,4x18,2
531,B1,4x19,2
532,B1,4x20,3
533,B1,4x21,3
534,B1,4x22,3
535,B1,4x23,3
536,B1,4x24,3
537,B1,4x25,3
538,B1,4x26,3
539,B1,4x27,3
540,B1,4x28,3
541,B1,4x29,3
542,B1,4x30,3
543,B1,5x14,0
544,B1,5x15,0
545,B1,5x16,0
546,B1,5x17,0
547,B1,5x18,0
548,B1,5x19,2
549,B1,5x20,2
550,B1,5x21,3
551,B1,5x22,3
552,B1,5x23,3
553,B1,5x24,3
554,B1,5x25,3
555,B1,5x26,3
556,B1,5x27,3
557,B1,5x28,3
558,B1,5x29,3
559,B1,5x30,3
560,B1,6x11,0
561,B1,6x12,0
562,B1,6x13,0
563,B1,6x14,0
564,B1,6x15,0
565,B1,6x16,0
566,B1,6x17,0
567,B1,6x18,0
568,B1,6x19,0
569,B1,6x20,2
570,B1,6x21,2
571,B1,6x22,2
572,B1,6x23,3
573,B1,6x24,2
574,B1,6x25,3
575,B1,6x26,3
576,B1,6x27,3
577,B1,6x28,3
578,B1,6x29,3
579,B1,6x30,3
580,B1,7x11,0
581,B1,7x12,2
582,B1,7x13,0
583,B1,7x14,0
584,B1,7x15,0
585,B1,7x16,0
586,B1,7x17,0
587,B1,7x18,0
588,B1,7x19,0
589,B1,7x20,0
590,B1,7x21,0
591,B1,7x22,2
592,B1,7x23,2
593,B1,7x24,2
594,B1,7x25,2
595,B1,7x26,2
596,B1,7x27,2
597,B1,7x28,0
598,B1,7x29,3
599,B1,7x30,3
600,B1,8x12,2
601,B1,8x13,0
602,B1,8x14,0
603,B1,8x15,0
604,B1,8x16,0
605,B1,8x17,0
606,B1,8x18,0
607,B1,8x19,0
608,B1,8x20,0
609,B1,8x21,0
610,B1,8x22,1
611,B1,8x23,1
612,B1,8x24,1
613,B1,8x25,1
614,B1,8x26,2
615,B1,8x27,2
616,B1,8x28,2
617,B1,8x29,2
618,B1,8x30,2
619,B1,9x12,0
620,B1,9x13,0
621,B1,9x14,0
622,B1,9x15,0
623,B1,9x16,0
624,B1,9x17,0
625,B1,9x18,0
626,B1,9x19,0
627,B1,9x20,0
628,B1,9x21,0
629,B1,9x22,1
630,B1,9x23,1
631,B1,9x24,1
632,B1,9x25,1
633,B1,9x26,2
634,B1,9x27,2
635,B1,9x28,2
636,B1,9x29,2
637,B1,9x30,2
638,C1,10x16,2
639,C1,10x17,0
640,C1,10x18,0
641,C1,10x19,0
642,C1,10x20,2
643,C1,10x21,0
644,C1,10x22,0
645,C1,11x15,2
646,C1,11x16,1
647,C1,11x18,0
648,C1,11x19,0
649,C1,11x20,2
650,C1,11x21,2
651,C1,11x22,2
652,C1,12x14,0
653,C1,12x15,1
654,C1,12x16,1
655,C1,12x17,1
656,C1,12x18,0
657,C1,12x19,2
658,C1,12x20,2
659,C1,12x21,2
660,C1,12x22,2
661,C1,12x23,1
662,C1,13x13,0
663,C1,13x14,0
664,C1,13x15,0
665,C1,13x16,1
666,C1,13x17,0
667,C1,13x18,0
668,C1,13x19,2
669,C1,13x20,2
670,C1,13x21,0
671,C1,13x22,2
672,C1,13x23,1
673,C1,14x12,0
674,C1,14x13,0
675,C1,14x14,0
676,C1,14x15,1
677,C1,14x16,0
678,C1,14x17,0
679,C1,14x18,0
680,C1,14x19,0
681,C1,14x20,0
682,C1,14x21,0
683,C1,14x22,0
684,C1,14x23,0
685,C1,15x12,0
686,C1,15x13,1
687,C1,15x14,0
688,C1,15x15,1
689,C1,15x16,0
690,C1,15x17,1
691,C1,15x18,2
692,C1,15x19,0
693,C1,15x20,0
694,C1,15x21,0
695,C1,15x22,0
696,C1,15x23,0
697,C1,15x24,2
698,C1,16x11,2
699,C1,16x12,1
700,C1,16x13,1
701,C1,16x14,0
702,C1,16x15,1
703,C1,16x16,0
704,C1,16x17,1
705,C1,16x18,1
706,C1,16x19,0
707,C1,16x20,1
708,C1,16x21,0
709,C1,16x22,2
710,C1,16x23,2
711,C1,16x24,2
712,C1,17x11,1
713,C1,17x12,0
714,C1,17x13,0
715,C1,17x15,1
716,C1,17x16,1
717,C1,17x17,1
718,C1,17x18,2
719,C1,17x19,2
720,C1,17x20,1
721,C1,17x21,1
722,C1,17x22,1
723,C1,17x23,1
724,C1,17x24,1
725,C1,17x25,1
726,C1,18x10,1
727,C1,18x11,0
