,sample,spot_name,cluster
0,H1,10x10,1
1,H1,10x11,1
2,H1,10x12,1
3,H1,10x13,1
4,H1,10x14,1
5,H1,10x15,3
6,H1,10x16,11
7,H1,10x17,11
8,H1,10x18,11
9,H1,10x19,3
10,H1,10x20,3
11,H1,10x21,3
12,H1,10x22,3
13,H1,10x23,3
14,H1,10x24,11
15,H1,10x25,11
16,H1,10x26,3
17,H1,10x27,3
18,H1,10x28,11
19,H1,10x29,3
20,H1,10x30,11
21,H1,10x31,3
22,H1,10x32,3
23,H1,10x33,3
24,H1,11x10,1
25,H1,11x12,1
26,H1,11x13,1
27,H1,11x14,1
28,H1,11x15,3
29,H1,11x16,3
30,H1,11x17,3
31,H1,11x18,3
32,H1,11x19,3
33,H1,11x20,12
34,H1,11x21,12
35,H1,11x22,5
36,H1,11x23,3
37,H1,11x24,3
38,H1,11x25,3
39,H1,11x26,3
40,H1,11x27,3
41,H1,11x28,3
42,H1,11x29,11
43,H1,11x30,3
44,H1,11x31,11
45,H1,11x32,3
46,H1,11x33,3
47,H1,11x9,1
48,H1,12x10,1
49,H1,12x11,1
50,H1,12x12,1
51,H1,12x13,1
52,H1,12x14,1
53,H1,12x15,1
54,H1,12x16,12
55,H1,12x17,11
56,H1,12x18,11
57,H1,12x19,11
58,H1,12x20,3
59,H1,12x21,3
60,H1,12x22,12
61,H1,12x23,3
62,H1,12x24,3
63,H1,12x25,3
64,H1,12x26,11
65,H1,12x27,3
66,H1,12x28,3
67,H1,12x29,3
68,H1,12x30,3
69,H1,12x31,11
70,H1,12x32,1
71,H1,12x33,3
72,H1,12x34,3
73,H1,12x9,1
74,H1,13x10,1
75,H1,13x11,1
76,H1,13x12,1
77,H1,13x13,1
78,H1,13x14,1
79,H1,13x15,1
80,H1,13x16,3
81,H1,13x17,3
82,H1,13x18,11
83,H1,13x19,11
84,H1,13x20,12
85,H1,13x21,11
86,H1,13x22,3
87,H1,13x23,3
88,H1,13x24,3
89,H1,13x25,1
90,H1,13x26,1
91,H1,13x27,11
92,H1,13x28,3
93,H1,13x29,3
94,H1,13x30,11
95,H1,13x31,3
96,H1,13x32,3
97,H1,13x33,3
98,H1,13x34,3
99,H1,13x9,1
100,H1,14x10,1
101,H1,14x11,3
102,H1,14x12,1
103,H1,14x13,1
104,H1,14x14,1
105,H1,14x15,1
106,H1,14x16,1
107,H1,14x17,12
