,sample,spot_name,cluster
0,H1,10x10,2
1,H1,10x11,2
2,H1,10x12,2
3,H1,10x13,2
4,H1,10x14,3
5,H1,10x15,3
6,H1,10x16,7
7,H1,10x17,7
8,H1,10x18,7
9,H1,10x19,5
10,H1,10x20,4
11,H1,10x21,3
12,H1,10x22,3
13,H1,10x23,3
14,H1,10x24,7
15,H1,10x25,7
16,H1,10x26,9
17,H1,10x27,4
18,H1,10x28,7
19,H1,10x29,4
20,H1,10x30,7
21,H1,10x31,4
22,H1,10x32,4
23,H1,10x33,9
24,H1,11x10,2
25,H1,11x12,2
26,H1,11x13,2
27,H1,11x14,2
28,H1,11x15,3
29,H1,11x16,3
30,H1,11x17,5
31,H1,11x18,5
32,H1,11x19,5
33,H1,11x20,5
34,H1,11x21,11
35,H1,11x22,5
36,H1,11x23,3
37,H1,11x24,3
38,H1,11x25,9
39,H1,11x26,9
40,H1,11x27,4
41,H1,11x28,4
42,H1,11x29,7
43,H1,11x30,9
44,H1,11x31,7
45,H1,11x32,4
46,H1,11x33,4
47,H1,11x9,2
48,H1,12x10,2
49,H1,12x11,2
50,H1,12x12,2
51,H1,12x13,2
52,H1,12x14,2
53,H1,12x15,1
54,H1,12x16,5
55,H1,12x17,7
56,H1,12x18,7
57,H1,12x19,7
58,H1,12x20,5
59,H1,12x21,5
60,H1,12x22,5
61,H1,12x23,3
62,H1,12x24,3
63,H1,12x25,4
64,H1,12x26,7
65,H1,12x27,9
66,H1,12x28,4
67,H1,12x29,4
68,H1,12x30,4
69,H1,12x31,7
70,H1,12x32,4
71,H1,12x33,4
72,H1,12x34,4
73,H1,12x9,2
74,H1,13x10,2
75,H1,13x11,2
76,H1,13x12,2
77,H1,13x13,2
78,H1,13x14,2
79,H1,13x15,1
80,H1,13x16,0
81,H1,13x17,5
82,H1,13x18,5
83,H1,13x19,5
84,H1,13x20,5
85,H1,13x21,5
86,H1,13x22,5
87,H1,13x23,0
88,H1,13x24,3
89,H1,13x25,3
90,H1,13x26,0
91,H1,13x27,7
92,H1,13x28,4
93,H1,13x29,4
94,H1,13x30,7
95,H1,13x31,4
96,H1,13x32,4
97,H1,13x33,4
98,H1,13x34,4
99,H1,13x9,2
100,H1,14x10,2
101,H1,14x11,2
102,H1,14x12,2
103,H1,14x13,2
104,H1,14x14,3
105,H1,14x15,3
106,H1,14x16,1
107,H1,14x17,5
108,H1,14x18,7
109,H1,14x19,7
110,H1,14x20,11
111,H1,14x21,11
112,H1,14x22,5
113,H1,14x23,0
114,H1,14x24,0
115,H1,14x25,0
116,H1,14x26,0
117,H1,14x27,7
118,H1,14x28,4
119,H1,14x29,9
120,H1,14x30,9
121,H1,14x31,5
122,H1,14x32,4
123,H1,14x33,4
124,H1,14x34,4
125,H1,14x9,2
126,H1,15x10,8
127,H1,15x11,8
128,H1,15x12,2
129,H1,15x13,2
130,H1,15x14,2
131,H1,15x15,2
132,H1,15x16,2
133,H1,15x17,11
134,H1,15x18,7
135,H1,15x19,7
136,H1,15x20,5
137,H1,15x21,5
138,H1,15x22,5
139,H1,15x23,3
140,H1,15x24,0
141,H1,15x25,11
142,H1,15x26,5
143,H1,15x27,7
144,H1,15x28,9
145,H1,15x29,7
146,H1,15x30,7
147,H1,15x31,7
148,H1,15x33,7
149,H1,15x34,11
150,H1,15x9,8
151,H1,16x10,8
152,H1,16x11,8
153,H1,16x12,2
154,H1,16x13,1
155,H1,16x14,3
156,H1,16x15,1
157,H1,16x16,2
158,H1,16x17,0
159,H1,16x18,5
160,H1,16x19,5
161,H1,16x20,5
162,H1,16x21,5
163,H1,16x22,0
164,H1,16x23,0
165,H1,16x24,5
166,H1,16x25,11
167,H1,16x26,5
168,H1,16x27,0
169,H1,16x28,7
170,H1,16x29,4
171,H1,16x30,7
172,H1,16x31,4
173,H1,16x32,9
174,H1,16x33,9
175,H1,16x34,11
176,H1,16x9,10
177,H1,17x10,8
178,H1,17x11,10
179,H1,17x12,10
180,H1,17x13,1
181,H1,17x14,1
182,H1,17x15,2
183,H1,17x16,1
184,H1,17x17,1
185,H1,17x18,1
186,H1,17x19,2
187,H1,17x20,0
188,H1,17x21,0
189,H1,17x22,0
190,H1,17x23,0
191,H1,17x24,5
192,H1,17x25,11
193,H1,17x26,11
194,H1,17x27,11
195,H1,17x28,5
196,H1,17x29,5
197,H1,17x30,7
198,H1,17x31,7
199,H1,17x32,4
200,H1,17x33,5
201,H1,17x9,10
202,H1,18x10,1
203,H1,18x11,8
204,H1,18x12,8
205,H1,18x13,1
206,H1,18x14,2
207,H1,18x15,1
208,H1,18x16,1
209,H1,18x17,1
210,H1,18x19,0
211,H1,18x20,11
212,H1,18x21,0
213,H1,18x22,0
214,H1,18x23,0
215,H1,18x24,0
216,H1,18x25,0
217,H1,18x26,11
218,H1,18x27,11
219,H1,18x28,11
220,H1,18x29,0
221,H1,18x30,5
222,H1,18x31,5
223,H1,18x32,5
224,H1,18x33,6
225,H1,18x9,1
226,H1,19x10,2
227,H1,19x11,8
228,H1,19x12,1
229,H1,19x13,2
230,H1,19x14,1
231,H1,19x15,1
232,H1,19x16,1
233,H1,19x17,0
234,H1,19x18,2
235,H1,19x19,11
236,H1,19x20,0
237,H1,19x21,0
238,H1,19x22,0
239,H1,19x23,0
240,H1,19x24,0
241,H1,19x25,0
242,H1,19x26,0
243,H1,19x27,5
244,H1,19x28,0
245,H1,19x29,6
246,H1,19x30,0
247,H1,19x31,6
248,H1,19x32,6
249,H1,19x9,2
250,H1,20x10,2
251,H1,20x11,2
252,H1,20x12,2
253,H1,20x13,2
254,H1,20x14,1
255,H1,20x15,8
256,H1,20x16,1
257,H1,20x17,1
258,H1,20x18,0
259,H1,20x19,11
260,H1,20x20,0
261,H1,20x21,0
262,H1,20x22,0
263,H1,20x23,0
264,H1,20x24,0
265,H1,20x25,0
266,H1,20x26,0
267,H1,20x27,6
268,H1,20x28,0
269,H1,20x29,6
270,H1,20x30,6
271,H1,20x31,6
272,H1,20x32,0
273,H1,20x9,2
274,H1,21x10,2
275,H1,21x11,1
276,H1,21x12,2
277,H1,21x13,8
278,H1,21x14,8
279,H1,21x15,8
280,H1,21x16,8
281,H1,21x17,8
282,H1,21x18,0
283,H1,21x19,11
284,H1,21x20,0
285,H1,21x21,0
286,H1,21x22,0
287,H1,21x23,0
288,H1,21x24,6
289,H1,21x25,0
290,H1,21x26,0
291,H1,21x27,6
292,H1,21x28,6
