,sample,spot_name,cluster
0,H1,10x10,3
1,H1,10x11,3
2,H1,10x12,3
3,H1,10x13,3
4,H1,10x14,0
5,H1,10x15,4
6,H1,10x16,5
7,H1,10x17,5
8,H1,10x18,5
9,H1,10x19,6
10,H1,10x20,4
11,H1,10x21,4
12,H1,10x22,4
13,H1,10x23,4
14,H1,10x24,5
15,H1,10x25,5
16,H1,10x26,5
17,H1,10x27,2
18,H1,10x28,5
19,H1,10x29,2
20,H1,10x30,5
21,H1,10x31,2
22,H1,10x32,4
23,H1,10x33,2
24,H1,11x10,3
25,H1,11x12,3
26,H1,11x13,3
27,H1,11x14,0
28,H1,11x15,4
29,H1,11x16,4
30,H1,11x17,6
31,H1,11x18,6
32,H1,11x19,6
33,H1,11x20,6
34,H1,11x21,11
35,H1,11x22,4
36,H1,11x23,4
37,H1,11x24,4
38,H1,11x25,2
39,H1,11x26,2
40,H1,11x27,2
41,H1,11x28,2
42,H1,11x29,5
43,H1,11x30,2
44,H1,11x31,5
45,H1,11x32,2
46,H1,11x33,2
47,H1,11x9,3
48,H1,12x10,3
49,H1,12x11,3
50,H1,12x12,3
51,H1,12x13,3
52,H1,12x14,3
53,H1,12x15,0
54,H1,12x16,6
55,H1,12x17,5
56,H1,12x18,5
57,H1,12x19,5
58,H1,12x20,6
59,H1,12x21,6
60,H1,12x22,6
61,H1,12x23,4
62,H1,12x24,4
63,H1,12x25,1
64,H1,12x26,5
65,H1,12x27,2
66,H1,12x28,2
67,H1,12x29,2
68,H1,12x30,2
69,H1,12x31,5
70,H1,12x32,2
71,H1,12x33,2
72,H1,12x34,2
73,H1,12x9,3
74,H1,13x10,3
75,H1,13x11,3
76,H1,13x12,3
77,H1,13x13,3
78,H1,13x14,0
79,H1,13x15,0
80,H1,13x16,1
81,H1,13x17,6
82,H1,13x18,6
83,H1,13x19,6
84,H1,13x20,6
85,H1,13x21,6
86,H1,13x22,6
87,H1,13x23,1
88,H1,13x24,1
89,H1,13x25,4
90,H1,13x26,1
91,H1,13x27,5
92,H1,13x28,2
93,H1,13x29,2
94,H1,13x30,5
95,H1,13x31,2
96,H1,13x32,2
97,H1,13x33,2
98,H1,13x34,2
99,H1,13x9,3
100,H1,14x10,3
101,H1,14x11,3
102,H1,14x12,0
103,H1,14x13,0
104,H1,14x14,0
105,H1,14x15,0
106,H1,14x16,0
107,H1,14x17,6
108,H1,14x18,5
109,H1,14x19,5
110,H1,14x20,11
111,H1,14x21,11
112,H1,14x22,6
113,H1,14x23,1
114,H1,14x24,1
115,H1,14x25,1
116,H1,14x26,1
117,H1,14x27,5
118,H1,14x28,2
119,H1,14x29,2
120,H1,14x30,2
121,H1,14x31,6
122,H1,14x32,2
123,H1,14x33,2
124,H1,14x34,2
125,H1,14x9,3
126,H1,15x10,9
127,H1,15x11,9
128,H1,15x12,0
129,H1,15x13,3
130,H1,15x14,0
131,H1,15x15,0
132,H1,15x16,0
133,H1,15x17,11
134,H1,15x18,5
135,H1,15x19,5
136,H1,15x20,6
137,H1,15x21,6
138,H1,15x22,6
139,H1,15x23,1
140,H1,15x24,1
141,H1,15x25,11
142,H1,15x26,6
143,H1,15x27,5
144,H1,15x28,5
145,H1,15x29,5
146,H1,15x30,5
147,H1,15x31,5
148,H1,15x33,5
149,H1,15x34,11
150,H1,15x9,9
151,H1,16x10,9
152,H1,16x11,9
153,H1,16x12,0
154,H1,16x13,0
155,H1,16x14,0
156,H1,16x15,0
157,H1,16x16,0
158,H1,16x17,1
159,H1,16x18,6
160,H1,16x19,6
161,H1,16x20,6
162,H1,16x21,6
163,H1,16x22,6
164,H1,16x23,1
165,H1,16x24,6
166,H1,16x25,11
167,H1,16x26,6
168,H1,16x27,1
169,H1,16x28,5
170,H1,16x29,2
171,H1,16x30,5
172,H1,16x31,2
173,H1,16x32,5
174,H1,16x33,5
175,H1,16x34,11
176,H1,16x9,8
177,H1,17x10,9
178,H1,17x11,8
179,H1,17x12,8
180,H1,17x13,0
181,H1,17x14,0
182,H1,17x15,3
183,H1,17x16,0
184,H1,17x17,0
185,H1,17x18,0
186,H1,17x19,0
187,H1,17x20,1
188,H1,17x21,1
189,H1,17x22,1
190,H1,17x23,1
191,H1,17x24,6
192,H1,17x25,11
193,H1,17x26,11
194,H1,17x27,11
195,H1,17x28,6
196,H1,17x29,6
197,H1,17x30,5
198,H1,17x31,5
199,H1,17x32,6
200,H1,17x33,6
201,H1,17x9,8
202,H1,18x10,0
203,H1,18x11,9
204,H1,18x12,9
205,H1,18x13,0
206,H1,18x14,3
207,H1,18x15,0
208,H1,18x16,0
209,H1,18x17,0
210,H1,18x19,1
211,H1,18x20,11
212,H1,18x21,1
213,H1,18x22,0
214,H1,18x23,1
215,H1,18x24,1
216,H1,18x25,1
217,H1,18x26,11
218,H1,18x27,11
219,H1,18x28,11
220,H1,18x29,1
221,H1,18x30,6
222,H1,18x31,11
223,H1,18x32,6
224,H1,18x33,10
225,H1,18x9,0
226,H1,19x10,0
227,H1,19x11,9
228,H1,19x12,0
229,H1,19x13,3
230,H1,19x14,0
231,H1,19x15,0
232,H1,19x16,0
233,H1,19x17,1
234,H1,19x18,0
235,H1,19x19,11
236,H1,19x20,1
237,H1,19x21,1
238,H1,19x22,1
239,H1,19x23,1
240,H1,19x24,1
241,H1,19x25,1
242,H1,19x26,1
243,H1,19x27,6
244,H1,19x28,7
245,H1,19x29,7
246,H1,19x30,7
247,H1,19x31,7
248,H1,19x32,7
249,H1,19x9,3
250,H1,20x10,3
251,H1,20x11,3
252,H1,20x12,3
253,H1,20x13,0
254,H1,20x14,0
255,H1,20x15,9
256,H1,20x16,9
257,H1,20x17,0
258,H1,20x18,1
259,H1,20x19,11
260,H1,20x20,1
261,H1,20x21,1
262,H1,20x22,1
263,H1,20x23,1
264,H1,20x24,7
265,H1,20x25,1
266,H1,20x26,1
267,H1,20x27,7
268,H1,20x28,7
269,H1,20x29,10
270,H1,20x30,10
271,H1,20x31,10
272,H1,20x32,7
273,H1,20x9,3
274,H1,21x10,3
275,H1,21x11,0
276,H1,21x12,3
277,H1,21x13,8
278,H1,21x14,9
279,H1,21x15,9
280,H1,21x16,9
281,H1,21x17,9
282,H1,21x18,1
283,H1,21x19,11
284,H1,21x20,1
285,H1,21x21,1
286,H1,21x22,1
