,sample,spot_name,cluster
0,A1,10x13,0
1,A1,10x14,1
2,A1,10x15,0
3,A1,10x16,0
4,A1,10x17,3
5,A1,10x18,1
6,A1,10x19,1
7,A1,10x20,1
8,A1,10x21,1
9,A1,10x22,1
10,A1,10x23,3
11,A1,10x24,1
12,A1,10x25,1
13,A1,10x26,3
14,A1,10x27,1
15,A1,10x28,1
16,A1,11x13,0
17,A1,11x14,0
18,A1,11x15,0
19,A1,11x16,0
20,A1,11x18,0
21,A1,11x19,0
22,A1,11x20,1
23,A1,11x21,1
24,A1,11x22,3
25,A1,11x23,3
26,A1,11x24,1
27,A1,11x25,1
28,A1,11x26,1
29,A1,11x27,1
30,A1,12x12,2
31,A1,12x13,0
32,A1,12x14,0
33,A1,12x15,0
34,A1,12x16,0
35,A1,12x17,1
36,A1,12x18,0
37,A1,12x19,1
38,A1,12x20,1
39,A1,12x21,3
40,A1,12x22,3
41,A1,12x23,3
42,A1,12x24,1
43,A1,12x25,1
44,A1,12x26,3
45,A1,12x27,1
46,A1,12x28,1
47,A1,13x12,0
48,A1,13x13,0
49,A1,13x14,0
50,A1,13x15,3
51,A1,13x16,0
52,A1,13x17,0
53,A1,13x18,0
54,A1,13x19,3
55,A1,13x20,3
56,A1,13x21,3
57,A1,13x22,3
58,A1,13x23,0
59,A1,13x24,3
60,A1,13x25,1
61,A1,13x26,3
62,A1,13x27,3
63,A1,13x28,1
64,A1,14x13,0
65,A1,14x14,0
66,A1,14x15,3
67,A1,14x16,3
68,A1,14x17,0
69,A1,14x18,3
70,A1,14x19,3
71,A1,14x20,3
72,A1,14x21,1
73,A1,14x22,3
74,A1,14x23,3
75,A1,14x24,0
76,A1,14x25,1
77,A1,14x26,3
78,A1,14x27,3
79,A1,14x28,3
80,A1,15x13,2
81,A1,15x14,0
82,A1,15x15,2
83,A1,15x16,0
84,A1,15x17,3
85,A1,15x18,3
86,A1,15x19,3
87,A1,15x20,0
88,A1,15x21,0
89,A1,15x22,1
90,A1,15x23,0
91,A1,15x24,3
92,A1,15x25,1
93,A1,15x26,3
94,A1,15x27,3
95,A1,16x12,3
96,A1,16x13,3
97,A1,16x14,2
98,A1,16x15,0
99,A1,16x16,0
100,A1,16x17,0
101,A1,16x18,0
102,A1,16x19,0
103,A1,16x20,3
104,A1,16x21,3
105,A1,16x22,0
106,A1,16x23,0
107,A1,16x24,1
108,A1,16x25,0
109,A1,16x26,3
110,A1,16x27,3
111,A1,17x13,0
112,A1,17x15,2
113,A1,17x16,0
114,A1,17x17,0
115,A1,17x18,3
116,A1,17x19,3
117,A1,17x20,3
118,A1,17x21,3
119,A1,17x22,3
120,A1,17x23,0
121,A1,17x24,0
122,A1,17x25,3
123,A1,17x26,0
124,A1,17x27,3
125,A1,18x13,0
126,A1,18x14,0
127,A1,18x15,2
128,A1,18x16,0
129,A1,18x17,3
130,A1,18x18,3
131,A1,18x19,0
132,A1,18x21,3
133,A1,18x22,3
134,A1,18x23,0
135,A1,18x24,0
136,A1,18x25,3
137,A1,18x26,0
138,A1,18x27,0
139,A1,19x12,2
140,A1,19x13,0
141,A1,19x14,0
142,A1,19x15,0
143,A1,19x16,0
144,A1,19x17,1
145,A1,19x18,3
146,A1,19x19,3
147,A1,19x20,3
148,A1,19x21,3
149,A1,19x22,0
150,A1,19x23,0
151,A1,19x24,0
152,A1,19x25,0
153,A1,19x26,3
154,A1,19x27,0
155,A1,20x12,2
156,A1,20x13,2
157,A1,20x14,0
158,A1,20x15,0
159,A1,20x16,0
160,A1,20x17,0
161,A1,20x18,0
162,A1,20x19,0
163,A1,20x20,0
164,A1,20x21,0
165,A1,20x22,3
166,A1,20x23,3
167,A1,20x24,0
168,A1,20x25,1
169,A1,20x26,1
170,A1,20x27,0
171,A1,21x12,2
172,A1,21x13,2
173,A1,21x14,2
174,A1,21x15,2
175,A1,21x16,2
176,A1,21x17,2
177,A1,21x18,0
178,A1,21x19,0
179,A1,21x20,0
180,A1,21x21,3
181,A1,21x22,0
182,A1,21x23,0
183,A1,21x24,0
184,A1,21x25,3
185,A1,21x26,0
186,A1,21x27,0
187,A1,22x12,2
188,A1,22x13,2
189,A1,22x14,2
190,A1,22x15,2
191,A1,22x16,2
192,A1,22x17,2
193,A1,22x18,2
194,A1,22x19,0
195,A1,22x20,0
196,A1,22x21,2
197,A1,22x22,3
198,A1,22x23,0
199,A1,22x24,0
200,A1,22x25,3
201,A1,22x26,3
202,A1,22x27,0
203,A1,23x12,2
204,A1,23x13,2
205,A1,23x14,2
206,A1,23x15,2
207,A1,23x16,2
208,A1,23x17,2
209,A1,23x18,0
210,A1,23x19,2
211,A1,23x20,2
212,A1,23x21,0
213,A1,23x22,0
214,A1,23x23,2
215,A1,23x24,0
216,A1,23x25,2
217,A1,23x26,2
218,A1,24x13,2
219,A1,24x14,2
220,A1,24x15,2
221,A1,24x16,2
222,A1,24x17,0
223,A1,24x18,2
224,A1,24x19,2
225,A1,24x20,2
226,A1,24x21,2
227,A1,24x22,2
228,A1,24x23,0
229,A1,24x24,2
230,A1,24x25,2
231,A1,24x26,2
232,A1,24x27,2
233,A1,25x12,2
234,A1,25x13,2
235,A1,25x14,2
236,A1,25x15,2
237,A1,25x16,2
238,A1,25x17,2
239,A1,25x18,2
240,A1,25x19,2
241,A1,25x20,2
242,A1,25x21,2
243,A1,25x22,2
244,A1,25x23,2
245,A1,25x24,2
246,A1,25x25,2
247,A1,25x26,2
248,A1,26x12,2
249,A1,26x13,2
250,A1,26x14,2
251,A1,26x15,2
252,A1,26x16,2
253,A1,26x17,2
254,A1,26x18,2
255,A1,26x19,2
256,A1,3x14,4
257,A1,3x17,4
258,A1,3x18,4
259,A1,3x19,4
260,A1,3x20,4
261,A1,3x21,4
262,A1,4x14,4
263,A1,4x15,4
264,A1,4x16,4
265,A1,4x17,4
266,A1,4x18,4
267,A1,4x19,4
268,A1,4x20,4
269,A1,4x21,4
270,A1,4x22,4
271,A1,4x23,1
272,A1,4x24,1
273,A1,5x14,4
274,A1,5x15,4
275,A1,5x16,4
276,A1,5x17,4
277,A1,5x18,1
278,A1,5x19,4
279,A1,5x20,4
280,A1,5x21,4
281,A1,5x22,1
282,A1,5x23,1
283,A1,5x24,1
284,A1,5x27,1
285,A1,5x28,1
286,A1,6x14,4
287,A1,6x15,1
288,A1,6x16,1
289,A1,6x17,1
290,A1,6x18,4
291,A1,6x19,1
292,A1,6x20,1
293,A1,6x21,1
294,A1,6x22,1
295,A1,6x23,1
296,A1,6x24,1
297,A1,6x25,4
298,A1,6x28,1
299,A1,7x14,1
300,A1,7x15,1
301,A1,7x16,1
302,A1,7x17,1
303,A1,7x18,1
304,A1,7x19,1
305,A1,7x20,1
306,A1,7x21,1
307,A1,7x24,1
308,A1,7x25,4
309,A1,7x27,1
310,A1,7x28,1
311,A1,8x14,0
312,A1,8x15,0
313,A1,8x16,1
314,A1,8x17,3
315,A1,8x18,1
316,A1,8x19,1
317,A1,8x20,1
318,A1,8x21,1
319,A1,8x22,1
320,A1,8x23,1
321,A1,8x24,1
322,A1,8x25,1
323,A1,8x26,4
324,A1,8x27,1
325,A1,9x13,0
326,A1,9x14,0
327,A1,9x15,0
328,A1,9x16,0
329,A1,9x17,0
330,A1,9x18,0
331,A1,9x19,1
332,A1,9x20,0
333,A1,9x21,1
334,A1,9x22,1
335,A1,9x23,1
336,A1,9x24,1
337,A1,9x25,4
338,A1,9x26,1
339,A1,9x27,1
340,B1,10x13,1
341,B1,10x14,1
342,B1,10x15,1
343,B1,10x16,1
344,B1,10x17,1
345,B1,10x20,1
346,B1,10x21,4
347,B1,10x22,4
348,B1,10x23,3
349,B1,10x24,3
350,B1,10x25,4
351,B1,10x27,3
352,B1,10x28,3
353,B1,10x29,3
354,B1,10x30,3
355,B1,11x14,1
356,B1,11x16,1
357,B1,11x18,1
358,B1,11x19,1
359,B1,11x21,3
360,B1,11x22,4
361,B1,11x23,4
362,B1,11x24,3
363,B1,11x25,3
364,B1,11x27,3
365,B1,11x28,3
366,B1,11x29,3
367,B1,11x30,3
368,B1,12x14,1
369,B1,12x16,1
370,B1,12x17,1
371,B1,12x18,1
372,B1,12x19,1
373,B1,12x20,4
374,B1,12x21,4
375,B1,12x22,4
376,B1,12x23,4
377,B1,12x24,3
378,B1,12x25,3
379,B1,12x26,2
380,B1,12x28,0
381,B1,12x29,0
382,B1,12x30,2
383,B1,13x15,1
384,B1,13x16,1
385,B1,13x17,1
386,B1,13x18,1
387,B1,13x19,1
388,B1,13x20,1
389,B1,13x21,4
390,B1,13x22,4
391,B1,13x23,0
392,B1,13x24,3
393,B1,13x25,3
394,B1,13x26,0
395,B1,13x27,0
396,B1,13x28,0
397,B1,14x17,1
398,B1,14x18,1
399,B1,14x19,1
400,B1,14x20,4
401,B1,14x21,4
402,B1,14x22,4
403,B1,14x23,0
404,B1,14x24,0
405,B1,14x25,0
406,B1,14x26,0
407,B1,14x27,0
408,B1,14x28,0
409,B1,14x29,2
410,B1,14x30,0
411,B1,15x17,1
412,B1,15x18,1
413,B1,15x19,1
414,B1,15x20,1
415,B1,15x21,0
416,B1,15x25,0
417,B1,15x26,0
418,B1,15x27,0
419,B1,15x28,0
420,B1,15x29,0
421,B1,15x30,0
422,B1,16x18,1
423,B1,16x19,1
424,B1,16x20,1
425,B1,16x21,4
426,B1,16x22,4
427,B1,16x23,4
428,B1,16x24,0
429,B1,16x25,0
430,B1,16x26,0
431,B1,16x27,0
432,B1,16x28,0
433,B1,16x29,0
434,B1,16x30,0
435,B1,17x20,0
436,B1,17x21,0
437,B1,17x24,0
438,B1,17x25,0
439,B1,17x26,0
440,B1,17x27,0
441,B1,17x29,0
442,B1,17x30,0
443,B1,18x19,1
444,B1,18x21,4
445,B1,18x22,0
446,B1,18x23,0
447,B1,18x24,0
448,B1,18x25,0
449,B1,18x26,0
450,B1,18x28,0
451,B1,18x29,0
452,B1,18x30,0
453,B1,19x23,0
454,B1,19x24,0
455,B1,19x25,0
456,B1,19x26,0
457,B1,19x28,0
458,B1,19x29,0
459,B1,19x30,0
460,B1,20x20,1
461,B1,20x21,0
462,B1,20x22,0
463,B1,20x23,0
464,B1,20x24,0
465,B1,20x25,0
466,B1,20x26,0
467,B1,20x27,0
468,B1,20x28,0
469,B1,20x29,0
470,B1,20x30,0
471,B1,21x23,0
472,B1,21x25,0
473,B1,21x26,0
474,B1,21x27,0
475,B1,21x28,0
476,B1,21x29,0
477,B1,22x22,0
478,B1,22x25,3
479,B1,22x26,3
480,B1,22x27,0
481,B1,22x28,3
482,B1,22x30,0
483,B1,23x24,0
484,B1,23x29,0
485,B1,23x30,0
486,B1,24x29,0
487,B1,24x30,0
488,B1,2x24,2
489,B1,2x25,2
490,B1,2x26,2
491,B1,2x27,2
492,B1,2x28,2
493,B1,2x29,2
494,B1,2x30,2
495,B1,2x31,2
496,B1,3x19,2
497,B1,3x20,2
498,B1,3x21,2
499,B1,3x22,2
500,B1,3x23,2
501,B1,3x24,2
502,B1,3x25,2
503,B1,3x26,2
504,B1,3x27,2
505,B1,3x28,2
506,B1,3x29,2
507,B1,3x30,2
508,B1,4x16,1
509,B1,4x17,3
510,B1,4x18,3
511,B1,4x20,2
512,B1,4x21,2
513,B1,4x22,2
514,B1,4x23,2
515,B1,4x24,2
516,B1,4x25,2
517,B1,4x26,2
518,B1,4x27,2
519,B1,4x28,2
520,B1,4x29,2
521,B1,4x30,2
522,B1,5x14,1
523,B1,5x15,1
524,B1,5x16,1
525,B1,5x17,1
526,B1,5x18,3
527,B1,5x19,3
528,B1,5x20,2
529,B1,5x21,2
530,B1,5x22,2
531,B1,5x23,2
532,B1,5x24,2
533,B1,5x25,2
534,B1,5x26,2
535,B1,5x27,2
536,B1,5x28,2
537,B1,5x29,2
538,B1,5x30,2
539,B1,6x13,1
540,B1,6x14,1
541,B1,6x15,1
542,B1,6x16,1
543,B1,6x17,1
544,B1,6x18,1
545,B1,6x19,1
546,B1,6x20,4
547,B1,6x21,3
548,B1,6x22,2
549,B1,6x23,2
550,B1,6x24,2
551,B1,6x25,2
552,B1,6x26,2
553,B1,6x27,2
554,B1,6x28,2
555,B1,6x29,2
556,B1,6x30,2
557,B1,7x12,2
558,B1,7x14,1
559,B1,7x15,1
560,B1,7x16,1
561,B1,7x17,1
562,B1,7x18,1
563,B1,7x19,1
564,B1,7x20,1
565,B1,7x21,4
566,B1,7x22,3
567,B1,7x23,3
