,sample,spot_name,cluster
0,H1,22x9,2
1,H1,11x9,2
2,H1,19x9,1
3,H1,25x9,2
4,H1,18x9,2
5,H1,21x9,2
6,H1,23x9,2
7,H1,14x9,2
8,H1,17x9,1
9,H1,24x9,2
10,H1,15x9,1
11,H1,12x9,2
12,H1,13x9,2
13,H1,20x9,2
14,H1,16x9,2
15,H1,22x10,2
16,H1,31x10,2
17,H1,20x10,2
18,H1,11x10,2
19,H1,21x10,2
20,H1,29x10,2
21,H1,17x10,2
22,H1,19x10,2
23,H1,27x10,2
24,H1,28x10,2
25,H1,16x10,1
26,H1,24x10,2
27,H1,18x10,1
28,H1,26x10,2
29,H1,8x10,2
30,H1,9x10,2
31,H1,15x10,2
32,H1,10x10,2
33,H1,7x10,2
34,H1,6x10,3
35,H1,12x10,2
36,H1,14x10,2
37,H1,25x10,2
38,H1,23x10,2
39,H1,13x10,2
40,H1,22x11,2
41,H1,32x11,2
42,H1,21x11,2
43,H1,31x11,2
44,H1,27x11,2
45,H1,29x11,2
46,H1,28x11,2
47,H1,6x11,2
48,H1,30x11,2
49,H1,7x11,2
50,H1,8x11,2
51,H1,9x11,2
52,H1,16x11,2
53,H1,20x11,2
54,H1,18x11,2
55,H1,26x11,2
56,H1,10x11,2
57,H1,17x11,1
58,H1,19x11,1
59,H1,25x11,2
60,H1,24x11,2
61,H1,23x11,2
62,H1,15x11,1
63,H1,12x11,2
64,H1,13x11,2
65,H1,14x11,2
66,H1,31x12,2
67,H1,22x12,2
68,H1,32x12,2
69,H1,27x12,2
70,H1,11x12,2
71,H1,18x12,1
72,H1,29x12,2
73,H1,20x12,2
74,H1,21x12,2
75,H1,28x12,2
76,H1,30x12,2
77,H1,9x12,2
78,H1,25x12,2
79,H1,16x12,2
80,H1,26x12,2
81,H1,10x12,2
82,H1,19x12,2
83,H1,17x12,2
84,H1,8x12,2
85,H1,12x12,2
86,H1,6x12,2
87,H1,24x12,2
88,H1,7x12,2
89,H1,14x12,2
90,H1,23x12,2
91,H1,15x12,2
92,H1,13x12,2
93,H1,22x13,2
94,H1,29x13,2
95,H1,30x13,2
96,H1,11x13,2
97,H1,31x13,2
98,H1,20x13,2
99,H1,21x13,2
100,H1,28x13,2
101,H1,16x13,2
102,H1,27x13,2
103,H1,10x13,2
104,H1,25x13,2
105,H1,26x13,2
106,H1,19x13,2
107,H1,9x13,2
108,H1,8x13,2
109,H1,15x13,2
110,H1,17x13,2
111,H1,18x13,2
112,H1,6x13,2
113,H1,23x13,2
114,H1,24x13,2
115,H1,14x13,2
116,H1,12x13,2
117,H1,7x13,2
118,H1,13x13,2
119,H1,19x14,2
120,H1,31x14,2
121,H1,22x14,2
122,H1,20x14,2
123,H1,30x14,2
124,H1,27x14,2
125,H1,28x14,2
126,H1,9x14,2
127,H1,26x14,2
128,H1,11x14,2
129,H1,18x14,2
130,H1,25x14,2
131,H1,5x14,2
132,H1,10x14,2
133,H1,14x14,2
134,H1,29x14,2
135,H1,6x14,2
136,H1,8x14,2
137,H1,17x14,2
138,H1,23x14,2
139,H1,12x14,2
140,H1,24x14,2
141,H1,7x14,2
142,H1,15x14,2
143,H1,13x14,2
144,H1,21x14,2
145,H1,16x14,2
146,H1,30x15,2
147,H1,31x15,2
148,H1,22x15,2
149,H1,11x15,3
150,H1,29x15,2
151,H1,19x15,2
152,H1,27x15,2
153,H1,28x15,2
154,H1,18x15,2
155,H1,23x15,2
156,H1,25x15,2
157,H1,9x15,1
158,H1,21x15,2
159,H1,8x15,1
160,H1,16x15,2
161,H1,20x15,2
162,H1,17x15,2
163,H1,26x15,2
164,H1,10x15,2
165,H1,24x15,2
166,H1,14x15,2
167,H1,15x15,2
168,H1,6x15,2
169,H1,7x15,2
170,H1,12x15,2
171,H1,13x15,2
172,H1,22x16,2
173,H1,31x16,2
174,H1,20x16,2
175,H1,11x16,1
176,H1,19x16,2
177,H1,21x16,2
178,H1,27x16,2
179,H1,30x16,2
180,H1,16x16,2
181,H1,26x16,2
182,H1,28x16,2
183,H1,29x16,2
184,H1,10x16,3
185,H1,9x16,1
186,H1,18x16,2
187,H1,25x16,2
188,H1,15x16,2
189,H1,8x16,1
190,H1,14x16,2
191,H1,12x16,3
192,H1,17x16,2
193,H1,23x16,2
194,H1,5x16,2
195,H1,6x16,2
196,H1,7x16,2
197,H1,24x16,2
198,H1,13x16,2
199,H1,31x17,3
200,H1,22x17,2
201,H1,30x17,2
202,H1,11x17,3
203,H1,29x17,2
204,H1,20x17,2
205,H1,16x17,2
206,H1,19x17,2
207,H1,25x17,2
208,H1,27x17,2
209,H1,28x17,2
210,H1,21x17,2
211,H1,26x17,2
212,H1,9x17,1
213,H1,8x17,1
214,H1,10x17,3
215,H1,23x17,2
216,H1,5x17,2
217,H1,15x17,3
218,H1,18x17,2
219,H1,17x17,2
220,H1,24x17,2
221,H1,14x17,3
222,H1,7x17,1
223,H1,12x17,3
224,H1,13x17,3
225,H1,6x17,2
226,H1,22x18,2
227,H1,11x18,3
228,H1,21x18,2
229,H1,9x18,3
230,H1,20x18,2
231,H1,29x18,2
232,H1,28x18,2
233,H1,10x18,3
234,H1,27x18,2
235,H1,19x18,2
236,H1,15x18,3
237,H1,17x18,2
238,H1,30x18,1
239,H1,16x18,3
240,H1,14x18,3
241,H1,8x18,1
242,H1,25x18,2
243,H1,26x18,2
244,H1,23x18,2
245,H1,12x18,3
246,H1,7x18,2
247,H1,13x18,3
248,H1,24x18,2
249,H1,6x18,1
250,H1,5x18,2
251,H1,22x19,3
252,H1,11x19,3
253,H1,5x19,1
254,H1,20x19,3
255,H1,21x19,3
256,H1,29x19,1
257,H1,27x19,2
258,H1,30x19,1
259,H1,9x19,1
260,H1,17x19,2
261,H1,19x19,3
262,H1,18x19,2
263,H1,28x19,2
264,H1,26x19,2
265,H1,10x19,3
266,H1,16x19,3
267,H1,8x19,1
268,H1,15x19,3
269,H1,25x19,2
270,H1,23x19,2
271,H1,6x19,2
272,H1,7x19,1
273,H1,24x19,2
274,H1,12x19,3
275,H1,13x19,3
276,H1,14x19,3
277,H1,20x20,1
278,H1,22x20,1
279,H1,30x20,1
280,H1,21x20,2
281,H1,29x20,1
282,H1,19x20,2
283,H1,11x20,3
284,H1,28x20,2
285,H1,16x20,1
286,H1,27x20,2
287,H1,26x20,2
288,H1,17x20,2
289,H1,18x20,3
290,H1,8x20,1
291,H1,10x20,1
292,H1,25x20,2
293,H1,7x20,1
294,H1,24x20,2
295,H1,9x20,1
296,H1,15x20,3
297,H1,6x20,1
298,H1,12x20,3
299,H1,23x20,2
300,H1,5x20,3
301,H1,13x20,3
302,H1,14x20,3
303,H1,4x20,3
304,H1,22x21,2
305,H1,29x21,1
306,H1,30x21,1
307,H1,11x21,3
308,H1,19x21,1
309,H1,28x21,1
310,H1,9x21,1
311,H1,16x21,2
312,H1,17x21,1
313,H1,21x21,1
314,H1,27x21,2
315,H1,10x21,1
316,H1,14x21,3
317,H1,20x21,2
318,H1,18x21,2
319,H1,8x21,1
320,H1,23x21,1
321,H1,15x21,3
322,H1,26x21,2
323,H1,25x21,2
324,H1,24x21,2
325,H1,5x21,3
326,H1,6x21,1
327,H1,12x21,3
328,H1,13x21,3
329,H1,4x21,3
330,H1,7x21,1
331,H1,11x22,1
332,H1,22x22,1
333,H1,20x22,1
334,H1,28x22,1
335,H1,29x22,1
336,H1,27x22,1
337,H1,21x22,2
338,H1,19x22,2
339,H1,16x22,1
340,H1,18x22,1
341,H1,8x22,1
342,H1,6x22,1
