,sample,spot_name,cluster
0,A1,10x13,2
1,A1,10x14,2
2,A1,10x15,2
3,A1,10x16,2
4,A1,10x17,3
5,A1,10x18,3
6,A1,10x19,3
7,A1,10x20,3
8,A1,10x21,3
9,A1,10x22,3
10,A1,10x23,3
11,A1,10x24,3
12,A1,10x25,3
13,A1,10x26,3
14,A1,10x27,4
15,A1,10x28,4
16,A1,11x13,2
17,A1,11x14,2
18,A1,11x15,2
19,A1,11x16,3
20,A1,11x18,3
21,A1,11x19,3
22,A1,11x20,3
23,A1,11x21,3
24,A1,11x22,3
25,A1,11x23,3
26,A1,11x24,3
27,A1,11x25,3
28,A1,11x26,3
29,A1,11x27,5
30,A1,12x12,2
31,A1,12x13,2
32,A1,12x14,2
33,A1,12x15,2
34,A1,12x16,2
35,A1,12x17,3
36,A1,12x18,3
37,A1,12x19,3
38,A1,12x20,3
39,A1,12x21,3
40,A1,12x22,3
41,A1,12x23,3
42,A1,12x24,3
43,A1,12x25,5
44,A1,12x26,3
45,A1,12x27,3
46,A1,12x28,3
47,A1,13x12,2
48,A1,13x13,2
49,A1,13x14,2
50,A1,13x15,2
51,A1,13x16,2
52,A1,13x17,3
53,A1,13x18,3
54,A1,13x19,3
55,A1,13x20,3
56,A1,13x21,3
57,A1,13x22,3
58,A1,13x23,3
59,A1,13x24,3
60,A1,13x25,3
61,A1,13x26,3
62,A1,13x27,3
63,A1,13x28,3
64,A1,14x13,2
65,A1,14x14,2
66,A1,14x15,2
67,A1,14x16,2
68,A1,14x17,3
69,A1,14x18,3
70,A1,14x19,3
71,A1,14x20,3
72,A1,14x21,3
73,A1,14x22,3
74,A1,14x23,3
75,A1,14x24,3
76,A1,14x25,3
77,A1,14x26,3
78,A1,14x27,3
79,A1,14x28,3
80,A1,15x13,2
81,A1,15x14,2
82,A1,15x15,4
83,A1,15x16,3
84,A1,15x17,3
85,A1,15x18,3
86,A1,15x19,3
87,A1,15x20,3
88,A1,15x21,3
89,A1,15x22,3
90,A1,15x23,3
91,A1,15x24,3
92,A1,15x25,3
93,A1,15x26,3
94,A1,15x27,3
95,A1,16x12,2
96,A1,16x13,1
97,A1,16x14,4
98,A1,16x15,3
99,A1,16x16,4
100,A1,16x17,3
101,A1,16x18,3
102,A1,16x19,3
103,A1,16x20,3
104,A1,16x21,3
105,A1,16x22,3
106,A1,16x23,3
107,A1,16x24,3
108,A1,16x25,3
109,A1,16x26,3
110,A1,16x27,3
111,A1,17x13,2
112,A1,17x15,4
113,A1,17x16,3
114,A1,17x17,2
115,A1,17x18,3
116,A1,17x19,3
117,A1,17x20,3
118,A1,17x21,3
119,A1,17x22,3
120,A1,17x23,3
121,A1,17x24,3
122,A1,17x25,3
123,A1,17x26,3
124,A1,17x27,3
125,A1,18x13,3
126,A1,18x14,2
127,A1,18x15,4
128,A1,18x16,2
129,A1,18x17,3
130,A1,18x18,2
131,A1,18x19,3
132,A1,18x21,3
133,A1,18x22,3
134,A1,18x23,3
135,A1,18x24,3
136,A1,18x25,3
137,A1,18x26,3
138,A1,18x27,3
139,A1,19x12,4
140,A1,19x13,2
141,A1,19x14,3
142,A1,19x15,2
143,A1,19x16,4
144,A1,19x17,2
145,A1,19x18,3
146,A1,19x19,2
147,A1,19x20,3
148,A1,19x21,2
149,A1,19x22,3
150,A1,19x23,3
151,A1,19x24,3
152,A1,19x25,3
153,A1,19x26,3
