,sample,spot_name,cluster
0,H1,10x10_H1,0
1,H1,10x11_H1,0
2,H1,10x12_H1,0
3,H1,10x13_H1,0
4,H1,10x14_H1,1
5,H1,10x15_H1,1
6,H1,10x16_H1,2
7,H1,10x17_H1,2
8,H1,10x18_H1,2
9,H1,10x19_H1,4
10,H1,10x20_H1,1
11,H1,10x21_H1,1
12,H1,10x22_H1,1
13,H1,10x23_H1,1
14,H1,10x24_H1,2
15,H1,10x25_H1,2
16,H1,10x26_H1,2
17,H1,10x27_H1,2
18,H1,10x28_H1,2
19,H1,10x29_H1,1
20,H1,10x30_H1,2
21,H1,10x31_H1,1
22,H1,10x32_H1,4
23,H1,10x33_H1,1
24,H1,11x10_H1,0
25,H1,11x12_H1,0
26,H1,11x13_H1,0
27,H1,11x14_H1,0
28,H1,11x15_H1,2
29,H1,11x16_H1,1
30,H1,11x17_H1,2
31,H1,11x18_H1,2
32,H1,11x19_H1,2
33,H1,11x20_H1,4
34,H1,11x21_H1,4
35,H1,11x22_H1,1
36,H1,11x23_H1,1
37,H1,11x24_H1,1
38,H1,11x25_H1,2
39,H1,11x26_H1,2
40,H1,11x27_H1,2
41,H1,11x28_H1,1
42,H1,11x29_H1,2
43,H1,11x30_H1,2
44,H1,11x31_H1,2
45,H1,11x32_H1,1
46,H1,11x33_H1,1
47,H1,11x9_H1,0
48,H1,12x10_H1,0
49,H1,12x11_H1,0
50,H1,12x12_H1,0
51,H1,12x13_H1,0
52,H1,12x14_H1,0
53,H1,12x15_H1,0
54,H1,12x16_H1,4
55,H1,12x17_H1,2
56,H1,12x18_H1,2
57,H1,12x19_H1,2
58,H1,12x20_H1,2
59,H1,12x21_H1,2
60,H1,12x22_H1,4
61,H1,12x23_H1,1
62,H1,12x24_H1,1
63,H1,12x25_H1,1
64,H1,12x26_H1,2
65,H1,12x27_H1,3
66,H1,12x28_H1,1
67,H1,12x29_H1,2
68,H1,12x30_H1,0
69,H1,12x31_H1,2
70,H1,12x32_H1,0
71,H1,12x33_H1,2
72,H1,12x34_H1,1
73,H1,12x9_H1,0
74,H1,13x10_H1,0
75,H1,13x11_H1,0
76,H1,13x12_H1,0
77,H1,13x13_H1,0
78,H1,13x14_H1,0
79,H1,13x15_H1,0
80,H1,13x16_H1,4
81,H1,13x17_H1,2
82,H1,13x18_H1,2
83,H1,13x19_H1,2
84,H1,13x20_H1,4
85,H1,13x21_H1,2
86,H1,13x22_H1,2
87,H1,13x23_H1,4
88,H1,13x24_H1,1
89,H1,13x25_H1,1
90,H1,13x26_H1,1
91,H1,13x27_H1,2
92,H1,13x28_H1,2
93,H1,13x29_H1,0
94,H1,13x30_H1,2
95,H1,13x31_H1,1
96,H1,13x32_H1,1
97,H1,13x33_H1,1
98,H1,13x34_H1,1
99,H1,13x9_H1,0
100,H1,14x10_H1,0
101,H1,14x11_H1,0
102,H1,14x12_H1,0
103,H1,14x13_H1,0
104,H1,14x14_H1,1
105,H1,14x15_H1,0
106,H1,14x16_H1,0
107,H1,14x17_H1,4
108,H1,14x18_H1,2
109,H1,14x19_H1,2
110,H1,14x20_H1,4
111,H1,14x21_H1,4
112,H1,14x22_H1,4
113,H1,14x23_H1,4
114,H1,14x24_H1,1
115,H1,14x25_H1,4
116,H1,14x26_H1,0
117,H1,14x27_H1,2
118,H1,14x28_H1,2
119,H1,14x29_H1,2
120,H1,14x30_H1,2
121,H1,14x31_H1,4
122,H1,14x32_H1,2
123,H1,14x33_H1,1
124,H1,14x34_H1,1
125,H1,14x9_H1,0
126,H1,15x10_H1,4
127,H1,15x11_H1,5
128,H1,15x12_H1,0
129,H1,15x13_H1,0
130,H1,15x14_H1,0
131,H1,15x15_H1,0
132,H1,15x16_H1,0
133,H1,15x17_H1,4
134,H1,15x18_H1,2
135,H1,15x19_H1,2
136,H1,15x20_H1,4
137,H1,15x21_H1,4
138,H1,15x22_H1,4
139,H1,15x23_H1,1
140,H1,15x24_H1,4
141,H1,15x25_H1,4
142,H1,15x26_H1,4
143,H1,15x27_H1,2
144,H1,15x28_H1,2
145,H1,15x29_H1,2
146,H1,15x30_H1,2
147,H1,15x31_H1,2
148,H1,15x33_H1,2
149,H1,15x34_H1,4
150,H1,15x9_H1,0
151,H1,16x10_H1,5
152,H1,16x11_H1,5
153,H1,16x12_H1,0
154,H1,16x13_H1,0
155,H1,16x14_H1,0
156,H1,16x15_H1,0
157,H1,16x16_H1,0
158,H1,16x17_H1,1
159,H1,16x18_H1,2
160,H1,16x19_H1,4
161,H1,16x20_H1,4
162,H1,16x21_H1,4
163,H1,16x22_H1,4
164,H1,16x23_H1,4
165,H1,16x24_H1,4
166,H1,16x25_H1,4
167,H1,16x26_H1,4
168,H1,16x27_H1,4
169,H1,16x28_H1,2
170,H1,16x29_H1,2
171,H1,16x30_H1,2
172,H1,16x31_H1,2
173,H1,16x32_H1,2
174,H1,16x33_H1,2
