,sample,spot_name,cluster
0,A1,10x13,2
1,A1,10x14,1
2,A1,10x15,2
3,A1,10x16,2
4,A1,10x17,2
5,A1,10x18,0
6,A1,10x19,0
7,A1,10x20,1
8,A1,10x21,1
9,A1,10x22,2
10,A1,10x23,2
11,A1,10x24,2
12,A1,10x25,2
13,A1,10x26,2
14,A1,10x27,0
15,A1,10x28,0
16,A1,11x13,1
17,A1,11x14,1
18,A1,11x15,2
19,A1,11x16,2
20,A1,11x18,1
21,A1,11x19,2
22,A1,11x20,1
23,A1,11x21,2
24,A1,11x22,2
25,A1,11x23,2
26,A1,11x24,2
27,A1,11x25,2
28,A1,11x26,2
29,A1,11x27,0
30,A1,12x12,1
31,A1,12x13,2
32,A1,12x14,2
33,A1,12x15,1
34,A1,12x16,2
35,A1,12x17,2
36,A1,12x18,2
37,A1,12x19,2
38,A1,12x20,2
39,A1,12x21,2
40,A1,12x22,2
41,A1,12x23,2
42,A1,12x24,2
43,A1,12x25,1
44,A1,12x26,2
45,A1,12x27,5
46,A1,12x28,2
47,A1,13x12,1
48,A1,13x13,1
49,A1,13x14,2
50,A1,13x15,2
51,A1,13x16,2
52,A1,13x17,2
53,A1,13x18,1
54,A1,13x19,2
55,A1,13x20,2
56,A1,13x21,2
57,A1,13x22,2
58,A1,13x23,2
59,A1,13x24,2
60,A1,13x25,2
61,A1,13x26,2
62,A1,13x27,2
63,A1,13x28,2
64,A1,14x13,1
65,A1,14x14,2
66,A1,14x15,2
67,A1,14x16,2
68,A1,14x17,2
69,A1,14x18,2
70,A1,14x19,2
71,A1,14x20,2
72,A1,14x21,2
73,A1,14x22,2
74,A1,14x23,2
75,A1,14x24,0
76,A1,14x25,2
77,A1,14x26,2
78,A1,14x27,2
79,A1,14x28,2
80,A1,15x13,1
81,A1,15x14,2
82,A1,15x15,0
83,A1,15x16,2
84,A1,15x17,2
85,A1,15x18,2
86,A1,15x19,2
87,A1,15x20,2
88,A1,15x21,2
89,A1,15x22,1
90,A1,15x23,1
91,A1,15x24,2
92,A1,15x25,2
93,A1,15x26,2
94,A1,15x27,2
95,A1,16x12,2
96,A1,16x13,2
97,A1,16x14,0
98,A1,16x15,2
99,A1,16x16,1
100,A1,16x17,1
101,A1,16x18,1
102,A1,16x19,2
103,A1,16x20,2
104,A1,16x21,2
105,A1,16x22,1
106,A1,16x23,2
107,A1,16x24,1
108,A1,16x25,2
109,A1,16x26,2
110,A1,16x27,2
111,A1,17x13,1
112,A1,17x15,0
113,A1,17x16,2
114,A1,17x17,2
115,A1,17x18,2
116,A1,17x19,2
117,A1,17x20,2
118,A1,17x21,2
119,A1,17x22,2
120,A1,17x23,2
121,A1,17x24,2
122,A1,17x25,2
123,A1,17x26,2
124,A1,17x27,2
125,A1,18x13,2
126,A1,18x14,2
127,A1,18x15,0
128,A1,18x16,2
129,A1,18x17,2
130,A1,18x18,2
131,A1,18x19,0
132,A1,18x21,2
133,A1,18x22,2
134,A1,18x23,1
135,A1,18x24,0
136,A1,18x25,2
137,A1,18x26,2
138,A1,18x27,2
139,A1,19x12,0
140,A1,19x13,2
141,A1,19x14,1
142,A1,19x15,2
143,A1,19x16,0
144,A1,19x17,1
145,A1,19x18,2
146,A1,19x19,2
147,A1,19x20,2
148,A1,19x21,2
149,A1,19x22,2
150,A1,19x23,2
151,A1,19x24,1
152,A1,19x25,0
153,A1,19x26,2
154,A1,19x27,2
155,A1,20x12,1
156,A1,20x13,1
157,A1,20x14,2
158,A1,20x15,1
159,A1,20x16,1
160,A1,20x17,2
161,A1,20x18,2
162,A1,20x19,1
163,A1,20x20,2
164,A1,20x21,2
165,A1,20x22,2
166,A1,20x23,2
167,A1,20x24,2
168,A1,20x25,2
169,A1,20x26,1
170,A1,20x27,2
171,A1,21x12,1
172,A1,21x13,1
173,A1,21x14,1
174,A1,21x15,1
175,A1,21x16,0
176,A1,21x17,0
177,A1,21x18,1
178,A1,21x19,2
179,A1,21x20,0
180,A1,21x21,2
181,A1,21x22,2
182,A1,21x23,1
183,A1,21x24,2
184,A1,21x25,2
185,A1,21x26,1
186,A1,21x27,2
187,A1,22x12,1
188,A1,22x13,1
189,A1,22x14,1
190,A1,22x15,1
191,A1,22x16,1
192,A1,22x17,1
193,A1,22x18,1
194,A1,22x19,1
195,A1,22x20,1
196,A1,22x21,1
197,A1,22x22,2
198,A1,22x23,2
199,A1,22x24,2
200,A1,22x25,2
201,A1,22x26,2
202,A1,22x27,0
203,A1,23x12,1
204,A1,23x13,1
205,A1,23x14,1
206,A1,23x15,1
207,A1,23x16,1
208,A1,23x17,1
209,A1,23x18,1
210,A1,23x19,1
211,A1,23x20,1
212,A1,23x21,2
213,A1,23x22,2
214,A1,23x23,1
215,A1,23x24,1
216,A1,23x25,1
217,A1,23x26,1
218,A1,24x13,1
219,A1,24x14,1
220,A1,24x15,1
221,A1,24x16,1
222,A1,24x17,1
223,A1,24x18,1
224,A1,24x19,1
225,A1,24x20,1
226,A1,24x21,1
227,A1,24x22,1
228,A1,24x23,1
229,A1,24x24,1
230,A1,24x25,1
231,A1,24x26,1
232,A1,24x27,1
233,A1,25x12,1
234,A1,25x13,1
235,A1,25x14,0
236,A1,25x15,1
237,A1,25x16,1
238,A1,25x17,1
239,A1,25x18,1
240,A1,25x19,1
241,A1,25x20,1
242,A1,25x21,1
243,A1,25x22,1
244,A1,25x23,1
245,A1,25x24,1
246,A1,25x25,1
247,A1,25x26,1
248,A1,26x12,1
249,A1,26x13,1
250,A1,26x14,0
251,A1,26x15,1
252,A1,26x16,1
253,A1,26x17,1
254,A1,26x18,1
255,A1,26x19,0
256,A1,3x14,1
257,A1,3x17,4
258,A1,3x18,4
259,A1,3x19,4
260,A1,3x20,4
261,A1,3x21,4
262,A1,4x14,1
263,A1,4x15,1
264,A1,4x16,4
265,A1,4x17,4
266,A1,4x18,4
267,A1,4x19,4
268,A1,4x20,4
269,A1,4x21,4
270,A1,4x22,4
271,A1,4x23,0
272,A1,4x24,4
273,A1,5x14,1
274,A1,5x15,1
275,A1,5x16,4
276,A1,5x17,4
277,A1,5x18,0
278,A1,5x19,4
279,A1,5x20,4
280,A1,5x21,4
281,A1,5x22,0
282,A1,5x23,0
283,A1,5x24,0
284,A1,5x27,0
285,A1,5x28,0
286,A1,6x14,1
287,A1,6x15,0
288,A1,6x16,1
289,A1,6x17,0
290,A1,6x18,4
291,A1,6x19,0
292,A1,6x20,0
293,A1,6x21,0
294,A1,6x22,4
295,A1,6x23,0
296,A1,6x24,4
297,A1,6x25,5
298,A1,6x28,0
299,A1,7x14,1
300,A1,7x15,0
301,A1,7x16,1
302,A1,7x17,1
303,A1,7x18,1
304,A1,7x19,1
305,A1,7x20,0
306,A1,7x21,1
307,A1,7x24,5
308,A1,7x25,5
309,A1,7x27,0
310,A1,7x28,0
311,A1,8x14,2
312,A1,8x15,2
313,A1,8x16,1
314,A1,8x17,2
315,A1,8x18,1
316,A1,8x19,2
317,A1,8x20,0
318,A1,8x21,2
319,A1,8x22,2
320,A1,8x23,5
321,A1,8x24,5
322,A1,8x25,5
323,A1,8x26,5
324,A1,8x27,3
325,A1,9x13,1
326,A1,9x14,1
327,A1,9x15,1
328,A1,9x16,1
329,A1,9x17,0
330,A1,9x18,2
331,A1,9x19,2
332,A1,9x20,2
333,A1,9x21,1
334,A1,9x22,2
335,A1,9x23,1
336,A1,9x24,5
337,A1,9x25,5
338,A1,9x26,5
339,A1,9x27,0
340,B1,10x13,1
341,B1,10x14,1
342,B1,10x15,1
343,B1,10x16,5
344,B1,10x17,1
345,B1,10x20,1
346,B1,10x21,1
347,B1,10x22,2
348,B1,10x23,2
349,B1,10x24,2
350,B1,10x25,2
351,B1,10x27,2
352,B1,10x28,2
353,B1,10x29,0
354,B1,10x30,2
355,B1,11x14,1
356,B1,11x16,1
357,B1,11x18,1
358,B1,11x19,1
359,B1,11x21,2
360,B1,11x22,2
361,B1,11x23,2
362,B1,11x24,2
363,B1,11x25,2
364,B1,11x27,2
365,B1,11x28,2
366,B1,11x29,2
367,B1,11x30,2
368,B1,12x14,1
369,B1,12x16,1
370,B1,12x17,1
371,B1,12x18,1
372,B1,12x19,1
373,B1,12x20,2
374,B1,12x21,2
375,B1,12x22,2
376,B1,12x23,2
377,B1,12x24,2
378,B1,12x25,0
379,B1,12x26,0
380,B1,12x28,2
381,B1,12x29,2
382,B1,12x30,2
383,B1,13x15,1
384,B1,13x16,1
385,B1,13x17,1
386,B1,13x18,1
387,B1,13x19,1
388,B1,13x20,1
389,B1,13x21,2
390,B1,13x22,2
391,B1,13x23,2
392,B1,13x24,0
393,B1,13x25,2
394,B1,13x26,2
395,B1,13x27,2
396,B1,13x28,2
397,B1,14x17,1
398,B1,14x18,1
399,B1,14x19,1
400,B1,14x20,2
401,B1,14x21,2
402,B1,14x22,2
403,B1,14x23,2
404,B1,14x24,2
405,B1,14x25,2
406,B1,14x26,2
407,B1,14x27,2
408,B1,14x28,2
409,B1,14x29,0
410,B1,14x30,2
411,B1,15x17,1
412,B1,15x18,1
413,B1,15x19,1
414,B1,15x20,1
415,B1,15x21,2
416,B1,15x25,2
417,B1,15x26,2
418,B1,15x27,2
419,B1,15x28,2
420,B1,15x29,2
421,B1,15x30,2
422,B1,16x18,1
423,B1,16x19,1
424,B1,16x20,1
425,B1,16x21,1
426,B1,16x22,2
427,B1,16x23,2
428,B1,16x24,2
429,B1,16x25,2
430,B1,16x26,2
431,B1,16x27,2
432,B1,16x28,2
433,B1,16x29,2
434,B1,16x30,2
435,B1,17x20,2
436,B1,17x21,2
437,B1,17x24,2
438,B1,17x25,2
439,B1,17x26,2
440,B1,17x27,2
441,B1,17x29,2
442,B1,17x30,2
443,B1,18x19,1
444,B1,18x21,2
445,B1,18x22,2
