V1,sample,spot_name,cluster
1,X0_04,-1244x2891_X0_04,4
2,X0_04,-1244x4090_X0_04,1
3,X0_04,-1244x4107_X0_04,1
4,X0_04,-1246x4188_X0_04,1
5,X0_04,-1246x4412_X0_04,1
6,X0_04,-1246x4494_X0_04,1
7,X0_04,-1247x3795_X0_04,5
8,X0_04,-1247x4297_X0_04,1
9,X0_04,-1247x4345_X0_04,1
10,X0_04,-1247x4553_X0_04,1
11,X0_04,-1248x2913_X0_04,4
12,X0_04,-1248x3538_X0_04,4
13,X0_04,-1249x4418_X0_04,1
14,X0_04,-1250x4196_X0_04,1
15,X0_04,-1250x4316_X0_04,1
16,X0_04,-1251x3098_X0_04,4
17,X0_04,-1251x3406_X0_04,4
18,X0_04,-1251x3469_X0_04,3
19,X0_04,-1251x3695_X0_04,5
20,X0_04,-1251x3910_X0_04,5
21,X0_04,-1251x4160_X0_04,1
22,X0_04,-1251x4533_X0_04,1
23,X0_04,-1252x3769_X0_04,5
24,X0_04,-1253x4222_X0_04,1
25,X0_04,-1254x3484_X0_04,8
26,X0_04,-1255x3417_X0_04,4
27,X0_04,-1255x3981_X0_04,5
28,X0_04,-1255x4065_X0_04,1
29,X0_04,-1255x4204_X0_04,1
30,X0_04,-1256x4176_X0_04,1
31,X0_04,-1256x4376_X0_04,1
32,X0_04,-1257x4577_X0_04,1
33,X0_04,-1258x3034_X0_04,4
34,X0_04,-1258x4395_X0_04,1
35,X0_04,-1259x3118_X0_04,4
36,X0_04,-1259x3718_X0_04,5
37,X0_04,-1259x3917_X0_04,5
38,X0_04,-1259x4507_X0_04,1
39,X0_04,-1260x3246_X0_04,4
40,X0_04,-1260x3366_X0_04,4
41,X0_04,-1260x3838_X0_04,5
42,X0_04,-1260x4080_X0_04,1
43,X0_04,-1260x4517_X0_04,1
44,X0_04,-1261x3189_X0_04,4
45,X0_04,-1262x3051_X0_04,4
46,X0_04,-1262x4372_X0_04,1
47,X0_04,-1263x2912_X0_04,4
48,X0_04,-1263x3149_X0_04,4
49,X0_04,-1264x2889_X0_04,4
50,X0_04,-1264x3059_X0_04,4
51,X0_04,-1264x3533_X0_04,4
52,X0_04,-1266x3312_X0_04,4
53,X0_04,-1266x4365_X0_04,1
54,X0_04,-1266x4500_X0_04,1
55,X0_04,-1267x3507_X0_04,8
56,X0_04,-1267x3781_X0_04,5
57,X0_04,-1267x3987_X0_04,5
58,X0_04,-1268x3346_X0_04,4
59,X0_04,-1269x3642_X0_04,5
60,X0_04,-1269x4263_X0_04,3
61,X0_04,-1270x3074_X0_04,4
62,X0_04,-1270x3440_X0_04,4
63,X0_04,-1270x3747_X0_04,5
64,X0_04,-1270x3817_X0_04,5
65,X0_04,-1270x3917_X0_04,5
66,X0_04,-1271x3113_X0_04,4
67,X0_04,-1271x3553_X0_04,4
68,X0_04,-1271x3583_X0_04,4
69,X0_04,-1272x2967_X0_04,4
70,X0_04,-1272x3370_X0_04,4
71,X0_04,-1272x3403_X0_04,4
72,X0_04,-1272x3632_X0_04,5
73,X0_04,-1272x3847_X0_04,5
74,X0_04,-1272x4572_X0_04,1
75,X0_04,-1274x3134_X0_04,4
76,X0_04,-1274x3407_X0_04,4
77,X0_04,-1275x4120_X0_04,1
78,X0_04,-1275x4289_X0_04,4
79,X0_04,-1276x4144_X0_04,1
80,X0_04,-1276x4306_X0_04,1
81,X0_04,-1278x2974_X0_04,4
82,X0_04,-1278x3790_X0_04,5
83,X0_04,-1278x3984_X0_04,5
84,X0_04,-1279x3675_X0_04,5
85,X0_04,-1280x3457_X0_04,3
86,X0_04,-1280x4074_X0_04,1
87,X0_04,-1280x4326_X0_04,1
88,X0_04,-1280x4369_X0_04,1
89,X0_04,-1280x4549_X0_04,1
90,X0_04,-1281x3029_X0_04,4
91,X0_04,-1281x3043_X0_04,4
92,X0_04,-1281x3658_X0_04,5
93,X0_04,-1281x3717_X0_04,5
94,X0_04,-1281x3893_X0_04,5
95,X0_04,-1281x3955_X0_04,5
96,X0_04,-1281x4150_X0_04,1
97,X0_04,-1282x3163_X0_04,4
98,X0_04,-1283x3556_X0_04,4
99,X0_04,-1285x4407_X0_04,1
100,X0_04,-1285x4498_X0_04,1
101,X0_04,-1286x3467_X0_04,3
102,X0_04,-1286x3618_X0_04,5
103,X0_04,-1286x4018_X0_04,5
104,X0_04,-1287x3362_X0_04,4
105,X0_04,-1287x3572_X0_04,4
106,X0_04,-1287x4244_X0_04,4
107,X0_04,-1287x4512_X0_04,1
108,X0_04,-1287x4579_X0_04,1
109,X0_04,-1287x4598_X0_04,1
110,X0_04,-1289x2852_X0_04,4
111,X0_04,-1289x3746_X0_04,5
112,X0_04,-1289x4044_X0_04,1
113,X0_04,-1289x4059_X0_04,1
114,X0_04,-1289x4537_X0_04,1
115,X0_04,-1290x3731_X0_04,5
116,X0_04,-1290x3846_X0_04,5
117,X0_04,-1290x4133_X0_04,1
118,X0_04,-1291x3478_X0_04,3
119,X0_04,-1292x3021_X0_04,4
120,X0_04,-1293x2955_X0_04,4
121,X0_04,-1293x3060_X0_04,4
122,X0_04,-1293x3237_X0_04,4
123,X0_04,-1293x3348_X0_04,4
124,X0_04,-1294x2909_X0_04,4
125,X0_04,-1294x3136_X0_04,4
126,X0_04,-1294x3150_X0_04,4
127,X0_04,-1294x3667_X0_04,5
128,X0_04,-1294x3681_X0_04,5
129,X0_04,-1294x4125_X0_04,1
130,X0_04,-1294x4349_X0_04,1
131,X0_04,-1295x3109_X0_04,4
132,X0_04,-1295x3572_X0_04,4
133,X0_04,-1295x4279_X0_04,4
134,X0_04,-1296x3068_X0_04,4
135,X0_04,-1296x3194_X0_04,4
136,X0_04,-1296x3263_X0_04,4
137,X0_04,-1296x3707_X0_04,5
138,X0_04,-1296x3831_X0_04,5
139,X0_04,-1297x3256_X0_04,4
140,X0_04,-1297x3884_X0_04,5
141,X0_04,-1300x3087_X0_04,4
142,X0_04,-1300x3238_X0_04,4
143,X0_04,-1300x4068_X0_04,1
144,X0_04,-1300x4097_X0_04,1
145,X0_04,-1300x4331_X0_04,1
146,X0_04,-1302x2894_X0_04,4
147,X0_04,-1302x4074_X0_04,1
148,X0_04,-1302x4481_X0_04,1
149,X0_04,-1303x3987_X0_04,5
150,X0_04,-1303x4365_X0_04,1
151,X0_04,-1304x2927_X0_04,4
152,X0_04,-1304x2983_X0_04,4
153,X0_04,-1304x4520_X0_04,1
154,X0_04,-1305x3883_X0_04,5
155,X0_04,-1306x3267_X0_04,4
