sample,spot_name,cluster
X0_04,-3033x2825_X0_04,1
X0_04,-3027x2956_X0_09,4
X0_04,-3021x2962_X0_14,4
X0_04,-3017x2996_X0_19,4
X0_04,-3005x2878_X0_24,1
X0_04,-3005x2898_X0_04,1
X0_04,-3002x2965_X0_09,4
X0_04,-2997x3005_X0_14,7
X0_04,-2967x2894_X0_19,4
X0_04,-2963x2927_X0_24,0
X0_04,-2955x2874_X0_04,0
X0_04,-2953x2982_X0_09,7
X0_04,-2949x2836_X0_14,6
X0_04,-2948x2959_X0_19,4
X0_04,-2943x2897_X0_24,5
X0_04,-2941x3006_X0_04,0
X0_04,-2932x2961_X0_09,0
X0_04,-2922x2956_X0_14,1
X0_04,-2915x2823_X0_19,7
X0_04,-2910x2980_X0_24,7
X0_04,-2907x2825_X0_04,2
X0_04,-2903x2931_X0_09,4
X0_04,-2898x2823_X0_14,1
X0_04,-2898x2876_X0_19,6
X0_04,-2898x2865_X0_24,7
X0_04,-2883x2959_X0_04,7
X0_04,-2874x2836_X0_09,7
X0_04,-2870x2948_X0_14,6
X0_04,-2868x2875_X0_19,7
X0_04,-2859x2960_X0_24,1
X0_04,-2856x2828_X0_04,1
X0_04,-3026x2870_X0_09,3
X0_04,-3012x2884_X0_14,0
X0_04,-2958x3006_X0_19,4
X0_04,-2956x2952_X0_24,4
X0_04,-2923x2947_X0_04,1
X0_04,-2923x2845_X0_09,7
X0_04,-2896x2907_X0_14,4
X0_04,-2866x2826_X0_19,1
X0_04,-2867x2900_X0_24,7
X0_04,-2943x2904_X0_04,7
X0_04,-2891x2844_X0_09,6
X0_04,-2954x2966_X0_14,4
X0_04,-2877x2944_X0_19,4
X0_04,-2858x2987_X0_24,7
X0_04,-2982x2840_X0_04,5
X0_04,-2938x2941_X0_09,3
X0_04,-2911x2949_X0_14,1
X0_04,-2853x2855_X0_19,6
X0_04,-3031x3179_X0_24,0
X0_04,-3024x3059_X0_04,7
X0_04,-3020x3074_X0_09,4
X0_04,-3017x3191_X0_14,0
X0_04,-3017x3021_X0_19,1
X0_04,-3010x3164_X0_24,6
X0_04,-3012x3082_X0_04,4
X0_04,-3005x3135_X0_09,0
X0_04,-2998x3140_X0_14,4
X0_04,-2996x3187_X0_19,4
X0_04,-2991x3049_X0_24,4
X0_04,-2992x3197_X0_04,1
X0_04,-2991x3117_X0_09,3
X0_04,-2976x3056_X0_14,4
X0_04,-2972x3164_X0_19,6
X0_04,-2961x3123_X0_24,0
X0_04,-2961x3052_X0_04,4
X0_04,-2958x3082_X0_09,7
X0_04,-2946x3188_X0_14,5
X0_04,-2932x3086_X0_19,5
X0_04,-2936x3056_X0_24,0
X0_04,-2906x3088_X0_04,4
X0_04,-2906x3192_X0_09,3
X0_04,-2906x3035_X0_14,4
X0_04,-2905x3206_X0_19,6
X0_04,-2906x3156_X0_24,4
X0_04,-2888x3120_X0_04,6
X0_04,-2888x3153_X0_09,1
X0_04,-2878x3103_X0_14,0
X0_04,-2873x3130_X0_19,4
X0_04,-2875x3092_X0_24,1
X0_04,-2860x3174_X0_04,4
X0_04,-2859x3189_X0_09,4
X0_04,-2852x3152_X0_14,6
X0_04,-2849x3079_X0_19,6
X0_04,-3004x3046_X0_24,1
X0_04,-2993x3104_X0_04,4
X0_04,-2977x3181_X0_09,0
X0_04,-2952x3173_X0_14,0
X0_04,-2943x3034_X0_19,4
X0_04,-2910x3177_X0_24,0
X0_04,-2878x3187_X0_04,7
X0_04,-3003x3078_X0_09,4
X0_04,-2976x3032_X0_14,4
X0_04,-2973x3124_X0_19,0
X0_04,-2966x3142_X0_24,0
X0_04,-2955x3045_X0_04,4
X0_04,-2889x3136_X0_09,6
X0_04,-2965x3180_X0_14,4
X0_04,-2940x3202_X0_19,0
X0_04,-2928x3161_X0_24,4
X0_04,-2859x3129_X0_04,0
X0_04,-2858x3198_X0_09,4
X0_04,-3030x3279_X0_14,7
X0_04,-3031x3302_X0_19,7
X0_04,-3027x3237_X0_24,0
X0_04,-3019x3261_X0_04,1
X0_04,-3016x3306_X0_09,1
X0_04,-3002x3359_X0_14,6
X0_04,-3001x3300_X0_19,0
X0_04,-2988x3238_X0_24,0
X0_04,-2991x3316_X0_04,0
X0_04,-2991x3276_X0_09,4
X0_04,-2989x3379_X0_14,0
X0_04,-2979x3333_X0_19,0
X0_04,-2974x3250_X0_24,7
X0_04,-2968x3391_X0_04,7
X0_04,-2960x3334_X0_09,0
X0_04,-2950x3275_X0_14,6
X0_04,-2940x3299_X0_19,4
X0_04,-2945x3316_X0_24,4
X0_04,-2934x3372_X0_04,0
X0_04,-2935x3245_X0_09,5
X0_04,-2924x3321_X0_14,4
X0_04,-2922x3356_X0_19,4
X0_04,-2927x3336_X0_24,1
X0_04,-2912x3246_X0_04,4
X0_04,-2906x3237_X0_09,4
X0_04,-2910x3303_X0_14,6
X0_04,-2905x3311_X0_19,4
X0_04,-2904x3395_X0_24,4
X0_04,-2900x3249_X0_04,1
X0_04,-2894x3273_X0_09,4
X0_04,-2892x3285_X0_14,6
X0_04,-2876x3325_X0_19,1
X0_04,-2870x3343_X0_24,7
X0_04,-2869x3257_X0_04,4
X0_04,-2869x3400_X0_09,1
X0_04,-2860x3232_X0_14,5
X0_04,-2861x3400_X0_19,1
X0_04,-2857x3289_X0_24,7
X0_04,-2850x3273_X0_04,4
X0_04,-2847x3243_X0_09,0
X0_04,-3031x3261_X0_14,4
X0_04,-3021x3369_X0_19,7
X0_04,-3008x3243_X0_24,4
X0_04,-2993x3226_X0_04,6
X0_04,-2972x3298_X0_09,4
X0_04,-2966x3292_X0_14,4
X0_04,-2915x3259_X0_19,4
X0_04,-2999x3350_X0_24,4
X0_04,-2947x3264_X0_04,4
X0_04,-2872x3315_X0_09,7
X0_04,-2872x3396_X0_14,4
X0_04,-2952x3331_X0_19,4
X0_04,-2917x3277_X0_24,4
X0_04,-2903x3366_X0_04,1
X0_04,-2875x3304_X0_09,5
X0_04,-3030x3427_X0_14,7
X0_04,-3022x3498_X0_19,1
X0_04,-3025x3551_X0_24,4
X0_04,-3014x3523_X0_04,6
X0_04,-3004x3595_X0_09,0
X0_04,-3002x3587_X0_14,3
X0_04,-2999x3558_X0_19,1
X0_04,-2979x3530_X0_24,6
X0_04,-2972x3453_X0_04,4
X0_04,-2971x3493_X0_09,4
X0_04,-2970x3555_X0_14,7
X0_04,-2969x3479_X0_19,3
X0_04,-2967x3574_X0_24,4
X0_04,-2956x3438_X0_04,1
X0_04,-2943x3601_X0_09,6
X0_04,-2939x3513_X0_14,4
X0_04,-2935x3539_X0_19,0
X0_04,-2936x3432_X0_24,4
X0_04,-2936x3461_X0_04,3
X0_04,-2926x3592_X0_09,0
X0_04,-2927x3468_X0_14,5
X0_04,-2924x3602_X0_19,1
X0_04,-2917x3550_X0_24,6
X0_04,-2917x3496_X0_04,7
X0_04,-2912x3563_X0_09,4
X0_04,-2912x3504_X0_14,3
X0_04,-2910x3554_X0_19,4
X0_04,-2898x3606_X0_24,7
X0_04,-2895x3444_X0_04,4
X0_04,-2891x3513_X0_09,5
X0_04,-2881x3454_X0_14,5
X0_04,-2863x3607_X0_19,4
X0_04,-2864x3589_X0_24,3
X0_04,-2861x3483_X0_04,7
X0_04,-2855x3499_X0_09,0
X0_04,-2851x3488_X0_14,7
X0_04,-2848x3443_X0_19,7
X0_04,-2844x3543_X0_24,5
X0_04,-3024x3566_X0_04,3
