,sample,spot_name,cluster
1,X0_04,-3033x2825,7
2,X0_04,-3027x2956,0
3,X0_04,-3021x2962,0
4,X0_04,-3017x2996,0
5,X0_04,-3005x2878,0
6,X0_04,-3005x2898,0
7,X0_04,-3002x2965,0
8,X0_04,-2997x3005,0
9,X0_04,-2967x2894,0
10,X0_04,-2963x2927,0
11,X0_04,-2955x2874,7
12,X0_04,-2953x2982,0
13,X0_04,-2949x2836,7
14,X0_04,-2948x2959,0
15,X0_04,-2943x2897,0
16,X0_04,-2941x3006,0
17,X0_04,-2932x2961,0
18,X0_04,-2922x2956,0
19,X0_04,-2915x2823,7
20,X0_04,-2910x2980,0
21,X0_04,-2907x2825,7
22,X0_04,-2903x2931,0
23,X0_04,-2898x2823,7
24,X0_04,-2898x2876,7
25,X0_04,-2898x2865,7
26,X0_04,-2883x2959,0
27,X0_04,-2874x2836,7
28,X0_04,-2870x2948,0
29,X0_04,-2868x2875,7
30,X0_04,-2859x2960,0
31,X0_04,-2856x2828,7
32,X0_04,-3026x2870,0
33,X0_04,-3012x2884,0
34,X0_04,-2958x3006,0
35,X0_04,-2956x2952,0
36,X0_04,-2923x2947,0
37,X0_04,-2923x2845,7
38,X0_04,-2896x2907,7
39,X0_04,-2866x2826,7
40,X0_04,-2867x2900,7
41,X0_04,-2943x2904,0
42,X0_04,-2891x2844,7
43,X0_04,-2954x2966,0
44,X0_04,-2877x2944,0
45,X0_04,-2858x2987,0
46,X0_04,-2982x2840,7
47,X0_04,-2938x2941,0
48,X0_04,-2911x2949,0
49,X0_04,-2853x2855,7
50,X0_04,-3031x3179,0
51,X0_04,-3024x3059,0
52,X0_04,-3020x3074,0
53,X0_04,-3017x3191,0
54,X0_04,-3017x3021,0
55,X0_04,-3010x3164,0
56,X0_04,-3012x3082,0
57,X0_04,-3005x3135,0
58,X0_04,-2998x3140,0
59,X0_04,-2996x3187,0
60,X0_04,-2991x3049,0
61,X0_04,-2992x3197,0
62,X0_04,-2991x3117,0
63,X0_04,-2976x3056,0
64,X0_04,-2972x3164,0
65,X0_04,-2961x3123,0
66,X0_04,-2961x3052,0
67,X0_04,-2958x3082,0
68,X0_04,-2946x3188,0
69,X0_04,-2932x3086,0
70,X0_04,-2936x3056,0
71,X0_04,-2906x3088,0
72,X0_04,-2906x3192,0
73,X0_04,-2906x3035,0
74,X0_04,-2905x3206,0
75,X0_04,-2906x3156,0
76,X0_04,-2888x3120,0
77,X0_04,-2888x3153,0
78,X0_04,-2878x3103,0
79,X0_04,-2873x3130,0
80,X0_04,-2875x3092,0
81,X0_04,-2860x3174,0
82,X0_04,-2859x3189,0
83,X0_04,-2852x3152,0
84,X0_04,-2849x3079,0
85,X0_04,-3004x3046,0
86,X0_04,-2993x3104,0
87,X0_04,-2977x3181,0
88,X0_04,-2952x3173,0
89,X0_04,-2943x3034,0
90,X0_04,-2910x3177,0
91,X0_04,-2878x3187,0
92,X0_04,-3003x3078,0
93,X0_04,-2976x3032,0
94,X0_04,-2973x3124,0
95,X0_04,-2966x3142,0
96,X0_04,-2955x3045,0
97,X0_04,-2889x3136,0
98,X0_04,-2965x3180,0
99,X0_04,-2940x3202,0
