,sample,spot_name,cluster
1,X0_04,-3033x2825,1
2,X0_04,-3027x2956,0
3,X0_04,-3021x2962,7
4,X0_04,-3017x2996,7
5,X0_04,-3005x2878,1
6,X0_04,-3005x2898,1
7,X0_04,-3002x2965,7
8,X0_04,-2997x3005,2
9,X0_04,-2967x2894,7
10,X0_04,-2963x2927,0
11,X0_04,-2955x2874,7
12,X0_04,-2953x2982,2
13,X0_04,-2949x2836,6
14,X0_04,-2948x2959,7
15,X0_04,-2943x2897,5
16,X0_04,-2941x3006,7
17,X0_04,-2932x2961,4
18,X0_04,-2922x2956,4
19,X0_04,-2915x2823,4
20,X0_04,-2910x2980,4
21,X0_04,-2907x2825,4
22,X0_04,-2903x2931,7
23,X0_04,-2898x2823,4
24,X0_04,-2898x2876,6
25,X0_04,-2898x2865,2
26,X0_04,-2883x2959,2
27,X0_04,-2874x2836,2
28,X0_04,-2870x2948,6
29,X0_04,-2868x2875,3
30,X0_04,-2859x2960,1
31,X0_04,-2856x2828,4
32,X0_04,-3026x2870,0
33,X0_04,-3012x2884,7
34,X0_04,-2958x3006,7
35,X0_04,-2956x2952,7
36,X0_04,-2923x2947,4
37,X0_04,-2923x2845,2
38,X0_04,-2896x2907,7
39,X0_04,-2866x2826,4
40,X0_04,-2867x2900,2
41,X0_04,-2943x2904,2
42,X0_04,-2891x2844,6
43,X0_04,-2954x2966,7
44,X0_04,-2877x2944,7
45,X0_04,-2858x2987,2
46,X0_04,-2982x2840,5
47,X0_04,-2938x2941,7
48,X0_04,-2911x2949,4
49,X0_04,-2853x2855,6
50,X0_04,-3031x3179,3
51,X0_04,-3024x3059,2
52,X0_04,-3020x3074,7
53,X0_04,-3017x3191,7
54,X0_04,-3017x3021,1
55,X0_04,-3010x3164,6
56,X0_04,-3012x3082,7
57,X0_04,-3005x3135,7
58,X0_04,-2998x3140,7
59,X0_04,-2996x3187,7
60,X0_04,-2991x3049,7
61,X0_04,-2992x3197,1
62,X0_04,-2991x3117,7
63,X0_04,-2976x3056,0
64,X0_04,-2972x3164,6
65,X0_04,-2961x3123,7
66,X0_04,-2961x3052,3
67,X0_04,-2958x3082,4
68,X0_04,-2946x3188,5
69,X0_04,-2932x3086,5
70,X0_04,-2936x3056,7
71,X0_04,-2906x3088,7
72,X0_04,-2906x3192,3
73,X0_04,-2906x3035,7
74,X0_04,-2905x3206,6
75,X0_04,-2906x3156,0
76,X0_04,-2888x3120,4
77,X0_04,-2888x3153,1
78,X0_04,-2878x3103,0
79,X0_04,-2873x3130,0
80,X0_04,-2875x3092,1
81,X0_04,-2860x3174,7
82,X0_04,-2859x3189,7
83,X0_04,-2852x3152,6
84,X0_04,-2849x3079,6
85,X0_04,-3004x3046,1
86,X0_04,-2993x3104,7
87,X0_04,-2977x3181,7
88,X0_04,-2952x3173,7
89,X0_04,-2943x3034,7
90,X0_04,-2910x3177,7
91,X0_04,-2878x3187,2
92,X0_04,-3003x3078,7
93,X0_04,-2976x3032,7
94,X0_04,-2973x3124,0
95,X0_04,-2966x3142,7
96,X0_04,-2955x3045,7
97,X0_04,-2889x3136,6
98,X0_04,-2965x3180,7
99,X0_04,-2940x3202,7
100,X0_04,-2928x3161,7
101,X0_04,-2859x3129,0
102,X0_04,-2858x3198,7
103,X0_04,-3030x3279,3
104,X0_04,-3031x3302,3
105,X0_04,-3027x3237,7
106,X0_04,-3019x3261,1
107,X0_04,-3016x3306,1
108,X0_04,-3002x3359,6
109,X0_04,-3001x3300,7
110,X0_04,-2988x3238,7
111,X0_04,-2991x3316,0
112,X0_04,-2991x3276,7
113,X0_04,-2989x3379,7
114,X0_04,-2979x3333,0
115,X0_04,-2974x3250,2
116,X0_04,-2968x3391,3
117,X0_04,-2960x3334,7
118,X0_04,-2950x3275,6
119,X0_04,-2940x3299,4
120,X0_04,-2945x3316,7
121,X0_04,-2934x3372,0
122,X0_04,-2935x3245,5
123,X0_04,-2924x3321,7
124,X0_04,-2922x3356,0
125,X0_04,-2927x3336,1
126,X0_04,-2912x3246,7
127,X0_04,-2906x3237,3
128,X0_04,-2910x3303,6
129,X0_04,-2905x3311,5
130,X0_04,-2904x3395,7
131,X0_04,-2900x3249,4
132,X0_04,-2894x3273,7
133,X0_04,-2892x3285,6
134,X0_04,-2876x3325,1
135,X0_04,-2870x3343,2
136,X0_04,-2869x3257,7
137,X0_04,-2869x3400,4
138,X0_04,-2860x3232,5
139,X0_04,-2861x3400,4
140,X0_04,-2857x3289,3
