,sample,spot_name,cluster
1,X0_04,-3033x2825,4
2,X0_04,-3027x2956,4
3,X0_04,-3021x2962,4
4,X0_04,-3017x2996,4
5,X0_04,-3005x2878,4
6,X0_04,-3005x2898,4
7,X0_04,-3002x2965,4
8,X0_04,-2997x3005,4
9,X0_04,-2967x2894,4
10,X0_04,-2963x2927,4
11,X0_04,-2955x2874,2
12,X0_04,-2953x2982,4
13,X0_04,-2949x2836,2
14,X0_04,-2948x2959,4
15,X0_04,-2943x2897,2
16,X0_04,-2941x3006,4
17,X0_04,-2932x2961,4
18,X0_04,-2922x2956,4
19,X0_04,-2915x2823,2
20,X0_04,-2910x2980,4
21,X0_04,-2907x2825,2
22,X0_04,-2903x2931,4
23,X0_04,-2898x2876,2
24,X0_04,-2898x2865,2
25,X0_04,-2883x2959,4
26,X0_04,-2874x2836,2
27,X0_04,-2870x2948,4
28,X0_04,-2859x2960,4
29,X0_04,-2856x2828,2
30,X0_04,-3026x2870,4
31,X0_04,-3012x2884,4
32,X0_04,-2958x3006,4
33,X0_04,-2956x2952,4
34,X0_04,-2923x2947,4
35,X0_04,-2923x2845,2
36,X0_04,-2896x2907,4
37,X0_04,-2866x2826,2
38,X0_04,-2867x2900,2
39,X0_04,-2943x2904,4
40,X0_04,-2891x2844,2
41,X0_04,-2954x2966,4
42,X0_04,-2877x2944,4
43,X0_04,-2858x2987,4
44,X0_04,-2982x2840,2
45,X0_04,-2938x2941,4
46,X0_04,-2911x2949,4
47,X0_04,-2853x2855,2
48,X0_04,-3031x3179,2
49,X0_04,-3024x3059,4
50,X0_04,-3020x3074,4
51,X0_04,-3017x3191,2
52,X0_04,-3017x3021,4
53,X0_04,-3010x3164,2
54,X0_04,-3012x3082,4
55,X0_04,-3005x3135,4
56,X0_04,-2998x3140,4
57,X0_04,-2996x3187,4
58,X0_04,-2991x3049,4
59,X0_04,-2992x3197,2
60,X0_04,-2991x3117,4
61,X0_04,-2976x3056,4
62,X0_04,-2972x3164,2
63,X0_04,-2961x3123,4
64,X0_04,-2961x3052,4
65,X0_04,-2958x3082,4
66,X0_04,-2946x3188,4
67,X0_04,-2932x3086,4
68,X0_04,-2936x3056,4
69,X0_04,-2906x3088,4
70,X0_04,-2906x3192,4
71,X0_04,-2906x3035,4
72,X0_04,-2905x3206,4
73,X0_04,-2906x3156,4
74,X0_04,-2888x3120,2
75,X0_04,-2888x3153,2
76,X0_04,-2878x3103,2
77,X0_04,-2873x3130,4
78,X0_04,-2875x3092,2
79,X0_04,-2860x3174,4
80,X0_04,-2859x3189,4
81,X0_04,-2852x3152,4
82,X0_04,-2849x3079,4
83,X0_04,-3004x3046,4
84,X0_04,-2993x3104,4
85,X0_04,-2977x3181,4
86,X0_04,-2952x3173,4
87,X0_04,-2943x3034,4
88,X0_04,-2910x3177,4
89,X0_04,-2878x3187,2
90,X0_04,-3003x3078,4
91,X0_04,-2976x3032,4
92,X0_04,-2973x3124,4
93,X0_04,-2966x3142,4
94,X0_04,-2955x3045,4
95,X0_04,-2889x3136,2
96,X0_04,-2965x3180,4
97,X0_04,-2940x3202,4
98,X0_04,-2928x3161,4
99,X0_04,-2859x3129,4
100,X0_04,-2858x3198,4
101,X0_04,-3030x3279,4
102,X0_04,-3031x3302,4
103,X0_04,-3027x3237,4
104,X0_04,-3019x3261,4
105,X0_04,-3016x3306,4
106,X0_04,-3002x3359,4
107,X0_04,-3001x3300,4
108,X0_04,-2988x3238,4
109,X0_04,-2991x3316,4
110,X0_04,-2991x3276,4
111,X0_04,-2989x3379,4
112,X0_04,-2979x3333,4
113,X0_04,-2974x3250,4
114,X0_04,-2968x3391,2
115,X0_04,-2960x3334,4
116,X0_04,-2950x3275,4
117,X0_04,-2940x3299,2
118,X0_04,-2945x3316,4
119,X0_04,-2934x3372,4
120,X0_04,-2935x3245,4
121,X0_04,-2924x3321,4
122,X0_04,-2922x3356,4
123,X0_04,-2927x3336,4
124,X0_04,-2912x3246,4
125,X0_04,-2906x3237,4
126,X0_04,-2910x3303,2
127,X0_04,-2905x3311,4
128,X0_04,-2904x3395,4
129,X0_04,-2900x3249,2
130,X0_04,-2894x3273,4
131,X0_04,-2892x3285,2
132,X0_04,-2876x3325,2
133,X0_04,-2870x3343,4
134,X0_04,-2869x3257,4
135,X0_04,-2869x3400,4
136,X0_04,-2860x3232,4
137,X0_04,-2861x3400,4
138,X0_04,-2857x3289,4
139,X0_04,-2850x3273,4
140,X0_04,-2847x3243,4
141,X0_04,-3031x3261,4
142,X0_04,-3021x3369,2
143,X0_04,-3008x3243,4
144,X0_04,-2993x3226,4
145,X0_04,-2972x3298,4
146,X0_04,-2966x3292,4
147,X0_04,-2915x3259,4
148,X0_04,-2999x3350,4
149,X0_04,-2947x3264,4
150,X0_04,-2872x3315,2
151,X0_04,-2872x3396,4
152,X0_04,-2952x3331,4
153,X0_04,-2917x3277,4
154,X0_04,-2903x3366,4
155,X0_04,-2875x3304,4
156,X0_04,-3030x3427,4
157,X0_04,-3022x3498,2
158,X0_04,-3025x3551,4
159,X0_04,-3014x3523,2
160,X0_04,-3004x3595,4
161,X0_04,-3002x3587,4
162,X0_04,-2999x3558,4
163,X0_04,-2979x3530,4
164,X0_04,-2972x3453,4
165,X0_04,-2970x3555,4
166,X0_04,-2969x3479,4
167,X0_04,-2967x3574,4
168,X0_04,-2956x3438,4
169,X0_04,-2943x3601,4
170,X0_04,-2939x3513,4
171,X0_04,-2935x3539,4
172,X0_04,-2936x3432,4
173,X0_04,-2936x3461,4
174,X0_04,-2926x3592,4
175,X0_04,-2927x3468,4
176,X0_04,-2924x3602,4
177,X0_04,-2917x3550,4
178,X0_04,-2917x3496,4
179,X0_04,-2912x3563,2
180,X0_04,-2912x3504,4
181,X0_04,-2910x3554,4
182,X0_04,-2898x3606,4
183,X0_04,-2895x3444,4
184,X0_04,-2891x3513,4
185,X0_04,-2881x3454,4
186,X0_04,-2863x3607,3
187,X0_04,-2864x3589,4
188,X0_04,-2861x3483,4
189,X0_04,-2855x3499,4
190,X0_04,-2851x3488,4
191,X0_04,-2848x3443,4
192,X0_04,-2844x3543,4
193,X0_04,-3024x3566,4
194,X0_04,-3009x3482,4
195,X0_04,-3007x3473,4
196,X0_04,-2998x3535,4
197,X0_04,-2961x3510,4
198,X0_04,-2859x3444,4
199,X0_04,-2985x3601,4
200,X0_04,-2964x3547,4
201,X0_04,-2945x3584,4
202,X0_04,-2893x3497,4
203,X0_04,-2877x3541,2
204,X0_04,-3027x3529,4
205,X0_04,-3017x3551,4
206,X0_04,-3001x3451,4
207,X0_04,-2954x3508,4
208,X0_04,-2955x3568,4
209,X0_04,-2909x3472,4
210,X0_04,-2871x3475,4
211,X0_04,-3025x3774,4
212,X0_04,-3021x3739,4
213,X0_04,-3021x3747,4
214,X0_04,-3017x3693,4
215,X0_04,-3020x3636,4
216,X0_04,-3017x3701,4
217,X0_04,-3016x3803,4
218,X0_04,-3013x3652,4
219,X0_04,-3004x3703,4
220,X0_04,-3004x3659,3
221,X0_04,-2998x3777,4
222,X0_04,-2995x3659,3
223,X0_04,-2994x3637,4
224,X0_04,-2982x3802,4
225,X0_04,-2981x3707,3
226,X0_04,-2975x3724,4
227,X0_04,-2972x3736,4
228,X0_04,-2958x3784,4
229,X0_04,-2956x3775,4
230,X0_04,-2953x3680,3
231,X0_04,-2954x3762,4
232,X0_04,-2943x3693,3
233,X0_04,-2941x3718,3
234,X0_04,-2924x3734,3
235,X0_04,-2921x3632,3
236,X0_04,-2919x3728,3
237,X0_04,-2914x3801,3
238,X0_04,-2910x3791,3
239,X0_04,-2910x3755,3
240,X0_04,-2906x3652,3
241,X0_04,-2902x3633,4
242,X0_04,-2896x3709,3
243,X0_04,-2894x3633,3
244,X0_04,-2891x3768,3
245,X0_04,-2886x3656,3
246,X0_04,-2865x3647,3
247,X0_04,-2860x3795,3
248,X0_04,-2852x3621,3
249,X0_04,-2848x3805,3
250,X0_04,-2999x3681,3
251,X0_04,-2970x3759,4
252,X0_04,-2963x3789,4
253,X0_04,-2929x3782,3
254,X0_04,-2906x3745,3
255,X0_04,-2873x3728,3
256,X0_04,-2867x3733,3
257,X0_04,-2987x3692,3
258,X0_04,-2966x3696,3
259,X0_04,-2945x3799,4
260,X0_04,-2945x3738,4
261,X0_04,-2920x3673,3
262,X0_04,-2877x3641,4
263,X0_04,-2851x3626,3
264,X0_04,-2851x3807,3
265,X0_04,-2981x3740,4
266,X0_04,-2889x3759,3
267,X0_04,-2870x3676,3
268,X0_04,-2860x3622,4
269,X0_04,-3017x3682,3
270,X0_04,-2960x3658,3
271,X0_04,-2947x3711,3
272,X0_04,-2926x3766,3
273,X0_04,-2869x3669,3
274,X0_04,-2865x3772,3
275,X0_04,-3026x3852,3
276,X0_04,-3020x3869,3
277,X0_04,-3009x3997,3
278,X0_04,-3007x3897,3
279,X0_04,-3005x3906,3
280,X0_04,-2992x3850,3
281,X0_04,-2991x3887,3
282,X0_04,-2987x3916,3
283,X0_04,-2986x4002,3
284,X0_04,-2968x3891,3
285,X0_04,-2966x4005,3
286,X0_04,-2963x3975,3
287,X0_04,-2957x3955,3
288,X0_04,-2955x3924,3
289,X0_04,-2946x3951,4
290,X0_04,-2932x3987,3
291,X0_04,-2923x3923,4
292,X0_04,-2925x3851,3
293,X0_04,-2922x3828,4
294,X0_04,-2915x3923,4
295,X0_04,-2917x3883,3
296,X0_04,-2909x3905,4
297,X0_04,-2907x3950,4
298,X0_04,-2909x3980,3
299,X0_04,-2905x3862,3
300,X0_04,-2889x3868,4
301,X0_04,-2886x3875,4
