,sample,spot_name,cluster
1,X0_04,-3033x2825,1
2,X0_04,-3027x2956,1
3,X0_04,-3021x2962,1
4,X0_04,-3017x2996,1
5,X0_04,-3005x2878,1
6,X0_04,-3005x2898,1
7,X0_04,-3002x2965,1
8,X0_04,-2997x3005,1
9,X0_04,-2967x2894,1
10,X0_04,-2963x2927,1
11,X0_04,-2955x2874,0
12,X0_04,-2953x2982,1
13,X0_04,-2949x2836,0
14,X0_04,-2948x2959,1
15,X0_04,-2943x2897,0
16,X0_04,-2941x3006,1
17,X0_04,-2932x2961,1
18,X0_04,-2922x2956,1
19,X0_04,-2915x2823,0
20,X0_04,-2910x2980,1
21,X0_04,-2907x2825,0
22,X0_04,-2903x2931,1
23,X0_04,-2898x2823,0
24,X0_04,-2898x2876,0
25,X0_04,-2898x2865,0
26,X0_04,-2883x2959,1
27,X0_04,-2874x2836,0
28,X0_04,-2870x2948,1
29,X0_04,-2868x2875,0
30,X0_04,-2859x2960,1
31,X0_04,-2856x2828,0
32,X0_04,-3026x2870,1
33,X0_04,-3012x2884,1
34,X0_04,-2958x3006,1
35,X0_04,-2956x2952,1
36,X0_04,-2923x2947,1
37,X0_04,-2923x2845,0
38,X0_04,-2896x2907,1
39,X0_04,-2866x2826,0
40,X0_04,-2867x2900,0
41,X0_04,-2943x2904,1
42,X0_04,-2891x2844,0
43,X0_04,-2954x2966,1
44,X0_04,-2877x2944,1
45,X0_04,-2858x2987,1
46,X0_04,-2982x2840,0
47,X0_04,-2938x2941,1
48,X0_04,-2911x2949,1
49,X0_04,-2853x2855,0
50,X0_04,-3031x3179,0
51,X0_04,-3024x3059,1
52,X0_04,-3020x3074,1
53,X0_04,-3017x3191,0
54,X0_04,-3017x3021,1
55,X0_04,-3010x3164,0
56,X0_04,-3012x3082,1
57,X0_04,-3005x3135,1
58,X0_04,-2998x3140,1
59,X0_04,-2996x3187,0
60,X0_04,-2991x3049,1
61,X0_04,-2992x3197,0
62,X0_04,-2991x3117,1
63,X0_04,-2976x3056,1
64,X0_04,-2972x3164,0
65,X0_04,-2961x3123,1
66,X0_04,-2961x3052,1
67,X0_04,-2958x3082,1
68,X0_04,-2946x3188,1
69,X0_04,-2932x3086,1
70,X0_04,-2936x3056,1
71,X0_04,-2906x3088,1
72,X0_04,-2906x3192,1
73,X0_04,-2906x3035,1
74,X0_04,-2905x3206,1
75,X0_04,-2906x3156,1
76,X0_04,-2888x3120,0
77,X0_04,-2888x3153,0
78,X0_04,-2878x3103,0
79,X0_04,-2873x3130,1
80,X0_04,-2875x3092,0
81,X0_04,-2860x3174,1
82,X0_04,-2859x3189,1
83,X0_04,-2852x3152,1
84,X0_04,-2849x3079,1
85,X0_04,-3004x3046,1
86,X0_04,-2993x3104,1
87,X0_04,-2977x3181,1
88,X0_04,-2952x3173,1
89,X0_04,-2943x3034,1
90,X0_04,-2910x3177,1
