,sample,spot_name,cluster
1,X0_04,-3033x2825,3
2,X0_04,-3027x2956,2
3,X0_04,-3021x2962,2
4,X0_04,-3017x2996,2
5,X0_04,-3005x2878,3
6,X0_04,-3005x2898,3
7,X0_04,-3002x2965,2
8,X0_04,-2997x3005,2
9,X0_04,-2967x2894,3
10,X0_04,-2963x2927,3
11,X0_04,-2955x2874,3
12,X0_04,-2953x2982,3
13,X0_04,-2949x2836,3
14,X0_04,-2948x2959,3
15,X0_04,-2943x2897,3
16,X0_04,-2941x3006,2
17,X0_04,-2932x2961,3
18,X0_04,-2922x2956,3
19,X0_04,-2915x2823,3
20,X0_04,-2910x2980,3
21,X0_04,-2907x2825,3
22,X0_04,-2903x2931,3
23,X0_04,-2898x2823,3
24,X0_04,-2898x2876,3
25,X0_04,-2898x2865,3
26,X0_04,-2883x2959,3
27,X0_04,-2874x2836,3
28,X0_04,-2870x2948,3
29,X0_04,-2868x2875,3
30,X0_04,-2859x2960,3
31,X0_04,-2856x2828,3
32,X0_04,-3026x2870,3
33,X0_04,-3012x2884,3
34,X0_04,-2958x3006,2
35,X0_04,-2956x2952,3
36,X0_04,-2923x2947,3
37,X0_04,-2923x2845,3
38,X0_04,-2896x2907,3
39,X0_04,-2866x2826,3
40,X0_04,-2867x2900,3
41,X0_04,-2943x2904,3
42,X0_04,-2891x2844,3
43,X0_04,-2954x2966,2
44,X0_04,-2877x2944,3
45,X0_04,-2858x2987,3
46,X0_04,-2982x2840,3
47,X0_04,-2938x2941,3
48,X0_04,-2911x2949,3
49,X0_04,-2853x2855,3
50,X0_04,-3031x3179,2
51,X0_04,-3024x3059,2
52,X0_04,-3020x3074,2
53,X0_04,-3017x3191,2
54,X0_04,-3017x3021,3
55,X0_04,-3010x3164,2
56,X0_04,-3012x3082,2
57,X0_04,-3005x3135,2
58,X0_04,-2998x3140,2
59,X0_04,-2996x3187,2
60,X0_04,-2991x3049,2
61,X0_04,-2992x3197,2
62,X0_04,-2991x3117,2
63,X0_04,-2976x3056,2
64,X0_04,-2972x3164,2
65,X0_04,-2961x3123,2
66,X0_04,-2961x3052,2
67,X0_04,-2958x3082,2
68,X0_04,-2946x3188,2
69,X0_04,-2932x3086,2
70,X0_04,-2936x3056,2
71,X0_04,-2906x3088,2
72,X0_04,-2906x3192,2
73,X0_04,-2906x3035,2
74,X0_04,-2905x3206,2
75,X0_04,-2906x3156,2
76,X0_04,-2888x3120,2
77,X0_04,-2888x3153,2
78,X0_04,-2878x3103,2
79,X0_04,-2873x3130,2
80,X0_04,-2875x3092,2
81,X0_04,-2860x3174,2
82,X0_04,-2859x3189,2
83,X0_04,-2852x3152,2
84,X0_04,-2849x3079,2
85,X0_04,-3004x3046,2
86,X0_04,-2993x3104,2
87,X0_04,-2977x3181,2
88,X0_04,-2952x3173,2
89,X0_04,-2943x3034,2
90,X0_04,-2910x3177,2
91,X0_04,-2878x3187,3
92,X0_04,-3003x3078,2
93,X0_04,-2976x3032,2
94,X0_04,-2973x3124,2
95,X0_04,-2966x3142,2
96,X0_04,-2955x3045,2
97,X0_04,-2889x3136,2
98,X0_04,-2965x3180,2
99,X0_04,-2940x3202,2
100,X0_04,-2928x3161,2
101,X0_04,-2859x3129,2
102,X0_04,-2858x3198,2
103,X0_04,-3030x3279,2
104,X0_04,-3031x3302,2
105,X0_04,-3027x3237,2
106,X0_04,-3019x3261,2
107,X0_04,-3016x3306,2
108,X0_04,-3002x3359,2
109,X0_04,-3001x3300,2
110,X0_04,-2988x3238,2
111,X0_04,-2991x3316,2
112,X0_04,-2991x3276,2
113,X0_04,-2989x3379,2
114,X0_04,-2979x3333,2
115,X0_04,-2974x3250,2
116,X0_04,-2968x3391,2
117,X0_04,-2960x3334,2
118,X0_04,-2950x3275,2
119,X0_04,-2940x3299,2
120,X0_04,-2945x3316,2
121,X0_04,-2934x3372,2
122,X0_04,-2935x3245,2
123,X0_04,-2924x3321,2
124,X0_04,-2922x3356,2
125,X0_04,-2927x3336,2
126,X0_04,-2912x3246,2
127,X0_04,-2906x3237,2
128,X0_04,-2910x3303,2
129,X0_04,-2905x3311,5
130,X0_04,-2904x3395,2
131,X0_04,-2900x3249,3
132,X0_04,-2894x3273,2
133,X0_04,-2892x3285,3
134,X0_04,-2876x3325,3
135,X0_04,-2870x3343,3
136,X0_04,-2869x3257,2
137,X0_04,-2869x3400,3
138,X0_04,-2860x3232,3
139,X0_04,-2861x3400,3
140,X0_04,-2857x3289,3
141,X0_04,-2850x3273,2
142,X0_04,-2847x3243,2
143,X0_04,-3031x3261,2
144,X0_04,-3021x3369,2
145,X0_04,-3008x3243,2
146,X0_04,-2993x3226,2
147,X0_04,-2972x3298,2
148,X0_04,-2966x3292,2
149,X0_04,-2915x3259,2
150,X0_04,-2999x3350,2
151,X0_04,-2947x3264,2
152,X0_04,-2872x3315,3
153,X0_04,-2872x3396,3
154,X0_04,-2952x3331,2
155,X0_04,-2917x3277,2
156,X0_04,-2903x3366,2
157,X0_04,-2875x3304,3
158,X0_04,-3030x3427,2
159,X0_04,-3022x3498,3
160,X0_04,-3025x3551,2
161,X0_04,-3014x3523,2
162,X0_04,-3004x3595,2
163,X0_04,-3002x3587,2
164,X0_04,-2999x3558,2
165,X0_04,-2979x3530,2
166,X0_04,-2972x3453,2
167,X0_04,-2971x3493,2
168,X0_04,-2970x3555,2
169,X0_04,-2969x3479,2
170,X0_04,-2967x3574,2
171,X0_04,-2956x3438,2
172,X0_04,-2943x3601,2
173,X0_04,-2939x3513,2
174,X0_04,-2935x3539,2
175,X0_04,-2936x3432,2
176,X0_04,-2936x3461,2
177,X0_04,-2926x3592,2
178,X0_04,-2927x3468,2
179,X0_04,-2924x3602,2
180,X0_04,-2917x3550,2
181,X0_04,-2917x3496,2
182,X0_04,-2912x3563,2
183,X0_04,-2912x3504,2
184,X0_04,-2910x3554,1
185,X0_04,-2898x3606,1
186,X0_04,-2895x3444,2
187,X0_04,-2891x3513,2
188,X0_04,-2881x3454,3
189,X0_04,-2863x3607,1
190,X0_04,-2864x3589,1
191,X0_04,-2861x3483,3
192,X0_04,-2855x3499,2
193,X0_04,-2851x3488,3
194,X0_04,-2848x3443,3
195,X0_04,-2844x3543,3
196,X0_04,-3024x3566,2
197,X0_04,-3009x3482,3
198,X0_04,-3007x3473,3
199,X0_04,-2998x3535,2
200,X0_04,-2961x3510,2
201,X0_04,-2859x3444,3
202,X0_04,-2985x3601,2
203,X0_04,-2964x3547,2
204,X0_04,-2945x3584,2
205,X0_04,-2893x3497,2
206,X0_04,-2877x3541,2
207,X0_04,-3027x3529,2
208,X0_04,-3017x3551,2
209,X0_04,-3001x3451,1
210,X0_04,-2954x3508,3
211,X0_04,-2955x3568,2
