,sample,spot_name,cluster
0,X0_04,-3033x2825,3
1,X0_04,-3027x2956,7
2,X0_04,-3021x2962,7
3,X0_04,-3017x2996,7
4,X0_04,-3005x2878,3
5,X0_04,-3005x2898,3
6,X0_04,-3002x2965,7
7,X0_04,-2997x3005,2
8,X0_04,-2967x2894,4
9,X0_04,-2963x2927,1
10,X0_04,-2955x2874,7
11,X0_04,-2953x2982,2
12,X0_04,-2949x2836,4
13,X0_04,-2948x2959,4
14,X0_04,-2943x2897,6
15,X0_04,-2941x3006,7
16,X0_04,-2932x2961,7
17,X0_04,-2922x2956,2
18,X0_04,-2915x2823,2
19,X0_04,-2910x2980,2
20,X0_04,-2907x2825,2
21,X0_04,-2903x2931,6
22,X0_04,-2898x2876,2
23,X0_04,-2898x2865,2
24,X0_04,-2883x2959,2
25,X0_04,-2874x2836,3
26,X0_04,-2870x2948,4
27,X0_04,-2859x2960,3
28,X0_04,-2856x2828,3
29,X0_04,-3026x2870,7
30,X0_04,-3012x2884,7
31,X0_04,-2958x3006,6
32,X0_04,-2956x2952,7
33,X0_04,-2923x2947,3
34,X0_04,-2923x2845,2
35,X0_04,-2896x2907,7
36,X0_04,-2866x2826,3
37,X0_04,-2867x2900,2
38,X0_04,-2943x2904,2
39,X0_04,-2891x2844,4
40,X0_04,-2954x2966,7
41,X0_04,-2877x2944,7
42,X0_04,-2858x2987,2
43,X0_04,-2982x2840,6
44,X0_04,-2938x2941,7
45,X0_04,-2911x2949,3
46,X0_04,-2853x2855,4
47,X0_04,-3031x3179,7
48,X0_04,-3024x3059,2
49,X0_04,-3020x3074,7
50,X0_04,-3017x3191,1
51,X0_04,-3017x3021,3
52,X0_04,-3010x3164,4
53,X0_04,-3012x3082,7
54,X0_04,-3005x3135,1
55,X0_04,-2998x3140,7
56,X0_04,-2996x3187,7
57,X0_04,-2991x3049,7
58,X0_04,-2992x3197,3
59,X0_04,-2991x3117,7
60,X0_04,-2976x3056,7
61,X0_04,-2972x3164,1
62,X0_04,-2961x3123,7
63,X0_04,-2961x3052,3
64,X0_04,-2958x3082,2
65,X0_04,-2946x3188,6
66,X0_04,-2932x3086,6
67,X0_04,-2936x3056,1
68,X0_04,-2906x3088,7
69,X0_04,-2906x3192,1
70,X0_04,-2906x3035,7
71,X0_04,-2905x3206,4
72,X0_04,-2906x3156,1
73,X0_04,-2888x3120,4
74,X0_04,-2888x3153,7
75,X0_04,-2878x3103,1
76,X0_04,-2873x3130,7
77,X0_04,-2875x3092,3
78,X0_04,-2860x3174,7
79,X0_04,-2859x3189,2
80,X0_04,-2852x3152,3
81,X0_04,-2849x3079,1
82,X0_04,-3004x3046,3
83,X0_04,-2993x3104,7
84,X0_04,-2977x3181,1
85,X0_04,-2952x3173,1
86,X0_04,-2943x3034,7
87,X0_04,-2910x3177,7
88,X0_04,-2878x3187,2
89,X0_04,-3003x3078,7
90,X0_04,-2976x3032,7
91,X0_04,-2973x3124,7
92,X0_04,-2966x3142,1
93,X0_04,-2955x3045,7
94,X0_04,-2889x3136,4
95,X0_04,-2965x3180,1
96,X0_04,-2940x3202,1
97,X0_04,-2928x3161,2
98,X0_04,-2859x3129,1
99,X0_04,-2858x3198,2
100,X0_04,-3030x3279,2
101,X0_04,-3031x3302,2
102,X0_04,-3027x3237,1
103,X0_04,-3019x3261,3
104,X0_04,-3016x3306,3
105,X0_04,-3002x3359,7
106,X0_04,-3001x3300,1
107,X0_04,-2988x3238,1
108,X0_04,-2991x3316,1
109,X0_04,-2991x3276,7
110,X0_04,-2989x3379,1
111,X0_04,-2979x3333,1
112,X0_04,-2974x3250,1
113,X0_04,-2968x3391,2
114,X0_04,-2960x3334,1
115,X0_04,-2950x3275,4
116,X0_04,-2940x3299,1
117,X0_04,-2945x3316,7
118,X0_04,-2934x3372,2
119,X0_04,-2935x3245,6
120,X0_04,-2924x3321,7
121,X0_04,-2922x3356,7
122,X0_04,-2927x3336,3
123,X0_04,-2912x3246,7
124,X0_04,-2906x3237,2
125,X0_04,-2910x3303,7
126,X0_04,-2905x3311,7
127,X0_04,-2904x3395,0
128,X0_04,-2900x3249,3
129,X0_04,-2894x3273,7
130,X0_04,-2892x3285,4
131,X0_04,-2876x3325,3
132,X0_04,-2870x3343,2
133,X0_04,-2869x3257,3
134,X0_04,-2869x3400,3
135,X0_04,-2860x3232,6
136,X0_04,-2861x3400,3
137,X0_04,-2857x3289,2
138,X0_04,-2850x3273,7
139,X0_04,-2847x3243,1
140,X0_04,-3031x3261,7
141,X0_04,-3021x3369,2
142,X0_04,-3008x3243,7
143,X0_04,-2993x3226,4
144,X0_04,-2972x3298,7
145,X0_04,-2966x3292,7
146,X0_04,-2915x3259,7
147,X0_04,-2999x3350,7
148,X0_04,-2947x3264,7
149,X0_04,-2872x3315,2
150,X0_04,-2872x3396,1
151,X0_04,-2952x3331,7
152,X0_04,-2917x3277,7
153,X0_04,-2903x3366,3
154,X0_04,-2875x3304,6
155,X0_04,-3030x3427,2
156,X0_04,-3022x3498,3
157,X0_04,-3025x3551,7
158,X0_04,-3014x3523,4
159,X0_04,-3004x3595,1
160,X0_04,-3002x3587,0
161,X0_04,-2999x3558,0
162,X0_04,-2979x3530,4
163,X0_04,-2972x3453,4
164,X0_04,-2970x3555,2
165,X0_04,-2969x3479,2
166,X0_04,-2967x3574,0
167,X0_04,-2956x3438,3
168,X0_04,-2943x3601,4
169,X0_04,-2939x3513,7
170,X0_04,-2935x3539,1
171,X0_04,-2936x3432,7
172,X0_04,-2936x3461,0
173,X0_04,-2926x3592,0
174,X0_04,-2927x3468,6
175,X0_04,-2924x3602,3
176,X0_04,-2917x3550,4
177,X0_04,-2917x3496,2
178,X0_04,-2912x3563,7
179,X0_04,-2912x3504,0
180,X0_04,-2910x3554,7
181,X0_04,-2898x3606,2
182,X0_04,-2895x3444,7
183,X0_04,-2891x3513,6
184,X0_04,-2881x3454,6
185,X0_04,-2863x3607,7
186,X0_04,-2864x3589,0
187,X0_04,-2861x3483,2
188,X0_04,-2855x3499,2
189,X0_04,-2851x3488,2
190,X0_04,-2848x3443,2
191,X0_04,-2844x3543,6
192,X0_04,-3024x3566,0
193,X0_04,-3009x3482,2
194,X0_04,-3007x3473,2
195,X0_04,-2998x3535,1
196,X0_04,-2961x3510,3
197,X0_04,-2859x3444,4
198,X0_04,-2985x3601,7
199,X0_04,-2964x3547,7
200,X0_04,-2945x3584,1
201,X0_04,-2893x3497,0
202,X0_04,-2877x3541,3
203,X0_04,-3027x3529,7
204,X0_04,-3017x3551,7
205,X0_04,-3001x3451,1
206,X0_04,-2954x3508,3
207,X0_04,-2955x3568,0
208,X0_04,-2909x3472,3
209,X0_04,-2871x3475,7
210,X0_04,-3025x3774,0
211,X0_04,-3021x3739,7
212,X0_04,-3021x3747,7
213,X0_04,-3017x3693,6
214,X0_04,-3020x3636,7
215,X0_04,-3017x3701,6
216,X0_04,-3016x3803,7
217,X0_04,-3013x3652,0
218,X0_04,-3004x3703,0
219,X0_04,-3004x3659,0
220,X0_04,-2998x3777,7
221,X0_04,-2995x3659,0
222,X0_04,-2994x3637,2
223,X0_04,-2982x3802,3
224,X0_04,-2981x3707,0
225,X0_04,-2975x3724,0
226,X0_04,-2972x3736,2
227,X0_04,-2958x3784,7
228,X0_04,-2956x3775,7
229,X0_04,-2953x3680,0
230,X0_04,-2954x3762,2
