,sample,spot_name,cluster
0,X0_04,-3033x2825,3
1,X0_04,-3027x2956,0
2,X0_04,-3021x2962,0
3,X0_04,-3017x2996,0
4,X0_04,-3005x2878,3
5,X0_04,-3005x2898,3
6,X0_04,-3002x2965,0
7,X0_04,-2997x3005,0
8,X0_04,-2967x2894,1
9,X0_04,-2963x2927,1
10,X0_04,-2955x2874,1
11,X0_04,-2953x2982,0
12,X0_04,-2949x2836,4
13,X0_04,-2948x2959,0
14,X0_04,-2943x2897,1
15,X0_04,-2941x3006,1
16,X0_04,-2932x2961,8
17,X0_04,-2922x2956,3
18,X0_04,-2915x2823,2
19,X0_04,-2910x2980,2
20,X0_04,-2907x2825,2
21,X0_04,-2903x2931,0
22,X0_04,-2898x2823,2
23,X0_04,-2898x2876,4
24,X0_04,-2898x2865,2
25,X0_04,-2883x2959,2
26,X0_04,-2874x2836,3
27,X0_04,-2870x2948,4
28,X0_04,-2868x2875,2
29,X0_04,-2859x2960,2
30,X0_04,-2856x2828,3
31,X0_04,-3026x2870,3
32,X0_04,-3012x2884,3
33,X0_04,-2958x3006,0
34,X0_04,-2956x2952,0
35,X0_04,-2923x2947,3
36,X0_04,-2923x2845,2
37,X0_04,-2896x2907,0
38,X0_04,-2866x2826,3
39,X0_04,-2867x2900,2
40,X0_04,-2943x2904,1
41,X0_04,-2891x2844,2
42,X0_04,-2954x2966,0
43,X0_04,-2877x2944,2
44,X0_04,-2858x2987,2
45,X0_04,-2982x2840,6
46,X0_04,-2938x2941,0
47,X0_04,-2911x2949,3
48,X0_04,-2853x2855,2
49,X0_04,-3031x3179,7
50,X0_04,-3024x3059,0
51,X0_04,-3020x3074,0
52,X0_04,-3017x3191,7
53,X0_04,-3017x3021,3
54,X0_04,-3010x3164,4
55,X0_04,-3012x3082,0
56,X0_04,-3005x3135,1
57,X0_04,-2998x3140,1
58,X0_04,-2996x3187,1
59,X0_04,-2991x3049,0
60,X0_04,-2992x3197,3
61,X0_04,-2991x3117,0
62,X0_04,-2976x3056,0
63,X0_04,-2972x3164,7
64,X0_04,-2961x3123,7
65,X0_04,-2961x3052,0
66,X0_04,-2958x3082,2
67,X0_04,-2946x3188,1
68,X0_04,-2932x3086,6
69,X0_04,-2936x3056,0
70,X0_04,-2906x3088,1
71,X0_04,-2906x3192,7
72,X0_04,-2906x3035,0
73,X0_04,-2905x3206,4
74,X0_04,-2906x3156,1
75,X0_04,-2888x3120,4
76,X0_04,-2888x3153,3
77,X0_04,-2878x3103,7
78,X0_04,-2873x3130,8
79,X0_04,-2875x3092,3
80,X0_04,-2860x3174,0
81,X0_04,-2859x3189,0
82,X0_04,-2852x3152,4
83,X0_04,-2849x3079,4
84,X0_04,-3004x3046,3
85,X0_04,-2993x3104,0
86,X0_04,-2977x3181,7
87,X0_04,-2952x3173,7
88,X0_04,-2943x3034,0
89,X0_04,-2910x3177,7
90,X0_04,-2878x3187,0
91,X0_04,-3003x3078,0
92,X0_04,-2976x3032,0
93,X0_04,-2973x3124,8
94,X0_04,-2966x3142,7
95,X0_04,-2955x3045,0
96,X0_04,-2889x3136,4
97,X0_04,-2965x3180,1
98,X0_04,-2940x3202,1
99,X0_04,-2928x3161,7
100,X0_04,-2859x3129,4
101,X0_04,-2858x3198,0
102,X0_04,-3030x3279,2
103,X0_04,-3031x3302,2
104,X0_04,-3027x3237,1
105,X0_04,-3019x3261,3
106,X0_04,-3016x3306,3
107,X0_04,-3002x3359,4
108,X0_04,-3001x3300,7
109,X0_04,-2988x3238,7
110,X0_04,-2991x3316,7
111,X0_04,-2991x3276,0
112,X0_04,-2989x3379,7
113,X0_04,-2979x3333,1
114,X0_04,-2974x3250,2
115,X0_04,-2968x3391,2
116,X0_04,-2960x3334,7
117,X0_04,-2950x3275,0
118,X0_04,-2940x3299,8
119,X0_04,-2945x3316,0
120,X0_04,-2934x3372,1
121,X0_04,-2935x3245,0
122,X0_04,-2924x3321,1
123,X0_04,-2922x3356,0
124,X0_04,-2927x3336,3
125,X0_04,-2912x3246,0
126,X0_04,-2906x3237,0
127,X0_04,-2910x3303,4
128,X0_04,-2905x3311,4
129,X0_04,-2904x3395,3
130,X0_04,-2900x3249,0
131,X0_04,-2894x3273,8
132,X0_04,-2892x3285,4
133,X0_04,-2876x3325,2
134,X0_04,-2870x3343,2
135,X0_04,-2869x3257,0
136,X0_04,-2869x3400,3
137,X0_04,-2860x3232,6
138,X0_04,-2861x3400,3
139,X0_04,-2857x3289,2
140,X0_04,-2850x3273,0
141,X0_04,-2847x3243,1
142,X0_04,-3031x3261,0
143,X0_04,-3021x3369,2
144,X0_04,-3008x3243,0
145,X0_04,-2993x3226,4
146,X0_04,-2972x3298,0
147,X0_04,-2966x3292,0
148,X0_04,-2915x3259,0
149,X0_04,-2999x3350,8
150,X0_04,-2947x3264,0
151,X0_04,-2872x3315,2
152,X0_04,-2872x3396,3
153,X0_04,-2952x3331,1
154,X0_04,-2917x3277,1
155,X0_04,-2903x3366,3
156,X0_04,-2875x3304,2
157,X0_04,-3030x3427,2
158,X0_04,-3022x3498,3
159,X0_04,-3025x3551,0
160,X0_04,-3014x3523,4
161,X0_04,-3004x3595,7
162,X0_04,-3002x3587,1
163,X0_04,-2999x3558,0
164,X0_04,-2979x3530,4
165,X0_04,-2972x3453,0
166,X0_04,-2971x3493,1
167,X0_04,-2970x3555,0
168,X0_04,-2969x3479,1
169,X0_04,-2967x3574,0
170,X0_04,-2956x3438,3
171,X0_04,-2943x3601,4
172,X0_04,-2939x3513,0
173,X0_04,-2935x3539,1
174,X0_04,-2936x3432,8
175,X0_04,-2936x3461,0
176,X0_04,-2926x3592,3
177,X0_04,-2927x3468,6
178,X0_04,-2924x3602,3
179,X0_04,-2917x3550,4
180,X0_04,-2917x3496,2
181,X0_04,-2912x3563,0
182,X0_04,-2912x3504,2
183,X0_04,-2910x3554,4
184,X0_04,-2898x3606,2
185,X0_04,-2895x3444,1
186,X0_04,-2891x3513,6
187,X0_04,-2881x3454,6
188,X0_04,-2863x3607,3
189,X0_04,-2864x3589,1
190,X0_04,-2861x3483,2
191,X0_04,-2855x3499,7
192,X0_04,-2851x3488,2
193,X0_04,-2848x3443,2
194,X0_04,-2844x3543,6
195,X0_04,-3024x3566,0
196,X0_04,-3009x3482,2
197,X0_04,-3007x3473,2
198,X0_04,-2998x3535,1
199,X0_04,-2961x3510,3
200,X0_04,-2859x3444,2
201,X0_04,-2985x3601,0
202,X0_04,-2964x3547,0
203,X0_04,-2945x3584,1
204,X0_04,-2893x3497,0
205,X0_04,-2877x3541,3
206,X0_04,-3027x3529,1
207,X0_04,-3017x3551,0
208,X0_04,-3001x3451,2
209,X0_04,-2954x3508,3
210,X0_04,-2955x3568,0
211,X0_04,-2909x3472,0
212,X0_04,-2871x3475,0
213,X0_04,-3025x3774,0
214,X0_04,-3021x3739,0
215,X0_04,-3021x3747,0
216,X0_04,-3017x3693,6
217,X0_04,-3020x3636,0
218,X0_04,-3017x3701,6
219,X0_04,-3016x3803,0
220,X0_04,-3013x3652,0
221,X0_04,-3004x3703,0
222,X0_04,-3004x3659,0
223,X0_04,-2998x3777,0
224,X0_04,-2995x3659,0
225,X0_04,-2994x3637,0
226,X0_04,-2982x3802,3
227,X0_04,-2981x3707,3
228,X0_04,-2975x3724,3
229,X0_04,-2972x3736,2
230,X0_04,-2958x3784,0
231,X0_04,-2956x3775,0
232,X0_04,-2953x3680,1
233,X0_04,-2954x3762,2
234,X0_04,-2943x3693,4
235,X0_04,-2941x3718,3
