,sample,spot_name,cluster
0,X0_04,-1244x2891,16
1,X0_04,-1244x4090,4
2,X0_04,-1244x4107,14
3,X0_04,-1246x4188,0
4,X0_04,-1246x4412,0
5,X0_04,-1246x4494,0
6,X0_04,-1247x3795,0
7,X0_04,-1247x4297,0
8,X0_04,-1247x4345,14
9,X0_04,-1247x4553,9
10,X0_04,-1248x2913,17
11,X0_04,-1248x3538,10
12,X0_04,-1249x4418,0
13,X0_04,-1250x4196,14
14,X0_04,-1250x4316,0
15,X0_04,-1251x3098,17
16,X0_04,-1251x3406,15
17,X0_04,-1251x3469,17
18,X0_04,-1251x3695,17
19,X0_04,-1251x3910,14
20,X0_04,-1251x4160,0
21,X0_04,-1251x4533,0
22,X0_04,-1252x3769,0
23,X0_04,-1253x4222,0
24,X0_04,-1254x3484,15
25,X0_04,-1255x3417,18
26,X0_04,-1255x3981,9
27,X0_04,-1255x4065,0
28,X0_04,-1255x4204,0
29,X0_04,-1256x4176,0
30,X0_04,-1256x4376,0
31,X0_04,-1257x4577,18
32,X0_04,-1258x3034,10
33,X0_04,-1258x4395,0
34,X0_04,-1259x3118,2
35,X0_04,-1259x3718,0
36,X0_04,-1259x3917,0
37,X0_04,-1259x4507,0
38,X0_04,-1260x3246,16
39,X0_04,-1260x3366,16
40,X0_04,-1260x3838,0
41,X0_04,-1260x4080,0
42,X0_04,-1260x4517,0
43,X0_04,-1261x3189,2
44,X0_04,-1262x3051,17
45,X0_04,-1262x4372,14
46,X0_04,-1263x2912,2
47,X0_04,-1263x3149,10
48,X0_04,-1264x2889,10
49,X0_04,-1264x3059,17
50,X0_04,-1264x3533,2
51,X0_04,-1266x3312,10
52,X0_04,-1266x4365,14
53,X0_04,-1266x4500,0
54,X0_04,-1267x3507,15
55,X0_04,-1267x3781,0
56,X0_04,-1267x3987,0
57,X0_04,-1268x3346,5
58,X0_04,-1269x3642,0
59,X0_04,-1269x4263,4
60,X0_04,-1270x3074,10
61,X0_04,-1270x3440,10
62,X0_04,-1270x3747,2
63,X0_04,-1270x3817,0
64,X0_04,-1270x3917,0
65,X0_04,-1271x3113,2
66,X0_04,-1271x3553,0
67,X0_04,-1271x3583,15
68,X0_04,-1272x2967,15
69,X0_04,-1272x3370,0
70,X0_04,-1272x3403,4
71,X0_04,-1272x3632,0
72,X0_04,-1272x3847,0
73,X0_04,-1272x4572,0
74,X0_04,-1274x3134,17
75,X0_04,-1274x3407,17
76,X0_04,-1275x4120,0
77,X0_04,-1275x4289,0
78,X0_04,-1276x4144,0
79,X0_04,-1276x4306,15
80,X0_04,-1278x2974,2
81,X0_04,-1278x3790,9
82,X0_04,-1278x3984,0
83,X0_04,-1279x3675,0
84,X0_04,-1280x3457,16
85,X0_04,-1280x4074,0
86,X0_04,-1280x4326,0
87,X0_04,-1280x4369,0
88,X0_04,-1280x4549,0
