,sample,spot_name,cluster
0,X0_04,-1244x2891,34
1,X0_04,-1244x4090,20
2,X0_04,-1244x4107,34
3,X0_04,-1246x4188,0
4,X0_04,-1246x4412,0
5,X0_04,-1246x4494,0
6,X0_04,-1247x3391,20
7,X0_04,-1247x3795,0
8,X0_04,-1247x4297,0
9,X0_04,-1247x4345,34
10,X0_04,-1247x4553,14
11,X0_04,-1248x2913,14
12,X0_04,-1248x3538,0
13,X0_04,-1249x4418,0
14,X0_04,-1250x4196,34
15,X0_04,-1250x4316,0
16,X0_04,-1251x3098,14
17,X0_04,-1251x3406,24
18,X0_04,-1251x3469,14
19,X0_04,-1251x3695,14
20,X0_04,-1251x3910,34
21,X0_04,-1251x4160,0
22,X0_04,-1251x4533,0
23,X0_04,-1252x3769,0
24,X0_04,-1253x4222,0
25,X0_04,-1254x3484,44
26,X0_04,-1255x3417,44
27,X0_04,-1255x3981,14
28,X0_04,-1255x4065,0
29,X0_04,-1255x4204,0
30,X0_04,-1256x4176,0
31,X0_04,-1256x4376,0
32,X0_04,-1257x4577,44
33,X0_04,-1258x3034,0
34,X0_04,-1258x4395,0
35,X0_04,-1259x3118,7
36,X0_04,-1259x3718,0
37,X0_04,-1259x3917,0
38,X0_04,-1259x4507,0
39,X0_04,-1260x3246,20
40,X0_04,-1260x3366,20
41,X0_04,-1260x3838,0
42,X0_04,-1260x4080,7
43,X0_04,-1260x4517,7
44,X0_04,-1261x3189,7
45,X0_04,-1261x3884,20
46,X0_04,-1262x3051,14
47,X0_04,-1262x4372,34
48,X0_04,-1263x2912,7
49,X0_04,-1263x3149,0
50,X0_04,-1264x2889,0
51,X0_04,-1264x3059,14
52,X0_04,-1264x3533,7
53,X0_04,-1266x3312,0
54,X0_04,-1266x4365,34
55,X0_04,-1266x4500,0
56,X0_04,-1267x3507,24
57,X0_04,-1267x3781,0
58,X0_04,-1267x3987,0
59,X0_04,-1268x3346,43
60,X0_04,-1269x3642,0
61,X0_04,-1269x4263,20
62,X0_04,-1270x3074,0
63,X0_04,-1270x3440,0
64,X0_04,-1270x3747,7
65,X0_04,-1270x3817,0
66,X0_04,-1270x3917,0
67,X0_04,-1271x3113,7
68,X0_04,-1271x3553,0
69,X0_04,-1271x3583,24
70,X0_04,-1272x2967,24
71,X0_04,-1272x3002,0
72,X0_04,-1272x3370,0
73,X0_04,-1272x3403,20
74,X0_04,-1272x3632,0
75,X0_04,-1272x3847,0
76,X0_04,-1272x4572,0
77,X0_04,-1274x3134,14
78,X0_04,-1274x3407,14
79,X0_04,-1275x4120,0
80,X0_04,-1275x4289,0
81,X0_04,-1276x4144,0
82,X0_04,-1276x4306,24
83,X0_04,-1278x2974,7
84,X0_04,-1278x3790,14
85,X0_04,-1278x3984,0
86,X0_04,-1279x3675,0
87,X0_04,-1280x3457,20
88,X0_04,-1280x4074,0
89,X0_04,-1280x4326,0
90,X0_04,-1280x4369,0
91,X0_04,-1280x4549,0
92,X0_04,-1281x3029,0
93,X0_04,-1281x3043,0
94,X0_04,-1281x3658,0
95,X0_04,-1281x3717,14
96,X0_04,-1281x3893,0
97,X0_04,-1281x3955,44
98,X0_04,-1281x4150,24
99,X0_04,-1282x3163,0
100,X0_04,-1283x3556,24
101,X0_04,-1285x4407,0
102,X0_04,-1285x4498,20
103,X0_04,-1286x3467,20
104,X0_04,-1286x3618,43
105,X0_04,-1286x4018,14
106,X0_04,-1287x3362,14
107,X0_04,-1287x3572,14
108,X0_04,-1287x4244,0
109,X0_04,-1287x4512,14
110,X0_04,-1287x4579,14
111,X0_04,-1287x4598,0
112,X0_04,-1289x2852,0
113,X0_04,-1289x3746,0
114,X0_04,-1289x4044,0
115,X0_04,-1289x4059,0
116,X0_04,-1289x4537,0
117,X0_04,-1290x3731,0
118,X0_04,-1290x3846,0
119,X0_04,-1290x4133,0
120,X0_04,-1291x3478,20
121,X0_04,-1292x3021,24
122,X0_04,-1293x2955,0
123,X0_04,-1293x3060,24
124,X0_04,-1293x3237,24
125,X0_04,-1293x3348,20
126,X0_04,-1294x2909,0
127,X0_04,-1294x3136,7
128,X0_04,-1294x3150,0
129,X0_04,-1294x3667,7
130,X0_04,-1294x3681,20
131,X0_04,-1294x4125,0
132,X0_04,-1294x4349,0
133,X0_04,-1295x3109,20
134,X0_04,-1295x3572,14
135,X0_04,-1295x4279,0
136,X0_04,-1296x3068,7
137,X0_04,-1296x3194,7
138,X0_04,-1296x3263,24
139,X0_04,-1296x3707,7
140,X0_04,-1296x3831,7
141,X0_04,-1297x3256,7
142,X0_04,-1297x3884,0
143,X0_04,-1300x3087,7
144,X0_04,-1300x3238,14
145,X0_04,-1300x4068,0
146,X0_04,-1300x4097,0
147,X0_04,-1300x4331,7
148,X0_04,-1302x2894,0
149,X0_04,-1302x3919,14
150,X0_04,-1302x4074,0
151,X0_04,-1302x4481,14
152,X0_04,-1303x3987,0
153,X0_04,-1303x4365,14
154,X0_04,-1304x2927,0
155,X0_04,-1304x2983,0
156,X0_04,-1304x4520,0
157,X0_04,-1305x3883,0
158,X0_04,-1306x3267,34
159,X0_04,-1306x3394,34
160,X0_04,-1306x3797,0
161,X0_04,-1307x3168,20
162,X0_04,-1307x3641,7
163,X0_04,-1307x4135,0
164,X0_04,-1307x4199,7
165,X0_04,-1309x3603,0
166,X0_04,-1309x4005,0
167,X0_04,-1310x3755,20
168,X0_04,-1310x4441,7
169,X0_04,-1310x4489,0
170,X0_04,-1311x3565,0
171,X0_04,-1311x3687,14
172,X0_04,-1311x3955,0
173,X0_04,-1311x4124,0
174,X0_04,-1312x3231,14
175,X0_04,-1312x3283,20
176,X0_04,-1312x3990,14
177,X0_04,-1312x4523,0
178,X0_04,-1313x2958,24
179,X0_04,-1313x3511,0
180,X0_04,-1313x4312,0
181,X0_04,-1313x4597,0
182,X0_04,-1314x3545,14
183,X0_04,-1315x2886,0
