,sample,spot_name,cluster
0,X0_04,-1244x2891,11
1,X0_04,-1244x4090,1
2,X0_04,-1244x4107,11
3,X0_04,-1246x4188,2
4,X0_04,-1246x4412,15
5,X0_04,-1246x4494,2
6,X0_04,-1247x3391,1
7,X0_04,-1247x3795,2
8,X0_04,-1247x4297,2
9,X0_04,-1247x4345,2
10,X0_04,-1247x4553,13
11,X0_04,-1248x2913,3
12,X0_04,-1248x3538,15
13,X0_04,-1249x4418,2
14,X0_04,-1250x4196,11
15,X0_04,-1250x4316,2
16,X0_04,-1251x3098,3
17,X0_04,-1251x3406,19
18,X0_04,-1251x3469,3
19,X0_04,-1251x3695,3
20,X0_04,-1251x3910,11
21,X0_04,-1251x4160,2
22,X0_04,-1251x4533,2
23,X0_04,-1252x3769,2
24,X0_04,-1253x4222,2
25,X0_04,-1254x3484,19
26,X0_04,-1255x3417,1
27,X0_04,-1255x3981,13
28,X0_04,-1255x4065,2
29,X0_04,-1255x4204,2
30,X0_04,-1256x4176,2
31,X0_04,-1256x4376,2
32,X0_04,-1257x4577,17
33,X0_04,-1258x3034,15
34,X0_04,-1258x4395,2
35,X0_04,-1259x3118,6
36,X0_04,-1259x3718,15
37,X0_04,-1259x3917,2
38,X0_04,-1259x4507,2
39,X0_04,-1260x3246,1
40,X0_04,-1260x3366,1
41,X0_04,-1260x3838,2
42,X0_04,-1260x4080,0
43,X0_04,-1260x4517,2
44,X0_04,-1261x3189,6
45,X0_04,-1261x3884,1
46,X0_04,-1262x3051,3
47,X0_04,-1262x4372,11
48,X0_04,-1263x2912,15
49,X0_04,-1263x3149,15
50,X0_04,-1264x2889,15
51,X0_04,-1264x3059,3
52,X0_04,-1264x3533,6
53,X0_04,-1266x3312,15
54,X0_04,-1266x4365,11
55,X0_04,-1266x4500,2
56,X0_04,-1267x3507,19
57,X0_04,-1267x3781,2
58,X0_04,-1267x3987,2
59,X0_04,-1268x3346,4
60,X0_04,-1269x3642,2
61,X0_04,-1269x4263,1
62,X0_04,-1270x3074,15
63,X0_04,-1270x3440,15
64,X0_04,-1270x3747,6
65,X0_04,-1270x3817,2
66,X0_04,-1270x3917,2
67,X0_04,-1271x3113,6
68,X0_04,-1271x3553,2
69,X0_04,-1271x3583,19
70,X0_04,-1272x2967,19
71,X0_04,-1272x3002,15
72,X0_04,-1272x3370,15
73,X0_04,-1272x3403,1
74,X0_04,-1272x3632,2
75,X0_04,-1272x3847,2
76,X0_04,-1272x4572,2
77,X0_04,-1274x3134,3
78,X0_04,-1274x3407,3
79,X0_04,-1275x4120,2
80,X0_04,-1275x4289,2
81,X0_04,-1276x4144,2
82,X0_04,-1276x4306,10
83,X0_04,-1278x2974,6
84,X0_04,-1278x3790,3
85,X0_04,-1278x3984,2
86,X0_04,-1279x3675,2
87,X0_04,-1280x3457,1
88,X0_04,-1280x4074,2
89,X0_04,-1280x4326,2
90,X0_04,-1280x4369,2
91,X0_04,-1280x4549,2
92,X0_04,-1281x3029,15
93,X0_04,-1281x3043,15
94,X0_04,-1281x3658,2
95,X0_04,-1281x3717,3
96,X0_04,-1281x3893,2
97,X0_04,-1281x3955,17
98,X0_04,-1281x4150,10
99,X0_04,-1282x3163,15
100,X0_04,-1283x3556,19
101,X0_04,-1285x4407,2
102,X0_04,-1285x4498,1
103,X0_04,-1286x3467,1
104,X0_04,-1286x3618,4
105,X0_04,-1286x4018,3
106,X0_04,-1287x3362,3
107,X0_04,-1287x3572,3
108,X0_04,-1287x4244,2
109,X0_04,-1287x4512,13
110,X0_04,-1287x4579,13
111,X0_04,-1287x4598,2
112,X0_04,-1289x2852,15
113,X0_04,-1289x3746,4
114,X0_04,-1289x4044,2
115,X0_04,-1289x4059,2
116,X0_04,-1289x4537,2
117,X0_04,-1290x3731,2
118,X0_04,-1290x3846,2
119,X0_04,-1290x4133,2
120,X0_04,-1291x3478,1
121,X0_04,-1292x3021,19
122,X0_04,-1293x2955,15
123,X0_04,-1293x3060,19
124,X0_04,-1293x3237,19
125,X0_04,-1293x3348,1
126,X0_04,-1294x2909,15
127,X0_04,-1294x3136,6
128,X0_04,-1294x3150,15
129,X0_04,-1294x3667,6
130,X0_04,-1294x3681,1
131,X0_04,-1294x4125,2
132,X0_04,-1294x4349,2
