,sample,spot_name,cluster
0,X0_04,-3027x2956,5
1,X0_04,-3021x2962,5
2,X0_04,-3017x2996,5
3,X0_04,-3005x2898,3
4,X0_04,-3002x2965,5
5,X0_04,-2997x3005,5
6,X0_04,-2967x2894,5
7,X0_04,-2963x2927,5
8,X0_04,-2955x2874,5
9,X0_04,-2953x2982,1
10,X0_04,-2949x2836,4
11,X0_04,-2948x2959,5
12,X0_04,-2943x2897,8
13,X0_04,-2941x3006,5
14,X0_04,-2932x2961,5
15,X0_04,-2922x2956,5
16,X0_04,-2915x2823,1
17,X0_04,-2910x2980,5
18,X0_04,-2907x2825,7
19,X0_04,-2903x2931,5
20,X0_04,-2898x2823,5
21,X0_04,-2898x2876,4
22,X0_04,-2898x2865,1
23,X0_04,-2883x2959,1
24,X0_04,-2874x2836,1
25,X0_04,-2870x2948,4
26,X0_04,-2868x2875,5
27,X0_04,-2859x2960,3
28,X0_04,-2856x2828,5
29,X0_04,-3026x2870,5
30,X0_04,-3012x2884,5
31,X0_04,-2958x3006,5
32,X0_04,-2956x2952,5
33,X0_04,-2923x2947,5
34,X0_04,-2923x2845,1
35,X0_04,-2896x2907,5
36,X0_04,-2866x2826,5
37,X0_04,-2867x2900,1
38,X0_04,-2943x2904,1
39,X0_04,-2891x2844,4
40,X0_04,-2954x2966,5
41,X0_04,-2877x2944,5
42,X0_04,-2858x2987,1
43,X0_04,-2982x2840,8
44,X0_04,-2938x2941,5
45,X0_04,-2911x2949,5
46,X0_04,-2853x2855,4
47,X0_04,-3031x3179,5
48,X0_04,-3024x3059,1
49,X0_04,-3020x3074,5
50,X0_04,-3017x3191,5
51,X0_04,-3017x3021,5
52,X0_04,-3010x3164,4
53,X0_04,-3012x3082,5
54,X0_04,-3005x3135,5
55,X0_04,-2998x3140,5
56,X0_04,-2996x3187,5
57,X0_04,-2991x3049,5
58,X0_04,-2992x3197,3
59,X0_04,-2991x3117,5
60,X0_04,-2976x3056,5
61,X0_04,-2972x3164,4
62,X0_04,-2961x3123,5
63,X0_04,-2961x3052,5
64,X0_04,-2958x3082,5
65,X0_04,-2946x3188,8
66,X0_04,-2932x3086,8
67,X0_04,-2936x3056,5
68,X0_04,-2906x3088,5
69,X0_04,-2906x3192,5
70,X0_04,-2906x3035,5
71,X0_04,-2905x3206,4
72,X0_04,-2906x3156,5
73,X0_04,-2888x3120,4
74,X0_04,-2888x3153,3
75,X0_04,-2878x3103,5
76,X0_04,-2873x3130,5
77,X0_04,-2875x3092,3
78,X0_04,-2860x3174,5
79,X0_04,-2859x3189,5
80,X0_04,-2849x3079,4
81,X0_04,-3004x3046,3
82,X0_04,-2993x3104,5
83,X0_04,-2977x3181,5
84,X0_04,-2952x3173,5
85,X0_04,-2943x3034,5
86,X0_04,-2910x3177,5
87,X0_04,-2878x3187,1
88,X0_04,-3003x3078,5
89,X0_04,-2976x3032,5
90,X0_04,-2973x3124,5
91,X0_04,-2966x3142,5
92,X0_04,-2955x3045,5
93,X0_04,-2889x3136,4
94,X0_04,-2965x3180,5
95,X0_04,-2940x3202,5
96,X0_04,-2928x3161,5
97,X0_04,-2859x3129,5
98,X0_04,-2858x3198,5
99,X0_04,-3030x3279,1
100,X0_04,-3031x3302,5
101,X0_04,-3027x3237,5
102,X0_04,-3019x3261,3
103,X0_04,-3016x3306,5
104,X0_04,-3002x3359,4
105,X0_04,-3001x3300,5
106,X0_04,-2988x3238,5
107,X0_04,-2991x3316,5
108,X0_04,-2991x3276,5
109,X0_04,-2989x3379,5
110,X0_04,-2979x3333,5
111,X0_04,-2974x3250,1
112,X0_04,-2968x3391,5
113,X0_04,-2960x3334,5
114,X0_04,-2950x3275,4
115,X0_04,-2940x3299,5
116,X0_04,-2945x3316,5
117,X0_04,-2934x3372,5
118,X0_04,-2935x3245,8
119,X0_04,-2924x3321,5
120,X0_04,-2922x3356,5
121,X0_04,-2927x3336,3
122,X0_04,-2912x3246,5
123,X0_04,-2906x3237,5
124,X0_04,-2910x3303,4
125,X0_04,-2905x3311,5
126,X0_04,-2904x3395,5
127,X0_04,-2900x3249,5
128,X0_04,-2894x3273,5
129,X0_04,-2892x3285,4
130,X0_04,-2870x3343,1
131,X0_04,-2869x3257,5
132,X0_04,-2869x3400,3
133,X0_04,-2860x3232,8
134,X0_04,-2861x3400,3
135,X0_04,-2857x3289,1
136,X0_04,-2850x3273,5
137,X0_04,-2847x3243,5
138,X0_04,-3031x3261,5
139,X0_04,-3021x3369,1
140,X0_04,-3008x3243,5
141,X0_04,-2993x3226,4
142,X0_04,-2972x3298,5
143,X0_04,-2966x3292,5
144,X0_04,-2915x3259,5
145,X0_04,-2999x3350,5
146,X0_04,-2947x3264,5
147,X0_04,-2872x3315,1
148,X0_04,-2872x3396,6
149,X0_04,-2952x3331,5
150,X0_04,-2917x3277,5
151,X0_04,-2903x3366,5
152,X0_04,-2875x3304,8
153,X0_04,-3030x3427,5
154,X0_04,-3022x3498,3
155,X0_04,-3025x3551,6
156,X0_04,-3014x3523,4
157,X0_04,-3004x3595,2
158,X0_04,-3002x3587,2
159,X0_04,-2999x3558,3
160,X0_04,-2979x3530,4
161,X0_04,-2972x3453,2
162,X0_04,-2971x3493,2
163,X0_04,-2970x3555,1
164,X0_04,-2969x3479,2
165,X0_04,-2967x3574,2
166,X0_04,-2956x3438,3
167,X0_04,-2943x3601,4
168,X0_04,-2939x3513,2
169,X0_04,-2935x3539,2
170,X0_04,-2936x3432,5
171,X0_04,-2936x3461,2
172,X0_04,-2926x3592,2
173,X0_04,-2927x3468,8
174,X0_04,-2924x3602,3
175,X0_04,-2917x3550,4
