,sample,spot_name,cluster
0,X0_04,-3027x2956,3
1,X0_04,-3021x2962,3
2,X0_04,-3017x2996,3
3,X0_04,-3005x2898,2
4,X0_04,-3002x2965,3
5,X0_04,-2997x3005,3
6,X0_04,-2967x2894,3
7,X0_04,-2963x2927,3
8,X0_04,-2955x2874,3
9,X0_04,-2953x2982,5
10,X0_04,-2949x2836,7
11,X0_04,-2948x2959,3
12,X0_04,-2943x2897,4
13,X0_04,-2941x3006,3
14,X0_04,-2932x2961,3
15,X0_04,-2922x2956,5
16,X0_04,-2915x2823,5
17,X0_04,-2910x2980,3
18,X0_04,-2907x2825,5
19,X0_04,-2903x2931,3
20,X0_04,-2898x2823,5
21,X0_04,-2898x2876,7
22,X0_04,-2898x2865,5
23,X0_04,-2883x2959,5
24,X0_04,-2874x2836,5
25,X0_04,-2870x2948,7
26,X0_04,-2868x2875,5
27,X0_04,-2859x2960,2
28,X0_04,-2856x2828,5
29,X0_04,-3026x2870,3
30,X0_04,-3012x2884,1
31,X0_04,-2958x3006,3
32,X0_04,-2956x2952,3
33,X0_04,-2923x2947,3
34,X0_04,-2923x2845,5
35,X0_04,-2896x2907,3
36,X0_04,-2866x2826,2
37,X0_04,-2867x2900,5
38,X0_04,-2943x2904,5
39,X0_04,-2891x2844,7
40,X0_04,-2954x2966,3
41,X0_04,-2877x2944,3
42,X0_04,-2858x2987,3
43,X0_04,-2982x2840,4
44,X0_04,-2938x2941,3
45,X0_04,-2911x2949,3
46,X0_04,-2853x2855,7
47,X0_04,-3031x3179,3
48,X0_04,-3024x3059,5
49,X0_04,-3020x3074,3
50,X0_04,-3017x3191,3
51,X0_04,-3017x3021,3
52,X0_04,-3010x3164,7
53,X0_04,-3012x3082,3
54,X0_04,-3005x3135,3
55,X0_04,-2998x3140,3
56,X0_04,-2996x3187,3
57,X0_04,-2991x3049,3
58,X0_04,-2992x3197,2
59,X0_04,-2991x3117,3
60,X0_04,-2976x3056,3
61,X0_04,-2972x3164,7
62,X0_04,-2961x3123,3
63,X0_04,-2961x3052,3
64,X0_04,-2958x3082,3
65,X0_04,-2946x3188,4
66,X0_04,-2932x3086,4
67,X0_04,-2936x3056,3
68,X0_04,-2906x3088,3
69,X0_04,-2906x3192,3
70,X0_04,-2906x3035,3
71,X0_04,-2905x3206,7
72,X0_04,-2906x3156,3
73,X0_04,-2888x3120,7
74,X0_04,-2888x3153,2
75,X0_04,-2878x3103,3
76,X0_04,-2873x3130,3
77,X0_04,-2875x3092,2
78,X0_04,-2860x3174,3
79,X0_04,-2859x3189,3
80,X0_04,-2849x3079,7
81,X0_04,-3004x3046,2
82,X0_04,-2993x3104,3
83,X0_04,-2977x3181,3
84,X0_04,-2952x3173,3
85,X0_04,-2943x3034,3
86,X0_04,-2910x3177,3
87,X0_04,-2878x3187,3
88,X0_04,-3003x3078,3
89,X0_04,-2976x3032,3
90,X0_04,-2973x3124,3
91,X0_04,-2966x3142,3
92,X0_04,-2955x3045,3
93,X0_04,-2889x3136,7
94,X0_04,-2965x3180,3
95,X0_04,-2940x3202,3
96,X0_04,-2928x3161,3
97,X0_04,-2859x3129,3
98,X0_04,-2858x3198,3
99,X0_04,-3030x3279,3
100,X0_04,-3031x3302,3
101,X0_04,-3027x3237,3
102,X0_04,-3019x3261,2
103,X0_04,-3016x3306,3
104,X0_04,-3002x3359,7
105,X0_04,-3001x3300,3
106,X0_04,-2988x3238,3
107,X0_04,-2991x3316,3
108,X0_04,-2991x3276,3
109,X0_04,-2989x3379,3
110,X0_04,-2979x3333,3
111,X0_04,-2974x3250,3
112,X0_04,-2968x3391,3
