,sample,spot_name,cluster
0,X0_04,-3033x2825_X0_04,14
1,X0_04,-3027x2956_X0_04,19
2,X0_04,-3021x2962_X0_04,19
3,X0_04,-3017x2996_X0_04,19
4,X0_04,-3005x2878_X0_04,4
5,X0_04,-3005x2898_X0_04,4
6,X0_04,-3002x2965_X0_04,19
7,X0_04,-2997x3005_X0_04,1
8,X0_04,-2967x2894_X0_04,0
9,X0_04,-2963x2927_X0_04,20
10,X0_04,-2955x2874_X0_04,2
11,X0_04,-2953x2982_X0_04,1
12,X0_04,-2949x2836_X0_04,7
13,X0_04,-2948x2959_X0_04,3
14,X0_04,-2943x2897_X0_04,18
15,X0_04,-2941x3006_X0_04,2
16,X0_04,-2932x2961_X0_04,16
17,X0_04,-2922x2956_X0_04,14
18,X0_04,-2915x2823_X0_04,1
19,X0_04,-2910x2980_X0_04,1
20,X0_04,-2907x2825_X0_04,4
21,X0_04,-2903x2931_X0_04,0
22,X0_04,-2898x2876_X0_04,7
23,X0_04,-2898x2865_X0_04,1
24,X0_04,-2883x2959_X0_04,1
25,X0_04,-2874x2836_X0_04,1
26,X0_04,-2870x2948_X0_04,7
27,X0_04,-2859x2960_X0_04,14
28,X0_04,-2856x2828_X0_04,14
29,X0_04,-3026x2870_X0_04,0
30,X0_04,-3012x2884_X0_04,2
31,X0_04,-2958x3006_X0_04,0
32,X0_04,-2956x2952_X0_04,0
33,X0_04,-2923x2947_X0_04,14
34,X0_04,-2923x2845_X0_04,1
35,X0_04,-2896x2907_X0_04,0
36,X0_04,-2866x2826_X0_04,14
37,X0_04,-2867x2900_X0_04,1
38,X0_04,-2943x2904_X0_04,1
39,X0_04,-2891x2844_X0_04,7
40,X0_04,-2954x2966_X0_04,0
41,X0_04,-2877x2944_X0_04,0
42,X0_04,-2858x2987_X0_04,1
43,X0_04,-2982x2840_X0_04,18
44,X0_04,-2938x2941_X0_04,17
45,X0_04,-2911x2949_X0_04,14
46,X0_04,-2853x2855_X0_04,7
47,X0_04,-3031x3179_X0_04,20
48,X0_04,-3024x3059_X0_04,1
49,X0_04,-3020x3074_X0_04,8
50,X0_04,-3017x3191_X0_04,5
51,X0_04,-3017x3021_X0_04,14
52,X0_04,-3010x3164_X0_04,7
53,X0_04,-3012x3082_X0_04,19
54,X0_04,-3005x3135_X0_04,2
55,X0_04,-2998x3140_X0_04,0
56,X0_04,-2996x3187_X0_04,19
57,X0_04,-2991x3049_X0_04,17
58,X0_04,-2992x3197_X0_04,4
59,X0_04,-2991x3117_X0_04,0
60,X0_04,-2976x3056_X0_04,16
61,X0_04,-2972x3164_X0_04,7
62,X0_04,-2961x3123_X0_04,5
63,X0_04,-2961x3052_X0_04,1
64,X0_04,-2958x3082_X0_04,1
65,X0_04,-2946x3188_X0_04,18
66,X0_04,-2932x3086_X0_04,13
67,X0_04,-2936x3056_X0_04,5
68,X0_04,-2906x3088_X0_04,19
69,X0_04,-2906x3192_X0_04,19
70,X0_04,-2906x3035_X0_04,0
71,X0_04,-2905x3206_X0_04,7
72,X0_04,-2906x3156_X0_04,0
73,X0_04,-2888x3120_X0_04,7
74,X0_04,-2888x3153_X0_04,4
75,X0_04,-2878x3103_X0_04,5
76,X0_04,-2873x3130_X0_04,21
77,X0_04,-2875x3092_X0_04,4
78,X0_04,-2860x3174_X0_04,0
79,X0_04,-2859x3189_X0_04,0
80,X0_04,-2852x3152_X0_04,7
81,X0_04,-2849x3079_X0_04,7
82,X0_04,-3004x3046_X0_04,4
83,X0_04,-2993x3104_X0_04,0
84,X0_04,-2977x3181_X0_04,19
85,X0_04,-2952x3173_X0_04,5
86,X0_04,-2943x3034_X0_04,0
87,X0_04,-2910x3177_X0_04,19
88,X0_04,-2878x3187_X0_04,1
89,X0_04,-3003x3078_X0_04,19
90,X0_04,-2976x3032_X0_04,19
91,X0_04,-2973x3124_X0_04,16
92,X0_04,-2966x3142_X0_04,19
93,X0_04,-2955x3045_X0_04,17
94,X0_04,-2889x3136_X0_04,7
95,X0_04,-2965x3180_X0_04,19
96,X0_04,-2940x3202_X0_04,2
97,X0_04,-2928x3161_X0_04,5
98,X0_04,-2859x3129_X0_04,2
99,X0_04,-2858x3198_X0_04,0
100,X0_04,-3030x3279_X0_04,1
101,X0_04,-3031x3302_X0_04,1
102,X0_04,-3027x3237_X0_04,2
103,X0_04,-3019x3261_X0_04,4
104,X0_04,-3016x3306_X0_04,4
105,X0_04,-3002x3359_X0_04,7
106,X0_04,-3001x3300_X0_04,5
107,X0_04,-2988x3238_X0_04,19
108,X0_04,-2991x3316_X0_04,19
109,X0_04,-2991x3276_X0_04,19
110,X0_04,-2989x3379_X0_04,5
111,X0_04,-2979x3333_X0_04,12
112,X0_04,-2974x3250_X0_04,1
113,X0_04,-2968x3391_X0_04,1
114,X0_04,-2960x3334_X0_04,5
115,X0_04,-2950x3275_X0_04,7
116,X0_04,-2940x3299_X0_04,16
117,X0_04,-2945x3316_X0_04,0
118,X0_04,-2934x3372_X0_04,12
119,X0_04,-2935x3245_X0_04,18
120,X0_04,-2924x3321_X0_04,9
121,X0_04,-2922x3356_X0_04,0
122,X0_04,-2927x3336_X0_04,4
123,X0_04,-2912x3246_X0_04,9
124,X0_04,-2906x3237_X0_04,19
125,X0_04,-2910x3303_X0_04,7
126,X0_04,-2905x3311_X0_04,15
127,X0_04,-2904x3395_X0_04,0
128,X0_04,-2900x3249_X0_04,4
129,X0_04,-2894x3273_X0_04,0
130,X0_04,-2892x3285_X0_04,7
131,X0_04,-2876x3325_X0_04,14
132,X0_04,-2870x3343_X0_04,1
133,X0_04,-2869x3257_X0_04,19
134,X0_04,-2869x3400_X0_04,4
135,X0_04,-2860x3232_X0_04,18
136,X0_04,-2861x3400_X0_04,4
137,X0_04,-2857x3289_X0_04,1
138,X0_04,-2850x3273_X0_04,0
139,X0_04,-2847x3243_X0_04,2
140,X0_04,-3031x3261_X0_04,0
141,X0_04,-3021x3369_X0_04,1
142,X0_04,-3008x3243_X0_04,19
143,X0_04,-2993x3226_X0_04,7
144,X0_04,-2972x3298_X0_04,19
145,X0_04,-2966x3292_X0_04,19
146,X0_04,-2915x3259_X0_04,19
147,X0_04,-2999x3350_X0_04,19
148,X0_04,-2947x3264_X0_04,19
149,X0_04,-2872x3315_X0_04,1
150,X0_04,-2872x3396_X0_04,0
151,X0_04,-2952x3331_X0_04,19
152,X0_04,-2917x3277_X0_04,0
153,X0_04,-2903x3366_X0_04,4
154,X0_04,-2875x3304_X0_04,13
155,X0_04,-3030x3427_X0_04,1
