,sample,spot_name,cluster
0,X0_04,-3033x2825,11
1,X0_04,-3027x2956,0
2,X0_04,-3021x2962,0
3,X0_04,-3017x2996,0
4,X0_04,-3005x2878,6
5,X0_04,-3005x2898,6
6,X0_04,-3002x2965,0
7,X0_04,-2997x3005,1
8,X0_04,-2967x2894,0
9,X0_04,-2963x2927,2
10,X0_04,-2955x2874,2
11,X0_04,-2953x2982,1
12,X0_04,-2949x2836,4
13,X0_04,-2948x2959,0
14,X0_04,-2943x2897,10
15,X0_04,-2941x3006,2
16,X0_04,-2932x2961,14
17,X0_04,-2922x2956,11
18,X0_04,-2915x2823,1
19,X0_04,-2910x2980,1
20,X0_04,-2907x2825,1
21,X0_04,-2903x2931,0
22,X0_04,-2898x2823,11
23,X0_04,-2898x2876,4
24,X0_04,-2898x2865,1
25,X0_04,-2883x2959,1
26,X0_04,-2874x2836,1
27,X0_04,-2870x2948,4
28,X0_04,-2868x2875,1
29,X0_04,-2859x2960,11
30,X0_04,-2856x2828,11
31,X0_04,-3026x2870,0
32,X0_04,-3012x2884,2
33,X0_04,-2958x3006,0
34,X0_04,-2956x2952,0
35,X0_04,-2923x2947,11
36,X0_04,-2923x2845,1
37,X0_04,-2896x2907,0
38,X0_04,-2866x2826,11
39,X0_04,-2867x2900,1
40,X0_04,-2943x2904,1
41,X0_04,-2891x2844,4
42,X0_04,-2954x2966,0
43,X0_04,-2877x2944,0
44,X0_04,-2858x2987,1
45,X0_04,-2982x2840,10
46,X0_04,-2938x2941,15
47,X0_04,-2911x2949,11
48,X0_04,-2853x2855,4
49,X0_04,-3031x3179,17
50,X0_04,-3024x3059,1
51,X0_04,-3020x3074,5
52,X0_04,-3017x3191,12
53,X0_04,-3017x3021,11
54,X0_04,-3010x3164,4
55,X0_04,-3012x3082,0
56,X0_04,-3005x3135,2
57,X0_04,-2998x3140,0
58,X0_04,-2996x3187,0
59,X0_04,-2991x3049,15
60,X0_04,-2992x3197,6
61,X0_04,-2991x3117,0
62,X0_04,-2976x3056,14
63,X0_04,-2972x3164,4
64,X0_04,-2961x3123,12
65,X0_04,-2961x3052,0
66,X0_04,-2958x3082,11
67,X0_04,-2946x3188,10
68,X0_04,-2932x3086,10
69,X0_04,-2936x3056,12
70,X0_04,-2906x3088,0
71,X0_04,-2906x3192,0
72,X0_04,-2906x3035,0
73,X0_04,-2905x3206,4
74,X0_04,-2906x3156,0
75,X0_04,-2888x3120,4
76,X0_04,-2888x3153,6
77,X0_04,-2878x3103,12
78,X0_04,-2873x3130,0
79,X0_04,-2875x3092,6
80,X0_04,-2860x3174,0
81,X0_04,-2859x3189,0
82,X0_04,-2852x3152,4
83,X0_04,-2849x3079,4
84,X0_04,-3004x3046,6
85,X0_04,-2993x3104,0
