,sample,spot_name,cluster
0,X0_04,-3033x2825_X0_04,7
1,X0_04,-3027x2956_X0_04,6
2,X0_04,-3021x2962_X0_04,6
3,X0_04,-3017x2996_X0_04,6
4,X0_04,-3005x2878_X0_04,7
5,X0_04,-3005x2898_X0_04,7
6,X0_04,-3002x2965_X0_04,2
7,X0_04,-2997x3005_X0_04,4
8,X0_04,-2967x2894_X0_04,6
9,X0_04,-2963x2927_X0_04,2
10,X0_04,-2955x2874_X0_04,2
11,X0_04,-2953x2982_X0_04,4
12,X0_04,-2949x2836_X0_04,3
13,X0_04,-2948x2959_X0_04,6
14,X0_04,-2943x2897_X0_04,0
15,X0_04,-2941x3006_X0_04,2
16,X0_04,-2932x2961_X0_04,0
17,X0_04,-2922x2956_X0_04,7
18,X0_04,-2915x2823_X0_04,4
19,X0_04,-2910x2980_X0_04,4
20,X0_04,-2907x2825_X0_04,5
21,X0_04,-2903x2931_X0_04,2
22,X0_04,-2898x2876_X0_04,3
23,X0_04,-2898x2865_X0_04,4
24,X0_04,-2883x2959_X0_04,4
25,X0_04,-2874x2836_X0_04,4
26,X0_04,-2870x2948_X0_04,3
27,X0_04,-2859x2960_X0_04,7
28,X0_04,-2856x2828_X0_04,7
29,X0_04,-3026x2870_X0_04,6
30,X0_04,-3012x2884_X0_04,2
31,X0_04,-2958x3006_X0_04,6
32,X0_04,-2956x2952_X0_04,2
33,X0_04,-2923x2947_X0_04,7
34,X0_04,-2923x2845_X0_04,4
35,X0_04,-2896x2907_X0_04,6
36,X0_04,-2866x2826_X0_04,7
37,X0_04,-2867x2900_X0_04,4
38,X0_04,-2943x2904_X0_04,4
39,X0_04,-2891x2844_X0_04,3
40,X0_04,-2954x2966_X0_04,2
41,X0_04,-2877x2944_X0_04,0
42,X0_04,-2858x2987_X0_04,4
43,X0_04,-2982x2840_X0_04,0
44,X0_04,-2938x2941_X0_04,6
45,X0_04,-2911x2949_X0_04,7
46,X0_04,-2853x2855_X0_04,3
47,X0_04,-3031x3179_X0_04,5
48,X0_04,-3024x3059_X0_04,4
49,X0_04,-3020x3074_X0_04,6
50,X0_04,-3017x3191_X0_04,2
51,X0_04,-3017x3021_X0_04,7
52,X0_04,-3010x3164_X0_04,3
53,X0_04,-3012x3082_X0_04,0
54,X0_04,-3005x3135_X0_04,2
55,X0_04,-2998x3140_X0_04,6
56,X0_04,-2996x3187_X0_04,6
57,X0_04,-2991x3049_X0_04,6
58,X0_04,-2992x3197_X0_04,7
59,X0_04,-2991x3117_X0_04,1
60,X0_04,-2976x3056_X0_04,0
61,X0_04,-2972x3164_X0_04,3
62,X0_04,-2961x3123_X0_04,2
63,X0_04,-2961x3052_X0_04,4
64,X0_04,-2958x3082_X0_04,4
65,X0_04,-2946x3188_X0_04,0
66,X0_04,-2932x3086_X0_04,0
67,X0_04,-2936x3056_X0_04,2
68,X0_04,-2906x3088_X0_04,1
69,X0_04,-2906x3192_X0_04,2
70,X0_04,-2906x3035_X0_04,1
71,X0_04,-2905x3206_X0_04,3
72,X0_04,-2906x3156_X0_04,2
73,X0_04,-2888x3120_X0_04,3
74,X0_04,-2888x3153_X0_04,7
75,X0_04,-2878x3103_X0_04,2
76,X0_04,-2873x3130_X0_04,2
77,X0_04,-2875x3092_X0_04,7
78,X0_04,-2860x3174_X0_04,2
79,X0_04,-2859x3189_X0_04,1
80,X0_04,-2852x3152_X0_04,3
81,X0_04,-2849x3079_X0_04,3
82,X0_04,-3004x3046_X0_04,7
83,X0_04,-2993x3104_X0_04,6
84,X0_04,-2977x3181_X0_04,2
85,X0_04,-2952x3173_X0_04,2
86,X0_04,-2943x3034_X0_04,6
87,X0_04,-2910x3177_X0_04,2
88,X0_04,-2878x3187_X0_04,4
89,X0_04,-3003x3078_X0_04,6
90,X0_04,-2976x3032_X0_04,6
91,X0_04,-2973x3124_X0_04,0
92,X0_04,-2966x3142_X0_04,2
93,X0_04,-2955x3045_X0_04,0
94,X0_04,-2889x3136_X0_04,3
95,X0_04,-2965x3180_X0_04,2
96,X0_04,-2940x3202_X0_04,2
97,X0_04,-2928x3161_X0_04,2
98,X0_04,-2859x3129_X0_04,2
99,X0_04,-2858x3198_X0_04,2
100,X0_04,-3030x3279_X0_04,4
101,X0_04,-3031x3302_X0_04,4
102,X0_04,-3027x3237_X0_04,2
103,X0_04,-3019x3261_X0_04,7
104,X0_04,-3016x3306_X0_04,7
105,X0_04,-3002x3359_X0_04,3
106,X0_04,-3001x3300_X0_04,2
107,X0_04,-2988x3238_X0_04,2
108,X0_04,-2991x3316_X0_04,2
109,X0_04,-2991x3276_X0_04,1
110,X0_04,-2989x3379_X0_04,2
111,X0_04,-2979x3333_X0_04,2
112,X0_04,-2974x3250_X0_04,4
113,X0_04,-2968x3391_X0_04,4
114,X0_04,-2960x3334_X0_04,2
115,X0_04,-2950x3275_X0_04,3
116,X0_04,-2940x3299_X0_04,0
117,X0_04,-2945x3316_X0_04,6
118,X0_04,-2934x3372_X0_04,2
119,X0_04,-2935x3245_X0_04,0
120,X0_04,-2924x3321_X0_04,1
121,X0_04,-2922x3356_X0_04,2
122,X0_04,-2927x3336_X0_04,7
123,X0_04,-2912x3246_X0_04,1
124,X0_04,-2906x3237_X0_04,0
125,X0_04,-2910x3303_X0_04,3
126,X0_04,-2905x3311_X0_04,1
127,X0_04,-2904x3395_X0_04,2
128,X0_04,-2900x3249_X0_04,7
129,X0_04,-2894x3273_X0_04,2
130,X0_04,-2892x3285_X0_04,3
131,X0_04,-2876x3325_X0_04,7
132,X0_04,-2870x3343_X0_04,4
133,X0_04,-2869x3257_X0_04,2
134,X0_04,-2869x3400_X0_04,7
135,X0_04,-2860x3232_X0_04,0
136,X0_04,-2861x3400_X0_04,7
137,X0_04,-2857x3289_X0_04,4
138,X0_04,-2850x3273_X0_04,1
139,X0_04,-2847x3243_X0_04,2
140,X0_04,-3031x3261_X0_04,2
141,X0_04,-3021x3369_X0_04,4
142,X0_04,-3008x3243_X0_04,2
143,X0_04,-2993x3226_X0_04,3
144,X0_04,-2972x3298_X0_04,0
145,X0_04,-2966x3292_X0_04,2
146,X0_04,-2915x3259_X0_04,2
147,X0_04,-2999x3350_X0_04,2
148,X0_04,-2947x3264_X0_04,2
149,X0_04,-2872x3315_X0_04,4
150,X0_04,-2872x3396_X0_04,2
151,X0_04,-2952x3331_X0_04,1
152,X0_04,-2917x3277_X0_04,6
153,X0_04,-2903x3366_X0_04,7
154,X0_04,-2875x3304_X0_04,0
155,X0_04,-3030x3427_X0_04,4
156,X0_04,-3022x3498_X0_04,7
157,X0_04,-3025x3551_X0_04,6
158,X0_04,-3014x3523_X0_04,3
159,X0_04,-3004x3595_X0_04,2
160,X0_04,-3002x3587_X0_04,1
161,X0_04,-2999x3558_X0_04,7
162,X0_04,-2979x3530_X0_04,3
163,X0_04,-2972x3453_X0_04,2
164,X0_04,-2970x3555_X0_04,4
165,X0_04,-2969x3479_X0_04,1
166,X0_04,-2967x3574_X0_04,6
167,X0_04,-2956x3438_X0_04,7
168,X0_04,-2943x3601_X0_04,3
169,X0_04,-2939x3513_X0_04,6
170,X0_04,-2935x3539_X0_04,2
171,X0_04,-2936x3432_X0_04,0
172,X0_04,-2936x3461_X0_04,1
173,X0_04,-2926x3592_X0_04,2
174,X0_04,-2927x3468_X0_04,0
175,X0_04,-2924x3602_X0_04,7
176,X0_04,-2917x3550_X0_04,3
177,X0_04,-2917x3496_X0_04,4
178,X0_04,-2912x3563_X0_04,6
179,X0_04,-2912x3504_X0_04,1
180,X0_04,-2910x3554_X0_04,2
181,X0_04,-2898x3606_X0_04,4
182,X0_04,-2895x3444_X0_04,2
183,X0_04,-2891x3513_X0_04,0
184,X0_04,-2881x3454_X0_04,0
185,X0_04,-2863x3607_X0_04,2
186,X0_04,-2864x3589_X0_04,1
187,X0_04,-2861x3483_X0_04,4
188,X0_04,-2855x3499_X0_04,2
189,X0_04,-2851x3488_X0_04,4
190,X0_04,-2848x3443_X0_04,4
191,X0_04,-2844x3543_X0_04,0
192,X0_04,-3024x3566_X0_04,6
193,X0_04,-3009x3482_X0_04,4
194,X0_04,-3007x3473_X0_04,4
195,X0_04,-2998x3535_X0_04,2
196,X0_04,-2961x3510_X0_04,7
197,X0_04,-2859x3444_X0_04,4
198,X0_04,-2985x3601_X0_04,1
199,X0_04,-2964x3547_X0_04,1
200,X0_04,-2945x3584_X0_04,2
201,X0_04,-2893x3497_X0_04,1
202,X0_04,-2877x3541_X0_04,7
203,X0_04,-3027x3529_X0_04,1
204,X0_04,-3017x3551_X0_04,1
205,X0_04,-3001x3451_X0_04,2
206,X0_04,-2954x3508_X0_04,7
207,X0_04,-2955x3568_X0_04,1
208,X0_04,-2909x3472_X0_04,2
209,X0_04,-2871x3475_X0_04,1
210,X0_04,-3025x3774_X0_04,2
211,X0_04,-3021x3739_X0_04,1
212,X0_04,-3021x3747_X0_04,1
213,X0_04,-3017x3693_X0_04,2
214,X0_04,-3020x3636_X0_04,6
215,X0_04,-3017x3701_X0_04,0
216,X0_04,-3016x3803_X0_04,1
217,X0_04,-3013x3652_X0_04,7
218,X0_04,-3004x3703_X0_04,1
219,X0_04,-3004x3659_X0_04,1
220,X0_04,-2998x3777_X0_04,1
221,X0_04,-2995x3659_X0_04,1
222,X0_04,-2994x3637_X0_04,4
223,X0_04,-2982x3802_X0_04,4
224,X0_04,-2981x3707_X0_04,7
225,X0_04,-2975x3724_X0_04,7
226,X0_04,-2972x3736_X0_04,4
227,X0_04,-2958x3784_X0_04,1
228,X0_04,-2956x3775_X0_04,6
229,X0_04,-2953x3680_X0_04,1
230,X0_04,-2954x3762_X0_04,4
231,X0_04,-2943x3693_X0_04,3
232,X0_04,-2941x3718_X0_04,7
233,X0_04,-2924x3734_X0_04,1
234,X0_04,-2921x3632_X0_04,2
235,X0_04,-2919x3728_X0_04,4
236,X0_04,-2914x3801_X0_04,4
237,X0_04,-2910x3791_X0_04,4
238,X0_04,-2910x3755_X0_04,2
239,X0_04,-2906x3652_X0_04,1
240,X0_04,-2902x3633_X0_04,4
241,X0_04,-2896x3709_X0_04,2
242,X0_04,-2894x3633_X0_04,1
243,X0_04,-2891x3768_X0_04,4
244,X0_04,-2886x3656_X0_04,2
245,X0_04,-2865x3647_X0_04,1
246,X0_04,-2860x3795_X0_04,1
247,X0_04,-2852x3621_X0_04,7
248,X0_04,-2848x3805_X0_04,2
249,X0_04,-2999x3681_X0_04,6
250,X0_04,-2970x3759_X0_04,2
251,X0_04,-2963x3789_X0_04,1
252,X0_04,-2929x3782_X0_04,1
253,X0_04,-2906x3745_X0_04,2
254,X0_04,-2873x3728_X0_04,6
255,X0_04,-2867x3733_X0_04,2
256,X0_04,-2987x3692_X0_04,6
257,X0_04,-2966x3696_X0_04,2
258,X0_04,-2945x3799_X0_04,1
259,X0_04,-2945x3738_X0_04,1
260,X0_04,-2920x3673_X0_04,1
261,X0_04,-2877x3641_X0_04,0
262,X0_04,-2851x3626_X0_04,0
263,X0_04,-2851x3807_X0_04,2
264,X0_04,-2981x3740_X0_04,7
265,X0_04,-2889x3759_X0_04,2
266,X0_04,-2870x3676_X0_04,3
267,X0_04,-2860x3622_X0_04,7
268,X0_04,-3017x3682_X0_04,2
269,X0_04,-2960x3658_X0_04,1
270,X0_04,-2947x3711_X0_04,2
271,X0_04,-2926x3766_X0_04,1
272,X0_04,-2869x3669_X0_04,2
273,X0_04,-2865x3772_X0_04,1
274,X0_04,-3026x3852_X0_04,4
275,X0_04,-3020x3869_X0_04,0
276,X0_04,-3009x3997_X0_04,1
277,X0_04,-3007x3897_X0_04,1
278,X0_04,-3005x3906_X0_04,0
279,X0_04,-2992x3850_X0_04,1
280,X0_04,-2991x3887_X0_04,6
281,X0_04,-2987x3916_X0_04,4
