,sample,spot_name,cluster
0,X0_04,-3033x2825_X0_04,6
1,X0_04,-3027x2956_X0_04,0
2,X0_04,-3021x2962_X0_04,0
3,X0_04,-3017x2996_X0_04,0
4,X0_04,-3005x2878_X0_04,6
5,X0_04,-3005x2898_X0_04,6
6,X0_04,-3002x2965_X0_04,1
7,X0_04,-2997x3005_X0_04,7
8,X0_04,-2967x2894_X0_04,0
9,X0_04,-2963x2927_X0_04,1
10,X0_04,-2955x2874_X0_04,1
11,X0_04,-2953x2982_X0_04,7
12,X0_04,-2949x2836_X0_04,5
13,X0_04,-2948x2959_X0_04,0
14,X0_04,-2943x2897_X0_04,3
15,X0_04,-2941x3006_X0_04,1
16,X0_04,-2932x2961_X0_04,7
17,X0_04,-2922x2956_X0_04,6
18,X0_04,-2915x2823_X0_04,7
19,X0_04,-2910x2980_X0_04,7
20,X0_04,-2907x2825_X0_04,7
21,X0_04,-2903x2931_X0_04,1
22,X0_04,-2898x2823_X0_04,6
23,X0_04,-2898x2876_X0_04,5
24,X0_04,-2898x2865_X0_04,7
25,X0_04,-2883x2959_X0_04,7
26,X0_04,-2874x2836_X0_04,7
27,X0_04,-2870x2948_X0_04,5
28,X0_04,-2868x2875_X0_04,7
29,X0_04,-2859x2960_X0_04,6
30,X0_04,-2856x2828_X0_04,6
31,X0_04,-3026x2870_X0_04,0
32,X0_04,-3012x2884_X0_04,1
33,X0_04,-2958x3006_X0_04,0
34,X0_04,-2956x2952_X0_04,1
35,X0_04,-2923x2947_X0_04,6
36,X0_04,-2923x2845_X0_04,7
37,X0_04,-2896x2907_X0_04,0
38,X0_04,-2866x2826_X0_04,6
39,X0_04,-2867x2900_X0_04,7
40,X0_04,-2943x2904_X0_04,7
41,X0_04,-2891x2844_X0_04,5
42,X0_04,-2954x2966_X0_04,1
43,X0_04,-2877x2944_X0_04,1
44,X0_04,-2858x2987_X0_04,7
45,X0_04,-2982x2840_X0_04,3
46,X0_04,-2938x2941_X0_04,0
47,X0_04,-2911x2949_X0_04,6
48,X0_04,-2853x2855_X0_04,5
49,X0_04,-3031x3179_X0_04,4
50,X0_04,-3024x3059_X0_04,7
51,X0_04,-3020x3074_X0_04,0
52,X0_04,-3017x3191_X0_04,1
53,X0_04,-3017x3021_X0_04,6
54,X0_04,-3010x3164_X0_04,5
55,X0_04,-3012x3082_X0_04,1
56,X0_04,-3005x3135_X0_04,1
57,X0_04,-2998x3140_X0_04,0
58,X0_04,-2996x3187_X0_04,0
59,X0_04,-2991x3049_X0_04,0
60,X0_04,-2992x3197_X0_04,6
61,X0_04,-2991x3117_X0_04,2
62,X0_04,-2976x3056_X0_04,1
63,X0_04,-2972x3164_X0_04,5
64,X0_04,-2961x3123_X0_04,1
65,X0_04,-2961x3052_X0_04,7
66,X0_04,-2958x3082_X0_04,7
67,X0_04,-2946x3188_X0_04,3
68,X0_04,-2932x3086_X0_04,3
69,X0_04,-2936x3056_X0_04,1
70,X0_04,-2906x3088_X0_04,2
71,X0_04,-2906x3192_X0_04,1
72,X0_04,-2906x3035_X0_04,0
73,X0_04,-2905x3206_X0_04,5
74,X0_04,-2906x3156_X0_04,1
75,X0_04,-2888x3120_X0_04,5
76,X0_04,-2888x3153_X0_04,6
77,X0_04,-2878x3103_X0_04,1
78,X0_04,-2873x3130_X0_04,1
79,X0_04,-2875x3092_X0_04,6
80,X0_04,-2860x3174_X0_04,1
81,X0_04,-2859x3189_X0_04,2
82,X0_04,-2852x3152_X0_04,5
83,X0_04,-2849x3079_X0_04,5
84,X0_04,-3004x3046_X0_04,6
85,X0_04,-2993x3104_X0_04,0
86,X0_04,-2977x3181_X0_04,1
87,X0_04,-2952x3173_X0_04,1
88,X0_04,-2943x3034_X0_04,0
89,X0_04,-2910x3177_X0_04,1
90,X0_04,-2878x3187_X0_04,7
91,X0_04,-3003x3078_X0_04,0
92,X0_04,-2976x3032_X0_04,1
93,X0_04,-2973x3124_X0_04,7
94,X0_04,-2966x3142_X0_04,1
95,X0_04,-2955x3045_X0_04,0
96,X0_04,-2889x3136_X0_04,5
97,X0_04,-2965x3180_X0_04,1
98,X0_04,-2940x3202_X0_04,1
99,X0_04,-2928x3161_X0_04,1
100,X0_04,-2859x3129_X0_04,1
101,X0_04,-2858x3198_X0_04,1
102,X0_04,-3030x3279_X0_04,7
103,X0_04,-3031x3302_X0_04,7
104,X0_04,-3027x3237_X0_04,1
105,X0_04,-3019x3261_X0_04,6
106,X0_04,-3016x3306_X0_04,6
107,X0_04,-3002x3359_X0_04,5
108,X0_04,-3001x3300_X0_04,1
109,X0_04,-2988x3238_X0_04,1
110,X0_04,-2991x3316_X0_04,1
111,X0_04,-2991x3276_X0_04,2
112,X0_04,-2989x3379_X0_04,1
113,X0_04,-2979x3333_X0_04,1
114,X0_04,-2974x3250_X0_04,7
115,X0_04,-2968x3391_X0_04,7
116,X0_04,-2960x3334_X0_04,1
117,X0_04,-2950x3275_X0_04,5
118,X0_04,-2940x3299_X0_04,7
119,X0_04,-2945x3316_X0_04,0
120,X0_04,-2934x3372_X0_04,1
121,X0_04,-2935x3245_X0_04,3
122,X0_04,-2924x3321_X0_04,2
123,X0_04,-2922x3356_X0_04,1
124,X0_04,-2927x3336_X0_04,6
125,X0_04,-2912x3246_X0_04,1
126,X0_04,-2906x3237_X0_04,1
127,X0_04,-2910x3303_X0_04,5
128,X0_04,-2905x3311_X0_04,2
129,X0_04,-2904x3395_X0_04,1
130,X0_04,-2900x3249_X0_04,6
131,X0_04,-2894x3273_X0_04,1
132,X0_04,-2892x3285_X0_04,5
133,X0_04,-2876x3325_X0_04,6
134,X0_04,-2870x3343_X0_04,7
135,X0_04,-2869x3257_X0_04,1
136,X0_04,-2869x3400_X0_04,6
137,X0_04,-2860x3232_X0_04,3
138,X0_04,-2861x3400_X0_04,6
139,X0_04,-2857x3289_X0_04,7
140,X0_04,-2850x3273_X0_04,1
141,X0_04,-2847x3243_X0_04,1
142,X0_04,-3031x3261_X0_04,1
143,X0_04,-3021x3369_X0_04,7
144,X0_04,-3008x3243_X0_04,1
145,X0_04,-2993x3226_X0_04,5
146,X0_04,-2972x3298_X0_04,1
147,X0_04,-2966x3292_X0_04,1
148,X0_04,-2915x3259_X0_04,1
149,X0_04,-2999x3350_X0_04,1
150,X0_04,-2947x3264_X0_04,1
151,X0_04,-2872x3315_X0_04,7
152,X0_04,-2872x3396_X0_04,2
153,X0_04,-2952x3331_X0_04,1
154,X0_04,-2917x3277_X0_04,0
155,X0_04,-2903x3366_X0_04,6
156,X0_04,-2875x3304_X0_04,3
157,X0_04,-3030x3427_X0_04,7
158,X0_04,-3022x3498_X0_04,6
159,X0_04,-3025x3551_X0_04,0
160,X0_04,-3014x3523_X0_04,5
161,X0_04,-3004x3595_X0_04,1
162,X0_04,-3002x3587_X0_04,2
163,X0_04,-2999x3558_X0_04,6
164,X0_04,-2979x3530_X0_04,5
165,X0_04,-2972x3453_X0_04,1
166,X0_04,-2971x3493_X0_04,1
167,X0_04,-2970x3555_X0_04,7
168,X0_04,-2969x3479_X0_04,2
169,X0_04,-2967x3574_X0_04,0
170,X0_04,-2956x3438_X0_04,6
171,X0_04,-2943x3601_X0_04,5
172,X0_04,-2939x3513_X0_04,0
173,X0_04,-2935x3539_X0_04,1
174,X0_04,-2936x3432_X0_04,7
175,X0_04,-2936x3461_X0_04,2
176,X0_04,-2926x3592_X0_04,1
177,X0_04,-2927x3468_X0_04,3
178,X0_04,-2924x3602_X0_04,6
179,X0_04,-2917x3550_X0_04,5
180,X0_04,-2917x3496_X0_04,7
181,X0_04,-2912x3563_X0_04,0
182,X0_04,-2912x3504_X0_04,2
183,X0_04,-2910x3554_X0_04,1
184,X0_04,-2898x3606_X0_04,7
185,X0_04,-2895x3444_X0_04,1
186,X0_04,-2891x3513_X0_04,3
187,X0_04,-2881x3454_X0_04,3
188,X0_04,-2863x3607_X0_04,2
189,X0_04,-2864x3589_X0_04,2
190,X0_04,-2861x3483_X0_04,7
191,X0_04,-2855x3499_X0_04,1
192,X0_04,-2851x3488_X0_04,7
193,X0_04,-2848x3443_X0_04,7
194,X0_04,-2844x3543_X0_04,3
195,X0_04,-3024x3566_X0_04,0
196,X0_04,-3009x3482_X0_04,7
197,X0_04,-3007x3473_X0_04,7
198,X0_04,-2998x3535_X0_04,1
199,X0_04,-2961x3510_X0_04,6
200,X0_04,-2859x3444_X0_04,7
201,X0_04,-2985x3601_X0_04,2
202,X0_04,-2964x3547_X0_04,2
203,X0_04,-2945x3584_X0_04,1
204,X0_04,-2893x3497_X0_04,2
205,X0_04,-2877x3541_X0_04,6
206,X0_04,-3027x3529_X0_04,2
207,X0_04,-3017x3551_X0_04,2
208,X0_04,-3001x3451_X0_04,1
209,X0_04,-2954x3508_X0_04,6
210,X0_04,-2955x3568_X0_04,2
211,X0_04,-2909x3472_X0_04,2
212,X0_04,-2871x3475_X0_04,2
213,X0_04,-3025x3774_X0_04,1
214,X0_04,-3021x3739_X0_04,2
215,X0_04,-3021x3747_X0_04,2
216,X0_04,-3017x3693_X0_04,1
217,X0_04,-3020x3636_X0_04,0
218,X0_04,-3017x3701_X0_04,3
219,X0_04,-3016x3803_X0_04,2
220,X0_04,-3013x3652_X0_04,6
221,X0_04,-3004x3703_X0_04,2
222,X0_04,-3004x3659_X0_04,2
223,X0_04,-2998x3777_X0_04,2
224,X0_04,-2995x3659_X0_04,2
225,X0_04,-2994x3637_X0_04,7
226,X0_04,-2982x3802_X0_04,7
227,X0_04,-2981x3707_X0_04,6
228,X0_04,-2975x3724_X0_04,6
229,X0_04,-2972x3736_X0_04,7
230,X0_04,-2958x3784_X0_04,2
231,X0_04,-2956x3775_X0_04,0
232,X0_04,-2953x3680_X0_04,2
233,X0_04,-2954x3762_X0_04,7
234,X0_04,-2943x3693_X0_04,5
235,X0_04,-2941x3718_X0_04,6
236,X0_04,-2924x3734_X0_04,2
237,X0_04,-2921x3632_X0_04,1
238,X0_04,-2919x3728_X0_04,7
239,X0_04,-2914x3801_X0_04,7
240,X0_04,-2910x3791_X0_04,7
241,X0_04,-2910x3755_X0_04,1
242,X0_04,-2906x3652_X0_04,2
243,X0_04,-2902x3633_X0_04,7
244,X0_04,-2896x3709_X0_04,1
245,X0_04,-2894x3633_X0_04,2
246,X0_04,-2891x3768_X0_04,7
247,X0_04,-2886x3656_X0_04,1
248,X0_04,-2865x3647_X0_04,2
249,X0_04,-2860x3795_X0_04,2
250,X0_04,-2852x3621_X0_04,6
251,X0_04,-2848x3805_X0_04,1
252,X0_04,-2999x3681_X0_04,0
253,X0_04,-2970x3759_X0_04,1
254,X0_04,-2963x3789_X0_04,2
255,X0_04,-2929x3782_X0_04,2
256,X0_04,-2906x3745_X0_04,1
257,X0_04,-2873x3728_X0_04,0
258,X0_04,-2867x3733_X0_04,1
259,X0_04,-2987x3692_X0_04,0
260,X0_04,-2966x3696_X0_04,1
261,X0_04,-2945x3799_X0_04,2
262,X0_04,-2945x3738_X0_04,2
263,X0_04,-2920x3673_X0_04,2
264,X0_04,-2877x3641_X0_04,3
265,X0_04,-2851x3626_X0_04,2
266,X0_04,-2851x3807_X0_04,1
267,X0_04,-2981x3740_X0_04,6
268,X0_04,-2889x3759_X0_04,1
269,X0_04,-2870x3676_X0_04,5
270,X0_04,-2860x3622_X0_04,6
271,X0_04,-3017x3682_X0_04,1
272,X0_04,-2960x3658_X0_04,2
273,X0_04,-2947x3711_X0_04,1
274,X0_04,-2926x3766_X0_04,2
275,X0_04,-2869x3669_X0_04,1
276,X0_04,-2865x3772_X0_04,2
277,X0_04,-3026x3852_X0_04,7
278,X0_04,-3020x3869_X0_04,3
279,X0_04,-3009x3997_X0_04,2
280,X0_04,-3007x3897_X0_04,2
281,X0_04,-3005x3906_X0_04,3
282,X0_04,-2992x3850_X0_04,2
283,X0_04,-2991x3887_X0_04,0
284,X0_04,-2987x3916_X0_04,7
285,X0_04,-2986x4002_X0_04,2
286,X0_04,-2968x3891_X0_04,2
287,X0_04,-2966x4005_X0_04,2
288,X0_04,-2963x3975_X0_04,7
289,X0_04,-2957x3955_X0_04,0
290,X0_04,-2955x3924_X0_04,0
291,X0_04,-2946x3951_X0_04,2
292,X0_04,-2932x3987_X0_04,2
293,X0_04,-2923x3923_X0_04,6
294,X0_04,-2925x3851_X0_04,2
295,X0_04,-2922x3828_X0_04,2
296,X0_04,-2915x3923_X0_04,3
297,X0_04,-2917x3883_X0_04,2
298,X0_04,-2909x3905_X0_04,2
299,X0_04,-2907x3950_X0_04,0
300,X0_04,-2909x3980_X0_04,2
301,X0_04,-2905x3862_X0_04,2
302,X0_04,-2889x3868_X0_04,0
303,X0_04,-2886x3875_X0_04,6
304,X0_04,-2873x3850_X0_04,1
305,X0_04,-2869x3941_X0_04,1
306,X0_04,-2859x3860_X0_04,7
307,X0_04,-2852x3997_X0_04,6
308,X0_04,-2849x3902_X0_04,7
309,X0_04,-2849x3887_X0_04,0
310,X0_04,-2980x3913_X0_04,2
311,X0_04,-2970x3967_X0_04,7
312,X0_04,-2950x4003_X0_04,0
313,X0_04,-2945x3890_X0_04,2
314,X0_04,-2946x3934_X0_04,2
315,X0_04,-2858x3930_X0_04,2
316,X0_04,-2980x3867_X0_04,0
317,X0_04,-2974x3953_X0_04,1
318,X0_04,-2967x3902_X0_04,1
319,X0_04,-2940x3841_X0_04,1
320,X0_04,-2930x3963_X0_04,1
321,X0_04,-2859x3884_X0_04,6
322,X0_04,-3026x3975_X0_04,0
323,X0_04,-3027x3984_X0_04,2
324,X0_04,-2997x3942_X0_04,1
325,X0_04,-2995x3833_X0_04,2
326,X0_04,-2959x3964_X0_04,2
327,X0_04,-2917x4006_X0_04,6
328,X0_04,-2876x3832_X0_04,7
