,sample,spot_name,cluster
0,X0_04,-3033x2825,6
1,X0_04,-3027x2956,1
2,X0_04,-3021x2962,4
3,X0_04,-3017x2996,4
4,X0_04,-3005x2878,6
5,X0_04,-3005x2898,6
6,X0_04,-3002x2965,4
7,X0_04,-2997x3005,0
8,X0_04,-2967x2894,4
9,X0_04,-2963x2927,4
10,X0_04,-2955x2874,4
11,X0_04,-2953x2982,0
12,X0_04,-2949x2836,2
13,X0_04,-2948x2959,4
14,X0_04,-2943x2897,5
15,X0_04,-2941x3006,4
16,X0_04,-2932x2961,0
17,X0_04,-2922x2956,6
18,X0_04,-2915x2823,0
19,X0_04,-2910x2980,0
20,X0_04,-2907x2825,0
21,X0_04,-2903x2931,4
22,X0_04,-2898x2823,6
23,X0_04,-2898x2876,2
24,X0_04,-2898x2865,0
25,X0_04,-2883x2959,0
26,X0_04,-2874x2836,0
27,X0_04,-2870x2948,2
28,X0_04,-2868x2875,0
29,X0_04,-2859x2960,6
30,X0_04,-2856x2828,6
31,X0_04,-3026x2870,1
32,X0_04,-3012x2884,4
33,X0_04,-2958x3006,4
34,X0_04,-2956x2952,4
35,X0_04,-2923x2947,6
36,X0_04,-2923x2845,0
37,X0_04,-2896x2907,4
38,X0_04,-2866x2826,6
39,X0_04,-2867x2900,0
40,X0_04,-2943x2904,0
41,X0_04,-2891x2844,2
42,X0_04,-2954x2966,4
43,X0_04,-2877x2944,4
44,X0_04,-2858x2987,0
45,X0_04,-2982x2840,5
46,X0_04,-2938x2941,4
47,X0_04,-2911x2949,6
48,X0_04,-2853x2855,2
49,X0_04,-3031x3179,3
50,X0_04,-3024x3059,0
51,X0_04,-3020x3074,4
52,X0_04,-3017x3191,4
53,X0_04,-3017x3021,6
54,X0_04,-3010x3164,2
55,X0_04,-3012x3082,4
56,X0_04,-3005x3135,4
57,X0_04,-2998x3140,4
58,X0_04,-2996x3187,4
59,X0_04,-2991x3049,4
60,X0_04,-2992x3197,6
61,X0_04,-2991x3117,7
62,X0_04,-2976x3056,4
63,X0_04,-2972x3164,2
64,X0_04,-2961x3123,4
65,X0_04,-2961x3052,0
66,X0_04,-2958x3082,0
67,X0_04,-2946x3188,5
68,X0_04,-2932x3086,5
69,X0_04,-2936x3056,4
70,X0_04,-2906x3088,4
71,X0_04,-2906x3192,4
72,X0_04,-2906x3035,4
73,X0_04,-2905x3206,2
74,X0_04,-2906x3156,4
75,X0_04,-2888x3120,2
76,X0_04,-2888x3153,6
77,X0_04,-2878x3103,4
78,X0_04,-2873x3130,4
79,X0_04,-2875x3092,6
80,X0_04,-2860x3174,4
81,X0_04,-2859x3189,1
82,X0_04,-2852x3152,2
83,X0_04,-2849x3079,2
84,X0_04,-3004x3046,6
85,X0_04,-2993x3104,4
86,X0_04,-2977x3181,4
87,X0_04,-2952x3173,4
88,X0_04,-2943x3034,4
89,X0_04,-2910x3177,4
90,X0_04,-2878x3187,0
91,X0_04,-3003x3078,4
92,X0_04,-2976x3032,4
93,X0_04,-2973x3124,0
94,X0_04,-2966x3142,4
95,X0_04,-2955x3045,4
96,X0_04,-2889x3136,2
97,X0_04,-2965x3180,4
98,X0_04,-2940x3202,4
99,X0_04,-2928x3161,4
100,X0_04,-2859x3129,4
101,X0_04,-2858x3198,4
102,X0_04,-3030x3279,0
103,X0_04,-3031x3302,0
104,X0_04,-3027x3237,4
105,X0_04,-3019x3261,6
106,X0_04,-3016x3306,6
107,X0_04,-3002x3359,2
108,X0_04,-3001x3300,4
109,X0_04,-2988x3238,4
110,X0_04,-2991x3316,4
111,X0_04,-2991x3276,4
112,X0_04,-2989x3379,4
113,X0_04,-2979x3333,4
114,X0_04,-2974x3250,0
