sample,spot_name,cluster
1,spot1_1,3
1,spot2_2,1
1,spot3_3,1
1,spot4_4,3
1,spot5_1,3
1,spot6_2,0
1,spot7_3,1
1,spot8_4,0
1,spot9_1,1
1,spot10_2,0
1,spot11_3,1
1,spot12_4,3
1,spot13_1,2
1,spot14_2,1
1,spot15_3,1
1,spot16_4,1
1,spot17_1,1
1,spot18_2,0
1,spot19_3,1
1,spot20_4,3
1,spot21_1,1
1,spot22_2,1
1,spot23_3,0
1,spot24_4,1
1,spot25_1,1
1,spot26_2,2
1,spot27_3,0
1,spot28_4,1
1,spot29_1,1
1,spot30_2,0
1,spot31_3,2
1,spot32_4,2
1,spot33_1,1
1,spot34_2,1
1,spot35_3,0
1,spot36_4,1
1,spot37_1,1
1,spot38_2,2
1,spot39_3,3
1,spot40_4,2
1,spot41_1,2
1,spot42_2,1
1,spot43_3,1
1,spot44_4,1
1,spot45_1,1
1,spot46_2,1
1,spot47_3,1
1,spot48_4,3
1,spot49_1,1
1,spot50_2,1
1,spot51_3,3
1,spot52_4,1
1,spot53_1,1
1,spot54_2,1
1,spot55_3,2
1,spot56_4,3
1,spot57_1,1
1,spot58_2,0
1,spot59_3,1
1,spot60_4,1
1,spot61_1,3
1,spot62_2,1
1,spot63_3,0
1,spot64_4,0
1,spot65_1,1
1,spot66_2,0
1,spot67_3,1
1,spot68_4,1
1,spot69_1,1
1,spot70_2,1
1,spot71_3,0
1,spot72_4,1
1,spot73_1,1
1,spot74_2,1
1,spot75_3,1
1,spot76_4,2
1,spot77_1,1
1,spot78_2,2
1,spot79_3,3
1,spot80_4,1
1,spot81_1,1
1,spot82_2,0
1,spot83_3,1
1,spot84_4,1
1,spot85_1,2
1,spot86_2,2
1,spot87_3,1
1,spot88_4,1
1,spot89_1,1
1,spot90_2,0
1,spot91_3,1
1,spot92_4,2
1,spot93_1,1
1,spot94_2,0
1,spot95_3,0
1,spot96_4,1
1,spot97_1,1
1,spot98_2,1
1,spot99_3,0
1,spot100_4,1
1,spot101_1,1
1,spot102_2,1
1,spot103_3,2
1,spot104_4,2
1,spot105_1,1
1,spot106_2,0
1,spot107_3,3
1,spot108_4,2
1,spot109_1,2
1,spot110_2,3
1,spot111_3,1
1,spot112_4,0
1,spot113_1,0
1,spot114_2,2
1,spot115_3,3
1,spot116_4,1
1,spot117_1,1
1,spot118_2,0
1,spot119_3,1
1,spot120_4,3
1,spot121_1,3
1,spot122_2,0
1,spot123_3,2
1,spot124_4,2
1,spot125_1,0
1,spot126_2,1
1,spot127_3,2
1,spot128_4,1
1,spot129_1,3
1,spot130_2,1
1,spot131_3,0
1,spot132_4,2
1,spot133_1,3
1,spot134_2,3
1,spot135_3,1
1,spot136_4,0
1,spot137_1,1
1,spot138_2,0
1,spot139_3,2
1,spot140_4,1
1,spot141_1,2
1,spot142_2,3
1,spot143_3,3
1,spot144_4,3
1,spot145_1,0
1,spot146_2,3
1,spot147_3,1
1,spot148_4,3
1,spot149_1,0
1,spot150_2,1
1,spot151_3,0
1,spot152_4,2
1,spot153_1,3
1,spot154_2,1
1,spot155_3,2
1,spot156_4,2
1,spot157_1,3
1,spot158_2,3
1,spot159_3,2
1,spot160_4,3
1,spot161_1,3
1,spot162_2,1
1,spot163_3,3
1,spot164_4,3
1,spot165_1,3
1,spot166_2,1
1,spot167_3,1
1,spot168_4,2
1,spot169_1,1
1,spot170_2,1
1,spot171_3,0
1,spot172_4,2
1,spot173_1,1
1,spot174_2,1
1,spot175_3,2
1,spot176_4,1
1,spot177_1,1
1,spot178_2,1
1,spot179_3,1
1,spot180_4,2
1,spot181_1,3
1,spot182_2,0
1,spot183_3,2
1,spot184_4,1
1,spot185_1,0
1,spot186_2,1
1,spot187_3,1
1,spot188_4,3
1,spot189_1,1
1,spot190_2,2
1,spot191_3,1
1,spot192_4,0
1,spot193_1,1
1,spot194_2,2
1,spot195_3,0
1,spot196_4,1
1,spot197_1,2
1,spot198_2,1
1,spot199_3,3
1,spot200_4,0
1,spot201_1,2
1,spot202_2,3
1,spot203_3,3
1,spot204_4,1
1,spot205_1,3
1,spot206_2,2
1,spot207_3,1
1,spot208_4,3
1,spot209_1,2
1,spot210_2,3
1,spot211_3,3
1,spot212_4,2
1,spot213_1,3
1,spot214_2,3
1,spot215_3,3
1,spot216_4,1
1,spot217_1,2
1,spot218_2,1
1,spot219_3,3
1,spot220_4,3
1,spot221_1,2
1,spot222_2,2
1,spot223_3,3
1,spot224_4,3
1,spot225_1,3
1,spot226_2,3
1,spot227_3,3
1,spot228_4,2
1,spot229_1,1
1,spot230_2,2
1,spot231_3,3
1,spot232_4,3
1,spot233_1,3
1,spot234_2,2
1,spot235_3,3
1,spot236_4,2
1,spot237_1,0
1,spot238_2,3
1,spot239_3,0
1,spot240_4,3
1,spot241_1,3
1,spot242_2,2
1,spot243_3,3
1,spot244_4,2
1,spot245_1,0
1,spot246_2,1
1,spot247_3,3
1,spot248_4,0
1,spot249_1,3
1,spot250_2,3
1,spot251_3,2
1,spot252_4,3
1,spot253_1,0
1,spot254_2,3
1,spot255_3,1
1,spot256_4,0
1,spot257_1,1
1,spot258_2,2
1,spot259_3,0
1,spot260_4,2
1,spot261_1,2
1,spot262_2,2
1,spot263_3,2
1,spot264_4,2
1,spot265_1,2
1,spot266_2,0
1,spot267_3,3
1,spot268_4,1
1,spot269_1,2
1,spot270_2,1
1,spot271_3,3
1,spot272_4,2
1,spot273_1,3
1,spot274_2,2
1,spot275_3,3
1,spot276_4,3
1,spot277_1,2
1,spot278_2,0
1,spot279_3,0
1,spot280_4,2
1,spot281_1,1
1,spot282_2,1
1,spot283_3,1
1,spot284_4,3
1,spot285_1,1
1,spot286_2,2
1,spot287_3,1
1,spot288_4,3
1,spot289_1,1
1,spot290_2,2
1,spot291_3,0
1,spot292_4,1
1,spot293_1,1
1,spot294_2,1
1,spot295_3,0
1,spot296_4,3
1,spot297_1,2
1,spot298_2,2
1,spot299_3,2
1,spot300_4,0
1,spot301_1,0
1,spot302_2,1
1,spot303_3,3
1,spot304_4,1
1,spot305_1,3
1,spot306_2,3
1,spot307_3,3
1,spot308_4,0
1,spot309_1,0
1,spot310_2,2
1,spot311_3,1
1,spot312_4,3
1,spot313_1,3
1,spot314_2,3
1,spot315_3,3
1,spot316_4,3
1,spot317_1,3
1,spot318_2,1
1,spot319_3,2
1,spot320_4,0
1,spot321_1,3
1,spot322_2,1
1,spot323_3,1
1,spot324_4,3
1,spot325_1,0
1,spot326_2,3
1,spot327_3,3
1,spot328_4,1
1,spot329_1,0
1,spot330_2,3
1,spot331_3,2
1,spot332_4,2
1,spot333_1,2
1,spot334_2,1
1,spot335_3,0
1,spot336_4,1
1,spot337_1,0
1,spot338_2,1
1,spot339_3,1
1,spot340_4,3
1,spot341_1,2
1,spot342_2,2
1,spot343_3,3
1,spot344_4,3
1,spot345_1,1
1,spot346_2,1
1,spot347_3,2
1,spot348_4,2
1,spot349_1,1
1,spot350_2,2
1,spot351_3,0
1,spot352_4,1
1,spot353_1,1
1,spot354_2,1
1,spot355_3,3
1,spot356_4,2
1,spot357_1,0
1,spot358_2,3
1,spot359_3,3
1,spot360_4,2
1,spot361_1,3
1,spot362_2,2
1,spot363_3,3
1,spot364_4,0
1,spot365_1,3
1,spot366_2,1
1,spot367_3,2
1,spot368_4,0
1,spot369_1,3
1,spot370_2,1
1,spot371_3,3
1,spot372_4,2
1,spot373_1,0
1,spot374_2,3
1,spot375_3,3
1,spot376_4,3
1,spot377_1,3
1,spot378_2,2
1,spot379_3,3
1,spot380_4,2
1,spot381_1,2
1,spot382_2,1
1,spot383_3,1
1,spot384_4,3
1,spot385_1,2
1,spot386_2,0
1,spot387_3,2
1,spot388_4,2
1,spot389_1,3
1,spot390_2,2
1,spot391_3,3
1,spot392_4,1
1,spot393_1,2
1,spot394_2,3
1,spot395_3,3
1,spot396_4,2
1,spot397_1,2
1,spot398_2,3
1,spot399_3,3
1,spot400_4,3
1,spot401_1,3
1,spot402_2,0
1,spot403_3,3
1,spot404_4,1
1,spot405_1,2
1,spot406_2,3
1,spot407_3,0
1,spot408_4,2
1,spot409_1,3
1,spot410_2,1
1,spot411_3,3
1,spot412_4,3
1,spot413_1,3
1,spot414_2,0
1,spot415_3,2
1,spot416_4,2
1,spot417_1,1
1,spot418_2,2
1,spot419_3,2
1,spot420_4,3
1,spot421_1,2
1,spot422_2,3
1,spot423_3,2
1,spot424_4,3
1,spot425_1,3
1,spot426_2,3
1,spot427_3,0
1,spot428_4,3
1,spot429_1,3
1,spot430_2,3
1,spot431_3,2
1,spot432_4,0
1,spot433_1,3
1,spot434_2,1
1,spot435_3,3
1,spot436_4,0
1,spot437_1,2
1,spot438_2,2
1,spot439_3,1
1,spot440_4,3
1,spot441_1,2
1,spot442_2,2
1,spot443_3,3
1,spot444_4,3
1,spot445_1,0
1,spot446_2,2
1,spot447_3,3
1,spot448_4,3
1,spot449_1,3
1,spot450_2,3
1,spot451_3,3
1,spot452_4,2
1,spot453_1,2
1,spot454_2,3
1,spot455_3,2
1,spot456_4,2
1,spot457_1,3
1,spot458_2,2
1,spot459_3,3
1,spot460_4,2
1,spot461_1,2
1,spot462_2,2
1,spot463_3,1
1,spot464_4,3
1,spot465_1,2
1,spot466_2,2
1,spot467_3,2
1,spot468_4,3
1,spot469_1,1
1,spot470_2,3
1,spot471_3,3
1,spot472_4,3
1,spot473_1,3
1,spot474_2,1
1,spot475_3,3
1,spot476_4,2
1,spot477_1,2
1,spot478_2,2
1,spot479_3,2
1,spot480_4,3
1,spot481_1,2
1,spot482_2,2
1,spot483_3,1
1,spot484_4,2
1,spot485_1,3
1,spot486_2,2
1,spot487_3,2
1,spot488_4,3
1,spot489_1,3
1,spot490_2,3
1,spot491_3,3
1,spot492_4,3
1,spot493_1,3
1,spot494_2,3
1,spot495_3,3
1,spot496_4,3
1,spot497_1,2
1,spot498_2,3
1,spot499_3,2
1,spot500_4,3
2,spot501_1,0
2,spot502_2,2
2,spot503_3,0
2,spot504_4,2
2,spot505_1,0
2,spot506_2,2
2,spot507_3,2
2,spot508_4,2
2,spot509_1,2
2,spot510_2,2
2,spot511_3,0
2,spot512_4,2
2,spot513_1,0
2,spot514_2,1
2,spot515_3,2
2,spot516_4,2
2,spot517_1,0
2,spot518_2,2
2,spot519_3,1
2,spot520_4,1
2,spot521_1,1
2,spot522_2,1
2,spot523_3,2
2,spot524_4,1
2,spot525_1,0
2,spot526_2,2
2,spot527_3,2
2,spot528_4,2
2,spot529_1,2
2,spot530_2,2
2,spot531_3,3
2,spot532_4,2
2,spot533_1,2
2,spot534_2,2
2,spot535_3,2
2,spot536_4,2
2,spot537_1,2
2,spot538_2,3
2,spot539_3,2
2,spot540_4,2
2,spot541_1,2
2,spot542_2,1
2,spot543_3,2
2,spot544_4,2
2,spot545_1,2
2,spot546_2,0
2,spot547_3,2
2,spot548_4,1
2,spot549_1,2
2,spot550_2,2
2,spot551_3,2
2,spot552_4,2
2,spot553_1,2
2,spot554_2,2
2,spot555_3,0
2,spot556_4,2
2,spot557_1,2
2,spot558_2,0
2,spot559_3,1
2,spot560_4,2
2,spot561_1,2
2,spot562_2,2
2,spot563_3,3
2,spot564_4,0
2,spot565_1,2
2,spot566_2,2
2,spot567_3,2
2,spot568_4,2
2,spot569_1,2
2,spot570_2,2
2,spot571_3,2
2,spot572_4,2
2,spot573_1,2
2,spot574_2,2
2,spot575_3,2
2,spot576_4,0
2,spot577_1,2
2,spot578_2,2
2,spot579_3,2
2,spot580_4,2
2,spot581_1,2
2,spot582_2,2
2,spot583_3,2
2,spot584_4,2
2,spot585_1,2
2,spot586_2,1
2,spot587_3,2
2,spot588_4,3
2,spot589_1,2
2,spot590_2,0
2,spot591_3,0
2,spot592_4,2
2,spot593_1,3
2,spot594_2,0
2,spot595_3,2
2,spot596_4,2
2,spot597_1,3
2,spot598_2,2
2,spot599_3,2
2,spot600_4,2
2,spot601_1,2
2,spot602_2,0
2,spot603_3,1
2,spot604_4,2
2,spot605_1,0
2,spot606_2,0
2,spot607_3,3
2,spot608_4,1
2,spot609_1,2
2,spot610_2,1
2,spot611_3,2
2,spot612_4,0
2,spot613_1,3
2,spot614_2,2
2,spot615_3,2
2,spot616_4,2
2,spot617_1,2
2,spot618_2,3
2,spot619_3,1
2,spot620_4,3
2,spot621_1,1
2,spot622_2,2
2,spot623_3,2
2,spot624_4,3
2,spot625_1,0
2,spot626_2,1
2,spot627_3,3
2,spot628_4,2
2,spot629_1,0
2,spot630_2,1
2,spot631_3,3
2,spot632_4,2
2,spot633_1,2
2,spot634_2,1
2,spot635_3,3
2,spot636_4,0
2,spot637_1,3
2,spot638_2,2
2,spot639_3,2
2,spot640_4,2
2,spot641_1,3
2,spot642_2,1
2,spot643_3,2
2,spot644_4,0
2,spot645_1,2
2,spot646_2,2
2,spot647_3,0
2,spot648_4,2
2,spot649_1,0
2,spot650_2,3
2,spot651_3,3
2,spot652_4,0
2,spot653_1,3
2,spot654_2,0
2,spot655_3,2
2,spot656_4,0
2,spot657_1,0
2,spot658_2,2
2,spot659_3,1
2,spot660_4,3
2,spot661_1,0
2,spot662_2,3
2,spot663_3,2
2,spot664_4,2
2,spot665_1,1
2,spot666_2,1
2,spot667_3,1
2,spot668_4,3
2,spot669_1,0
2,spot670_2,2
2,spot671_3,3
2,spot672_4,2
2,spot673_1,3
2,spot674_2,3
2,spot675_3,3
2,spot676_4,1
2,spot677_1,2
2,spot678_2,0
2,spot679_3,2
2,spot680_4,1
2,spot681_1,1
2,spot682_2,2
2,spot683_3,0
2,spot684_4,2
2,spot685_1,0
2,spot686_2,3
2,spot687_3,2
2,spot688_4,3
2,spot689_1,0
2,spot690_2,2
2,spot691_3,3
2,spot692_4,1
2,spot693_1,2
2,spot694_2,3
2,spot695_3,3
2,spot696_4,3
2,spot697_1,2
2,spot698_2,2
