,sample,spot_name,cluster
1,1,spot1,3
2,1,spot2,3
3,1,spot3,0
4,1,spot4,0
5,1,spot5,1
6,1,spot6,3
7,1,spot7,0
8,1,spot8,0
9,1,spot9,0
10,1,spot10,0
11,1,spot11,0
12,1,spot12,3
13,1,spot13,0
14,1,spot14,0
15,1,spot15,0
16,1,spot16,0
17,1,spot17,1
18,1,spot18,3
19,1,spot19,1
20,1,spot20,1
21,1,spot21,0
22,1,spot22,0
23,1,spot23,3
24,1,spot24,3
25,1,spot25,3
26,1,spot26,0
27,1,spot27,0
28,1,spot28,0
29,1,spot29,0
30,1,spot30,3
31,1,spot31,0
32,1,spot32,0
33,1,spot33,0
34,1,spot34,3
35,1,spot35,3
36,1,spot36,1
37,1,spot37,1
38,1,spot38,0
39,1,spot39,3
40,1,spot40,1
41,1,spot41,0
42,1,spot42,1
43,1,spot43,1
44,1,spot44,3
45,1,spot45,0
46,1,spot46,1
47,1,spot47,0
48,1,spot48,1
49,1,spot49,0
50,1,spot50,0
51,1,spot51,1
52,1,spot52,0
53,1,spot53,0
54,1,spot54,0
55,1,spot55,0
56,1,spot56,3
57,1,spot57,0
58,1,spot58,1
59,1,spot59,1
60,1,spot60,0
61,1,spot61,0
62,1,spot62,1
63,1,spot63,1
64,1,spot64,0
65,1,spot65,0
66,1,spot66,0
67,1,spot67,0
68,1,spot68,1
69,1,spot69,1
70,1,spot70,0
71,1,spot71,0
72,1,spot72,0
73,1,spot73,0
74,1,spot74,1
75,1,spot75,1
76,1,spot76,1
77,1,spot77,0
78,1,spot78,1
79,1,spot79,0
80,1,spot80,0
81,1,spot81,1
82,1,spot82,0
83,1,spot83,0
84,1,spot84,1
85,1,spot85,0
86,1,spot86,1
87,1,spot87,0
88,1,spot88,0
89,1,spot89,0
90,1,spot90,1
91,1,spot91,3
92,1,spot92,1
93,1,spot93,0
94,1,spot94,0
95,1,spot95,0
96,1,spot96,0
97,1,spot97,3
98,1,spot98,1
99,1,spot99,0
100,1,spot100,0
101,1,spot101,0
102,1,spot102,2
103,1,spot103,3
104,1,spot104,2
105,1,spot105,0
106,1,spot106,2
107,1,spot107,2
108,1,spot108,0
109,1,spot109,3
110,1,spot110,1
111,1,spot111,2
112,1,spot112,0
113,1,spot113,0
114,1,spot114,2
115,1,spot115,1
116,1,spot116,1
117,1,spot117,0
118,1,spot118,3
119,1,spot119,3
120,1,spot120,0
121,1,spot121,3
122,1,spot122,0
123,1,spot123,3
124,1,spot124,3
125,1,spot125,0
126,1,spot126,0
127,1,spot127,2
128,1,spot128,0
129,1,spot129,2
130,1,spot130,0
131,1,spot131,3
132,1,spot132,1
133,1,spot133,2
134,1,spot134,0
135,1,spot135,2
136,1,spot136,3
137,1,spot137,0
138,1,spot138,2
139,1,spot139,3
140,1,spot140,0
141,1,spot141,2
142,1,spot142,3
143,1,spot143,3
144,1,spot144,0
145,1,spot145,0
146,1,spot146,3
147,1,spot147,2
148,1,spot148,2
149,1,spot149,3
150,1,spot150,0
151,1,spot151,0
152,1,spot152,0
153,1,spot153,0
154,1,spot154,2
155,1,spot155,3
156,1,spot156,0
157,1,spot157,3
158,1,spot158,3
159,1,spot159,2
160,1,spot160,2
161,1,spot161,3
162,1,spot162,3
163,1,spot163,0
164,1,spot164,3
165,1,spot165,0
166,1,spot166,0
167,1,spot167,0
168,1,spot168,3
169,1,spot169,3
170,1,spot170,0
171,1,spot171,0
172,1,spot172,0
173,1,spot173,3
174,1,spot174,0
175,1,spot175,3
176,1,spot176,3
177,1,spot177,3
178,1,spot178,0
179,1,spot179,1
180,1,spot180,3
181,1,spot181,3
182,1,spot182,2
183,1,spot183,0
184,1,spot184,3
185,1,spot185,3
186,1,spot186,2
187,1,spot187,1
188,1,spot188,0
189,1,spot189,0
190,1,spot190,0
191,1,spot191,3
192,1,spot192,1
193,1,spot193,0
194,1,spot194,2
195,1,spot195,0
196,1,spot196,2
197,1,spot197,0
198,1,spot198,3
199,1,spot199,2
200,1,spot200,0
201,1,spot201,0
202,1,spot202,3
203,1,spot203,0
