,sample,spot_name,cluster
1,1,spot1,1
2,1,spot2,1
3,1,spot3,1
4,1,spot4,1
5,1,spot5,1
6,1,spot6,1
7,1,spot7,1
8,1,spot8,1
9,1,spot9,1
10,1,spot10,1
11,1,spot11,1
12,1,spot12,1
13,1,spot13,1
14,1,spot14,1
15,1,spot15,1
16,1,spot16,1
17,1,spot17,1
18,1,spot18,1
19,1,spot19,1
20,1,spot20,1
21,1,spot21,1
22,1,spot22,1
23,1,spot23,1
24,1,spot24,1
25,1,spot25,1
26,1,spot26,1
27,1,spot27,1
28,1,spot28,1
29,1,spot29,1
30,1,spot30,1
31,1,spot31,1
32,1,spot32,1
33,1,spot33,1
34,1,spot34,1
35,1,spot35,1
36,1,spot36,1
37,1,spot37,1
38,1,spot38,1
39,1,spot39,1
40,1,spot40,1
41,1,spot41,1
42,1,spot42,1
43,1,spot43,1
44,1,spot44,1
45,1,spot45,1
46,1,spot46,1
47,1,spot47,1
48,1,spot48,1
49,1,spot49,1
50,1,spot50,1
51,1,spot51,1
52,1,spot52,1
53,1,spot53,1
54,1,spot54,1
55,1,spot55,1
56,1,spot56,1
57,1,spot57,1
58,1,spot58,1
59,1,spot59,1
60,1,spot60,1
61,1,spot61,1
62,1,spot62,1
63,1,spot63,1
64,1,spot64,1
65,1,spot65,1
66,1,spot66,1
67,1,spot67,1
68,1,spot68,1
69,1,spot69,1
70,1,spot70,1
71,1,spot71,1
72,1,spot72,1
73,1,spot73,1
74,1,spot74,1
75,1,spot75,1
76,1,spot76,1
77,1,spot77,1
78,1,spot78,1
79,1,spot79,1
80,1,spot80,1
81,1,spot81,1
82,1,spot82,1
83,1,spot83,1
84,1,spot84,1
85,1,spot85,1
86,1,spot86,1
87,1,spot87,1
88,1,spot88,1
89,1,spot89,1
90,1,spot90,1
91,1,spot91,1
92,1,spot92,1
93,1,spot93,1
94,1,spot94,1
95,1,spot95,1
96,1,spot96,1
97,1,spot97,1
98,1,spot98,1
99,1,spot99,1
100,1,spot100,1
101,1,spot101,3
102,1,spot102,3
103,1,spot103,3
104,1,spot104,1
105,1,spot105,3
106,1,spot106,1
107,1,spot107,1
108,1,spot108,3
109,1,spot109,3
110,1,spot110,3
111,1,spot111,1
112,1,spot112,3
113,1,spot113,3
114,1,spot114,1
115,1,spot115,3
116,1,spot116,3
117,1,spot117,3
118,1,spot118,3
119,1,spot119,3
120,1,spot120,3
121,1,spot121,3
122,1,spot122,3
123,1,spot123,3
124,1,spot124,3
125,1,spot125,3
126,1,spot126,0
127,1,spot127,3
128,1,spot128,3
129,1,spot129,3
130,1,spot130,3
131,1,spot131,3
132,1,spot132,1
133,1,spot133,3
134,1,spot134,3
135,1,spot135,3
136,1,spot136,3
137,1,spot137,3
138,1,spot138,3
139,1,spot139,0
140,1,spot140,3
141,1,spot141,1
142,1,spot142,3
143,1,spot143,3
144,1,spot144,3
145,1,spot145,3
146,1,spot146,3
147,1,spot147,1
148,1,spot148,1
149,1,spot149,3
150,1,spot150,0
151,1,spot151,3
152,1,spot152,3
153,1,spot153,1
154,1,spot154,1
155,1,spot155,3
156,1,spot156,3
157,1,spot157,3
158,1,spot158,3
159,1,spot159,3
160,1,spot160,1
161,1,spot161,3
162,1,spot162,3
163,1,spot163,3
164,1,spot164,3
165,1,spot165,0
166,1,spot166,3
167,1,spot167,3
168,1,spot168,1
169,1,spot169,3
170,1,spot170,3
171,1,spot171,3
172,1,spot172,3
173,1,spot173,3
174,1,spot174,3
175,1,spot175,3
176,1,spot176,3
177,1,spot177,3
178,1,spot178,3
179,1,spot179,3
180,1,spot180,3
181,1,spot181,3
182,1,spot182,1
183,1,spot183,3
184,1,spot184,3
185,1,spot185,3
186,1,spot186,1
187,1,spot187,3
188,1,spot188,3
189,1,spot189,3
190,1,spot190,3
191,1,spot191,3
192,1,spot192,0
193,1,spot193,3
194,1,spot194,1
195,1,spot195,3
196,1,spot196,1
197,1,spot197,0
198,1,spot198,3
199,1,spot199,3
200,1,spot200,3
201,1,spot201,0
202,1,spot202,0
203,1,spot203,0
204,1,spot204,0
205,1,spot205,0
206,1,spot206,0
207,1,spot207,0
208,1,spot208,0
209,1,spot209,0
210,1,spot210,0
211,1,spot211,0
212,1,spot212,0
213,1,spot213,0
214,1,spot214,0
215,1,spot215,0
216,1,spot216,0
217,1,spot217,0
218,1,spot218,0
219,1,spot219,0
220,1,spot220,0
221,1,spot221,0
222,1,spot222,0
223,1,spot223,0
224,1,spot224,0
225,1,spot225,0
226,1,spot226,0
227,1,spot227,0
228,1,spot228,0
229,1,spot229,0
230,1,spot230,0
231,1,spot231,0
232,1,spot232,0
233,1,spot233,0
234,1,spot234,0
235,1,spot235,0
236,1,spot236,0
237,1,spot237,3
238,1,spot238,0
239,1,spot239,0
240,1,spot240,0
241,1,spot241,0
242,1,spot242,0
243,1,spot243,0
244,1,spot244,0
245,1,spot245,3
246,1,spot246,0
247,1,spot247,0
248,1,spot248,0
249,1,spot249,0
250,1,spot250,0
251,1,spot251,0
252,1,spot252,0
253,1,spot253,0
254,1,spot254,0
255,1,spot255,0
256,1,spot256,0
257,1,spot257,0
258,1,spot258,0
259,1,spot259,0
260,1,spot260,0
261,1,spot261,0
262,1,spot262,0
263,1,spot263,0
264,1,spot264,0
265,1,spot265,0
266,1,spot266,0
267,1,spot267,0
268,1,spot268,0
269,1,spot269,0
270,1,spot270,0
271,1,spot271,0
272,1,spot272,0
273,1,spot273,0
274,1,spot274,0
275,1,spot275,0
276,1,spot276,0
277,1,spot277,0
278,1,spot278,0
279,1,spot279,0
280,1,spot280,0
281,1,spot281,0
282,1,spot282,0
283,1,spot283,0
284,1,spot284,0
285,1,spot285,0
286,1,spot286,0
287,1,spot287,0
288,1,spot288,0
289,1,spot289,0
290,1,spot290,0
291,1,spot291,0
292,1,spot292,0
293,1,spot293,0
294,1,spot294,0
295,1,spot295,0
296,1,spot296,0
297,1,spot297,0
298,1,spot298,0
299,1,spot299,0
300,1,spot300,0
301,1,spot301,0
302,1,spot302,0
303,1,spot303,0
304,1,spot304,0
305,1,spot305,0
306,1,spot306,0
307,1,spot307,0
308,1,spot308,0
309,1,spot309,0
310,1,spot310,0
311,1,spot311,0
312,1,spot312,0
313,1,spot313,0
314,1,spot314,0
315,1,spot315,0
316,1,spot316,0
317,1,spot317,0
318,1,spot318,0
319,1,spot319,0
320,1,spot320,0
321,1,spot321,0
322,1,spot322,0
323,1,spot323,0
324,1,spot324,0
325,1,spot325,0
326,1,spot326,0
327,1,spot327,0
328,1,spot328,0
329,1,spot329,0
330,1,spot330,0
331,1,spot331,0
332,1,spot332,0
333,1,spot333,0
334,1,spot334,0
335,1,spot335,0
336,1,spot336,0
337,1,spot337,0
338,1,spot338,0
339,1,spot339,0
340,1,spot340,0
341,1,spot341,0
342,1,spot342,0
343,1,spot343,0
344,1,spot344,0
345,1,spot345,3
346,1,spot346,0
347,1,spot347,0
348,1,spot348,0
349,1,spot349,0
350,1,spot350,0
351,1,spot351,0
352,1,spot352,0
353,1,spot353,0
354,1,spot354,0
355,1,spot355,0
