,sample,spot_name,cluster
0,1,spot1,2
1,1,spot2,2
2,1,spot3,2
3,1,spot4,1
4,1,spot5,1
5,1,spot6,1
6,1,spot7,1
7,1,spot8,1
8,1,spot9,2
9,1,spot10,1
10,1,spot11,1
11,1,spot12,1
12,1,spot13,2
13,1,spot14,1
14,1,spot15,2
15,1,spot16,4
16,1,spot17,1
17,1,spot18,1
18,1,spot19,1
19,1,spot20,1
20,1,spot21,1
21,1,spot22,1
22,1,spot23,1
23,1,spot24,2
24,1,spot25,4
25,1,spot26,1
26,1,spot27,1
27,1,spot28,1
28,1,spot29,4
29,1,spot30,1
30,1,spot31,1
31,1,spot32,1
32,1,spot33,1
33,1,spot34,1
34,1,spot35,2
35,1,spot36,1
36,1,spot37,4
37,1,spot38,1
38,1,spot39,1
39,1,spot40,1
40,1,spot41,2
41,1,spot42,1
42,1,spot43,1
43,1,spot44,1
44,1,spot45,4
45,1,spot46,2
46,1,spot47,1
47,1,spot48,1
48,1,spot49,1
49,1,spot50,1
50,1,spot51,1
51,1,spot52,1
52,1,spot53,1
53,1,spot54,1
54,1,spot55,2
55,1,spot56,4
56,1,spot57,2
57,1,spot58,4
58,1,spot59,1
59,1,spot60,1
60,1,spot61,1
61,1,spot62,2
62,1,spot63,4
63,1,spot64,1
64,1,spot65,4
65,1,spot66,4
66,1,spot67,1
67,1,spot68,2
68,1,spot69,4
69,1,spot70,1
70,1,spot71,1
71,1,spot72,1
72,1,spot73,4
73,1,spot74,0
74,1,spot75,2
75,1,spot76,1
76,1,spot77,2
77,1,spot78,1
78,1,spot79,2
79,1,spot80,1
80,1,spot81,4
81,1,spot82,1
82,1,spot83,1
83,1,spot84,1
84,1,spot85,1
85,1,spot86,1
86,1,spot87,1
87,1,spot88,1
88,1,spot89,1
89,1,spot90,1
90,1,spot91,1
91,1,spot92,1
92,1,spot93,1
93,1,spot94,1
94,1,spot95,1
95,1,spot96,1
96,1,spot97,2
97,1,spot98,2
98,1,spot99,1
99,1,spot100,1
100,1,spot101,1
101,1,spot102,1
102,1,spot103,1
103,1,spot104,0
104,1,spot105,4
105,1,spot106,1
106,1,spot107,1
107,1,spot108,4
108,1,spot109,1
109,1,spot110,1
110,1,spot111,1
111,1,spot112,2
112,1,spot113,1
113,1,spot114,2
114,1,spot115,0
115,1,spot116,4
116,1,spot117,0
117,1,spot118,1
118,1,spot119,4
119,1,spot120,1
120,1,spot121,0
121,1,spot122,3
122,1,spot123,0
123,1,spot124,2
124,1,spot125,0
125,1,spot126,0
126,1,spot127,3
127,1,spot128,0
128,1,spot129,0
129,1,spot130,0
