"sample","spot_name","cluster"
1,"spot1","5"
1,"spot2","5"
1,"spot3","5"
1,"spot4","6"
1,"spot5","6"
1,"spot6","5"
1,"spot7","5"
1,"spot8","5"
1,"spot9","5"
1,"spot10","5"
1,"spot11","5"
1,"spot12","5"
1,"spot13","4"
1,"spot14","5"
1,"spot15","4"
1,"spot16","5"
1,"spot17","4"
1,"spot18","6"
1,"spot19","6"
1,"spot20","0"
1,"spot21","5"
1,"spot22","5"
1,"spot23","5"
1,"spot24","5"
1,"spot25","5"
1,"spot26","5"
1,"spot27","5"
1,"spot28","6"
1,"spot29","5"
1,"spot30","6"
1,"spot31","5"
1,"spot32","5"
1,"spot33","5"
1,"spot34","5"
1,"spot35","5"
1,"spot36","5"
1,"spot37","5"
1,"spot38","6"
1,"spot39","6"
1,"spot40","5"
1,"spot41","5"
1,"spot42","4"
1,"spot43","4"
1,"spot44","5"
1,"spot45","6"
1,"spot46","5"
1,"spot47","5"
1,"spot48","6"
1,"spot49","5"
1,"spot50","5"
1,"spot51","4"
1,"spot52","5"
1,"spot53","6"
1,"spot54","6"
1,"spot55","5"
1,"spot56","5"
1,"spot57","6"
1,"spot58","3"
1,"spot59","5"
1,"spot60","5"
1,"spot61","6"
1,"spot62","5"
1,"spot63","5"
1,"spot64","5"
1,"spot65","5"
1,"spot66","6"
1,"spot67","5"
1,"spot68","5"
1,"spot69","5"
1,"spot70","5"
1,"spot71","5"
1,"spot72","5"
1,"spot73","5"
1,"spot74","6"
1,"spot75","5"
1,"spot76","5"
1,"spot77","6"
1,"spot78","6"
1,"spot79","6"
1,"spot80","6"
1,"spot81","6"
1,"spot82","5"
1,"spot83","3"
1,"spot84","6"
1,"spot85","4"
1,"spot86","6"
1,"spot87","5"
1,"spot88","6"
1,"spot89","6"
1,"spot90","6"
1,"spot91","5"
1,"spot92","5"
1,"spot93","6"
1,"spot94","6"
1,"spot95","6"
1,"spot96","5"
1,"spot97","5"
1,"spot98","4"
1,"spot99","5"
1,"spot100","5"
3,"spot1001","6"
3,"spot1002","6"
3,"spot1003","6"
3,"spot1004","6"
3,"spot1005","6"
3,"spot1006","5"
3,"spot1007","3"
3,"spot1008","6"
3,"spot1009","6"
3,"spot1010","3"
3,"spot1011","6"
3,"spot1012","3"
3,"spot1013","6"
3,"spot1014","4"
3,"spot1015","6"
3,"spot1016","6"
3,"spot1017","6"
3,"spot1018","6"
3,"spot1019","3"
3,"spot1020","3"
3,"spot1021","6"
3,"spot1022","4"
3,"spot1023","6"
3,"spot1024","6"
3,"spot1025","6"
3,"spot1026","3"
3,"spot1027","6"
3,"spot1028","6"
3,"spot1029","3"
3,"spot1030","6"
3,"spot1031","3"
3,"spot1032","4"
3,"spot1033","3"
3,"spot1034","3"
3,"spot1035","6"
3,"spot1036","6"
3,"spot1037","6"
3,"spot1038","6"
3,"spot1039","3"
3,"spot1040","2"
3,"spot1041","6"
3,"spot1042","6"
3,"spot1043","6"
3,"spot1044","6"
3,"spot1045","3"
3,"spot1046","4"
3,"spot1047","6"
3,"spot1048","5"
3,"spot1049","3"
3,"spot1050","3"
3,"spot1051","6"
3,"spot1052","6"
3,"spot1053","6"
3,"spot1054","5"
3,"spot1055","3"
3,"spot1056","3"
3,"spot1057","3"
3,"spot1058","3"
3,"spot1059","6"
3,"spot1060","3"
3,"spot1061","6"
3,"spot1062","6"
3,"spot1063","3"
3,"spot1064","6"
3,"spot1065","1"
3,"spot1066","5"
3,"spot1067","6"
3,"spot1068","6"
3,"spot1069","2"
3,"spot1070","0"
3,"spot1071","3"
3,"spot1072","6"
3,"spot1073","3"
3,"spot1074","6"
3,"spot1075","6"
3,"spot1076","6"
3,"spot1077","3"
3,"spot1078","3"
3,"spot1079","6"
3,"spot1080","0"
3,"spot1081","6"
3,"spot1082","6"
3,"spot1083","6"
3,"spot1084","6"
3,"spot1085","6"
3,"spot1086","5"
3,"spot1087","4"
3,"spot1088","6"
3,"spot1089","4"
3,"spot1090","6"
3,"spot1091","3"
3,"spot1092","1"
3,"spot1093","3"
3,"spot1094","0"
3,"spot1095","6"
3,"spot1096","3"
3,"spot1097","4"
3,"spot1098","3"
3,"spot1099","6"
3,"spot1100","4"
4,"spot1501","1"
4,"spot1502","3"
4,"spot1503","3"
4,"spot1505","6"
4,"spot1506","3"
4,"spot1507","0"
4,"spot1508","1"
4,"spot1509","1"
4,"spot1510","3"
4,"spot1511","3"
4,"spot1512","3"
4,"spot1513","1"
4,"spot1514","1"
4,"spot1515","3"
4,"spot1516","3"
4,"spot1517","3"
4,"spot1518","6"
4,"spot1523","6"
4,"spot1524","3"
4,"spot1525","3"
4,"spot1526","3"
4,"spot1528","3"
4,"spot1529","3"
4,"spot1531","3"
4,"spot1532","3"
4,"spot1533","3"
4,"spot1534","3"
4,"spot1535","6"
4,"spot1536","3"
4,"spot1537","3"
4,"spot1538","1"
4,"spot1539","3"
4,"spot1540","3"
4,"spot1541","1"
4,"spot1542","3"
4,"spot1544","3"
