,sample,spot_name,cluster
0,slice1,spot1,3
1,slice1,spot2,3
2,slice1,spot3,3
3,slice1,spot4,0
4,slice1,spot5,3
5,slice1,spot6,3
6,slice1,spot7,3
7,slice1,spot8,3
8,slice1,spot9,3
9,slice1,spot10,3
10,slice1,spot11,3
11,slice1,spot12,3
12,slice1,spot13,3
13,slice1,spot14,3
14,slice1,spot15,3
15,slice1,spot16,3
16,slice1,spot17,3
17,slice1,spot18,0
18,slice1,spot19,0
19,slice1,spot20,0
20,slice1,spot21,3
21,slice1,spot22,3
22,slice1,spot23,3
23,slice1,spot24,3
24,slice1,spot25,3
25,slice1,spot26,3
26,slice1,spot27,3
27,slice1,spot28,3
28,slice1,spot29,3
29,slice1,spot30,3
30,slice1,spot31,3
31,slice1,spot32,3
32,slice1,spot33,3
33,slice1,spot34,3
34,slice1,spot35,3
35,slice1,spot36,3
36,slice1,spot37,3
37,slice1,spot38,3
38,slice1,spot39,3
39,slice1,spot40,3
40,slice1,spot41,3
41,slice1,spot42,3
42,slice1,spot43,0
43,slice1,spot44,3
44,slice1,spot45,3
45,slice1,spot46,3
46,slice1,spot47,3
47,slice1,spot48,3
48,slice1,spot49,3
49,slice1,spot50,3
50,slice1,spot51,3
51,slice1,spot52,3
52,slice1,spot53,3
53,slice1,spot54,3
54,slice1,spot55,3
55,slice1,spot56,3
56,slice1,spot57,3
57,slice1,spot58,0
58,slice1,spot59,3
59,slice1,spot60,3
60,slice1,spot61,0
61,slice1,spot62,3
62,slice1,spot63,3
63,slice1,spot64,3
64,slice1,spot65,3
65,slice1,spot66,0
66,slice1,spot67,3
67,slice1,spot68,3
68,slice1,spot69,3
69,slice1,spot70,3
70,slice1,spot71,3
71,slice1,spot72,3
72,slice1,spot73,3
73,slice1,spot74,0
74,slice1,spot75,3
75,slice1,spot76,3
76,slice1,spot77,3
77,slice1,spot78,3
78,slice1,spot79,0
79,slice1,spot80,3
80,slice1,spot81,0
81,slice1,spot82,3
82,slice1,spot83,3
83,slice1,spot84,0
84,slice1,spot85,3
85,slice1,spot86,0
86,slice1,spot87,3
87,slice1,spot88,0
88,slice1,spot89,0
89,slice1,spot90,3
90,slice1,spot91,3
91,slice1,spot92,3
92,slice1,spot93,3
93,slice1,spot94,0
94,slice1,spot95,0
95,slice1,spot96,3
96,slice1,spot97,3
97,slice1,spot98,3
98,slice1,spot99,3
99,slice1,spot100,3
100,slice1,spot101,0
101,slice1,spot102,0
102,slice1,spot103,0
103,slice1,spot104,0
104,slice1,spot105,0
105,slice1,spot106,0
106,slice1,spot107,2
107,slice1,spot108,0
108,slice1,spot109,0
109,slice1,spot110,0
110,slice1,spot111,0
111,slice1,spot112,2
112,slice1,spot113,0
113,slice1,spot114,0
114,slice1,spot115,0
115,slice1,spot116,0
116,slice1,spot117,0
117,slice1,spot118,0
118,slice1,spot119,0
119,slice1,spot120,2
120,slice1,spot121,0
121,slice1,spot122,0
122,slice1,spot123,0
123,slice1,spot124,0
124,slice1,spot125,0
125,slice1,spot126,2
126,slice1,spot127,0
127,slice1,spot128,0
128,slice1,spot129,0
129,slice1,spot130,0
130,slice1,spot131,0
131,slice1,spot132,0
132,slice1,spot133,2
133,slice1,spot134,0
134,slice1,spot135,0
135,slice1,spot136,0
136,slice1,spot137,0
137,slice1,spot138,0
138,slice1,spot139,2
139,slice1,spot140,0
140,slice1,spot141,0
141,slice1,spot142,0
142,slice1,spot143,0
143,slice1,spot144,0
144,slice1,spot145,0
145,slice1,spot146,0
146,slice1,spot147,0
147,slice1,spot148,3
148,slice1,spot149,0
149,slice1,spot150,0
150,slice1,spot151,0
151,slice1,spot152,0
152,slice1,spot153,0
153,slice1,spot154,3
154,slice1,spot155,0
155,slice1,spot156,0
156,slice1,spot157,2
157,slice1,spot158,2
158,slice1,spot159,0
159,slice1,spot160,2
160,slice1,spot161,0
161,slice1,spot162,0
162,slice1,spot163,0
163,slice1,spot164,0
164,slice1,spot165,2
165,slice1,spot166,3
166,slice1,spot167,0
167,slice1,spot168,0
168,slice1,spot169,0
169,slice1,spot170,0
170,slice1,spot171,2
171,slice1,spot172,0
172,slice1,spot173,0
173,slice1,spot174,0
174,slice1,spot175,0
175,slice1,spot176,0
