V1,sample,spot_name,cluster
1,1,spot1_1,3
2,1,spot2_1,3
3,1,spot3_1,3
4,1,spot4_1,4
5,1,spot5_1,4
6,1,spot6_1,4
7,1,spot7_1,4
8,1,spot8_1,4
9,1,spot9_1,4
10,1,spot10_1,4
11,1,spot11_1,4
12,1,spot12_1,4
13,1,spot13_1,3
14,1,spot14_1,4
15,1,spot15_1,4
16,1,spot16_1,4
17,1,spot17_1,4
18,1,spot18_1,4
19,1,spot19_1,4
20,1,spot20_1,4
21,1,spot21_1,4
22,1,spot22_1,4
23,1,spot23_1,4
24,1,spot24_1,3
25,1,spot25_1,4
26,1,spot26_1,4
27,1,spot27_1,4
28,1,spot28_1,4
29,1,spot29_1,4
30,1,spot30_1,4
31,1,spot31_1,4
32,1,spot32_1,4
33,1,spot33_1,4
34,1,spot34_1,4
35,1,spot35_1,3
36,1,spot36_1,4
37,1,spot37_1,4
38,1,spot38_1,4
39,1,spot39_1,4
40,1,spot40_1,4
41,1,spot41_1,4
42,1,spot42_1,4
43,1,spot43_1,4
44,1,spot44_1,4
45,1,spot45_1,4
46,1,spot46_1,3
47,1,spot47_1,4
48,1,spot48_1,4
49,1,spot49_1,4
50,1,spot50_1,4
51,1,spot51_1,4
52,1,spot52_1,4
53,1,spot53_1,4
54,1,spot54_1,4
55,1,spot55_1,4
56,1,spot56_1,4
57,1,spot57_1,3
58,1,spot58_1,4
59,1,spot59_1,4
60,1,spot60_1,4
61,1,spot61_1,4
62,1,spot62_1,4
63,1,spot63_1,4
64,1,spot64_1,4
65,1,spot65_1,4
66,1,spot66_1,3
67,1,spot67_1,4
68,1,spot68_1,3
69,1,spot69_1,4
70,1,spot70_1,4
71,1,spot71_1,4
72,1,spot72_1,4
73,1,spot73_1,4
74,1,spot74_1,4
75,1,spot75_1,4
76,1,spot76_1,4
77,1,spot77_1,4
78,1,spot78_1,4
79,1,spot79_1,3
80,1,spot80_1,4
81,1,spot81_1,4
82,1,spot82_1,4
83,1,spot83_1,4
84,1,spot84_1,4
85,1,spot85_1,4
86,1,spot86_1,4
87,1,spot87_1,4
88,1,spot88_1,4
