sample,spot_name,cluster
1,spot1_1,1
1,spot2_1,1
1,spot3_1,1
1,spot4_1,4
1,spot5_1,4
1,spot6_1,4
1,spot7_1,4
1,spot8_1,4
1,spot9_1,2
1,spot10_1,4
1,spot11_1,4
1,spot12_1,4
1,spot13_1,1
1,spot14_1,4
1,spot15_1,4
1,spot16_1,4
1,spot17_1,4
1,spot18_1,4
1,spot19_1,4
1,spot20_1,4
1,spot21_1,4
1,spot22_1,4
1,spot23_1,4
1,spot24_1,1
1,spot25_1,4
1,spot26_1,4
1,spot27_1,4
1,spot28_1,4
1,spot29_1,4
1,spot30_1,4
1,spot31_1,4
1,spot32_1,4
1,spot33_1,4
1,spot34_1,4
1,spot35_1,1
1,spot36_1,4
1,spot37_1,4
1,spot38_1,4
1,spot39_1,4
1,spot40_1,4
1,spot41_1,4
1,spot42_1,4
1,spot43_1,4
1,spot44_1,4
1,spot45_1,4
1,spot46_1,1
1,spot47_1,4
1,spot48_1,4
1,spot49_1,4
1,spot50_1,4
1,spot51_1,4
1,spot52_1,4
1,spot53_1,4
1,spot54_1,4
1,spot55_1,4
1,spot56_1,4
1,spot57_1,1
1,spot58_1,4
1,spot59_1,4
1,spot60_1,4
1,spot61_1,4
1,spot62_1,4
1,spot63_1,4
1,spot64_1,4
1,spot65_1,4
1,spot66_1,1
1,spot67_1,4
1,spot68_1,1
1,spot69_1,4
1,spot70_1,4
1,spot71_1,4
1,spot72_1,4
1,spot73_1,4
1,spot74_1,4
1,spot75_1,4
1,spot76_1,4
1,spot77_1,4
1,spot78_1,4
1,spot79_1,1
1,spot80_1,4
1,spot81_1,4
1,spot82_1,4
1,spot83_1,4
1,spot84_1,4
1,spot85_1,4
1,spot86_1,4
1,spot87_1,4
1,spot88_1,4
1,spot89_1,4
1,spot90_1,1
1,spot91_1,4
1,spot92_1,4
1,spot93_1,4
1,spot94_1,4
1,spot95_1,4
1,spot96_1,4
1,spot97_1,4
1,spot98_1,4
1,spot99_1,4
1,spot100_1,4
1,spot101_1,1
1,spot102_1,4
1,spot103_1,4
1,spot104_1,4
1,spot105_1,4
1,spot106_1,4
1,spot107_1,4
1,spot108_1,4
1,spot109_1,4
1,spot110_1,4
1,spot111_1,4
1,spot112_1,1
1,spot113_1,1
1,spot114_1,4
1,spot115_1,2
1,spot116_1,2
1,spot117_1,2
1,spot118_1,2
1,spot119_1,2
1,spot120_1,2
1,spot121_1,2
1,spot122_1,2
1,spot123_1,2
1,spot124_1,1
1,spot125_1,2
1,spot126_1,2
1,spot127_1,2
1,spot128_1,2
1,spot129_1,2
1,spot130_1,2
1,spot131_1,2
1,spot132_1,2
1,spot133_1,2
1,spot134_1,2
1,spot135_1,1
1,spot136_1,2
1,spot137_1,2
1,spot138_1,1
1,spot139_1,2
1,spot140_1,2
1,spot141_1,2
1,spot142_1,2
1,spot143_1,2
1,spot144_1,2
1,spot145_1,2
1,spot146_1,1
1,spot147_1,2
1,spot148_1,2
1,spot149_1,2
1,spot150_1,2
1,spot151_1,2
1,spot152_1,2
1,spot153_1,2
1,spot154_1,2
1,spot155_1,2
1,spot156_1,2
1,spot157_1,1
1,spot158_1,2
1,spot159_1,1
1,spot160_1,2
1,spot161_1,2
1,spot162_1,2
1,spot163_1,1
1,spot164_1,2
1,spot165_1,1
1,spot166_1,2
1,spot167_1,2
1,spot168_1,1
1,spot169_1,2
1,spot170_1,2
1,spot171_1,2
1,spot172_1,2
1,spot173_1,2
1,spot174_1,2
1,spot175_1,2
1,spot176_1,2
1,spot177_1,2
1,spot178_1,2
1,spot179_1,1
1,spot180_1,2
1,spot181_1,2
1,spot182_1,2
1,spot183_1,2
1,spot184_1,2
1,spot185_1,2
1,spot186_1,2
1,spot187_1,2
1,spot188_1,2
1,spot189_1,2
1,spot190_1,1
1,spot191_1,2
1,spot192_1,2
1,spot193_1,2
1,spot194_1,2
1,spot195_1,2
1,spot196_1,2
1,spot197_1,2
1,spot198_1,2
1,spot199_1,2
1,spot200_1,2
1,spot201_1,1
1,spot202_1,2
1,spot203_1,2
1,spot204_1,2
1,spot205_1,2
1,spot206_1,2
1,spot207_1,2
1,spot208_1,2
1,spot209_1,2
1,spot210_1,1
1,spot211_1,2
1,spot212_1,1
1,spot213_1,2
1,spot214_1,2
1,spot215_1,2
1,spot216_1,2
1,spot217_1,2
1,spot218_1,2
1,spot219_1,2
1,spot220_1,2
1,spot221_1,2
1,spot222_1,1
1,spot223_1,1
1,spot224_1,1
1,spot225_1,2
1,spot226_1,2
1,spot227_1,2
1,spot228_1,2
1,spot229_1,2
1,spot230_1,2
1,spot231_1,2
1,spot232_1,2
1,spot233_1,2
1,spot234_1,2
1,spot235_1,1
1,spot236_1,2
1,spot237_1,2
1,spot238_1,2
1,spot239_1,2
1,spot240_1,2
1,spot241_1,2
1,spot242_1,2
1,spot243_1,2
1,spot244_1,2
1,spot245_1,2
1,spot246_1,1
1,spot247_1,2
1,spot248_1,2
1,spot249_1,2
1,spot250_1,2
1,spot251_1,2
1,spot252_1,2
1,spot253_1,2
1,spot254_1,2
1,spot255_1,2
1,spot256_1,2
1,spot257_1,1
1,spot258_1,2
1,spot259_1,2
1,spot260_1,2
1,spot261_1,2
1,spot262_1,2
1,spot263_1,2
1,spot264_1,2
1,spot265_1,2
1,spot266_1,2
1,spot267_1,2
1,spot268_1,1
1,spot269_1,2
1,spot270_1,1
1,spot271_1,2
1,spot272_1,2
