,sample,spot_name,cluster
1,1,spot1,1
2,1,spot2,1
3,1,spot3,1
4,1,spot4,1
5,1,spot5,3
6,1,spot6,1
7,1,spot7,3
8,1,spot8,1
9,1,spot9,3
10,1,spot10,0
11,1,spot11,1
12,1,spot12,1
13,1,spot13,1
14,1,spot14,3
15,1,spot15,3
16,1,spot16,1
17,1,spot17,3
18,1,spot18,1
19,1,spot19,3
20,1,spot20,1
21,1,spot21,3
22,1,spot22,0
23,1,spot23,1
24,1,spot24,3
25,1,spot25,0
26,1,spot26,0
27,1,spot27,1
28,1,spot28,1
29,1,spot29,3
30,1,spot30,3
31,1,spot31,3
32,1,spot32,3
33,1,spot33,3
34,1,spot34,1
35,1,spot35,1
36,1,spot36,1
37,1,spot37,3
38,1,spot38,1
39,1,spot39,3
40,1,spot40,0
41,1,spot41,1
42,1,spot42,0
43,1,spot43,1
44,1,spot44,1
45,1,spot45,1
46,1,spot46,1
47,1,spot47,3
48,1,spot48,1
49,1,spot49,2
50,1,spot50,3
51,1,spot51,3
52,1,spot52,1
53,1,spot53,3
54,1,spot54,1
55,1,spot55,3
56,1,spot56,3
57,1,spot57,1
58,1,spot58,0
59,1,spot59,1
60,1,spot60,0
61,1,spot61,0
62,1,spot62,1
63,1,spot63,0
64,1,spot64,1
65,1,spot65,3
66,1,spot66,1
67,1,spot67,3
68,1,spot68,3
69,1,spot69,1
70,1,spot70,0
71,1,spot71,0
72,1,spot72,0
73,1,spot73,3
74,1,spot74,3
75,1,spot75,3
76,1,spot76,1
77,1,spot77,1
78,1,spot78,3
79,1,spot79,3
80,1,spot80,1
81,1,spot81,1
82,1,spot82,1
83,1,spot83,3
84,1,spot84,3
85,1,spot85,1
86,1,spot86,3
87,1,spot87,3
88,1,spot88,1
89,1,spot89,1
90,1,spot90,3
91,1,spot91,1
92,1,spot92,1
93,1,spot93,1
94,1,spot94,3
95,1,spot95,3
96,1,spot96,3
97,1,spot97,1
98,1,spot98,0
99,1,spot99,0
100,1,spot100,1
101,1,spot101,0
102,1,spot102,0
103,1,spot103,0
104,1,spot104,2
105,1,spot105,3
106,1,spot106,1
107,1,spot107,1
108,1,spot108,0
109,1,spot109,3
110,1,spot110,3
111,1,spot111,0
112,1,spot112,3
113,1,spot113,1
114,1,spot114,1
115,1,spot115,1
116,1,spot116,1
117,1,spot117,3
118,1,spot118,1
119,1,spot119,3
120,1,spot120,1
121,1,spot121,3
122,1,spot122,1
123,1,spot123,1
124,1,spot124,3
125,1,spot125,1
126,1,spot126,0
127,1,spot127,1
128,1,spot128,3
129,1,spot129,1
130,1,spot130,1
131,1,spot131,1
132,1,spot132,1
133,1,spot133,1
134,1,spot134,0
135,1,spot135,3
136,1,spot136,1
137,1,spot137,0
138,1,spot138,0
139,1,spot139,3
140,1,spot140,1
141,1,spot141,3
142,1,spot142,1
143,1,spot143,0
144,1,spot144,0
145,1,spot145,1
146,1,spot146,1
147,1,spot147,1
148,1,spot148,3
149,1,spot149,1
150,1,spot150,0
151,1,spot151,1
152,1,spot152,1
153,1,spot153,0
154,1,spot154,3
155,1,spot155,3
156,1,spot156,0
157,1,spot157,1
158,1,spot158,1
159,1,spot159,0
160,1,spot160,1
161,1,spot161,1
162,1,spot162,3
163,1,spot163,0
164,1,spot164,0
165,1,spot165,3
166,1,spot166,1
167,1,spot167,1
168,1,spot168,0
169,1,spot169,3
170,1,spot170,3
171,1,spot171,1
172,1,spot172,1
173,1,spot173,0
174,1,spot174,3
175,1,spot175,0
176,1,spot176,1
177,1,spot177,0
178,1,spot178,1
179,1,spot179,3
180,1,spot180,1
181,1,spot181,1
182,1,spot182,1
183,1,spot183,3
184,1,spot184,3
185,1,spot185,1
186,1,spot186,1
187,1,spot187,1
188,1,spot188,3
189,1,spot189,1
190,1,spot190,3
191,1,spot191,1
192,1,spot192,1
193,1,spot193,0
194,1,spot194,3
195,1,spot195,3
196,1,spot196,1
197,1,spot197,0
198,1,spot198,0
199,1,spot199,3
200,1,spot200,3
201,1,spot201,1
202,1,spot202,0
203,1,spot203,1
204,1,spot204,1
205,1,spot205,1
206,1,spot206,1
207,1,spot207,0
208,1,spot208,3
209,1,spot209,1
210,1,spot210,0
211,1,spot211,1
212,1,spot212,1
213,1,spot213,1
214,1,spot214,1
215,1,spot215,2
216,1,spot216,1
217,1,spot217,1
218,1,spot218,0
219,1,spot219,0
220,1,spot220,3
221,1,spot221,1
222,1,spot222,3
223,1,spot223,3
224,1,spot224,1
225,1,spot225,1
226,1,spot226,1
227,1,spot227,1
228,1,spot228,1
229,1,spot229,1
230,1,spot230,1
231,1,spot231,3
232,1,spot232,2
233,1,spot233,1
234,1,spot234,2
235,1,spot235,3
236,1,spot236,3
237,1,spot237,1
238,1,spot238,1
239,1,spot239,2
240,1,spot240,3
241,1,spot241,1
242,1,spot242,3
243,1,spot243,0
244,1,spot244,1
245,1,spot245,3
246,1,spot246,1
247,1,spot247,0
248,1,spot248,1
249,1,spot249,3
250,1,spot250,3
251,1,spot251,1
252,1,spot252,1
253,1,spot253,1
254,1,spot254,1
255,1,spot255,1
256,1,spot256,1
257,1,spot257,3
258,1,spot258,1
259,1,spot259,1
260,1,spot260,1
261,1,spot261,1
262,1,spot262,1
263,1,spot263,2
264,1,spot264,1
265,1,spot265,3
266,1,spot266,0
267,1,spot267,1
268,1,spot268,1
269,1,spot269,1
270,1,spot270,1
271,1,spot271,2
272,1,spot272,3
273,1,spot273,1
274,1,spot274,3
275,1,spot275,3
276,1,spot276,1
277,1,spot277,1
278,1,spot278,1
279,1,spot279,1
280,1,spot280,1
281,1,spot281,1
282,1,spot282,3
283,1,spot283,2
284,1,spot284,1
285,1,spot285,1
286,1,spot286,1
287,1,spot287,3
288,1,spot288,1
289,1,spot289,1
290,1,spot290,3
291,1,spot291,1
292,1,spot292,3
293,1,spot293,1
294,1,spot294,1
295,1,spot295,1
296,1,spot296,1
297,1,spot297,3
298,1,spot298,3
299,1,spot299,1
300,1,spot300,1
301,1,spot301,2
302,1,spot302,1
303,1,spot303,3
304,1,spot304,3
305,1,spot305,1
306,1,spot306,1
307,1,spot307,3
308,1,spot308,1
309,1,spot309,0
310,1,spot310,3
311,1,spot311,3
312,1,spot312,3
313,1,spot313,3
314,1,spot314,1
315,1,spot315,3
316,1,spot316,1
317,1,spot317,1
318,1,spot318,1
319,1,spot319,2
320,1,spot320,1
321,1,spot321,1
322,1,spot322,0
323,1,spot323,0
324,1,spot324,1
325,1,spot325,1
326,1,spot326,1
327,1,spot327,1
328,1,spot328,1
329,1,spot329,1
330,1,spot330,3
331,1,spot331,3
332,1,spot332,1
333,1,spot333,3
334,1,spot334,1
335,1,spot335,1
336,1,spot336,3
337,1,spot337,1
338,1,spot338,1
339,1,spot339,1
340,1,spot340,3
341,1,spot341,1
342,1,spot342,1
343,1,spot343,3
344,1,spot344,1
345,1,spot345,1
346,1,spot346,1
347,1,spot347,0
348,1,spot348,0
349,1,spot349,1
350,1,spot350,1
351,1,spot351,1
352,1,spot352,0
353,1,spot353,3
354,1,spot354,1
355,1,spot355,1
