,sample,spot_name,cluster
0,slice1,spot1,5
1,slice1,spot10,5
2,slice1,spot100,5
3,slice1,spot101,2
4,slice1,spot102,2
5,slice1,spot103,2
6,slice1,spot104,1
7,slice1,spot105,1
8,slice1,spot106,1
9,slice1,spot107,2
10,slice1,spot108,2
11,slice1,spot109,7
12,slice1,spot11,9
13,slice1,spot110,2
14,slice1,spot111,1
15,slice1,spot112,2
16,slice1,spot113,1
17,slice1,spot114,1
18,slice1,spot115,1
19,slice1,spot116,2
20,slice1,spot117,1
21,slice1,spot118,2
22,slice1,spot119,2
23,slice1,spot12,5
24,slice1,spot120,8
25,slice1,spot121,1
26,slice1,spot122,1
27,slice1,spot123,2
28,slice1,spot124,7
29,slice1,spot125,7
30,slice1,spot126,0
31,slice1,spot127,2
32,slice1,spot128,2
33,slice1,spot129,2
34,slice1,spot13,1
35,slice1,spot130,1
36,slice1,spot131,2
37,slice1,spot132,1
38,slice1,spot133,8
39,slice1,spot134,2
40,slice1,spot135,2
41,slice1,spot136,2
42,slice1,spot137,2
43,slice1,spot138,1
44,slice1,spot139,0
45,slice1,spot14,5
46,slice1,spot140,2
47,slice1,spot141,1
48,slice1,spot142,2
49,slice1,spot143,2
50,slice1,spot144,2
51,slice1,spot145,2
52,slice1,spot146,2
53,slice1,spot147,1
54,slice1,spot148,1
55,slice1,spot149,2
56,slice1,spot15,5
57,slice1,spot150,2
58,slice1,spot151,1
59,slice1,spot152,2
60,slice1,spot153,2
61,slice1,spot154,5
62,slice1,spot155,0
63,slice1,spot156,2
64,slice1,spot157,2
65,slice1,spot158,0
66,slice1,spot159,2
67,slice1,spot16,9
68,slice1,spot160,0
69,slice1,spot161,1
70,slice1,spot162,2
71,slice1,spot163,2
72,slice1,spot164,0
73,slice1,spot165,0
74,slice1,spot166,1
75,slice1,spot167,2
76,slice1,spot168,1
77,slice1,spot169,2
78,slice1,spot17,5
79,slice1,spot170,1
80,slice1,spot171,0
81,slice1,spot172,1
82,slice1,spot173,8
83,slice1,spot174,1
84,slice1,spot175,2
85,slice1,spot176,2
86,slice1,spot177,8
87,slice1,spot178,2
88,slice1,spot179,2
89,slice1,spot18,1
90,slice1,spot180,1
91,slice1,spot181,2
92,slice1,spot182,1
93,slice1,spot183,1
94,slice1,spot184,1
95,slice1,spot185,2
96,slice1,spot186,1
97,slice1,spot187,1
98,slice1,spot188,1
99,slice1,spot189,2
100,slice1,spot19,2
101,slice1,spot190,7
102,slice1,spot191,8
103,slice1,spot192,0
104,slice1,spot193,0
105,slice1,spot194,2
106,slice1,spot195,1
107,slice1,spot196,0
108,slice1,spot197,1
109,slice1,spot198,2
110,slice1,spot199,2
111,slice1,spot2,5
112,slice1,spot20,2
113,slice1,spot200,1
114,slice1,spot201,4
115,slice1,spot202,0
116,slice1,spot203,0
117,slice1,spot204,1
118,slice1,spot205,2
119,slice1,spot206,2
120,slice1,spot207,4
121,slice1,spot208,3
122,slice1,spot209,0
123,slice1,spot21,5
124,slice1,spot210,0
125,slice1,spot211,0
126,slice1,spot212,3
127,slice1,spot213,4
128,slice1,spot214,0
129,slice1,spot215,4
130,slice1,spot216,0
131,slice1,spot217,7
132,slice1,spot218,8
133,slice1,spot219,0
134,slice1,spot22,9
135,slice1,spot220,3
136,slice1,spot221,0
137,slice1,spot222,0
138,slice1,spot223,0
139,slice1,spot224,0
140,slice1,spot225,8
141,slice1,spot226,0
142,slice1,spot227,0
143,slice1,spot228,8
144,slice1,spot229,0
145,slice1,spot23,9
146,slice1,spot230,4
147,slice1,spot231,4
148,slice1,spot232,8
149,slice1,spot233,0
150,slice1,spot234,4
151,slice1,spot235,8
152,slice1,spot236,0
153,slice1,spot237,0
154,slice1,spot238,3
155,slice1,spot239,0
156,slice1,spot24,1
157,slice1,spot240,0
158,slice1,spot241,3
159,slice1,spot242,0
160,slice1,spot243,0
161,slice1,spot244,4
162,slice1,spot245,7
163,slice1,spot246,4
164,slice1,spot247,6
165,slice1,spot248,3
166,slice1,spot249,8
167,slice1,spot25,5
168,slice1,spot250,0
169,slice1,spot251,4
170,slice1,spot252,3
171,slice1,spot253,0
172,slice1,spot254,0
173,slice1,spot255,2
174,slice1,spot256,3
175,slice1,spot257,8
176,slice1,spot258,6
177,slice1,spot259,7
178,slice1,spot26,5
179,slice1,spot260,0
180,slice1,spot261,4
181,slice1,spot262,0
182,slice1,spot263,4
183,slice1,spot264,8
184,slice1,spot265,0
185,slice1,spot266,0
186,slice1,spot267,3
187,slice1,spot268,0
188,slice1,spot269,0
189,slice1,spot27,5
190,slice1,spot270,8
191,slice1,spot271,0
192,slice1,spot272,0
193,slice1,spot273,0
194,slice1,spot274,7
195,slice1,spot275,0
196,slice1,spot276,0
197,slice1,spot277,3
198,slice1,spot278,3
199,slice1,spot279,0
200,slice1,spot28,5
201,slice1,spot280,4
202,slice1,spot281,0
203,slice1,spot282,0
204,slice1,spot283,2
205,slice1,spot284,4
206,slice1,spot285,2
207,slice1,spot286,0
208,slice1,spot287,2
209,slice1,spot288,0
210,slice1,spot289,7
211,slice1,spot29,5
212,slice1,spot290,0
213,slice1,spot291,0
214,slice1,spot292,0
215,slice1,spot293,0
216,slice1,spot294,0
217,slice1,spot295,4
218,slice1,spot296,0
219,slice1,spot297,7
220,slice1,spot298,0
221,slice1,spot299,0
222,slice1,spot3,5
223,slice1,spot30,5
224,slice1,spot300,7
225,slice1,spot301,4
226,slice1,spot302,3
227,slice1,spot303,0
