,sample,spot_name,cluster
0,slice1,spot1,1
1,slice1,spot2,2
2,slice1,spot3,2
3,slice1,spot4,1
4,slice1,spot5,1
5,slice1,spot6,1
6,slice1,spot7,1
7,slice1,spot8,1
8,slice1,spot9,1
9,slice1,spot10,1
10,slice1,spot11,1
11,slice1,spot12,1
12,slice1,spot13,1
13,slice1,spot14,1
14,slice1,spot15,1
15,slice1,spot16,1
16,slice1,spot17,1
17,slice1,spot18,1
18,slice1,spot19,1
19,slice1,spot20,1
20,slice1,spot21,1
21,slice1,spot22,1
22,slice1,spot23,1
23,slice1,spot24,1
24,slice1,spot25,1
25,slice1,spot26,1
26,slice1,spot27,1
27,slice1,spot28,1
28,slice1,spot29,1
29,slice1,spot30,1
30,slice1,spot31,1
31,slice1,spot32,1
32,slice1,spot33,1
33,slice1,spot34,1
34,slice1,spot35,1
35,slice1,spot36,1
36,slice1,spot37,1
37,slice1,spot38,1
38,slice1,spot39,1
39,slice1,spot40,1
40,slice1,spot41,1
41,slice1,spot42,1
42,slice1,spot43,1
43,slice1,spot44,1
44,slice1,spot45,1
45,slice1,spot46,1
46,slice1,spot47,1
47,slice1,spot48,1
48,slice1,spot49,1
49,slice1,spot50,1
50,slice1,spot51,1
51,slice1,spot52,1
52,slice1,spot53,1
53,slice1,spot54,1
54,slice1,spot55,1
55,slice1,spot56,1
56,slice1,spot57,1
57,slice1,spot58,1
58,slice1,spot59,1
59,slice1,spot60,1
60,slice1,spot61,1
61,slice1,spot62,1
62,slice1,spot63,1
63,slice1,spot64,1
64,slice1,spot65,1
65,slice1,spot66,1
66,slice1,spot67,1
67,slice1,spot68,1
68,slice1,spot69,2
69,slice1,spot70,1
70,slice1,spot71,1
71,slice1,spot72,1
72,slice1,spot73,1
73,slice1,spot74,1
74,slice1,spot75,1
75,slice1,spot76,1
76,slice1,spot77,1
77,slice1,spot78,1
78,slice1,spot79,1
79,slice1,spot80,1
80,slice1,spot81,1
81,slice1,spot82,1
82,slice1,spot83,1
83,slice1,spot84,1
84,slice1,spot85,1
85,slice1,spot86,3
86,slice1,spot87,1
87,slice1,spot88,1
88,slice1,spot89,1
89,slice1,spot90,1
90,slice1,spot91,2
91,slice1,spot92,1
92,slice1,spot93,1
93,slice1,spot94,3
94,slice1,spot95,1
95,slice1,spot96,1
96,slice1,spot97,1
97,slice1,spot98,1
98,slice1,spot99,1
99,slice1,spot100,1
100,slice1,spot101,1
101,slice1,spot102,3
102,slice1,spot103,1
103,slice1,spot104,1
104,slice1,spot105,1
105,slice1,spot106,1
106,slice1,spot107,1
107,slice1,spot108,3
108,slice1,spot109,3
109,slice1,spot110,1
110,slice1,spot111,1
111,slice1,spot112,1
112,slice1,spot113,1
113,slice1,spot114,1
114,slice1,spot115,1
115,slice1,spot116,1
116,slice1,spot117,1
