sample,spot_name,cluster
1,"spot1","2"
1,"spot2","2"
1,"spot3","2"
1,"spot4","1"
1,"spot5","1"
1,"spot6","2"
1,"spot7","2"
1,"spot8","2"
1,"spot9","2"
1,"spot10","2"
1,"spot11","2"
1,"spot12","2"
1,"spot13","2"
1,"spot14","2"
1,"spot15","2"
1,"spot16","2"
1,"spot17","2"
1,"spot18","1"
1,"spot19","1"
1,"spot20","1"
1,"spot21","2"
1,"spot22","2"
1,"spot23","2"
1,"spot24","2"
1,"spot25","2"
1,"spot26","2"
1,"spot27","2"
1,"spot28","2"
1,"spot29","2"
1,"spot30","2"
1,"spot31","2"
1,"spot32","2"
1,"spot33","2"
1,"spot34","2"
1,"spot35","2"
1,"spot36","2"
1,"spot37","2"
1,"spot38","2"
1,"spot39","2"
1,"spot40","2"
1,"spot41","2"
1,"spot42","2"
1,"spot43","2"
1,"spot44","2"
1,"spot45","2"
1,"spot46","2"
1,"spot47","2"
1,"spot48","1"
1,"spot49","2"
1,"spot50","2"
1,"spot51","2"
1,"spot52","2"
1,"spot53","2"
1,"spot54","2"
1,"spot55","2"
1,"spot56","2"
1,"spot57","2"
1,"spot58","1"
1,"spot59","2"
1,"spot60","2"
1,"spot61","1"
1,"spot62","2"
1,"spot63","2"
1,"spot64","2"
1,"spot65","2"
1,"spot66","1"
1,"spot67","2"
1,"spot68","2"
1,"spot69","2"
1,"spot70","2"
1,"spot71","2"
1,"spot72","2"
1,"spot73","2"
1,"spot74","1"
1,"spot75","2"
1,"spot76","2"
1,"spot77","2"
1,"spot78","2"
1,"spot79","1"
1,"spot80","2"
1,"spot81","2"
1,"spot82","2"
1,"spot83","1"
1,"spot84","1"
1,"spot85","1"
1,"spot86","1"
1,"spot87","2"
1,"spot88","2"
1,"spot89","2"
1,"spot90","2"
1,"spot91","2"
1,"spot92","2"
1,"spot93","2"
1,"spot94","1"
1,"spot95","1"
1,"spot96","2"
1,"spot97","2"
1,"spot98","2"
1,"spot99","2"
1,"spot100","2"
2,"spot501","1"
2,"spot502","1"
2,"spot503","1"
2,"spot504","1"
2,"spot505","1"
2,"spot506","2"
2,"spot507","1"
2,"spot508","1"
2,"spot509","3"
2,"spot510","1"
2,"spot511","2"
2,"spot512","1"
2,"spot513","1"
2,"spot514","1"
2,"spot515","1"
2,"spot516","1"
2,"spot517","1"
2,"spot518","1"
2,"spot519","4"
2,"spot520","4"
2,"spot521","1"
2,"spot522","1"
2,"spot523","1"
2,"spot524","3"
2,"spot525","3"
2,"spot526","4"
2,"spot527","1"
2,"spot528","1"
2,"spot529","1"
2,"spot530","2"
2,"spot531","3"
2,"spot532","2"
2,"spot533","4"
2,"spot534","1"
2,"spot535","1"
2,"spot536","3"
2,"spot537","1"
2,"spot538","2"
2,"spot539","3"
2,"spot540","1"
2,"spot541","1"
2,"spot542","1"
2,"spot543","1"
2,"spot544","1"
2,"spot545","4"
2,"spot546","1"
2,"spot547","2"
2,"spot548","2"
2,"spot549","1"
2,"spot550","1"
2,"spot551","1"
2,"spot552","1"
2,"spot553","4"
2,"spot554","2"
2,"spot555","3"
2,"spot556","1"
2,"spot557","4"
2,"spot558","0"
2,"spot559","1"
2,"spot560","4"
2,"spot561","1"
2,"spot562","1"
2,"spot563","1"
2,"spot564","3"
2,"spot565","4"
2,"spot566","2"
2,"spot567","1"
2,"spot568","1"
2,"spot569","1"
2,"spot570","1"
2,"spot571","4"
2,"spot572","1"
2,"spot573","4"
2,"spot574","2"
2,"spot575","1"
2,"spot576","1"
2,"spot577","4"
2,"spot578","1"
2,"spot579","1"
2,"spot580","1"
2,"spot581","1"
2,"spot582","2"
2,"spot583","1"
2,"spot584","2"
2,"spot585","1"
2,"spot586","2"
2,"spot587","1"
2,"spot588","1"
2,"spot589","1"
2,"spot590","1"
2,"spot591","4"
2,"spot592","3"
2,"spot593","3"
2,"spot594","1"
2,"spot595","2"
2,"spot596","4"
2,"spot597","2"
2,"spot598","1"
2,"spot599","1"
2,"spot600","2"
