,sample,spot_name,cluster
0,1,spot1,3
1,1,spot2,3
2,1,spot3,3
3,1,spot4,2
4,1,spot5,2
5,1,spot6,3
6,1,spot7,3
7,1,spot8,3
8,1,spot9,3
9,1,spot10,3
10,1,spot11,3
11,1,spot12,3
12,1,spot13,3
13,1,spot14,3
14,1,spot15,3
15,1,spot16,3
16,1,spot17,3
17,1,spot18,2
18,1,spot19,2
19,1,spot20,2
20,1,spot21,3
21,1,spot22,3
22,1,spot23,3
23,1,spot24,3
24,1,spot25,3
25,1,spot26,3
26,1,spot27,3
27,1,spot28,3
28,1,spot29,3
29,1,spot30,3
30,1,spot31,3
31,1,spot32,3
32,1,spot33,3
33,1,spot34,3
34,1,spot35,3
35,1,spot36,3
36,1,spot37,3
37,1,spot38,2
38,1,spot39,3
39,1,spot40,3
40,1,spot41,3
41,1,spot42,3
42,1,spot43,3
43,1,spot44,3
44,1,spot45,3
45,1,spot46,3
46,1,spot47,3
47,1,spot48,2
48,1,spot49,3
49,1,spot50,3
50,1,spot51,3
51,1,spot52,3
52,1,spot53,3
53,1,spot54,3
54,1,spot55,3
55,1,spot56,3
56,1,spot57,3
57,1,spot58,2
58,1,spot59,3
59,1,spot60,3
60,1,spot61,2
61,1,spot62,3
62,1,spot63,3
63,1,spot64,3
64,1,spot65,3
65,1,spot66,2
66,1,spot67,3
67,1,spot68,3
68,1,spot69,3
69,1,spot70,3
70,1,spot71,3
71,1,spot72,3
72,1,spot73,3
73,1,spot74,2
74,1,spot75,3
75,1,spot76,3
76,1,spot77,2
77,1,spot78,2
78,1,spot79,2
79,1,spot80,3
80,1,spot81,3
81,1,spot82,3
82,1,spot83,2
83,1,spot84,2
84,1,spot85,2
85,1,spot86,2
86,1,spot87,3
87,1,spot88,3
88,1,spot89,3
89,1,spot90,3
90,1,spot91,3
91,1,spot92,3
92,1,spot93,3
93,1,spot94,2
94,1,spot95,2
95,1,spot96,3
96,1,spot97,3
97,1,spot98,3
98,1,spot99,3
99,1,spot100,3
100,1,spot101,2
101,1,spot102,2
102,1,spot103,2
103,1,spot104,2
104,1,spot105,2
105,1,spot106,3
106,1,spot107,2
107,1,spot108,2
108,1,spot109,2
109,1,spot110,2
110,1,spot111,2
111,1,spot112,0
112,1,spot113,2
113,1,spot114,2
114,1,spot115,2
115,1,spot116,2
116,1,spot117,2
117,1,spot118,2
118,1,spot119,0
119,1,spot120,0
120,1,spot121,2
121,1,spot122,2
122,1,spot123,2
